,negative,neutral,positive,quarter,year,timestamp
0,0.07100591715976332,0.8816568047337278,0.047337278106508875,1.0,2012.0,2012_1
1,0.06666666666666667,0.8873563218390804,0.04597701149425287,2.0,2012.0,2012_2
2,0.0539000539000539,0.93000693000693,0.016093016093016093,3.0,2012.0,2012_3
3,0.06592073335130763,0.9026242473263234,0.031455019322369014,4.0,2012.0,2012_4
5,0.05714285714285714,0.9285714285714286,0.014285714285714285,1.0,2013.0,2013_1
6,0.07391304347826087,0.8913043478260869,0.034782608695652174,2.0,2013.0,2013_2
7,0.08421052631578947,0.8947368421052632,0.021052631578947368,3.0,2013.0,2013_3
4,0.0683371298405467,0.908883826879271,0.022779043280182234,4.0,2013.0,2013_4
8,0.07304301362543414,0.8904621960993855,0.036494790275180336,1.0,2014.0,2014_1
9,0.053231939163498096,0.8859315589353612,0.060836501901140684,2.0,2014.0,2014_2
10,0.06304347826086956,0.9130434782608695,0.02391304347826087,3.0,2014.0,2014_3
11,0.03754266211604096,0.9044368600682594,0.05802047781569966,4.0,2014.0,2014_4
12,0.04294478527607362,0.9202453987730062,0.03680981595092025,1.0,2015.0,2015_1
13,0.045454545454545456,0.9181818181818182,0.03636363636363636,2.0,2015.0,2015_2
14,0.046744083492576805,0.9251065706306042,0.02814934587681905,3.0,2015.0,2015_3
15,0.056,0.9076363636363637,0.03636363636363636,4.0,2015.0,2015_4
16,0.017624925737672454,0.9603934253086013,0.02198164895372632,1.0,2016.0,2016_1
17,0.03090507726269316,0.9315673289183223,0.037527593818984545,2.0,2016.0,2016_2
18,0.03782774034291814,0.9341183534592035,0.028053906197878443,3.0,2016.0,2016_3
19,0.032586558044806514,0.945010183299389,0.02240325865580448,4.0,2016.0,2016_4
