,negative,neutral,positive,quarter,year,timestamp
0,0.0851063829787234,0.8856382978723404,0.02925531914893617,1.0,2012.0,2012_1
1,0.07678287509210067,0.8980106255089774,0.025206499398921937,2.0,2012.0,2012_2
2,0.10770481529784387,0.8702765874561745,0.022018597245981607,3.0,2012.0,2012_3
3,0.09521317966485188,0.8852153008555469,0.019571519479601215,4.0,2012.0,2012_4
4,0.09521800281293952,0.8824191279887482,0.022362869198312235,1.0,2013.0,2013_1
5,0.08059829979554503,0.9076078768965888,0.011793823307866136,2.0,2013.0,2013_2
6,0.08501680093923324,0.9048621513299057,0.010121047730861098,3.0,2013.0,2013_3
7,0.06212842619997426,0.9018401750096513,0.036031398790374466,4.0,2013.0,2013_4
8,0.05921052631578947,0.9013157894736842,0.039473684210526314,1.0,2014.0,2014_1
9,0.05028837397551351,0.9087321663462511,0.04097945967823535,2.0,2014.0,2014_2
10,0.06702565985395505,0.9251009668339248,0.0078733733121201,3.0,2014.0,2014_3
11,0.05695074387166228,0.9298131055538887,0.013236150574448935,4.0,2014.0,2014_4
12,0.06338028169014084,0.8967136150234741,0.03990610328638498,1.0,2015.0,2015_1
13,0.05575890451682429,0.9141970606268929,0.030044034856282865,2.0,2015.0,2015_2
14,0.05315732352876033,0.9291235686283196,0.01771910784292011,3.0,2015.0,2015_3
15,0.06293618830827725,0.9208044625659755,0.016259349125747304,4.0,2015.0,2015_4
17,0.05687784389219461,0.9168708435421771,0.026251312565628283,1.0,2016.0,2016_1
18,0.04948805460750853,0.9436860068259386,0.006825938566552901,2.0,2016.0,2016_2
19,0.05002420526060997,0.9265773761497499,0.02339841858964015,3.0,2016.0,2016_3
16,0.06048356724999372,0.9022822566471667,0.03723417610283964,4.0,2016.0,2016_4
