,negative,neutral,positive,quarter,year,timestamp
1,0.07195480808471336,0.9087140494447666,0.019331142470520007,1.0,2012.0,2012_1
2,0.05122030345378319,0.932097224995009,0.016682471551207827,2.0,2012.0,2012_2
3,0.06226407490495829,0.905226958262248,0.03250896683279376,3.0,2012.0,2012_3
0,0.06211759825780359,0.8959422823365579,0.04194011940563844,4.0,2012.0,2012_4
5,0.06214950726847063,0.9106549790384929,0.027195513693036424,1.0,2013.0,2013_1
6,0.053743174699963966,0.9184982954073007,0.027758529892735386,2.0,2013.0,2013_2
7,0.038069455606784826,0.9245801785034474,0.03735036588976778,3.0,2013.0,2013_3
4,0.04824462908900367,0.9114329914913791,0.040322379419617235,4.0,2013.0,2013_4
8,0.04611289709288258,0.9216357288533997,0.032251374053717724,1.0,2014.0,2014_1
9,0.05874757908327954,0.9089735313105229,0.03227888960619755,2.0,2014.0,2014_2
10,0.04428367861449085,0.9124556980525412,0.04326062333296796,3.0,2014.0,2014_3
11,0.059585773805929595,0.9091600748747056,0.03125415131936477,4.0,2014.0,2014_4
12,0.07816406844519819,0.8977235666297045,0.024112364925097298,1.0,2015.0,2015_1
13,0.029331131296449216,0.9369006330856042,0.0337682356179466,2.0,2015.0,2015_2
14,0.019765579242260658,0.9342252894976396,0.046009131260099784,3.0,2015.0,2015_3
15,0.05774472463401866,0.9145832957273597,0.027671979638621634,4.0,2015.0,2015_4
16,0.05969810464192487,0.9201849960276927,0.020116899330382475,1.0,2016.0,2016_1
17,0.05486205421092776,0.919725410674753,0.0254125351143192,2.0,2016.0,2016_2
18,0.0738581146744412,0.8996377771887976,0.026504108136761198,3.0,2016.0,2016_3
19,0.04979403163422534,0.8972988270809094,0.052907141284865254,4.0,2016.0,2016_4
