,negative,neutral,positive,quarter,year,timestamp
0,0.06542056074766354,0.8878504672897196,0.04672897196261682,1.0,2012.0,2012_1
1,0.07455012853470437,0.9074550128534704,0.017994858611825194,2.0,2012.0,2012_2
2,0.06719335396644405,0.9113862192539501,0.0214204267796058,3.0,2012.0,2012_3
3,0.06380341257109523,0.9115866997229108,0.024609887705993875,4.0,2012.0,2012_4
4,0.0631768953068592,0.9061371841155235,0.030685920577617327,1.0,2013.0,2013_1
5,0.04748201438848921,0.9237410071942446,0.02877697841726619,2.0,2013.0,2013_2
6,0.05519007461698088,0.9188485142831914,0.025961411099827806,3.0,2013.0,2013_3
7,0.06633890739722482,0.8948474949057154,0.03881359769705987,4.0,2013.0,2013_4
8,0.06451612903225806,0.9314516129032258,0.004032258064516129,1.0,2014.0,2014_1
9,0.042257827788649706,0.9100110078277887,0.04773116438356165,2.0,2014.0,2014_2
10,0.06080384747509447,0.90999656475438,0.029199587770525594,3.0,2014.0,2014_3
11,0.06155703077851539,0.8949909474954737,0.04345202172601086,4.0,2014.0,2014_4
12,0.03930908605261987,0.9206695454747807,0.040021368472599385,1.0,2015.0,2015_1
13,0.03976392783893516,0.9204721443221296,0.03976392783893516,2.0,2015.0,2015_2
14,0.02401593474343166,0.9481741439817889,0.027809921274779475,3.0,2015.0,2015_3
15,0.04901005602143429,0.9231358084832457,0.027854135495319947,4.0,2015.0,2015_4
17,0.030726256983240222,0.9371508379888268,0.03212290502793296,1.0,2016.0,2016_1
18,0.03931658737944949,0.9284378875664069,0.0322455250541436,2.0,2016.0,2016_2
19,0.05414364640883978,0.9300710339384373,0.01578531965272297,3.0,2016.0,2016_3
16,0.03795966785290629,0.933570581257414,0.028469750889679714,4.0,2016.0,2016_4
