contract_establish,end_establish,expand_establish,month,net_change,open_establish,state,total_contract,total_expand,year
63801,13841,73116,September,11450,15976,Alabama,77642,89092,1992.0
66930,19382,74158,December,8443,20597,Alabama,86312,94755,1992.0
70792,22587,75865,March,4503,22017,Alabama,93379,97882,1993.0
63769,14841,75767,June,17336,20179,Alabama,78610,95946,1993.0
70303,22680,75181,September,5585,23387,Alabama,92983,98568,1993.0
73197,19584,75663,December,6179,23297,Alabama,92781,98960,1993.0
73041,22733,70716,March,2249,27307,Alabama,95774,98023,1994.0
68327,19560,78347,June,14458,23998,Alabama,87887,102345,1994.0
65513,16295,82573,September,26562,25797,Alabama,81808,108370,1994.0
72009,19639,76358,December,5875,21165,Alabama,91648,97523,1994.0
73684,20350,79831,March,11199,25402,Alabama,94034,105233,1995.0
77879,22314,83408,June,9672,26457,Alabama,100193,109865,1995.0
77443,16668,83321,September,13092,23882,Alabama,94111,107203,1995.0
77305,20761,79241,December,1089,19914,Alabama,98066,99155,1995.0
83079,15504,77802,March,1013,21794,Alabama,98583,99596,1996.0
77452,17617,80791,June,6554,20832,Alabama,95069,101623,1996.0
78851,17676,82266,September,13560,27821,Alabama,96527,110087,1996.0
78752,14487,81043,December,9701,21897,Alabama,93239,102940,1996.0
76870,14978,79284,March,6802,19366,Alabama,91848,98650,1997.0
83158,14256,81244,June,4338,20508,Alabama,97414,101752,1997.0
79282,19967,82560,September,7888,24577,Alabama,99249,107137,1997.0
85068,20256,84279,December,1883,22928,Alabama,105324,107207,1997.0
84168,13608,83873,March,11072,24975,Alabama,97776,108848,1998.0
79697,26201,93038,June,18625,31485,Alabama,105898,124523,1998.0
89390,24146,86985,September,-2076,24475,Alabama,113536,111460,1998.0
88409,19340,84338,December,-1846,21565,Alabama,107749,105903,1998.0
86617,18705,83108,March,6072,28286,Alabama,105322,111394,1999.0
80759,24044,87246,June,4532,22089,Alabama,104803,109335,1999.0
81176,15611,83972,September,4930,17745,Alabama,96787,101717,1999.0
86012,18910,84466,December,-177,20279,Alabama,104922,104745,1999.0
91470,17193,87670,March,-2497,18496,Alabama,108663,106166,2000.0
86680,19735,88783,June,3145,20777,Alabama,106415,109560,2000.0
90197,21814,87546,September,-44,24421,Alabama,112011,111967,2000.0
90363,18721,82925,December,-6674,19485,Alabama,109084,102410,2000.0
93549,20292,87535,March,-5755,20551,Alabama,113841,108086,2001.0
99347,24232,85131,June,-10922,27526,Alabama,123579,112657,2001.0
95255,17003,80108,September,-9831,22319,Alabama,112258,102427,2001.0
91381,21243,79254,December,-13176,20194,Alabama,112624,99448,2001.0
90338,19493,86482,March,-1510,21839,Alabama,109831,108321,2002.0
89203,17280,79928,June,-8782,17773,Alabama,106483,97701,2002.0
84189,15202,80251,September,2032,21172,Alabama,99391,101423,2002.0
89049,14687,80038,December,-4306,19392,Alabama,103736,99430,2002.0
85970,19625,84641,March,-282,20672,Alabama,105595,105313,2003.0
85321,15226,75864,June,-7884,16799,Alabama,100547,92663,2003.0
79202,17021,79892,September,2029,18360,Alabama,96223,98252,2003.0
77805,14541,82461,December,8224,18109,Alabama,92346,100570,2003.0
76993,17389,88134,March,13725,19973,Alabama,94382,108107,2004.0
79200,14560,83659,June,7610,17711,Alabama,93760,101370,2004.0
83490,15322,82971,September,1099,16940,Alabama,98812,99911,2004.0
77837,14384,89990,December,16360,18591,Alabama,92221,108581,2004.0
82209,17169,91860,March,11454,18972,Alabama,99378,110832,2005.0
86305,14333,87515,June,5982,19105,Alabama,100638,106620,2005.0
82168,15171,91141,September,14065,20263,Alabama,97339,111404,2005.0
82579,17534,92530,December,10928,18511,Alabama,100113,111041,2005.0
80152,13797,89212,March,11424,16161,Alabama,93949,105373,2006.0
87570,13428,84694,June,-680,15624,Alabama,100998,100318,2006.0
89176,13247,84190,September,-1801,16432,Alabama,102423,100622,2006.0
88646,13771,86857,December,3761,19321,Alabama,102417,106178,2006.0
77682,14830,96291,March,21327,17548,Alabama,92512,113839,2007.0
94666,14442,82463,June,-8938,17707,Alabama,109108,100170,2007.0
86471,15522,83228,September,-121,18644,Alabama,101993,101872,2007.0
87965,15905,88397,December,4814,20287,Alabama,103870,108684,2007.0
88692,17315,82298,March,-7170,16539,Alabama,106007,98837,2008.0
92124,14234,77232,June,-12243,16883,Alabama,106358,94115,2008.0
90949,15863,77251,September,-11634,17927,Alabama,106812,95178,2008.0
103836,16741,68319,December,-36573,15685,Alabama,120577,84004,2008.0
102918,15967,61860,March,-42833,14192,Alabama,118885,76052,2009.0
91057,15847,67171,June,-24046,15687,Alabama,106904,82858,2009.0
81939,20374,70910,September,-15727,15676,Alabama,102313,86586,2009.0
78139,14788,72133,December,-5019,15775,Alabama,92927,87908,2009.0
74450,13146,70087,March,-2480,15029,Alabama,87596,85116,2010.0
71868,13171,73261,June,6238,18016,Alabama,85039,91277,2010.0
76852,17997,74199,September,-4431,16219,Alabama,94849,90418,2010.0
74844,14965,73701,December,3085,19193,Alabama,89809,92894,2010.0
70230,14528,71694,March,1280,14344,Alabama,84758,86038,2011.0
74917,13841,71990,June,-1266,15502,Alabama,88758,87492,2011.0
69405,13108,76307,September,9363,15569,Alabama,82513,91876,2011.0
75132,12968,70559,December,-2864,14677,Alabama,88100,85236,2011.0
67952,12781,76558,March,11189,15364,Alabama,80733,91922,2012.0
71286,11592,71770,June,3735,14843,Alabama,82878,86613,2012.0
69952,13034,69707,September,831,14110,Alabama,82986,83817,2012.0
68473,12563,70405,December,4405,15036,Alabama,81036,85441,2012.0
68958,12349,75356,March,9006,14957,Alabama,81307,90313,2013.0
70946,11859,72169,June,6037,16673,Alabama,82805,88842,2013.0
72130,12687,68773,September,-2477,13567,Alabama,84817,82340,2013.0
66171,14022,74393,December,8607,14407,Alabama,80193,88800,2013.0
71625,12845,70322,March,1178,15326,Alabama,84470,85648,2014.0
68800,12929,73260,June,6134,14603,Alabama,81729,87863,2014.0
71176,11694,74413,September,6603,15060,Alabama,82870,89473,2014.0
66847,12600,75022,December,10781,15206,Alabama,79447,90228,2014.0
73142,11332,71033,March,1295,14736,Alabama,84474,85769,2015.0
69305,12290,75080,June,8663,15178,Alabama,81595,90258,2015.0
72109,12524,73493,September,3793,14933,Alabama,84633,88426,2015.0
68136,13605,79353,December,15041,17429,Alabama,81741,96782,2015.0
73395,12819,75825,March,4579,14968,Alabama,86214,90793,2016.0
76111,15195,75187,June,-546,15573,Alabama,91306,90760,2016.0
76097,13954,78023,September,6838,18866,Alabama,90051,96889,2016.0
76083,14204,75497,December,1394,16184,Alabama,90287,91681,2016.0
69965,11375,78066,March,13678,16952,Alabama,81340,95018,2017.0
73904,14897,74314,June,-1392,13095,Alabama,88801,87409,2017.0
76123,15377,77193,September,3000,17307,Alabama,91500,94500,2017.0
72556,12943,78973,December,9036,15562,Alabama,85499,94535,2017.0
63801,13841,73116,September,11450,15976,Alabama,77642,89092,1992.0
66930,19382,74158,December,8443,20597,Alabama,86312,94755,1992.0
70792,22587,75865,March,4503,22017,Alabama,93379,97882,1993.0
63769,14841,75767,June,17336,20179,Alabama,78610,95946,1993.0
70303,22680,75181,September,5585,23387,Alabama,92983,98568,1993.0
73197,19584,75663,December,6179,23297,Alabama,92781,98960,1993.0
73041,22733,70716,March,2249,27307,Alabama,95774,98023,1994.0
68327,19560,78347,June,14458,23998,Alabama,87887,102345,1994.0
65513,16295,82573,September,26562,25797,Alabama,81808,108370,1994.0
72009,19639,76358,December,5875,21165,Alabama,91648,97523,1994.0
73684,20350,79831,March,11199,25402,Alabama,94034,105233,1995.0
77879,22314,83408,June,9672,26457,Alabama,100193,109865,1995.0
77443,16668,83321,September,13092,23882,Alabama,94111,107203,1995.0
77305,20761,79241,December,1089,19914,Alabama,98066,99155,1995.0
83079,15504,77802,March,1013,21794,Alabama,98583,99596,1996.0
77452,17617,80791,June,6554,20832,Alabama,95069,101623,1996.0
78851,17676,82266,September,13560,27821,Alabama,96527,110087,1996.0
78752,14487,81043,December,9701,21897,Alabama,93239,102940,1996.0
76870,14978,79284,March,6802,19366,Alabama,91848,98650,1997.0
83158,14256,81244,June,4338,20508,Alabama,97414,101752,1997.0
79282,19967,82560,September,7888,24577,Alabama,99249,107137,1997.0
85068,20256,84279,December,1883,22928,Alabama,105324,107207,1997.0
84168,13608,83873,March,11072,24975,Alabama,97776,108848,1998.0
79697,26201,93038,June,18625,31485,Alabama,105898,124523,1998.0
89390,24146,86985,September,-2076,24475,Alabama,113536,111460,1998.0
88409,19340,84338,December,-1846,21565,Alabama,107749,105903,1998.0
86617,18705,83108,March,6072,28286,Alabama,105322,111394,1999.0
80759,24044,87246,June,4532,22089,Alabama,104803,109335,1999.0
81176,15611,83972,September,4930,17745,Alabama,96787,101717,1999.0
86012,18910,84466,December,-177,20279,Alabama,104922,104745,1999.0
91470,17193,87670,March,-2497,18496,Alabama,108663,106166,2000.0
86680,19735,88783,June,3145,20777,Alabama,106415,109560,2000.0
90197,21814,87546,September,-44,24421,Alabama,112011,111967,2000.0
90363,18721,82925,December,-6674,19485,Alabama,109084,102410,2000.0
93549,20292,87535,March,-5755,20551,Alabama,113841,108086,2001.0
99347,24232,85131,June,-10922,27526,Alabama,123579,112657,2001.0
95255,17003,80108,September,-9831,22319,Alabama,112258,102427,2001.0
91381,21243,79254,December,-13176,20194,Alabama,112624,99448,2001.0
90338,19493,86482,March,-1510,21839,Alabama,109831,108321,2002.0
89203,17280,79928,June,-8782,17773,Alabama,106483,97701,2002.0
84189,15202,80251,September,2032,21172,Alabama,99391,101423,2002.0
89049,14687,80038,December,-4306,19392,Alabama,103736,99430,2002.0
85970,19625,84641,March,-282,20672,Alabama,105595,105313,2003.0
85321,15226,75864,June,-7884,16799,Alabama,100547,92663,2003.0
79202,17021,79892,September,2029,18360,Alabama,96223,98252,2003.0
77805,14541,82461,December,8224,18109,Alabama,92346,100570,2003.0
76993,17389,88134,March,13725,19973,Alabama,94382,108107,2004.0
79200,14560,83659,June,7610,17711,Alabama,93760,101370,2004.0
83490,15322,82971,September,1099,16940,Alabama,98812,99911,2004.0
77837,14384,89990,December,16360,18591,Alabama,92221,108581,2004.0
82209,17169,91860,March,11454,18972,Alabama,99378,110832,2005.0
86305,14333,87515,June,5982,19105,Alabama,100638,106620,2005.0
82168,15171,91141,September,14065,20263,Alabama,97339,111404,2005.0
82579,17534,92530,December,10928,18511,Alabama,100113,111041,2005.0
80152,13797,89212,March,11424,16161,Alabama,93949,105373,2006.0
87570,13428,84694,June,-680,15624,Alabama,100998,100318,2006.0
89176,13247,84190,September,-1801,16432,Alabama,102423,100622,2006.0
88646,13771,86857,December,3761,19321,Alabama,102417,106178,2006.0
77682,14830,96291,March,21327,17548,Alabama,92512,113839,2007.0
94666,14442,82463,June,-8938,17707,Alabama,109108,100170,2007.0
86471,15522,83228,September,-121,18644,Alabama,101993,101872,2007.0
87965,15905,88397,December,4814,20287,Alabama,103870,108684,2007.0
88692,17315,82298,March,-7170,16539,Alabama,106007,98837,2008.0
92124,14234,77232,June,-12243,16883,Alabama,106358,94115,2008.0
90949,15863,77251,September,-11634,17927,Alabama,106812,95178,2008.0
103836,16741,68319,December,-36573,15685,Alabama,120577,84004,2008.0
102918,15967,61860,March,-42833,14192,Alabama,118885,76052,2009.0
91057,15847,67171,June,-24046,15687,Alabama,106904,82858,2009.0
81939,20374,70910,September,-15727,15676,Alabama,102313,86586,2009.0
78139,14788,72133,December,-5019,15775,Alabama,92927,87908,2009.0
74450,13146,70087,March,-2480,15029,Alabama,87596,85116,2010.0
71868,13171,73261,June,6238,18016,Alabama,85039,91277,2010.0
76852,17997,74199,September,-4431,16219,Alabama,94849,90418,2010.0
74844,14965,73701,December,3085,19193,Alabama,89809,92894,2010.0
70230,14528,71694,March,1280,14344,Alabama,84758,86038,2011.0
74917,13841,71990,June,-1266,15502,Alabama,88758,87492,2011.0
69405,13108,76307,September,9363,15569,Alabama,82513,91876,2011.0
75132,12968,70559,December,-2864,14677,Alabama,88100,85236,2011.0
67952,12781,76558,March,11189,15364,Alabama,80733,91922,2012.0
71286,11592,71770,June,3735,14843,Alabama,82878,86613,2012.0
69952,13034,69707,September,831,14110,Alabama,82986,83817,2012.0
68473,12563,70405,December,4405,15036,Alabama,81036,85441,2012.0
68958,12349,75356,March,9006,14957,Alabama,81307,90313,2013.0
70946,11859,72169,June,6037,16673,Alabama,82805,88842,2013.0
72130,12687,68773,September,-2477,13567,Alabama,84817,82340,2013.0
66171,14022,74393,December,8607,14407,Alabama,80193,88800,2013.0
71625,12845,70322,March,1178,15326,Alabama,84470,85648,2014.0
68800,12929,73260,June,6134,14603,Alabama,81729,87863,2014.0
71176,11694,74413,September,6603,15060,Alabama,82870,89473,2014.0
66847,12600,75022,December,10781,15206,Alabama,79447,90228,2014.0
73142,11332,71033,March,1295,14736,Alabama,84474,85769,2015.0
69305,12290,75080,June,8663,15178,Alabama,81595,90258,2015.0
72109,12524,73493,September,3793,14933,Alabama,84633,88426,2015.0
68136,13605,79353,December,15041,17429,Alabama,81741,96782,2015.0
73395,12819,75825,March,4579,14968,Alabama,86214,90793,2016.0
76111,15195,75187,June,-546,15573,Alabama,91306,90760,2016.0
76097,13954,78023,September,6838,18866,Alabama,90051,96889,2016.0
76083,14204,75497,December,1394,16184,Alabama,90287,91681,2016.0
69965,11375,78066,March,13678,16952,Alabama,81340,95018,2017.0
73904,14897,74314,June,-1392,13095,Alabama,88801,87409,2017.0
76123,15377,77193,September,3000,17307,Alabama,91500,94500,2017.0
72556,12943,78973,December,9036,15562,Alabama,85499,94535,2017.0
18631,3703,18123,September,2053,6264,Alaska,22334,24387,1992.0
17294,3126,21888,December,7229,5761,Alaska,20420,27649,1992.0
19658,4160,18180,March,-1420,4218,Alaska,23818,22398,1993.0
19942,5497,19023,June,-2196,4220,Alaska,25439,23243,1993.0
19096,3895,20907,September,3168,5252,Alaska,22991,26159,1993.0
17762,3153,25121,December,10640,6434,Alaska,20915,31555,1993.0
21888,4751,22387,March,1043,5295,Alaska,26639,27682,1994.0
20029,5145,17844,June,-2695,4635,Alaska,25174,22479,1994.0
17748,3774,21485,September,5158,5195,Alaska,21522,26680,1994.0
19047,3723,19475,December,3694,6989,Alaska,22770,26464,1994.0
22203,4836,19257,March,-3759,4023,Alaska,27039,23280,1995.0
19726,4351,19856,June,34,4255,Alaska,24077,24111,1995.0
19425,5318,21795,September,2111,5059,Alaska,24743,26854,1995.0
19625,4231,21788,December,3941,6009,Alaska,23856,27797,1995.0
22506,4654,19325,March,-3368,4467,Alaska,27160,23792,1996.0
19347,6726,19142,June,-2488,4443,Alaska,26073,23585,1996.0
19693,4717,21584,September,2422,5248,Alaska,24410,26832,1996.0
19345,4111,19739,December,2403,6120,Alaska,23456,25859,1996.0
20377,5551,20018,March,187,6097,Alaska,25928,26115,1997.0
18002,5113,20125,June,1854,4844,Alaska,23115,24969,1997.0
21233,4022,21823,September,1282,4714,Alaska,25255,26537,1997.0
19462,4173,22486,December,4315,5464,Alaska,23635,27950,1997.0
21621,3856,22442,March,2311,5346,Alaska,25477,27788,1998.0
21857,5032,18666,June,-3088,5135,Alaska,26889,23801,1998.0
18558,5186,20855,September,1784,4673,Alaska,23744,25528,1998.0
19196,3576,22843,December,5295,5224,Alaska,22772,28067,1998.0
22577,5534,20598,March,-2345,5168,Alaska,28111,25766,1999.0
21983,4579,19483,June,-2159,4920,Alaska,26562,24403,1999.0
19730,4347,21737,September,3039,5379,Alaska,24077,27116,1999.0
19973,4378,21922,December,3155,5584,Alaska,24351,27506,1999.0
19982,5044,21929,March,1662,4759,Alaska,25026,26688,2000.0
20735,8630,21006,June,-3343,5016,Alaska,29365,26022,2000.0
20798,5350,24008,September,2698,4838,Alaska,26148,28846,2000.0
19675,4592,22149,December,3002,5120,Alaska,24267,27269,2000.0
22118,5002,23725,March,545,3940,Alaska,27120,27665,2001.0
20532,4627,19679,June,-342,5138,Alaska,25159,24817,2001.0
20740,4848,22391,September,2115,5312,Alaska,25588,27703,2001.0
20523,4384,19475,December,-124,5308,Alaska,24907,24783,2001.0
22732,4925,21238,March,567,6986,Alaska,27657,28224,2002.0
22984,6895,19639,June,-5346,4894,Alaska,29879,24533,2002.0
19620,4351,22797,September,3511,4685,Alaska,23971,27482,2002.0
19729,3824,19497,December,-152,3904,Alaska,23553,23401,2002.0
20773,4040,20835,March,1596,5574,Alaska,24813,26409,2003.0
21005,4346,19695,June,-1015,4641,Alaska,25351,24336,2003.0
19330,3513,20719,September,3088,5212,Alaska,22843,25931,2003.0
19627,4082,19145,December,458,5022,Alaska,23709,24167,2003.0
19885,4746,19608,March,336,5359,Alaska,24631,24967,2004.0
19556,5181,20382,June,1114,5469,Alaska,24737,25851,2004.0
19220,4143,22426,September,3860,4797,Alaska,23363,27223,2004.0
20915,4201,19394,December,-636,5086,Alaska,25116,24480,2004.0
18919,4599,20979,March,1651,4190,Alaska,23518,25169,2005.0
20550,3642,21106,June,1767,4853,Alaska,24192,25959,2005.0
20566,4820,23091,September,2871,5166,Alaska,25386,28257,2005.0
21831,4664,19403,December,-2273,4819,Alaska,26495,24222,2005.0
18332,4094,21111,March,3724,5039,Alaska,22426,26150,2006.0
20373,3709,22298,June,3613,5397,Alaska,24082,27695,2006.0
22038,4337,18652,September,-2902,4821,Alaska,26375,23473,2006.0
21569,4242,20652,December,25,5184,Alaska,25811,25836,2006.0
20709,3935,20042,March,86,4688,Alaska,24644,24730,2007.0
20788,3800,21725,June,2501,5364,Alaska,24588,27089,2007.0
21802,4138,19090,September,-2316,4534,Alaska,25940,23624,2007.0
21239,4320,20470,December,-1211,3878,Alaska,25559,24348,2007.0
18283,4685,21768,March,2729,3929,Alaska,22968,25697,2008.0
19866,4397,21318,June,2374,5319,Alaska,24263,26637,2008.0
21925,4265,19113,September,-1708,5369,Alaska,26190,24482,2008.0
21700,4385,21609,December,-36,4440,Alaska,26085,26049,2008.0
21895,3766,18870,March,-2358,4433,Alaska,25661,23303,2009.0
21913,3776,20040,June,-434,5215,Alaska,25689,25255,2009.0
20892,4149,18249,September,-1607,5185,Alaska,25041,23434,2009.0
20526,4220,19698,December,-753,4295,Alaska,24746,23993,2009.0
19661,4454,18365,March,234,5984,Alaska,24115,24349,2010.0
18689,3149,21046,June,4384,5176,Alaska,21838,26222,2010.0
19233,3981,19095,September,235,4354,Alaska,23214,23449,2010.0
20263,4643,18746,December,-948,5212,Alaska,24906,23958,2010.0
18358,3122,18721,March,2648,5407,Alaska,21480,24128,2011.0
19652,3754,21282,June,2909,5033,Alaska,23406,26315,2011.0
19434,3664,19349,September,2239,5988,Alaska,23098,25337,2011.0
21626,4407,19438,December,-2392,4203,Alaska,26033,23641,2011.0
19176,3387,20546,March,4443,6460,Alaska,22563,27006,2012.0
19229,4046,22098,June,3907,5084,Alaska,23275,27182,2012.0
20926,4617,18329,September,-2835,4379,Alaska,25543,22708,2012.0
20728,4449,19599,December,-981,4597,Alaska,25177,24196,2012.0
20285,4100,22079,March,3080,5386,Alaska,24385,27465,2013.0
20943,3790,21450,June,1855,5138,Alaska,24733,26588,2013.0
20969,4235,20599,September,-273,4332,Alaska,25204,24931,2013.0
21480,4679,21542,December,-527,4090,Alaska,26159,25632,2013.0
20810,3872,22089,March,2859,5452,Alaska,24682,27541,2014.0
23456,4127,22069,June,-234,5280,Alaska,27583,27349,2014.0
22317,3788,18714,September,-2120,5271,Alaska,26105,23985,2014.0
21416,4758,22086,December,566,4654,Alaska,26174,26740,2014.0
20796,3097,21825,March,2952,5020,Alaska,23893,26845,2015.0
23527,4463,22863,June,-760,4367,Alaska,27990,27230,2015.0
21767,4222,18160,September,-3021,4808,Alaska,25989,22968,2015.0
22426,4184,19615,December,-2457,4538,Alaska,26610,24153,2015.0
20669,3669,20087,March,-61,4190,Alaska,24338,24277,2016.0
23279,4952,21574,June,-2026,4631,Alaska,28231,26205,2016.0
23587,4106,17740,September,-5090,4863,Alaska,27693,22603,2016.0
20500,4199,19947,December,-670,4082,Alaska,24699,24029,2016.0
21026,3143,19357,March,-958,3854,Alaska,24169,23211,2017.0
20521,4069,22550,June,2556,4596,Alaska,24590,27146,2017.0
22037,4069,17129,September,-4959,4018,Alaska,26106,21147,2017.0
20844,4243,18348,December,-2036,4703,Alaska,25087,23051,2017.0
18631,3703,18123,September,2053,6264,Alaska,22334,24387,1992.0
17294,3126,21888,December,7229,5761,Alaska,20420,27649,1992.0
19658,4160,18180,March,-1420,4218,Alaska,23818,22398,1993.0
19942,5497,19023,June,-2196,4220,Alaska,25439,23243,1993.0
19096,3895,20907,September,3168,5252,Alaska,22991,26159,1993.0
17762,3153,25121,December,10640,6434,Alaska,20915,31555,1993.0
21888,4751,22387,March,1043,5295,Alaska,26639,27682,1994.0
20029,5145,17844,June,-2695,4635,Alaska,25174,22479,1994.0
17748,3774,21485,September,5158,5195,Alaska,21522,26680,1994.0
19047,3723,19475,December,3694,6989,Alaska,22770,26464,1994.0
22203,4836,19257,March,-3759,4023,Alaska,27039,23280,1995.0
19726,4351,19856,June,34,4255,Alaska,24077,24111,1995.0
19425,5318,21795,September,2111,5059,Alaska,24743,26854,1995.0
19625,4231,21788,December,3941,6009,Alaska,23856,27797,1995.0
22506,4654,19325,March,-3368,4467,Alaska,27160,23792,1996.0
19347,6726,19142,June,-2488,4443,Alaska,26073,23585,1996.0
19693,4717,21584,September,2422,5248,Alaska,24410,26832,1996.0
19345,4111,19739,December,2403,6120,Alaska,23456,25859,1996.0
20377,5551,20018,March,187,6097,Alaska,25928,26115,1997.0
18002,5113,20125,June,1854,4844,Alaska,23115,24969,1997.0
21233,4022,21823,September,1282,4714,Alaska,25255,26537,1997.0
19462,4173,22486,December,4315,5464,Alaska,23635,27950,1997.0
21621,3856,22442,March,2311,5346,Alaska,25477,27788,1998.0
21857,5032,18666,June,-3088,5135,Alaska,26889,23801,1998.0
18558,5186,20855,September,1784,4673,Alaska,23744,25528,1998.0
19196,3576,22843,December,5295,5224,Alaska,22772,28067,1998.0
22577,5534,20598,March,-2345,5168,Alaska,28111,25766,1999.0
21983,4579,19483,June,-2159,4920,Alaska,26562,24403,1999.0
19730,4347,21737,September,3039,5379,Alaska,24077,27116,1999.0
19973,4378,21922,December,3155,5584,Alaska,24351,27506,1999.0
19982,5044,21929,March,1662,4759,Alaska,25026,26688,2000.0
20735,8630,21006,June,-3343,5016,Alaska,29365,26022,2000.0
20798,5350,24008,September,2698,4838,Alaska,26148,28846,2000.0
19675,4592,22149,December,3002,5120,Alaska,24267,27269,2000.0
22118,5002,23725,March,545,3940,Alaska,27120,27665,2001.0
20532,4627,19679,June,-342,5138,Alaska,25159,24817,2001.0
20740,4848,22391,September,2115,5312,Alaska,25588,27703,2001.0
20523,4384,19475,December,-124,5308,Alaska,24907,24783,2001.0
22732,4925,21238,March,567,6986,Alaska,27657,28224,2002.0
22984,6895,19639,June,-5346,4894,Alaska,29879,24533,2002.0
19620,4351,22797,September,3511,4685,Alaska,23971,27482,2002.0
19729,3824,19497,December,-152,3904,Alaska,23553,23401,2002.0
20773,4040,20835,March,1596,5574,Alaska,24813,26409,2003.0
21005,4346,19695,June,-1015,4641,Alaska,25351,24336,2003.0
19330,3513,20719,September,3088,5212,Alaska,22843,25931,2003.0
19627,4082,19145,December,458,5022,Alaska,23709,24167,2003.0
19885,4746,19608,March,336,5359,Alaska,24631,24967,2004.0
19556,5181,20382,June,1114,5469,Alaska,24737,25851,2004.0
19220,4143,22426,September,3860,4797,Alaska,23363,27223,2004.0
20915,4201,19394,December,-636,5086,Alaska,25116,24480,2004.0
18919,4599,20979,March,1651,4190,Alaska,23518,25169,2005.0
20550,3642,21106,June,1767,4853,Alaska,24192,25959,2005.0
20566,4820,23091,September,2871,5166,Alaska,25386,28257,2005.0
21831,4664,19403,December,-2273,4819,Alaska,26495,24222,2005.0
18332,4094,21111,March,3724,5039,Alaska,22426,26150,2006.0
20373,3709,22298,June,3613,5397,Alaska,24082,27695,2006.0
