GeoName,year,Compensation of employees,Gross domestic product (GDP) by state,Gross operating surplus,Per capita real GDP by state,Quantity indexes for real GDP by state,Real GDP by state,Subsidies,Taxes on production and imports,Taxes on production and imports less subsidies
Alabama,1997,61240,104309,36814,31465,81.042,137437,-328,6582,6255
Alaska,1997,12205,25763,11234,62577,75.935,38358,-62,2386,2324
Arizona,1997,69886,132795,54249,34485,67.195,163353,-383,9044,8661
Arkansas,1997,32852,60248,23415,30470,79.178,79256,-298,4279,3982
California,1997,574394,1082051,441963,41314,70.134,1342133,-5725,71419,65694
Colorado,1997,75718,136296,52500,43632,70.108,175327,-492,8571,8079
Connecticut,1997,77541,140127,52284,54783,81.162,183487,-433,10735,10302
Delaware,1997,15596,33911,16800,57373,76.481,43115,-101,1615,1515
District of Columbia,1997,35728,51682,14477,131750,75.602,74799,-407,1884,1477
Florida,1997,221833,403677,143789,35611,74.910,540793,-1450,39505,38055
Georgia,1997,132123,242669,95179,41289,78.790,317309,-783,16151,15367
Hawaii,1997,21077,37915,13814,44161,82.337,53507,-198,3222,3024
Idaho,1997,16211,29686,11533,28973,66.121,35594,-149,2092,1943
Illinois,1997,236979,422741,157959,45613,86.852,555822,-1758,29561,27803
Indiana,1997,98515,172949,63735,37398,84.561,222718,-459,11158,10699
Iowa,1997,43345,83743,35334,37300,78.947,107838,-550,5614,5064
Kansas,1997,42555,75239,27454,37394,80.489,98544,-356,5586,5230
Kentucky,1997,55471,105103,41893,35384,89.591,139864,-301,8040,7739
Louisiana,1997,60450,118073,48963,40661,85.804,179765,-328,8988,8660
Maine,1997,17782,30675,9931,33011,82.477,41422,-88,3050,2962
Maryland,1997,92265,160965,59248,41929,71.305,216242,-637,10088,9451
Massachusetts,1997,135064,237390,91124,47225,76.820,294027,-964,12167,11203
Michigan,1997,179280,301805,104132,39314,105.249,385632,-759,19153,18393
Minnesota,1997,92308,157206,54350,42629,78.263,203061,-612,11160,10548
Mississippi,1997,32692,58657,21373,28368,85.461,78779,-235,4828,4592
Missouri,1997,91502,163749,62464,39749,87.298,217873,-517,10300,9783
Montana,1997,10385,19196,7378,30009,75.000,26704,-112,1546,1434
Nebraska,1997,27471,50719,19937,39468,76.776,66560,-359,3670,3311
Nevada,1997,32792,59468,21920,47622,70.312,84010,-161,4917,4756
New Hampshire,1997,20264,37992,15059,39215,76.867,46644,-86,2756,2670
New Jersey,1997,170031,308631,113614,49674,84.319,408258,-1177,26164,24986
New Mexico,1997,23034,52460,26101,36181,77.658,64216,-156,3481,3325
New York,1997,385794,714244,278010,49027,79.960,914684,-4548,54988,50440
North Carolina,1997,126822,232815,91680,39424,73.821,301863,-743,15055,14313
North Dakota,1997,8765,15815,5762,31924,64.088,20741,-163,1451,1288
Ohio,1997,196667,342183,123956,39495,93.199,445400,-958,22518,21560
Oklahoma,1997,43764,79527,30495,32363,76.133,109159,-243,5512,5268
Oregon,1997,56278,101039,40197,34053,62.090,112521,-469,5032,4563
Pennsylvania,1997,203644,355574,129093,38830,83.628,474808,-1346,24183,22836
Rhode Island,1997,16463,28890,10101,37740,80.956,38697,-107,2433,2325
South Carolina,1997,55641,98354,36144,34141,81.823,131772,-248,6817,6569
South Dakota,1997,9664,19233,8137,30781,62.754,22908,-192,1624,1432
Tennessee,1997,86770,154693,56925,36870,81.980,202754,-386,11384,10998
Texas,1997,316652,613463,251268,41305,69.602,815370,-1638,47181,45544
Utah,1997,32566,57159,21118,35632,65.953,75533,-163,3637,3474
