GeoName,year,Per capita personal income (dollars) ,Personal income (thousands of dollars),Population (persons) ,Disposable personal income (thousands of dollars),Per capita disposable personal income (dollars) ,Employer contributions for employee pension and insurance funds ,Employer contributions for government social insurance,Farm proprietors employment ,Farm proprietors' income,Imputed interest receipts ,Imputed rent,Monetary interest receipts,Monetary rent,Nonfarm proprietors employment,Nonfarm proprietors' income,Average nonfarm proprietors' income,Average wages and salaries,Income maintenance benefits ,Per capita dividends ,Per capita income maintenance benefits ,Per capita interest ,Per capita rent ,Per capita retirement and other ,Per capita unemployment insurance compensation ,Personal dividend income,Personal interest income,Proprietors employment,Proprietors' income,Rental income of persons,Retirement and other,Supplements to wages and salaries,Unemployment insurance compensation,Wage and salary employment,Wages and salaries,Average earnings per job (dollars),"Dividends, interest, and rent",Earnings by place of work,Net earnings by place of residence,"Per capita dividends, interest, and rent ",Per capita net earnings ,Per capita personal current transfer receipts ,Per capita personal income ,Personal current transfer receipts,Total employment (number of jobs),Excluding family assistance ,Family assistance ,Medicaid ,Other government retirement and disability insurance benefits ,Other medical care benefits ,Other unemployment compensation ,Railroad retirement and disability benefits,Unemployment compensation for Federal civilian employees (UCFE),Unemployment compensation for railroad employees,Unemployment compensation for veterans (UCX),Workers' compensation,Earned Income Tax Credit (EITC),Excluding Social Security benefits,Excluding state unemployment insurance compensation,Medicare benefits,Military medical insurance benefits ,Other assistance to veterans 1,Other income maintenance benefits,Public assistance medical care benefits ,Social Security benefits,State unemployment insurance compensation,Supplemental Nutrition Assistance Program (SNAP),Supplemental security income (SSI) benefits,Veterans' life insurance benefits,Veterans' pension and disability benefits,Veterans' readjustment benefits ,Education and training assistance 1,Income maintenance benefits,Medical benefits,Other transfer receipts of individuals from governments 1,Receipts from businesses,Receipts from state and local governments,Receipts from the Federal government,Retirement and disability insurance benefits,Veterans' benefits,Current transfer receipts of individuals from businesses 1,Current transfer receipts of individuals from governments,Current transfer receipts of nonprofit institutions,Personal current transfer receipts (thousands of dollars),Rental income of persons ,"Dividends, interest, and rent (thousands of dollars)",Cattle and calves,Corn,Hogs and pigs,Oats,Other grains,Sheep and other livestock,Sorghum,Soybeans,Wheat,Cotton,Dairy products,Forest and maple products,Fruits and nuts,"Greenhouse, nursery and mushroom products","Hay, silage, etc.",Meat animals and other livestock,Other crops,Poultry and poultry products,Tobacco,Total grains,Vegetables,All other production expenses ,Cash receipts: Crops,Cash receipts: Livestock and products,Feed purchased,Fertilizer and lime (incl. ag. chemicals 1978-fwd.),Government payments,Hired farm labor expenses ,Imputed and miscellaneous income received ,Less: Net income of corporate farms,Less: Production expenses,Livestock purchased,Petroleum products purchased,Plus: Farm supplements to wages and salaries,Plus: Farm wages and salaries,Plus: Statistical adjustment,Plus: Value of inventory change,Seed purchased,Value of inventory change: crops,Value of inventory change: livestock,Value of inventory change: materials and supplies,Cash receipts and other income,Cash receipts from marketings (thousands of dollars),Equals: Farm earnings,Equals: Farm proprietors' income,Equals: Net income including corporate farms,Equals: Realized net income,Other income,Production expenses,Value of inventory change,Employee and self-employed contributions for government social insurance,Equals: Net earnings by place of residence,Farm income ,Less: Contributions for government social insurance ,Nonfarm personal income ,Plus: Adjustment for residence ,"Plus: Dividends, interest, and rent ",Plus: Personal current transfer receipts,Proprietors' income ,Total employment,Income taxes (gross) ,Less: Refunds,Income taxes (net of refunds) ,Other taxes,Other taxes ,Federal government ,Less: Personal current taxes,Local governments,State and local personal property taxes,State governments,Equals: Disposable personal income,Personal current taxes
Alabama,1997,21480.0,93822199.0,4367935.0,83209782.0,19050.0,7360445.0,3772466.0,49691.0,814007.0,7635923.0,1064726.0,4234021.0,586517.0,311547.0,5566186.0,17866.0,25562.0,1893862.0,890.0,434.0,2718.0,378.0,3105.0,50.0,3889322.0,11869944.0,361238.0,6380193.0,1651243.0,13563612.0,11132911.0,220241.0,1960015.0,50101304.0,29128.0,17410509.0,67614408.0,60733975.0,3986.0,13905.0,3589.0,21480.0,15677715.0,2321253.0,68111,71579,2258422,44788,0,11035,130037,1922,1045,2728,53923,737232,228748,16730,3655953,63985,385,139690,2258422,6079781,203511,381363,635577,24639,462722,27752,274764,1893862,5978360,9051,134298,69386,96197,6308529,515498,177529,15200305,299881,15677715,1651243.0,17410509.0,523069,46802,63691,975,497,75541,404,63431,12918,255817,61272,(NA),20724,207942,23649,662301,110039,1887585,1395,125027,53939,1392183,798532,2611158,697069,215552,65784,174695,472938,96409,2960994,341450,80616,20065,119868,(L),-77008,59429,-64937,-17934,5863,3948412,3409690,953940,814007,910410,987418,538722,2960994,-77008,4057820.0,60733975.0,944957.0,7830286.0,92877242.0,949853.0,17410509.0,15677715.0,6380193.0,2321253.0,10206495.0,1648297.0,8558198.0,40573.0,15957.0,8558198.0,10612417.0,136089.0,44757.0,1873373.0,83209782.0,10612417.0
Alaska,1997,27812.0,17047974.0,612968.0,15203610.0,24803.0,1662800.0,800069.0,540.0,10256.0,1528726.0,151839.0,597273.0,190214.0,80486.0,1536255.0,19087.0,33746.0,265406.0,1154.0,433.0,3468.0,558.0,3112.0,164.0,707149.0,2125999.0,81026.0,1546511.0,342053.0,1907420.0,2462869.0,100319.0,293471.0,9903619.0,37151.0,3175201.0,13912999.0,11599628.0,5180.0,18924.0,3708.0,27812.0,2273145.0,374497.0,36683,99147,370106,273,3410,186,2078,3856,(L),1419,10812,34659,13163,5504,189485,13807,1093,135830,373516,370231,94815,51948,42969,2592,61871,5055,18987,265406,576808,792407,18345,9478,13140,383394,70611,24250,2207932,40963,2273145,342053.0,3175201.0,2495,0,510,146,461,23254,0,0,0,0,2892,(NA),0,11099,2831,26259,238,0,0,607,4100,20512,18875,29151,2493,1800,1490,6074,1227,5299,35576,1291,1708,821,4917,0,388,1698,(L),299,67,50743,48026,15994,10256,15555,15167,2717,35576,388,704827.0,11599628.0,15615.0,1504896.0,17032359.0,-808475.0,3175201.0,2273145.0,1546511.0,374497.0,1988713.0,190742.0,1797971.0,1705.0,15139.0,1797971.0,1844364.0,4999.0,2786.0,38608.0,15203610.0,1844364.0
Arizona,1997,22680.0,107437212.0,4736990.0,94533284.0,19956.0,7631275.0,4385336.0,7881.0,402906.0,9421016.0,1530898.0,6350634.0,813267.0,404640.0,7413882.0,18322.0,27849.0,1489880.0,1155.0,315.0,3329.0,495.0,2729.0,34.0,5470024.0,15771650.0,412521.0,7816788.0,2344165.0,12928454.0,12016611.0,159131.0,2084644.0,58055584.0,31191.0,23585839.0,77888983.0,69273908.0,4979.0,14624.0,3077.0,22680.0,14577465.0,2497165.0,136717,236250,1774244,6683,179472,730,135844,4609,848,1215,249648,505320,392175,7402,3056085,60695,350,372967,1953716,6099822,151729,294769,316824,40996,400507,34613,302282,1489880,5070496,70013,145491,75168,104215,6491997,476466,192326,14060265,324874,14577465,2344165.0,23585839.0,441403,14348,45659,0,16639,56825,3145,0,30609,286878,344890,(NA),89795,79319,112912,543887,19188,3497,0,64741,622719,669303,1275552,892274,233441,156966,46575,470924,86920,174297,1807811,170022,54431,39797,297459,(L),83689,52724,60171,19730,3788,2301321,2167826,740162,402906,577199,493510,133495,1807811,83689,4590947.0,69273908.0,717333.0,8976283.0,106719879.0,361208.0,23585839.0,14577465.0,7816788.0,2497165.0,12235658.0,1366688.0,10868970.0,16187.0,21430.0,10868970.0,12903928.0,17978.0,163562.0,1853418.0,94533284.0,12903928.0
Arkansas,1997,20149.0,52409055.0,2601090.0,46699786.0,17954.0,3884988.0,2169699.0,49458.0,1557365.0,3967284.0,510236.0,2522254.0,415325.0,218018.0,3552425.0,16294.0,23096.0,1076447.0,887.0,414.0,2495.0,356.0,3160.0,79.0,2308361.0,6489538.0,267476.0,5109790.0,925561.0,8219928.0,6054687.0,205616.0,1159687.0,26784551.0,26591.0,9723460.0,37949028.0,33183604.0,3738.0,12758.0,3653.0,20149.0,9501991.0,1427163.0,81875,47793,1337985,7679,0,1957,119655,2576,1173,2597,28177,398793,155511,8303,2033674,39162,115,129668,1337985,3817373,197313,210980,337006,16796,355053,12987,161450,1076447,3410821,5014,80118,41393,57388,3972884,384951,105909,9217183,178899,9501991,925561.0,9723460.0,501625,64825,198540,868,705548,108384,28642,795776,141781,450508,90045,(NA),15258,34238,81228,808549,2223,2610646,0,1737440,26063,2083947,2346958,3509240,1081686,530472,274938,402119,338334,205537,4873289,467737,190400,29843,223404,(L),166710,116928,202826,-38892,2776,6469470,5856198,1810612,1557365,1762891,1596181,613272,4873289,166710,2290437.0,33183604.0,1795844.0,4460136.0,50613211.0,-305288.0,9723460.0,9501991.0,5109790.0,1427163.0,5150757.0,857839.0,4292918.0,3048.0,22535.0,4292918.0,5709269.0,3048.0,30510.0,1382793.0,46699786.0,5709269.0
California,1997,27147.0,881903762.0,32486010.0,761138752.0,23430.0,65964003.0,33473016.0,89973.0,4486374.0,64502219.0,14504673.0,44841652.0,14578667.0,3361737.0,90418618.0,26896.0,33434.0,18006050.0,1164.0,554.0,3366.0,895.0,2620.0,83.0,37812528.0,109343871.0,3451710.0,94904992.0,29083340.0,85118666.0,99437019.0,2700477.0,14215405.0,475281712.0,37902.0,176239739.0,669623723.0,599838830.0,5425.0,18465.0,3258.0,27147.0,105825193.0,17667115.0,2137138,4691885,15743619,1641254,1480034,4155,475089,49151,4216,22690,1251286,3363208,3367629,80212,22580169,286684,800,6829023,17223653,33770149,2620265,2290985,5522834,208297,1548007,111938,2357170,18006050,40090506,119255,997200,515212,714294,37137778,1869042,1318209,102280278,2226706,105825193,29083340.0,176239739.0,1485052,101892,53775,3475,435592,302463,0,0,169254,1158885,3629762,(NA),7697679,2743399,893932,1841290,453202,1071112,0,710213,5893248,8660030,19550558,6542164,2442189,1999834,220475,6357755,731168,1487266,21362910,759223,500896,615920,3590526,(L),292137,642983,68416,199477,24244,27044365,26092722,8692820,4486374,5973592,5681455,951643,21362910,292137,36254621.0,599838830.0,8373577.0,69727637.0,873530185.0,-57256.0,176239739.0,105825193.0,94904992.0,17667115.0,104791570.0,11312163.0,93479407.0,319603.0,69778.0,93479407.0,120765010.0,319603.0,1362268.0,25603732.0,761138752.0,120765010.0
Colorado,1997,27388.0,110052113.0,4018293.0,94804101.0,23593.0,8523323.0,4643902.0,29359.0,327282.0,8824103.0,1617853.0,5414537.0,1198783.0,507412.0,9123615.0,17981.0,29990.0,1119281.0,1548.0,279.0,3543.0,701.0,2293.0,42.0,6219115.0,14238640.0,536771.0,9450897.0,2816636.0,9214453.0,13167225.0,166925.0,2092468.0,62753633.0,32470.0,23274391.0,85371755.0,76277063.0,5792.0,18982.0,2613.0,27388.0,10500659.0,2629239.0,167072,164317,1498507,20498,9245,2793,107661,3011,955,3947,208959,316598,337118,10706,2151216,58725,0,331389,1507752,4102563,156219,175395,295899,30693,315747,33877,223584,1119281,3717693,15738,123054,63577,88143,4439681,380317,162666,10063219,274774,10500659,2816636.0,23274391.0,2336332,284837,220135,1500,79760,182866,16793,(L),258203,0,223100,(NA),13525,193290,212947,2739333,110109,118726,0,641116,190231,1711640,1361218,3081159,761777,209684,175637,447367,246223,176945,4625307,1271336,123211,47432,301301,(L),265289,100292,180708,76861,7720,4864237,4442377,676015,327282,504219,238930,421860,4625307,265289,4656255.0,76277063.0,651429.0,9300157.0,109400684.0,205465.0,23274391.0,10500659.0,9450897.0,2629239.0,13405686.0,1186986.0,12218700.0,19978.0,50977.0,12218700.0,15248012.0,31956.0,105231.0,2892125.0,94804101.0,15248012.0
Connecticut,1997,35214.0,117944101.0,3349348.0,97727395.0,29178.0,8447434.0,4469970.0,3993.0,38755.0,8321902.0,1615563.0,6679459.0,1101687.0,316255.0,9263772.0,29292.0,38145.0,1164262.0,1585.0,348.0,4479.0,811.0,3627.0,106.0,5310349.0,15001361.0,320248.0,9302527.0,2717250.0,12147308.0,12917404.0,356400.0,1680101.0,64087294.0,43146.0,23028960.0,86307225.0,81247171.0,6876.0,24258.0,4081.0,35214.0,13667970.0,2000349.0,149473,385850,2909901,9631,107106,1668,43640,2631,304,2782,208145,172314,261416,7385,2979075,14265,0,535323,3017007,5167246,349015,169122,287503,31615,148353,8784,148702,1164262,6010347,4583,103031,53232,73801,5428662,188752,136198,13301708,230064,13667970,2717250.0,23028960.0,15645,0,1456,0,0,28296,0,0,0,0,76132,(NA),16093,137258,5225,45397,81426,61595,13919,0,22470,170683,276391,183124,53176,19649,1383,124414,19489,22849,415470,8740,12419,16744,102277,(L),-3314,26389,-1108,-2711,505,480387,459515,157776,38755,61603,64917,20872,415470,-3314,4675829.0,81247171.0,149377.0,9145799.0,117794724.0,4085745.0,23028960.0,13667970.0,9302527.0,2000349.0,18290825.0,1373065.0,16917760.0,7730.0,5255.0,16917760.0,20216706.0,7730.0,153459.0,3137757.0,97727395.0,20216706.0
Delaware,1997,27097.0,20362927.0,751487.0,17308133.0,23032.0,1959861.0,922041.0,2669.0,59975.0,1592306.0,263632.0,1107164.0,135264.0,55730.0,1056182.0,18952.0,31403.0,205257.0,1556.0,273.0,3592.0,531.0,3015.0,85.0,1169072.0,2699470.0,58399.0,1116157.0,398896.0,2265636.0,2881902.0,63892.0,406061.0,12751712.0,36063.0,4267438.0,16749771.0,13560704.0,5679.0,18045.0,3373.0,27097.0,2534785.0,464460.0,14284,35433,401651,2862,738,(L),25373,556,396,726,11740,70986,39975,1710,524885,7796,(L),49717,402389,1095686,62182,39003,45551,5847,48408,3477,52929,205257,935070,2241,23065,11917,16522,1135661,57741,30490,2452791,51504,2534785,398896.0,4267438.0,9137,38880,9113,0,3548,4149,0,44404,17133,0,20286,(NA),4321,29705,2002,22399,7615,540912,0,103965,41630,268851,189238,583597,319486,40348,5725,44277,64217,12843,766195,63980,14804,3939,31102,(L),-3765,14449,-6088,2034,289,842777,772835,95016,59975,72817,76582,69942,766195,-3765,920877.0,13560704.0,92721.0,1842918.0,20270206.0,-1346149.0,4267438.0,2534785.0,1116157.0,464460.0,2549106.0,265028.0,2284078.0,3889.0,4859.0,2284078.0,3054794.0,43110.0,0.0,727606.0,17308133.0,3054794.0
District of Columbia,1997,35596.0,20209086.0,567736.0,17295580.0,30464.0,5071774.0,1930258.0,0.0,0.0,2366886.0,176814.0,877202.0,164003.0,48281.0,2337990.0,48425.0,44975.0,414051.0,1402.0,729.0,5714.0,600.0,3658.0,140.0,795709.0,3244088.0,48281.0,2337990.0,340817.0,2076808.0,7002032.0,79330.0,650449.0,29254140.0,55235.0,4380614.0,38594162.0,13258283.0,7716.0,23353.0,4527.0,35596.0,2570189.0,698730.0,61327,101763,769292,808,1854,0,13693,9768,142,1291,17635,75580,32136,11201,549204,10899,0,163090,771146,545340,68129,89769,85612,4008,60661,3430,36983,414051,1331249,1359,17340,8959,12421,577476,68099,22922,2508547,38720,2570189,340817.0,4380614.0,0,0,0,0,0,0,0,0,0,0,0,(NA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1735668.0,13258283.0,0.0,3665926.0,20209086.0,-21669953.0,4380614.0,2570189.0,2337990.0,698730.0,2343354.0,232798.0,2110556.0,205.0,0.0,2110556.0,2913506.0,802950.0,0.0,0.0,17295580.0,2913506.0
Florida,1997,25551.0,388030818.0,15186304.0,342266975.0,22538.0,27014503.0,12685022.0,41058.0,1258934.0,40828464.0,4446456.0,32240245.0,3410625.0,1197275.0,20885082.0,17444.0,27046.0,5324031.0,1862.0,351.0,4811.0,517.0,3555.0,46.0,28280923.0,73068709.0,1238333.0,22144016.0,7857081.0,53984768.0,39699525.0,696616.0,6766803.0,183014815.0,30588.0,109206713.0,244858356.0,218818690.0,7191.0,14409.0,3951.0,25551.0,60005415.0,8005136.0,392161,637343,6318193,82582,0,2447,422870,6321,1781,13476,296125,1830014,801577,24025,16882435,248484,351,1029504,6318193,25477990,672591,990017,1474496,171661,1460334,80581,859437,5324031,23449112,26795,466102,240815,333868,26279567,1712927,616145,58348485,1040785,60005415,7857081.0,109206713.0,421778,16272,16428,0,61,291113,0,7775,2080,43559,407715,(NA),1697684,1409135,18846,729319,530132,353838,32293,26188,1480124,1748220,5237961,1490872,302076,745595,19044,1352604,132741,891258,4695327,145770,131741,136770,770850,(L),-35112,269321,-3421,-35185,3494,6880618,6728833,2166554,1258934,2150179,2185291,151785,4695327,-35112,14450352.0,218818690.0,2108790.0,27135374.0,385922028.0,1095708.0,109206713.0,60005415.0,22144016.0,8005136.0,50036722.0,5199957.0,44836765.0,55812.0,17686.0,44836765.0,45763843.0,72632.0,216568.0,637878.0,342266975.0,45763843.0
