"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"00000","United States"," ","SA35","1000","...","Personal current transfer receipts (thousands of dollars)",1189000,1221000,2348000,1745000,1691000,1752000,1976000,3081000,1975000,2399000,2518000,2681000,2656000,2664000,2489000,3107000,5642000,10550000,10820000,10252000,11212000,14011114,11443374,11917188,12553683,14358590,15734305,16879149,19584705,23529435,24306053,25740000,29450000,30392000,32209000,33504000,36178000,39617000,48014000,56094000,62322000,74733000,88248000,98130000,112848000,133639000,170424000,184845000,195111000,210561000,236376000,280874000,319762000,356141000,384671000,401232000,425761000,451711000,468094000,497410000,544186000,597231000,668048000,747939000,792906000,828880000,883374000,929128000,954797000,983878000,1026144000,1087280000,1192565000,1284653000,1347296000,1421293000,1516700000,1614562000,1728059000,1956544000,2147483000,2324655000,2360430000,2366309000,2427947000,2540350000,2678606000
"00000","United States"," ","SA35","2000","...","  Current transfer receipts of individuals from governments","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",9526060,10505135,13082335,10259785,10795160,11505856,13616483,14641094,15517790,18060737,22112686,22771353,24208878,27837094,28547203,30012252,30899112,33384263,36790220,44774764,52224993,57683000,70200000,83771000,93129000,107057000,126659000,160829000,174478000,186336000,198899000,222794000,266290000,302752000,338895000,365934000,375911000,398071000,422614000,441602000,470347000,514069000,568060000,642577000,723129000,769383000,805802000,854510000,895821000,925025000,947034000,980524000,1032404000,1131508000,1234824000,1304310000,1387229000,1473620000,1575442000,1679915000,1901166000,2088534000,2260644000,2288782000,2301246000,2364261000,2472018000,2604945000
"00000","United States"," ","SA35","2100","...","    Retirement and disability insurance benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",950030,1115060,1458457,2413724,2871624,3725171,4466355,5806597,6634088,8397212,9657874,11482174,12573042,14152063,15939044,16982080,17821013,19945009,21771007,23278006,26985003,28931000,34321000,40152000,44966000,55771000,63041000,72015000,81261000,90513000,99237000,111895000,128802000,149780000,165783000,177146000,186272000,197243000,208369000,216862000,231057000,245408000,263888000,285655000,304661000,320858000,334780000,350022000,364760000,378930000,391214000,402394000,424461000,449803000,474483000,493438000,517045000,545484000,577226000,608759000,639044000,698433000,724934000,747736000,796738000,833246000,870929000,909191000
"00000","United States"," ","SA35","2110","...","      Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",552000,664000,956770,1876958,2182815,2986632,3642307,4927428,5665936,7338238,8497905,10198167,11130000,12614000,14298000,15245000,16018000,18067000,19786000,21122000,24598000,26382000,31380000,36617000,40948000,50665000,57607000,65895000,74501000,83239000,91380000,102581000,118586000,138644000,153708000,164426000,173027000,183275000,193631000,200995000,213916000,227380000,244135000,264204000,281776000,297935000,312161000,327675000,342005000,356592000,369182000,379864000,401393000,425084000,446909000,463531000,485512000,512728000,544096000,575653000,605542000,664470000,690174000,713261000,762139000,799044000,834640000,871793000
"00000","United States"," ","SA35","2120","...","      Excluding Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",398030,451060,501687,536766,688809,738539,824048,879169,968152,1058974,1159969,1284007,1443042,1538063,1641044,1737080,1803013,1878009,1985007,2156006,2387003,2549000,2941000,3535000,4018000,5106000,5434000,6120000,6760000,7274000,7857000,9314000,10216000,11136000,12075000,12720000,13245000,13968000,14738000,15867000,17141000,18028000,19753000,21451000,22885000,22923000,22619000,22347000,22755000,22338000,22032000,22530000,23068000,24719000,27574000,29907000,31533000,32756000,33130000,33106000,33502000,33963000,34760000,34475000,34599000,34202000,36289000,37398000
"00000","United States"," ","SA35","2121","...","        Railroad retirement and disability benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",251000,288000,307163,318189,442250,469252,529319,566309,624316,688325,737301,833333,949000,994000,1040000,1070000,1097000,1140000,1202000,1308000,1471000,1541000,1745000,1995000,2154000,2566000,2797000,3265000,3550000,3783000,3985000,4313000,4812000,5314000,5771000,6011000,6065000,6211000,6351000,6478000,6708000,6958000,7221000,7513000,7744000,7825000,7961000,8025000,8087000,8198000,8229000,8206000,8267000,8412000,8700000,8854000,9009000,9194000,9519000,9813000,10068000,10630000,10779000,10961000,11410000,11676000,11955000,12228000
"00000","United States"," ","SA35","2122","...","        Workers' compensation","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",119000,128000,152214,180306,201360,217395,232403,247438,267477,284513,316576,335691,354000,382000,414000,436000,456000,476000,515000,562000,598000,650000,687000,762000,893000,1020000,1185000,1381000,1717000,1946000,2198000,2556000,2848000,3178000,3647000,3954000,4319000,4653000,5115000,5986000,6783000,7500000,8618000,9510000,10431000,10990000,10742000,10560000,10889000,10613000,10296000,10442000,10898000,12020000,13499000,14703000,15568000,15863000,15629000,15448000,15542000,15292000,15544000,15191000,14926000,14804000,14851000,14707000
"00000","United States"," ","SA35","2123","...","        Other government retirement and disability insurance benefits 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",28030,35060,42310,38271,45199,51892,62326,65422,76359,86136,106092,114983,140042,162063,187044,231080,250013,262009,268007,286006,318003,358000,509000,778000,971000,1520000,1452000,1474000,1493000,1545000,1674000,2445000,2556000,2644000,2657000,2755000,2861000,3104000,3272000,3403000,3650000,3570000,3914000,4428000,4710000,4108000,3916000,3762000,3779000,3527000,3507000,3882000,3903000,4287000,5375000,6350000,6956000,7699000,7982000,7845000,7892000,8041000,8437000,8323000,8263000,7722000,9483000,10463000
"00000","United States"," ","SA35","2200","...","    Medical benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",116500,140537,165646,197732,227803,249876,350080,468350,529000,689000,930000,1070000,1255000,1476000,2998000,7615000,10140000,11579000,13163000,15381000,17767000,20716000,25051000,30828000,35664000,40520000,46119000,53205000,62624000,74373000,84633000,95586000,105554000,114146000,124156000,135056000,145517000,165773000,188808000,222822000,257716000,284953000,311886000,338579000,360865000,377592000,383406000,400723000,427194000,480761000,521857000,556486000,611423000,655613000,720468000,776801000,826820000,891682000,938709000,970200000,1003082000,1042502000,1115767000,1195026000
"00000","United States"," ","SA35","2210","...","      Medicare benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1008000,4699000,5890000,6695000,7254000,8049000,8836000,10244000,12726000,15633000,18795000,22101000,25543000,29936000,36201000,43499000,50927000,57797000,64748000,69720000,75269000,81585000,86289000,98175000,107638000,117487000,132596000,146785000,164423000,181220000,194868000,206917000,205558000,208736000,219117000,242580000,259189000,276735000,304397000,332161000,399183000,429044000,462929000,494614000,513820000,536007000,556328000,575013000,601085000,628220000
