"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"00000","United States*","","SA51","51","...","Disposable personal income (thousands of dollars)",192529000,192515000,214164777,235683709,248765500,264472812,270707627,289902454,310197330,327843016,338333281,358554993,372162000,389449000,412839000,433435000,470853000,507124000,546765000,584120000,634334000,687346000,752652000,822788000,892439000,999316000,1091918000,1212852000,1319290000,1449604000,1622771000,1800550000,2008241000,2239459000,2413886000,2605942000,2891562000,3085159000,3275508000,3452458000,3755973000,4037481000,4297144000,4468300000,4790365000,4991984000,5238115000,5528191000,5825497000,6144250000,6557273000,6877094000,7399368000,7749676000,8097069000,8479891000,8998339000,9398310000,10025593000,10503618000,10986281000,10928315000,11221631000,11781805000,12394567000,12392741000,13016308000,13526970000,14067627445
"00000","United States*","","SA51","52","...","Population (persons) 1/",146091000,148666000,151871000,153970000,156369000,158946000,161881000,165058000,168078000,171178000,174153000,177136000,179972000,182976000,185739000,188434000,191085000,193460000,195499000,197375000,199312000,201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309348193,311663358,313998379,316204908,318563456,320896618,323127513
"00000","United States*","","SA51","53","...","Per capita disposable personal income (dollars) 2/",1318,1295,1410,1531,1591,1664,1672,1756,1846,1915,1943,2024,2068,2128,2223,2300,2464,2621,2797,2959,3183,3415,3693,3978,4264,4728,5118,5629,6064,6596,7307,8018,8838,9759,10420,11146,12261,12967,13640,14249,15362,16358,17215,17663,18675,19206,19907,20761,21624,22536,23771,24646,26224,27195,28151,29230,30731,31803,33600,34869,36128,35624,36275,37803,39473,39192,40859,42154,43536
"01000","Alabama","5","SA51","51","...","Disposable personal income (thousands of dollars)",2471947,2382967,2662225,3047380,3234463,3374775,3285389,3705568,3960676,4193495,4374707,4593637,4770021,4947444,5157920,5482035,5982185,6477727,6888869,7270826,7879695,8639195,9570218,10574952,11657974,13109516,14514047,16352159,18202997,20024998,22586106,24958505,27449784,30404489,32442291,34752236,38396908,41108458,43522027,45823965,49687885,53828627,57240396,60675532,65529630,68466349,72235176,76251837,79270413,83209782,88543240,91373205,95835660,99171424,103044970,108702895,117548086,123310841,130245408,136506740,141779525,143065352,148031950,151548127,156018286,156649752,162417216,167035750,173006388
"01000","Alabama","5","SA51","52","...","Population (persons) 1/",2969000,3000000,3058000,3059000,3068000,3053000,3014000,3050000,3071000,3109000,3163000,3204000,3274000,3316000,3323000,3358000,3395000,3443000,3464000,3458000,3446000,3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785492,4799918,4815960,4829479,4843214,4853875,4863300
"01000","Alabama","5","SA51","53","...","Per capita disposable personal income (dollars) 2/",833,794,871,996,1054,1105,1090,1215,1290,1349,1383,1434,1457,1492,1552,1633,1762,1881,1989,2103,2287,2511,2774,3024,3293,3661,4001,4443,4871,5294,5891,6450,7038,7759,8265,8834,9716,10348,10903,11412,12348,13356,14133,14802,15775,16247,16956,17746,18303,19050,20102,20625,21526,22198,23001,24137,25945,26984,28137,29213,30049,30069,30933,31573,32396,32436,33535,34413,35574
"02000","Alaska*","8","SA51","51","...","Disposable personal income (thousands of dollars)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",724993,720203,743974,802687,916751,975162,1039442,1130933,1215553,1358726,1577399,1747788,1882337,2201752,2603716,3513277,4117123,4290147,4498651,4691812,5426505,6034369,7490999,8241735,8868067,9633722,9851046,9359657,9825241,10624962,11176409,11773288,12637421,13326493,13724849,14110970,14453052,15203610,15867977,16441973,17715909,18662069,19973961,21156028,22370430,23779050,25165304,26955293,29690787,30264208,32033401,34062096,35432508,34528515,36655345,37644245,37415182
"02000","Alaska*","8","SA51","52","...","Population (persons) 1/","(NA)","(NA)",135000,158000,189000,205000,215000,222000,224000,231000,224000,224000,229000,238000,246000,256000,263000,271000,271000,278000,285000,296000,304328,316494,326494,333232,344696,370973,393115,397363,402191,403544,405315,418493,449606,488418,513704,532496,544269,539310,541984,547160,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,714031,722713,731089,736879,736705,737709,741894
"02000","Alaska*","8","SA51","53","...","Per capita disposable personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",3166,3026,3024,3135,3486,3598,3836,4068,4265,4590,5183,5522,5765,6607,7554,9470,10473,10797,11185,11627,13388,14419,16661,16874,17263,18092,18100,17355,18128,19418,20200,20648,21465,22232,22749,23347,23749,24803,25596,26316,28212,29449,31096,32627,33931,35654,37265,39623,43189,43303,44863,47131,48465,46858,49756,51029,50432
"04000","Arizona","6","SA51","51","...","Disposable personal income (thousands of dollars)",856875,892996,978633,1198121,1338733,1440476,1499279,1641513,1840024,2011001,2140105,2343756,2540833,2782684,2982275,3138231,3423146,3633578,3940294,4266174,4857911,5573140,6372458,7367526,8360088,9754095,10929660,12016840,13285391,14822939,17340297,20274362,23434802,26536230,28216329,31279632,35517129,39209530,43070564,46504335,50389817,53921389,56445825,59411097,63627230,68395330,74868700,81407721,87317887,94533284,102983500,108912979,118132829,123867047,131639436,140597621,153291241,168541698,186413942,196540635,202030064,197727710,197639292,204772746,214630362,218309438,230638863,240127344,251229427
