"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"00000","United States"," ","SA5N 1/","10","...","Personal income (thousands of dollars)",7588703000,7988183000,8634847000,8987890000,9150761000,9484225000,10047876000,10610320000,11381350000,11995419000,12492705000,12079444000,12459613000,13233436000,13904485000,14068960000,14801624000,15463981000,16017781445
"00000","United States"," ","SA5N 1/","20","...","Population (persons) 2/",275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309348193,311663358,313998379,316204908,318563456,320896618,323127513
"00000","United States"," ","SA5N 1/","30","...","Per capita personal income (dollars) 3/",27510,28627,30602,31540,31815,32692,34316,35904,38144,39821,41082,39376,40277,42461,44282,44493,46464,48190,49571
"00000","United States"," ","SA5N 1/","35","...","  Earnings by place of work",5717821000,6109679000,6611246000,6878555000,7008956000,7257073000,7695924000,8061341000,8542791000,8872134000,9094454000,8743722000,8975826000,9391240000,9840233000,10121757000,10582613000,11074659000,11524558855
"00000","United States"," ","SA5N 1/","36","...","  Less: Contributions for government social insurance 4/",623685000,660310000,704849000,732117000,750341000,777980000,827766000,871944000,921187000,959996000,986781000,962864000,982431000,916209000,950002000,1102782000,1153024000,1201653000,1248502920
"00000","United States"," ","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",316929000,337457000,360123000,374669000,384873000,396099000,419781000,444590000,474527000,499026000,516191000,505515000,513895000,423234000,436571000,576932000,606631000,634828000,662665255
"00000","United States"," ","SA5N 1/","38","...","    Employer contributions for government social insurance",306756000,322853000,344726000,357448000,365468000,381881000,407985000,427354000,446660000,460970000,470590000,457349000,468536000,492975000,513431000,525850000,546393000,566825000,585837665
"00000","United States"," ","SA5N 1/","42","...","  Plus: Adjustment for residence 5/",755000,2515000,2587000,2692000,2656000,2678000,2659000,2613000,2617000,2597000,2649000,3019000,3067000,3200000,3410000,3651000,3620000,3902000,3836697
"00000","United States"," ","SA5N 1/","45","...","  Equals: Net earnings by place of residence",5094891000,5451884000,5908984000,6149130000,6261271000,6481771000,6870817000,7192010000,7624221000,7914735000,8110322000,7783877000,7996462000,8478231000,8893641000,9022626000,9433209000,9876908000,10279892632
"00000","United States"," ","SA5N 1/","46","...","  Plus: Dividends, interest, and rent 6/",1509934000,1510155000,1638583000,1646195000,1604837000,1655158000,1755766000,1901610000,2142567000,2352625000,2425839000,2148084000,2138496000,2394775000,2644535000,2618387000,2828065000,2908467000,2962539268
"00000","United States"," ","SA5N 1/","47","...","  Plus: Personal current transfer receipts",983878000,1026144000,1087280000,1192565000,1284653000,1347296000,1421293000,1516700000,1614562000,1728059000,1956544000,2147483000,2324655000,2360430000,2366309000,2427947000,2540350000,2678606000,2775349545
"00000","United States"," ","SA5N 1/","50","...","  Wages and salaries",4177471000,4456769000,4823765000,4950126000,4992932000,5133958000,5417439000,5688826000,6051676000,6391231000,6528825000,6244497000,6368897000,6623278000,6921522000,7108581000,7468770000,7848555000,8184177419
"00000","United States"," ","SA5N 1/","60","...","  Supplements to wages and salaries",893772000,949824000,1028192000,1089376000,1142327000,1222319000,1312851000,1389883000,1439940000,1498040000,1541137000,1529896000,1577487000,1628792000,1672612000,1718966000,1770312000,1831638000,1905413324
"00000","United States"," ","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",587016000,626971000,683466000,731928000,776859000,840438000,904866000,962529000,993280000,1037070000,1070547000,1072547000,1108951000,1135817000,1159181000,1193116000,1223919000,1264813000,1319575659
"00000","United States"," ","SA5N 1/","62","...","    Employer contributions for government social insurance",306756000,322853000,344726000,357448000,365468000,381881000,407985000,427354000,446660000,460970000,470590000,457349000,468536000,492975000,513431000,525850000,546393000,566825000,585837665
"00000","United States"," ","SA5N 1/","70","...","  Proprietors' income 8/",646578000,703086000,759289000,839053000,873697000,900796000,965634000,982632000,1051175000,982863000,1024492000,969329000,1029442000,1139170000,1246099000,1294210000,1343531000,1394466000,1434968112
"00000","United States"," ","SA5N 1/","71","...","    Farm proprietors' income",30834000,30755000,32996000,34334000,22590000,38777000,54019000,50044000,33464000,41796000,45011000,31793000,42748000,71046000,66290000,97235000,74299000,57617000,45392000
"00000","United States"," ","SA5N 1/","72","...","    Nonfarm proprietors' income",615744000,672331000,726293000,804719000,851107000,862019000,911615000,932588000,1017711000,941067000,979481000,937536000,986694000,1068124000,1179809000,1196975000,1269232000,1336849000,1389576112
"00000","United States"," ","SA5N 1/","81","111-112","  Farm earnings",49045000,49661000,52714000,55165000,43340000,59316000,76299000,72166000,55439000,66891000,70735000,57424000,66926000,93889000,94357000,125195000,102669000,87200000,75667350
"00000","United States"," ","SA5N 1/","82","...","  Nonfarm earnings",5668776000,6060018000,6558532000,6823390000,6965616000,7197757000,7619625000,7989175000,8487352000,8805243000,9023719000,8686298000,8908900000,9297351000,9745876000,9996562000,10479944000,10987459000,11448891505
"00000","United States"," ","SA5N 1/","90","113-814","    Private nonfarm earnings",4744944000,5083412000,5518620000,5716940000,5787978000,5947644000,6295051000,6603935000,7040612000,7283811000,7426375000,7041824000,7208931000,7585538000,8027551000,8259543000,8700961000,9153152000,9559150737
"00000","United States"," ","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",18130000,18269000,20354000,20357000,20124000,20473000,22162000,22170000,24562000,24115000,23584000,23363000,26764000,26063000,29509000,29837000,31534000,33597000,36664303
"00000","United States"," ","SA5N 1/","101","113","        Forestry and logging",5664000,5454000,5996000,5908000,5725000,5698000,6064000,6009000,6340000,5928000,5536000,5009000,6123000,5687000,6480000,6393000,6678000,7080000,"(NA)"
"00000","United States"," ","SA5N 1/","102","114","        Fishing, hunting and trapping",1549000,1728000,2041000,1939000,1858000,1873000,1929000,1971000,2145000,2059000,1942000,1810000,2369000,2215000,2554000,2427000,2441000,2572000,"(NA)"
"00000","United States"," ","SA5N 1/","103","115","        Support activities for agriculture and forestry",10917000,11087000,12317000,12510000,12541000,12902000,14169000,14190000,16077000,16128000,16106000,16544000,18272000,18161000,20475000,21017000,22415000,23945000,"(NA)"
"00000","United States"," ","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",45359000,43517000,49518000,58383000,56371000,63625000,72458000,90645000,107226000,98767000,150397000,90094000,108546000,145279000,163138000,174173000,191886000,166300000,143675071
"00000","United States"," ","SA5N 1/","201","211","        Oil and gas extraction",20988000,20110000,25740000,32755000,32417000,39227000,45056000,58748000,68301000,56779000,101513000,49621000,64554000,89689000,101920000,112215000,124454000,107353000,"(NA)"
"00000","United States"," ","SA5N 1/","202","212","        Mining (except oil and gas)",15159000,14921000,14327000,14334000,13663000,13423000,14720000,15915000,17506000,17596000,18841000,17532000,18657000,22314000,22726000,21257000,21053000,20712000,"(NA)"
"00000","United States"," ","SA5N 1/","203","213","        Support activities for mining",9212000,8486000,9451000,11294000,10291000,10975000,12682000,15982000,21419000,24392000,30043000,22941000,25335000,33276000,38492000,40701000,46379000,38235000,"(NA)"
"00000","United States"," ","SA5N 1/","300","22","      Utilities",42909000,44693000,47778000,58180000,57295000,56741000,60607000,60063000,67919000,68344000,76177000,71967000,73340000,77195000,75090000,77901000,82044000,86279000,90064023
"00000","United States"," ","SA5N 1/","400","23","      Construction",346999000,391477000,431505000,451978000,462237000,479909000,514086000,549383000,599141000,593806000,562632000,492692000,474346000,484785000,521683000,545291000,590022000,640255000,686890458
"00000","United States"," ","SA5N 1/","401","236","        Construction of buildings",91939000,104147000,114569000,121260000,128265000,134453000,145032000,156331000,170545000,164875000,152545000,131968000,126804000,128534000,138491000,144307000,156748000,171629000,"(NA)"
"00000","United States"," ","SA5N 1/","402","237","        Heavy and civil engineering construction",44922000,49363000,53350000,55296000,56346000,56699000,59436000,63894000,69747000,72699000,73141000,66197000,64521000,66745000,71818000,74565000,80272000,84663000,"(NA)"
