"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"02000","Alaska","8","SA25N 1/","10","...","Total employment (number of jobs)",382137,381412,389738,394547,402300,405886,414277,421905,431880,441103,444449,443863,444209,450862,459439,461288,461667,461720,456457
"02000","Alaska","8","SA25N 1/","20","...","  Wage and salary employment",298940,299907,307474,313491,319676,323957,330154,335952,343478,347801,352040,351916,352718,358857,365191,365944,366309,367795,361183
"02000","Alaska","8","SA25N 1/","40","...","  Proprietors employment",83197,81505,82264,81056,82624,81929,84123,85953,88402,93302,92409,91947,91491,92005,94248,95344,95358,93925,95274
"02000","Alaska","8","SA25N 1/","50","...","    Farm proprietors employment",547,546,549,559,530,516,518,540,535,579,588,596,609,631,640,651,651,653,653
"02000","Alaska","8","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",82650,80959,81715,80497,82094,81413,83605,85413,87867,92723,91821,91351,90882,91374,93608,94693,94707,93272,94621
"02000","Alaska","8","SA25N 1/","70","111-112","  Farm employment",848,897,786,774,743,732,729,746,743,774,934,1092,1131,1233,1061,1078,1161,1118,1088
"02000","Alaska","8","SA25N 1/","80","...","  Nonfarm employment",381289,380515,388952,393773,401557,405154,413548,421159,431137,440329,443515,442771,443078,449629,458378,460210,460506,460602,455369
"02000","Alaska","8","SA25N 1/","90","113-814","    Private nonfarm employment",285581,285509,292271,296445,301042,304436,312868,319808,326803,335245,337791,334863,334890,340773,349444,353158,355448,355814,351859
"02000","Alaska","8","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",16289,14920,14082,"(D)",13366,10812,12182,12480,12323,12012,12214,11590,12006,11462,11350,12044,12164,10196,9575
"02000","Alaska","8","SA25N 1/","101","113","        Forestry and logging",1397,1455,1307,986,850,793,"(D)",783,618,514,460,444,"(D)","(D)",505,501,525,539,555
"02000","Alaska","8","SA25N 1/","102","114","        Fishing, hunting and trapping",14393,13018,12377,"(D)","(D)",9602,11051,11252,"(D)","(D)","(D)",10609,11017,10460,10385,11101,11143,9221,8604
"02000","Alaska","8","SA25N 1/","103","115","        Support activities for agriculture and forestry","(T)","(T)","(T)","(D)","(D)",417,"(D)",445,"(D)","(D)","(D)",537,"(D)","(D)",460,442,496,436,416
"02000","Alaska","8","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",12684,10887,11619,"(D)",11685,11210,11004,11585,13506,15841,17378,16963,17782,18305,21658,21135,21563,21126,18270
"02000","Alaska","8","SA25N 1/","201","211","        Oil and gas extraction",3386,3185,3030,3284,3081,2898,2829,2934,3207,3587,4057,4129,4192,4164,4628,4918,5070,4967,4654
"02000","Alaska","8","SA25N 1/","202","212","        Mining (except oil and gas)",2885,2713,2712,"(D)",2468,2639,2301,2284,2646,3578,3647,3470,4194,4554,6942,6001,5719,5796,5778
