"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"09000","Connecticut","1","SA25N 1/","10","...","Total employment (number of jobs)",2036712,2070452,2118195,2125244,2120386,2115328,2146549,2174324,2204868,2249880,2261293,2203325,2173623,2208580,2224479,2247404,2267590,2289486,2302300
"09000","Connecticut","1","SA25N 1/","20","...","  Wage and salary employment",1709380,1732908,1756884,1753318,1740251,1718928,1725032,1734386,1751451,1767373,1769889,1699245,1673114,1688186,1706144,1718152,1731857,1741397,1742685
"09000","Connecticut","1","SA25N 1/","40","...","  Proprietors employment",327332,337544,361311,371926,380135,396400,421517,439938,453417,482507,491404,504080,500509,520394,518335,529252,535733,548089,559615
"09000","Connecticut","1","SA25N 1/","50","...","    Farm proprietors employment",4024,3888,3810,4074,4020,3847,3758,3728,3646,4189,4397,4567,4777,5069,5172,5299,5303,5391,5388
"09000","Connecticut","1","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",323308,333656,357501,367852,376115,392553,417759,436210,449771,478318,487007,499513,495732,515325,513163,523953,530430,542698,554227
"09000","Connecticut","1","SA25N 1/","70","111-112","  Farm employment",9650,9550,9801,10212,10215,10130,8898,8638,8079,8416,9003,9016,9172,9875,9947,10762,10781,10849,10482
"09000","Connecticut","1","SA25N 1/","80","...","  Nonfarm employment",2027062,2060902,2108394,2115032,2110171,2105198,2137651,2165686,2196789,2241464,2252290,2194309,2164451,2198705,2214532,2236642,2256809,2278637,2291818
"09000","Connecticut","1","SA25N 1/","90","113-814","    Private nonfarm employment",1781207,1809359,1849929,1850288,1840791,1839131,1872744,1898511,1929167,1973016,1979709,1925040,1898965,1937701,1952837,1974961,1995562,2018152,2036292
"09000","Connecticut","1","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",2925,2887,2608,2425,2638,2354,2507,2465,2524,2618,2643,2577,2413,2389,2420,2444,2554,2322,2269
"09000","Connecticut","1","SA25N 1/","101","113","        Forestry and logging","(T)",532,452,433,431,384,419,461,464,461,493,433,363,396,506,"(D)",487,535,574
"09000","Connecticut","1","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)",602,517,582,480,538,538,563,540,532,532,540,508,488,"(D)",512,406,389
"09000","Connecticut","1","SA25N 1/","103","115","        Support activities for agriculture and forestry",1713,1698,1554,1475,1625,1490,1550,1466,1497,1617,1618,1612,1510,1485,1426,1410,1555,1381,1306
"09000","Connecticut","1","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",1908,1902,1866,2019,1794,2083,1900,1899,2182,2760,2921,2825,3108,2654,3677,3595,3306,3690,3696
"09000","Connecticut","1","SA25N 1/","201","211","        Oil and gas extraction",873,884,820,944,811,1039,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",1613,2182,2331,2079,2191,2195
"09000","Connecticut","1","SA25N 1/","202","212","        Mining (except oil and gas)",960,944,969,"(D)",920,973,968,907,1029,1506,1202,1103,1092,972,1366,1166,1123,1387,1389
"09000","Connecticut","1","SA25N 1/","203","213","        Support activities for mining","(T)","(T)",77,"(D)",63,71,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",69,129,98,104,112,112
"09000","Connecticut","1","SA25N 1/","300","22","      Utilities",9964,9877,9808,9448,9133,8940,8782,8763,6873,6919,7109,6954,6774,6543,6333,6570,6459,6282,6433
"09000","Connecticut","1","SA25N 1/","400","23","      Construction",99957,102749,107245,110907,107736,110386,118760,123568,126833,128830,123433,110756,102046,103554,104667,108065,110490,111821,112383
"09000","Connecticut","1","SA25N 1/","401","236","        Construction of buildings",18911,20561,21693,22258,23174,22212,23633,24904,25431,25085,24048,21127,19444,19275,20046,20395,20974,23068,23341
"09000","Connecticut","1","SA25N 1/","402","237","        Heavy and civil engineering construction",7413,7679,8183,8041,8281,8132,8057,8014,8130,8247,7631,6785,6855,6997,7406,7453,7523,7462,7642
"09000","Connecticut","1","SA25N 1/","403","238","        Specialty trade contractors",73633,74509,77369,80608,76281,80042,87070,90650,93272,95498,91754,82844,75747,77282,77215,80217,81993,81291,81400
"09000","Connecticut","1","SA25N 1/","500","31-33","      Manufacturing",253937,245566,240832,233276,218460,207117,204914,202480,201132,199464,194864,179990,173352,174451,173605,172911,168466,168102,165846
"09000","Connecticut","1","SA25N 1/","510","321,327-339","        Durable goods manufacturing",190558,182714,178299,173248,161436,152366,151458,150533,150358,149863,148544,137815,132492,133930,134020,133193,129788,129546,129014
"09000","Connecticut","1","SA25N 1/","511","321","          Wood product manufacturing",2273,2378,2374,2382,2365,2306,2312,2352,2210,2129,1973,1634,"(D)","(D)","(D)","(D)",1665,"(D)",1532
"09000","Connecticut","1","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",3176,3113,3161,2935,2906,2752,2834,2995,3022,3176,3032,2640,2424,2564,2548,2555,2540,2595,2578
"09000","Connecticut","1","SA25N 1/","513","331","          Primary metal manufacturing",7173,6627,6486,6257,5609,4988,4727,4611,4540,4202,4237,3534,3538,3721,4003,3784,3832,3828,"(D)"
"09000","Connecticut","1","SA25N 1/","514","332","          Fabricated metal product manufacturing",43353,41618,41143,39027,35874,34006,34527,34577,34932,34364,34001,30456,28920,29850,30183,31014,30775,30443,30517
