"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"10000","Delaware","2","SA25N 1/","10","...","Total employment (number of jobs)",477015,489870,502824,502740,500850,504490,518739,529403,537977,546263,546559,527793,523113,531272,534761,545109,556981,569246,576620
"10000","Delaware","2","SA25N 1/","20","...","  Wage and salary employment",417879,429712,437114,435784,431581,431694,441003,446581,451218,452462,452314,430765,426675,430161,433583,441611,451082,459450,464301
"10000","Delaware","2","SA25N 1/","40","...","  Proprietors employment",59136,60158,65710,66956,69269,72796,77736,82822,86759,93801,94245,97028,96438,101111,101178,103498,105899,109796,112319
"10000","Delaware","2","SA25N 1/","50","...","    Farm proprietors employment",2615,2500,2505,2396,2184,2011,1944,1915,1854,2009,1977,1935,1988,1957,1924,1965,2007,2023,2022
"10000","Delaware","2","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",56521,57658,63205,64560,67085,70785,75792,80907,84905,91792,92268,95093,94450,99154,99254,101533,103892,107773,110297
"10000","Delaware","2","SA25N 1/","70","111-112","  Farm employment",4004,4046,4252,4035,3806,3379,3255,3163,3137,3208,3045,2971,3133,3101,3737,3639,3803,3763,4121
"10000","Delaware","2","SA25N 1/","80","...","  Nonfarm employment",473011,485824,498572,498705,497044,501111,515484,526240,534840,543055,543514,524822,519980,528171,531024,541470,553178,565483,572499
"10000","Delaware","2","SA25N 1/","90","113-814","    Private nonfarm employment",408957,421288,432346,431821,429548,433437,448034,457952,465244,472547,471815,453170,447043,455380,457236,467331,479061,492258,498815
"10000","Delaware","2","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",1392,1345,1217,"(D)",927,786,828,835,822,860,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"10000","Delaware","2","SA25N 1/","101","113","        Forestry and logging","(T)","(T)","(T)",56,"(D)",28,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"10000","Delaware","2","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)",187,"(D)","(D)","(D)","(D)",222,"(D)","(D)","(D)",181,"(D)","(D)","(D)","(D)"
"10000","Delaware","2","SA25N 1/","103","115","        Support activities for agriculture and forestry",1093,1060,941,652,635,571,576,573,564,606,640,726,752,868,876,912,964,949,921
"10000","Delaware","2","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction","(T)","(T)","(T)","(D)",222,240,216,"(D)",185,225,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"10000","Delaware","2","SA25N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)",129,219,205,"(D)",189,249,269,413,539,540
"10000","Delaware","2","SA25N 1/","202","212","        Mining (except oil and gas)","(T)","(T)","(T)","(D)","(D)","(D)","(D)",38,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"10000","Delaware","2","SA25N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",18,26,13,24,"(D)","(D)",15,15
"10000","Delaware","2","SA25N 1/","300","22","      Utilities",2617,2607,2381,2276,2248,2244,2249,2241,2247,2210,2299,2204,2174,2015,2076,2153,2210,2253,2271
"10000","Delaware","2","SA25N 1/","400","23","      Construction",30460,32573,32832,32291,32306,33296,36327,"(D)",40550,38224,34994,29769,28375,28024,27338,28649,29507,29998,30078
"10000","Delaware","2","SA25N 1/","401","236","        Construction of buildings",7428,7834,7998,7970,7860,7937,8921,9628,10391,9403,8604,7304,6727,6451,6381,6589,6753,7067,7214
