"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"17000","Illinois","3","SA25N 1/","10","...","Total employment (number of jobs)",7138425,7218622,7358181,7309668,7220208,7196202,7253206,7344124,7459072,7591935,7571292,7329938,7256480,7383923,7438314,7506378,7617864,7752150,7824152
"17000","Illinois","3","SA25N 1/","20","...","  Wage and salary employment",6082793,6152804,6243126,6189405,6084529,6015734,6018274,6055202,6135532,6183040,6155329,5871718,5795826,5858922,5926484,5968301,6048485,6143223,6178249
"17000","Illinois","3","SA25N 1/","40","...","  Proprietors employment",1055632,1065818,1115055,1120263,1135679,1180468,1234932,1288922,1323540,1408895,1415963,1458220,1460654,1525001,1511830,1538077,1569379,1608927,1645903
"17000","Illinois","3","SA25N 1/","50","...","    Farm proprietors employment",81469,80809,80224,76657,66349,63342,61664,61040,59651,62701,62656,62244,62436,62365,61551,62130,61670,60902,59873
"17000","Illinois","3","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",974163,985009,1034831,1043606,1069330,1117126,1173268,1227882,1263889,1346194,1353307,1395976,1398218,1462636,1450279,1475947,1507709,1548025,1586030
"17000","Illinois","3","SA25N 1/","70","111-112","  Farm employment",98814,99993,100588,96985,82486,81235,76924,78311,77657,80527,79047,77654,80142,79335,77352,74799,73379,75644,74088
"17000","Illinois","3","SA25N 1/","80","...","  Nonfarm employment",7039611,7118629,7257593,7212683,7137722,7114967,7176282,7265813,7381415,7511408,7492245,7252284,7176338,7304588,7360962,7431579,7544485,7676506,7750064
"17000","Illinois","3","SA25N 1/","90","113-814","    Private nonfarm employment",6169024,6236533,6362843,6312335,6225810,6212010,6279801,6372360,6486267,6613596,6583676,6337560,6268991,6413460,6479313,6554241,6669120,6799591,6880611
"17000","Illinois","3","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",12931,11813,11047,11007,11979,10616,10954,10948,10562,11499,11930,12110,11608,11857,12136,12336,14269,12465,12222
"17000","Illinois","3","SA25N 1/","101","113","        Forestry and logging","(T)","(T)","(T)",844,824,741,799,912,950,943,972,812,702,779,921,912,947,1034,1104
"17000","Illinois","3","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",909,1091,911,1134,1108,1135,1065,1079,1054,1069,1027,1036,1004,1009,880,823
"17000","Illinois","3","SA25N 1/","103","115","        Support activities for agriculture and forestry",10756,9659,9084,9254,10064,8964,9021,8928,8477,9491,9879,10244,9837,10051,10179,10420,12313,10551,10295
"17000","Illinois","3","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",18867,18389,17036,18352,17040,18197,16860,17679,18887,19512,23199,22415,25590,22712,28733,29665,28756,28782,27504
"17000","Illinois","3","SA25N 1/","201","211","        Oil and gas extraction",8406,8150,7503,8568,7569,8948,7759,8133,8902,9173,13239,13043,16307,13096,17521,19585,18381,18859,18679
