"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"24000","Maryland","2","SA25N 1/","10","...","Total employment (number of jobs)",2934675,3007035,3092788,3119825,3157590,3193365,3251538,3315028,3383502,3447347,3439470,3371694,3347915,3398359,3440390,3494511,3539352,3605124,3662827
"24000","Maryland","2","SA25N 1/","20","...","  Wage and salary employment",2465749,2527328,2581832,2595837,2617631,2622500,2646872,2677583,2713923,2732666,2723040,2645643,2625019,2650584,2685280,2702959,2729028,2769217,2805670
"24000","Maryland","2","SA25N 1/","40","...","  Proprietors employment",468926,479707,510956,523988,539959,570865,604666,637445,669579,714681,716430,726051,722896,747775,755110,791552,810324,835907,857157
"24000","Maryland","2","SA25N 1/","50","...","    Farm proprietors employment",12532,12347,12368,12200,11618,11069,10782,10716,10379,10978,10973,10800,10806,10783,10545,10853,10771,10770,10852
"24000","Maryland","2","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",456394,467360,498588,511788,528341,559796,593884,626729,659200,703703,705457,715251,712090,736992,744565,780699,799553,825137,846305
"24000","Maryland","2","SA25N 1/","70","111-112","  Farm employment",17450,18005,18976,18611,18181,16632,16137,15838,15675,15953,15402,15098,15554,15527,17020,16833,17187,16984,18351
"24000","Maryland","2","SA25N 1/","80","...","  Nonfarm employment",2917225,2989030,3073812,3101214,3139409,3176733,3235401,3299190,3367827,3431394,3424068,3356596,3332361,3382832,3423370,3477678,3522165,3588140,3644476
"24000","Maryland","2","SA25N 1/","90","113-814","    Private nonfarm employment",2408434,2478315,2557479,2582074,2605046,2642225,2707938,2769154,2830379,2888959,2872541,2798956,2768427,2815210,2853985,2909232,2955138,3020423,3076033
"24000","Maryland","2","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",7240,7018,6738,6412,7343,6375,6721,6827,6732,6513,6562,6471,6372,6052,6170,6310,6647,6236,6103
"24000","Maryland","2","SA25N 1/","101","113","        Forestry and logging",1038,1013,859,809,803,752,791,953,906,725,729,614,527,565,675,683,639,685,720
"24000","Maryland","2","SA25N 1/","102","114","        Fishing, hunting and trapping",3005,2850,2781,2431,2907,2220,2479,2527,2522,2349,2294,2259,2249,2114,2140,2224,2309,2064,1951
"24000","Maryland","2","SA25N 1/","103","115","        Support activities for agriculture and forestry",3197,3155,3098,3172,3633,3403,3451,3347,3304,3439,3539,3598,3596,3373,3355,3403,3699,3487,3432
"24000","Maryland","2","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",2742,2734,2697,3000,2624,2941,2823,3094,3354,3525,4044,3857,4347,3830,4957,5000,4520,4873,4746
