"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"26000","Michigan","3","SA25N 1/","10","...","Total employment (number of jobs)",5382668,5485378,5622170,5526139,5467432,5443784,5472582,5497877,5463845,5465924,5348702,5062187,5042333,5170794,5237081,5326032,5415970,5505114,5611718
"26000","Michigan","3","SA25N 1/","20","...","  Wage and salary employment",4607674,4698703,4781618,4668021,4586194,4517542,4501378,4486528,4424600,4371804,4256574,3960001,3940724,4031623,4104082,4181596,4257392,4329830,4407823
"26000","Michigan","3","SA25N 1/","40","...","  Proprietors employment",774994,786675,840552,858118,881238,926242,971204,1011349,1039245,1094120,1092128,1102186,1101609,1139171,1132999,1144436,1158578,1175284,1203895
"26000","Michigan","3","SA25N 1/","50","...","    Farm proprietors employment",53631,54358,53423,54199,52106,50264,48792,48264,47085,49029,47685,46948,46869,46484,45372,45956,45629,45763,45647
"26000","Michigan","3","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",721363,732317,787129,803919,829132,875978,922412,963085,992160,1045091,1044443,1055238,1054740,1092687,1087627,1098480,1112949,1129521,1158248
"26000","Michigan","3","SA25N 1/","70","111-112","  Farm employment",72875,75273,73645,73026,69610,69512,69567,67415,65058,70201,65227,64659,63240,70015,65658,67891,68610,70963,69534
"26000","Michigan","3","SA25N 1/","80","...","  Nonfarm employment",5309793,5410105,5548525,5453113,5397822,5374272,5403015,5430462,5398787,5395723,5283475,4997528,4979093,5100779,5171423,5258141,5347360,5434151,5542184
"26000","Michigan","3","SA25N 1/","90","113-814","    Private nonfarm employment",4644374,4735790,4850272,4754345,4696048,4676671,4710148,4741563,4719856,4721963,4620155,4338020,4327623,4469492,4551689,4647276,4741121,4829943,4932268
"26000","Michigan","3","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",14762,14363,13714,13724,13866,12730,13833,14490,13873,14478,15018,15064,15127,15474,16244,16440,17664,16841,16871
"26000","Michigan","3","SA25N 1/","101","113","        Forestry and logging",4573,4649,4272,4302,4164,3839,4107,4426,4226,4081,4186,3754,3497,3730,4423,4486,4414,4777,5030
"26000","Michigan","3","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",1089,1319,1089,1299,1403,1454,1390,1411,1352,1323,1257,1272,1325,1355,1204,1136
"26000","Michigan","3","SA25N 1/","103","115","        Support activities for agriculture and forestry",8805,8403,8156,8333,8383,7802,8427,8661,8193,9007,9421,9958,10307,10487,10549,10629,11895,10860,10705
"26000","Michigan","3","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",14266,14076,13476,14293,12758,13843,12950,13235,13866,14318,17470,16442,19305,17043,22190,22743,21281,21097,20580
"26000","Michigan","3","SA25N 1/","201","211","        Oil and gas extraction",6150,6193,5670,6430,5664,6956,6241,6382,7106,7280,10307,10309,12783,10130,13464,14867,13493,13786,13748
"26000","Michigan","3","SA25N 1/","202","212","        Mining (except oil and gas)",6229,6205,6124,6153,5440,5252,4958,5013,4756,4830,4783,4124,4533,4754,5885,5173,5026,5030,4908
"26000","Michigan","3","SA25N 1/","203","213","        Support activities for mining",1887,1678,1682,1710,1654,1635,1751,1840,2004,2208,2380,2009,1989,2159,2841,2703,2762,2281,1924
"26000","Michigan","3","SA25N 1/","300","22","      Utilities",21583,21787,21884,21607,20865,21039,20950,21307,21181,21136,21589,20856,20078,19745,19655,19829,20290,20581,20929
"26000","Michigan","3","SA25N 1/","400","23","      Construction",276501,286901,303603,305196,297252,293847,300976,305063,291869,279569,261363,230948,219212,223301,227431,234337,243529,248907,255153
"26000","Michigan","3","SA25N 1/","401","236","        Construction of buildings",65877,70037,74625,76589,76346,70699,73376,74588,71210,65077,60220,52675,49948,48785,50901,52855,55937,61134,64816
"26000","Michigan","3","SA25N 1/","402","237","        Heavy and civil engineering construction",19779,21084,24018,23398,23078,21639,22251,23597,23104,22611,21207,19151,18115,17419,18236,19188,19766,19050,19624
"26000","Michigan","3","SA25N 1/","403","238","        Specialty trade contractors",190845,195780,204960,205209,197828,201509,205349,206878,197555,191881,179936,159122,151149,157097,158294,162294,167826,168723,170713
"26000","Michigan","3","SA25N 1/","500","31-33","      Manufacturing",904388,917178,911858,845420,781814,739682,718765,698152,671503,646801,600208,491297,499378,535347,560874,572516,592689,611843,626937
"26000","Michigan","3","SA25N 1/","510","321,327-339","        Durable goods manufacturing",715035,726559,726735,669675,615715,579537,561371,543009,518281,496178,454721,360949,367844,398217,420638,428422,444767,460382,470073
"26000","Michigan","3","SA25N 1/","511","321","          Wood product manufacturing",15478,15534,15677,14143,13250,13468,13658,13463,12832,12098,11199,9506,9565,9908,10147,10903,11211,11490,11543
"26000","Michigan","3","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",20272,20937,21136,19719,18864,17928,16308,15993,15409,14573,13455,11792,11662,12112,10976,10669,11124,11616,11340
"26000","Michigan","3","SA25N 1/","513","331","          Primary metal manufacturing",34397,35571,34609,31910,28803,27199,28106,27505,26531,25538,24143,17156,19032,21656,22017,21917,22498,22506,22357
"26000","Michigan","3","SA25N 1/","514","332","          Fabricated metal product manufacturing",98891,101026,101007,91294,86291,84405,85363,86875,86664,84118,80076,62574,66977,74452,78664,80234,82826,84820,83951
"26000","Michigan","3","SA25N 1/","515","333","          Machinery manufacturing",105698,104449,103649,91274,81347,78389,78006,77530,76535,72397,69534,58152,57966,63886,68834,71419,72645,74663,74733
"26000","Michigan","3","SA25N 1/","516","334","          Computer and electronic product manufacturing",26726,25580,25152,24045,21428,19866,19582,20756,21323,21518,21728,18955,17735,18312,18765,18580,18829,20002,20814
"26000","Michigan","3","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",16937,16462,16290,16496,15722,15256,15003,13848,11185,11172,11317,10262,10388,11270,11572,11575,11868,13558,13784
"26000","Michigan","3","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",316839,327455,330973,307708,284937,264499,251627,233704,214475,200058,169408,124760,127678,138768,151069,152255,161718,167284,174246
"26000","Michigan","3","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",12814,12556,12164,10286,9933,9589,6316,6060,5858,6075,6244,4970,5159,5514,6160,6515,6239,7114,7373
"26000","Michigan","3","SA25N 1/","521","337","          Furniture and related product manufacturing",39282,39992,39559,38092,31975,27621,27177,26377,25981,26032,25197,21198,20039,20415,20649,21081,21549,22300,23187
"26000","Michigan","3","SA25N 1/","522","339","          Miscellaneous manufacturing",27701,26997,26519,24708,23165,21317,20225,20898,21488,22599,22420,21624,21643,21924,21785,23274,24260,25029,26745
"26000","Michigan","3","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",189353,190619,185123,175745,166099,160145,157394,155143,153222,150623,145487,130348,131534,137130,140236,144094,147922,151461,156864
"26000","Michigan","3","SA25N 1/","531","311","          Food manufacturing",39807,38354,36127,36322,34830,33480,33962,33842,34368,34573,34998,35341,35596,36300,35275,36182,35985,37123,39020
"26000","Michigan","3","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",6000,5896,5302,4922,4723,4586,4744,4815,4688,4814,4901,4950,4857,5158,5623,6027,6477,6683,7847
"26000","Michigan","3","SA25N 1/","533","313","          Textile mills",1193,1153,1050,855,764,747,706,728,799,791,729,571,591,675,675,674,711,660,736
"26000","Michigan","3","SA25N 1/","534","314","          Textile product mills",2845,2814,2805,2727,2916,2593,2512,2534,2640,2553,2376,2038,2083,2311,2467,2645,2827,2771,2772
"26000","Michigan","3","SA25N 1/","535","315","          Apparel manufacturing",2216,2372,1934,1967,2001,1266,1450,1662,1725,1895,1612,1798,1662,1565,1880,1989,1998,2314,2382
"26000","Michigan","3","SA25N 1/","536","316","          Leather and allied product manufacturing",2701,2728,2802,3256,1837,1844,1642,1463,1438,1182,1068,972,1013,1158,1118,1041,1079,1112,1118
"26000","Michigan","3","SA25N 1/","537","322","          Paper manufacturing",20129,20350,19704,17414,16478,15825,14944,14687,14064,14061,13173,11961,11582,11380,11334,11158,11204,11571,12017
"26000","Michigan","3","SA25N 1/","538","323","          Printing and related support activities",25164,24420,24586,23190,21471,20502,19667,19198,18984,19140,18341,16765,16032,16128,16097,15836,15915,15912,16035
"26000","Michigan","3","SA25N 1/","539","324","          Petroleum and coal products manufacturing",1883,1982,1685,1794,1657,1572,1558,1535,1423,1384,1507,1377,1298,1461,1416,1461,1503,1696,1620
"26000","Michigan","3","SA25N 1/","541","325","          Chemical manufacturing",34991,35881,34104,35334,35114,33189,31564,30674,29692,29174,28980,26554,26132,28148,29409,29831,30670,30866,30727
"26000","Michigan","3","SA25N 1/","542","326","          Plastics and rubber products manufacturing",52424,54669,55024,47964,44308,44541,44645,44005,43401,41056,37802,28021,30688,32846,34942,37250,39553,40753,42590
"26000","Michigan","3","SA25N 1/","600","42","      Wholesale trade",194463,199013,201234,195809,189600,187498,186274,186861,187606,185662,182890,168878,166059,172441,175750,180538,192485,195337,200900
"26000","Michigan","3","SA25N 1/","700","44-45","      Retail trade",649467,649111,660218,645399,632012,627014,622649,618404,607789,600557,579879,552169,538217,545221,544034,550888,557402,566254,574305
"26000","Michigan","3","SA25N 1/","701","441","        Motor vehicle and parts dealers",69858,68597,69113,67780,70970,69166,69964,68826,65828,65729,64120,59885,58166,58748,60410,62436,64957,67573,68782
"26000","Michigan","3","SA25N 1/","702","442","        Furniture and home furnishings stores",20944,21870,22649,21641,21291,20592,20913,20110,19632,18262,16312,13832,13246,13567,13761,13765,14095,14214,14421
"26000","Michigan","3","SA25N 1/","703","443","        Electronics and appliance stores",19215,19630,20220,20034,18892,18034,18992,19488,18974,18228,17533,15894,15839,16752,15944,15084,14797,15429,15339
"26000","Michigan","3","SA25N 1/","704","444","        Building material and garden equipment and supplies dealers",46500,48333,48817,47878,49274,48349,49355,48276,47260,46236,43795,41742,41526,42916,42948,44488,44668,45103,45866
"26000","Michigan","3","SA25N 1/","705","445","        Food and beverage stores",101956,102059,102666,100284,97219,94774,92276,89275,87176,86220,84395,82160,80284,79308,78832,79743,80962,82438,83558
"26000","Michigan","3","SA25N 1/","706","446","        Health and personal care stores",37123,37835,38843,39159,38214,38933,38952,39055,40044,39791,39040,36728,35040,35481,35562,35887,36398,37413,38735
"26000","Michigan","3","SA25N 1/","707","447","        Gasoline stations",31769,32679,32032,31268,29353,28351,26840,26701,26625,25760,25573,24447,24790,25338,24592,25483,26341,27268,27449
"26000","Michigan","3","SA25N 1/","708","448","        Clothing and clothing accessories stores",42313,43984,44737,44128,43282,44283,45184,46332,46388,47265,45458,42071,41096,39569,39951,39434,38242,38761,38646
"26000","Michigan","3","SA25N 1/","709","451","        Sporting goods, hobby, musical instrument, and book stores",33197,33064,34555,33535,32318,32234,31915,30514,30527,30100,29394,27586,26584,26121,25159,25948,26082,25914,25709
"26000","Michigan","3","SA25N 1/","711","452","        General merchandise stores",129104,131570,134088,133520,125273,120840,118835,115665,113693,114069,114165,112518,111296,113733,113288,112424,112662,111900,113370
"26000","Michigan","3","SA25N 1/","712","453","        Miscellaneous store retailers",51777,50975,52134,53247,51682,51297,50967,49819,48565,49731,46198,45477,44145,44969,45755,48319,49814,48545,48641
"26000","Michigan","3","SA25N 1/","713","454","        Nonstore retailers",65711,58515,60364,52925,54244,60161,58456,64343,63077,59166,53896,49829,46205,48719,47832,47877,48384,51696,53789
"26000","Michigan","3","SA25N 1/","800","48-49","      Transportation and warehousing",130704,131632,135180,135150,133908,130921,132552,137943,140616,144574,139182,128225,127548,134774,139489,143657,148962,161900,165992
"26000","Michigan","3","SA25N 1/","801","481","        Air transportation",19182,19164,18459,18663,17375,16571,15643,15875,14999,15006,14941,13529,14105,15016,14628,14079,13933,13118,13399
"26000","Michigan","3","SA25N 1/","802","482","        Rail transportation",5307,5192,4791,4491,"(D)","(D)","(D)","(D)",3741,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",3336,3402,3025
"26000","Michigan","3","SA25N 1/","803","483","        Water transportation",702,739,688,711,752,743,740,719,683,716,726,664,714,857,825,895,869,944,988
"26000","Michigan","3","SA25N 1/","804","484","        Truck transportation",48270,48564,51032,49973,50430,49058,51224,54743,57313,61668,58193,54039,53707,56310,57748,60294,63148,66701,68612
"26000","Michigan","3","SA25N 1/","805","485","        Transit and ground passenger transportation",6761,6438,6791,7135,7602,7776,7953,8397,8835,9599,9498,9586,9570,10538,11549,12416,14381,20427,21766
"26000","Michigan","3","SA25N 1/","806","486","        Pipeline transportation",2329,2197,1803,1397,1254,1227,1168,1172,1152,1097,1087,1025,974,995,987,981,1034,1090,1200
"26000","Michigan","3","SA25N 1/","807","487","        Scenic and sightseeing transportation",630,578,474,461,540,552,492,487,496,787,758,701,737,653,838,767,776,794,851
"26000","Michigan","3","SA25N 1/","808","488","        Support activities for transportation",14664,15104,16066,16493,16310,15381,15616,16105,16957,17377,16629,14237,13698,14356,14686,14704,16243,17623,18267
"26000","Michigan","3","SA25N 1/","809","492","        Couriers and messengers",18673,18356,18924,19221,"(D)","(D)","(D)","(D)",19262,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",17438,19117,19062
"26000","Michigan","3","SA25N 1/","811","493","        Warehousing and storage",14186,15300,16152,16605,16978,16638,16911,17610,17178,15473,15379,14224,14506,15310,17500,18406,17804,18684,18822
"26000","Michigan","3","SA25N 1/","900","51","      Information",85083,85114,88510,87514,83617,81784,80431,79560,78002,78069,75621,72030,70478,69768,69394,71297,74764,73107,73462
"26000","Michigan","3","SA25N 1/","901","511","        Publishing industries (except Internet)",28739,30106,31110,30608,29359,29555,28790,28488,27784,27054,26199,24069,23204,23053,22563,22269,22166,21476,20907
"26000","Michigan","3","SA25N 1/","902","512","        Motion picture and sound recording industries",9011,8706,8222,8118,8254,8146,8191,8050,7801,7818,7650,7216,8047,8256,7927,7745,8747,8126,8385
"26000","Michigan","3","SA25N 1/","903","515","        Broadcasting (except Internet)",7493,7174,7795,7658,7441,7423,7807,7751,7794,7902,7505,6983,6669,6527,6604,6703,6882,6497,6430
"26000","Michigan","3","SA25N 1/","904","516","        Internet publishing and broadcasting 3/","(T)",374,522,449,386,325,353,371,358,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"26000","Michigan","3","SA25N 1/","905","517","        Telecommunications",31212,30717,31852,31659,29040,27123,26178,26146,25687,27277,26605,26353,24787,23615,23856,23940,24134,23251,22860
"26000","Michigan","3","SA25N 1/","906","518","        Data processing, hosting, and related services",7464,7186,8041,8073,8067,7951,7781,7251,7045,5819,5555,5335,5563,5932,5902,6879,7929,8426,8859
"26000","Michigan","3","SA25N 1/","907","519","        Other information services 3/",861,851,968,949,1070,1261,1331,1503,1533,2199,2107,2074,2208,2385,2542,3761,4906,5331,6021
"26000","Michigan","3","SA25N 1/","1000","52","      Finance and insurance",210078,209293,209722,208356,212432,216754,216289,217935,217177,224015,227989,230508,222615,236007,236681,239982,233608,236912,239566
"26000","Michigan","3","SA25N 1/","1001","521","        Monetary Authorities-central bank",398,430,402,407,385,369,340,250,266,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",143,"(D)",211
"26000","Michigan","3","SA25N 1/","1002","522","        Credit intermediation and related activities",85145,85648,83375,84366,87327,91835,91067,91613,90458,88082,84165,77197,73510,74632,77060,77756,77303,78214,80783
"26000","Michigan","3","SA25N 1/","1003","523","        Securities, commodity contracts, and other financial investments and related activities",44411,43600,48309,44168,43151,41776,43710,44695,44676,53176,62047,70592,67741,76376,75067,76581,70109,71183,69978
"26000","Michigan","3","SA25N 1/","1004","524","        Insurance carriers and related activities",75382,75104,72587,74574,76960,78126,76414,76380,76808,76445,75390,74190,73706,76537,76463,77038,78889,80078,81355
"26000","Michigan","3","SA25N 1/","1005","525","        Funds, trusts, and other financial vehicles",4742,4511,5049,4841,4609,4648,4758,4997,4969,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",7164,"(D)",7239
"26000","Michigan","3","SA25N 1/","1100","53","      Real estate and rental and leasing",167232,157107,177482,181315,186235,196335,208821,219842,219152,224399,221748,217282,222471,230093,224788,228859,237863,241448,250828
"26000","Michigan","3","SA25N 1/","1101","531","        Real estate",143222,133605,152764,157080,163251,172793,184949,195032,195084,201945,198592,196106,201192,209146,203966,207923,218227,222199,231160
"26000","Michigan","3","SA25N 1/","1102","532","        Rental and leasing services",23352,22872,23840,23457,22039,22702,23030,23875,23110,21492,22309,20314,20437,20154,19972,19959,18665,18356,18813
"26000","Michigan","3","SA25N 1/","1103","533","        Lessors of nonfinancial intangible assets (except copyrighted works)",658,630,878,778,945,840,842,935,958,962,847,862,842,793,850,977,971,893,855
"26000","Michigan","3","SA25N 1/","1200","54","      Professional, scientific, and technical services",325977,345161,360724,356162,350735,345934,349952,350291,350890,359329,354965,333870,337377,348521,360473,382078,390826,403457,416284
"26000","Michigan","3","SA25N 1/","1300","55","      Management of companies and enterprises",71783,72424,71868,66138,68861,66378,68327,66298,64090,59635,58045,52419,51711,54389,55860,58409,59797,61413,64547
"26000","Michigan","3","SA25N 1/","1400","56","      Administrative and support and waste management and remediation services",318335,331179,347416,324429,326612,333727,344014,352885,357583,360325,351180,320759,335301,358431,367374,376481,377707,375376,371683
"26000","Michigan","3","SA25N 1/","1401","561","        Administrative and support services",304948,318003,334110,311214,313597,320769,331100,340138,344979,347618,338821,309787,323955,346709,355171,364142,364448,361983,358289
"26000","Michigan","3","SA25N 1/","1402","562","        Waste management and remediation services",13387,13176,13306,13215,13015,12958,12914,12747,12604,12707,12359,10972,11346,11722,12203,12339,13259,13393,13394
"26000","Michigan","3","SA25N 1/","1500","61","      Educational services",62589,65402,66589,73296,78250,83691,88042,92328,96283,97344,98331,100542,103183,102873,103779,108756,112109,113504,114837
