"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"29000","Missouri","4","SA25N 1/","10","...","Total employment (number of jobs)",3384468,3422362,3471514,3451921,3437088,3445231,3481074,3536342,3590131,3641768,3633040,3533421,3476817,3508512,3531824,3568046,3600183,3659098,3713460
"29000","Missouri","4","SA25N 1/","20","...","  Wage and salary employment",2781777,2823700,2854724,2831230,2809894,2801795,2814277,2842450,2880738,2898957,2897543,2790120,2740634,2746857,2780514,2810852,2837632,2889597,2928414
"29000","Missouri","4","SA25N 1/","40","...","  Proprietors employment",602691,598662,616790,620691,627194,643436,666797,693892,709393,742811,735497,743301,736183,761655,751310,757194,762551,769501,785046
"29000","Missouri","4","SA25N 1/","50","...","    Farm proprietors employment",114700,114136,113104,111581,105730,101400,98668,97237,94909,96441,95449,94323,93508,92374,90108,90833,89692,89039,88718
"29000","Missouri","4","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",487991,484526,503686,509110,521464,542036,568129,596655,614484,646370,640048,648978,642675,669281,661202,666361,672859,680462,696328
"29000","Missouri","4","SA25N 1/","70","111-112","  Farm employment",127172,124303,124097,122552,116497,111174,106865,106644,103920,104151,104332,102565,102337,101211,99201,99510,96823,99010,98969
"29000","Missouri","4","SA25N 1/","80","...","  Nonfarm employment",3257296,3298059,3347417,3329369,3320591,3334057,3374209,3429698,3486211,3537617,3528708,3430856,3374480,3407301,3432623,3468536,3503360,3560088,3614491
"29000","Missouri","4","SA25N 1/","90","113-814","    Private nonfarm employment",2810925,2840752,2877682,2859074,2847803,2858643,2898766,2954029,3006376,3051507,3034638,2931168,2883361,2926163,2956235,2992704,3030729,3088954,3143074
"29000","Missouri","4","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",11883,11440,10762,10588,11713,10663,11179,11456,11192,11457,11806,11985,12195,12555,13082,13171,13710,13014,12905
"29000","Missouri","4","SA25N 1/","101","113","        Forestry and logging",2268,2393,1984,"(D)",1952,1753,1887,2224,2109,2115,2129,1860,1633,1837,2264,2293,2175,2412,2574
"29000","Missouri","4","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)",889,715,852,931,927,894,880,846,823,803,807,847,877,802,731
"29000","Missouri","4","SA25N 1/","103","115","        Support activities for agriculture and forestry",8635,8146,7908,7894,8872,8195,8440,8301,8156,8448,8797,9279,9739,9915,10011,10031,10658,9800,9600
"29000","Missouri","4","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",6967,7171,6999,6877,6287,6796,6728,7380,7169,7710,8680,7845,8628,7946,9622,9816,9230,9565,9530
"29000","Missouri","4","SA25N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",1765,1531,1897,1671,1946,1993,1997,3071,3069,3810,3117,4104,4690,4450,4589,4589
"29000","Missouri","4","SA25N 1/","202","212","        Mining (except oil and gas)",4998,5217,5217,5005,4528,4629,4724,5064,4725,4878,4710,4388,4432,4431,4987,4690,4338,4519,4519
"29000","Missouri","4","SA25N 1/","203","213","        Support activities for mining","(T)",251,"(T)",107,228,270,333,370,451,835,899,388,386,398,531,436,442,457,422
"29000","Missouri","4","SA25N 1/","300","22","      Utilities",12619,12491,12708,12976,12903,12279,12135,12154,12343,12747,12846,13015,13018,12647,12481,12447,12344,12430,12386
"29000","Missouri","4","SA25N 1/","400","23","      Construction",191326,200147,203899,207583,204429,209903,217244,226775,233170,233486,222399,197865,178428,175504,177226,179587,181260,183095,188779
"29000","Missouri","4","SA25N 1/","401","236","        Construction of buildings",45263,48582,48998,49121,49380,47979,50396,53249,55202,53988,51064,44509,39473,37019,38572,39011,39991,43214,45467
"29000","Missouri","4","SA25N 1/","402","237","        Heavy and civil engineering construction",18549,19682,20611,21210,20846,20590,20241,20306,21036,21674,21483,21148,18376,17585,17733,18060,18318,17730,17689
"29000","Missouri","4","SA25N 1/","403","238","        Specialty trade contractors",127514,131883,134290,137252,134203,141334,146607,153220,156932,157824,149852,132208,120579,120900,120921,122516,122951,122151,125623
"29000","Missouri","4","SA25N 1/","500","31-33","      Manufacturing",386129,380517,373092,350953,332422,320080,321745,318976,318011,312319,300224,267615,254453,258593,261130,266365,268905,274742,277013
"29000","Missouri","4","SA25N 1/","510","321,327-339","        Durable goods manufacturing",237600,235882,231191,216869,204435,197793,201115,199885,198259,191522,179992,154415,147309,150911,151575,156052,159874,165536,166807
"29000","Missouri","4","SA25N 1/","511","321","          Wood product manufacturing",12663,12635,12614,11998,11283,11203,11457,11525,11930,11148,10237,8781,8517,8648,9005,8837,8732,8959,9050
"29000","Missouri","4","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",11530,11814,11947,10881,10323,9887,9959,10111,10356,10257,9752,8511,8178,8281,8225,7534,7587,8022,7941
"29000","Missouri","4","SA25N 1/","513","331","          Primary metal manufacturing",12796,12993,12766,11316,10141,9645,9580,9670,9485,9068,8585,6749,6212,7466,7640,7542,7596,7658,6967
"29000","Missouri","4","SA25N 1/","514","332","          Fabricated metal product manufacturing",39361,39284,38579,35983,33492,32589,33816,33702,33536,34381,33673,30043,29210,30006,30446,31604,30099,30436,30588
"29000","Missouri","4","SA25N 1/","515","333","          Machinery manufacturing",34487,35094,35163,33278,30354,29473,28984,30253,31792,31305,30738,26672,26297,27257,27458,26643,26184,26667,26658
"29000","Missouri","4","SA25N 1/","516","334","          Computer and electronic product manufacturing",13691,12230,12149,10979,9379,8501,7925,8154,8438,8355,7556,6598,5934,5625,6331,7492,10002,10201,10442
"29000","Missouri","4","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",20668,20636,20021,17944,16006,15236,14991,14173,14168,13833,13024,11286,10556,11568,11546,11314,10894,10768,10677
"29000","Missouri","4","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",39545,40186,38973,37530,36819,36435,36491,35051,32454,28855,24389,16834,"(D)","(D)","(D)","(D)","(D)","(D)",25726
"29000","Missouri","4","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",23504,21162,18788,18036,17935,17046,20424,20223,20156,19474,19296,18658,"(D)","(D)","(D)","(D)","(D)","(D)",20896
"29000","Missouri","4","SA25N 1/","521","337","          Furniture and related product manufacturing",14985,15700,16204,15615,14622,13983,14205,13985,13441,12259,10901,8810,8412,6910,6774,7033,7113,7376,7582
"29000","Missouri","4","SA25N 1/","522","339","          Miscellaneous manufacturing",14370,14148,13987,13309,14081,13795,13283,13038,12503,12587,11841,11473,10167,10123,9527,9705,9813,9857,10280
"29000","Missouri","4","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",148529,144635,141901,134084,127987,122287,120630,119091,119752,120797,120232,113200,107144,107682,109555,110313,109031,109206,110206
"29000","Missouri","4","SA25N 1/","531","311","          Food manufacturing",43113,42780,43238,42426,40911,40405,39512,38607,39393,41189,41964,42041,39580,39842,41122,40235,39635,40171,40580
"29000","Missouri","4","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",5169,5385,5542,5912,6151,5390,5432,5667,5704,5919,5753,5052,4652,5047,5554,5700,5863,5900,6065
"29000","Missouri","4","SA25N 1/","533","313","          Textile mills",530,557,525,500,415,396,415,428,458,478,454,473,455,406,404,409,447,423,420
"29000","Missouri","4","SA25N 1/","534","314","          Textile product mills",3119,3120,2998,2830,2894,2504,2482,2603,2743,3041,3121,2571,2329,2480,2045,1825,1868,1963,1989
"29000","Missouri","4","SA25N 1/","535","315","          Apparel manufacturing",11570,9187,7244,5894,5026,4196,3919,3691,3566,3492,3245,2941,2929,2722,2843,2920,2814,2556,2321
"29000","Missouri","4","SA25N 1/","536","316","          Leather and allied product manufacturing",3959,3489,3052,2709,2456,2533,2523,2448,2344,2244,2125,2167,1222,1456,1572,1545,1591,1569,1500
"29000","Missouri","4","SA25N 1/","537","322","          Paper manufacturing",12811,12654,12355,11582,10426,9849,9523,8912,8773,8690,8524,8119,7827,7533,7402,7324,6739,6937,6777
"29000","Missouri","4","SA25N 1/","538","323","          Printing and related support activities",23178,22579,22292,20705,19046,17996,17779,17799,17715,17554,17240,15356,14484,14087,14367,14582,13884,12986,12806
"29000","Missouri","4","SA25N 1/","539","324","          Petroleum and coal products manufacturing",1715,1762,1792,1588,1543,1504,1444,1546,1369,1286,1297,1360,1230,1302,1211,1260,1263,1283,1313
"29000","Missouri","4","SA25N 1/","541","325","          Chemical manufacturing",22636,21785,21471,19756,19367,18416,18639,18489,18728,18573,18798,17869,17247,17907,18020,19221,19358,19099,19718
"29000","Missouri","4","SA25N 1/","542","326","          Plastics and rubber products manufacturing",20729,21337,21392,20182,19752,19098,18962,18901,18959,18331,17711,15251,15189,14900,15015,15292,15569,16319,16717
"29000","Missouri","4","SA25N 1/","600","42","      Wholesale trade",133122,132063,132033,129300,127478,126878,128686,131762,133118,134960,135097,128277,125810,126708,127368,128730,136113,136308,138356
"29000","Missouri","4","SA25N 1/","700","44-45","      Retail trade",385300,384583,388194,381982,386019,387973,388085,395340,394549,394227,383723,373579,366036,371554,371373,372818,377401,385069,390999
"29000","Missouri","4","SA25N 1/","701","441","        Motor vehicle and parts dealers",44826,45218,45382,45578,47045,46032,46828,46891,46241,46159,44845,42048,41487,41842,42634,43509,44660,46087,47094
"29000","Missouri","4","SA25N 1/","702","442","        Furniture and home furnishings stores",11410,11505,11826,11318,11689,12101,11933,12012,11656,11339,10451,8888,8829,9366,9214,9268,9375,9177,9359
"29000","Missouri","4","SA25N 1/","703","443","        Electronics and appliance stores",10868,10884,10920,10932,10282,10316,10792,10750,10242,10131,10902,9883,9494,9686,8453,7970,7701,8856,8607
"29000","Missouri","4","SA25N 1/","704","444","        Building material and garden equipment and supplies dealers",26614,27648,27941,27813,28877,28366,29016,29467,30726,31284,29774,28237,27606,27709,27561,28484,29098,29439,30235
"29000","Missouri","4","SA25N 1/","705","445","        Food and beverage stores",53096,52064,51757,50115,49733,49272,47380,46701,46210,45941,47348,47577,50631,51109,51103,52105,52009,51825,52428
"29000","Missouri","4","SA25N 1/","706","446","        Health and personal care stores",19520,19460,19915,20288,21295,21875,22090,22752,23877,23893,23209,22428,21872,22582,22308,22251,22667,23542,24192
"29000","Missouri","4","SA25N 1/","707","447","        Gasoline stations",29094,29466,28918,28347,27577,27128,26583,26492,26591,26695,26588,25712,25509,25573,26250,26451,27861,29341,30175
"29000","Missouri","4","SA25N 1/","708","448","        Clothing and clothing accessories stores",24775,24381,24123,23862,23971,25386,26595,27329,27803,28171,27190,25888,25263,25334,24767,25110,24410,24342,24193
"29000","Missouri","4","SA25N 1/","709","451","        Sporting goods, hobby, musical instrument, and book stores",17163,16704,16593,15829,16212,16324,15974,15714,15757,16088,15948,16497,16119,15192,15010,15568,16032,15965,15860
"29000","Missouri","4","SA25N 1/","711","452","        General merchandise stores",67597,71108,73543,73673,74946,74368,75143,78047,76584,75976,73904,74534,70479,71545,71479,67528,67630,69223,70543
"29000","Missouri","4","SA25N 1/","712","453","        Miscellaneous store retailers",34516,34026,34715,36548,36058,36204,35970,34841,35153,36925,34661,35001,33636,33731,33734,35568,35979,34941,34735
"29000","Missouri","4","SA25N 1/","713","454","        Nonstore retailers",45821,42119,42561,37679,38334,40601,39781,44344,43709,41625,38903,36886,35111,37885,38860,39006,39979,42331,43578
"29000","Missouri","4","SA25N 1/","800","48-49","      Transportation and warehousing",128072,127372,130588,129326,126717,122245,121188,122886,125761,129397,125387,119833,113822,116267,118538,121265,122676,129902,131393
"29000","Missouri","4","SA25N 1/","801","481","        Air transportation",10886,10934,11179,11133,12814,10667,7656,6221,6024,6867,6639,5460,4766,4392,4681,4686,4537,4878,4857
"29000","Missouri","4","SA25N 1/","802","482","        Rail transportation",8355,8360,7725,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",7579,7132,"(D)","(D)",7613,7702,8107,"(D)","(D)"
"29000","Missouri","4","SA25N 1/","803","483","        Water transportation",435,426,433,468,462,372,648,691,827,893,933,946,693,534,493,546,510,560,500
"29000","Missouri","4","SA25N 1/","804","484","        Truck transportation",58877,57830,60286,58517,56988,55219,56662,58325,59647,60646,57275,55795,51842,52066,52887,53251,53339,55328,55684
"29000","Missouri","4","SA25N 1/","805","485","        Transit and ground passenger transportation",11563,11659,11340,10726,10634,10530,11221,10848,10910,11266,11160,11337,10698,11441,12022,11975,12603,14428,14687
"29000","Missouri","4","SA25N 1/","806","486","        Pipeline transportation",298,305,416,231,227,261,269,297,300,291,325,303,302,305,301,316,304,300,335
"29000","Missouri","4","SA25N 1/","807","487","        Scenic and sightseeing transportation",381,397,371,421,445,427,381,377,410,528,596,509,560,557,585,512,461,558,578
"29000","Missouri","4","SA25N 1/","808","488","        Support activities for transportation",10921,11171,11160,11152,9889,9241,8793,9334,9594,10231,10399,9667,10091,10772,10868,11225,12088,13095,13813
"29000","Missouri","4","SA25N 1/","809","492","        Couriers and messengers",15095,14511,15247,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",14663,14223,"(D)","(D)",14829,15955,15652,"(D)","(D)"
