"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"91000","New England","1","SA25N 1/","10","...","Total employment (number of jobs)",8360781,8513050,8739066,8766110,8717026,8703834,8819537,8912040,9010416,9185003,9194962,8966716,8899421,9013440,9117511,9269539,9418805,9662886,9795354
"91000","New England","1","SA25N 1/","20","...","  Wage and salary employment",6988761,7120778,7282848,7291544,7205817,7131619,7149516,7173418,7237973,7305183,7302341,7046273,7001570,7065271,7178416,7261699,7367394,7472302,7555226
"91000","New England","1","SA25N 1/","40","...","  Proprietors employment",1372020,1392272,1456218,1474566,1511209,1572215,1670021,1738622,1772443,1879820,1892621,1920443,1897851,1948169,1939095,2007840,2051411,2190584,2240128
"91000","New England","1","SA25N 1/","50","...","    Farm proprietors employment",27137,26983,26852,27588,27973,26933,26106,25732,25111,29282,29614,29840,30371,30968,30949,31508,31518,31803,31783
"91000","New England","1","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",1344883,1365289,1429366,1446978,1483236,1545282,1643915,1712890,1747332,1850538,1863007,1890603,1867480,1917201,1908146,1976332,2019893,2158781,2208345
"91000","New England","1","SA25N 1/","70","111-112","  Farm employment",46159,45934,46704,47728,48107,47477,43018,41993,39891,43473,45077,44777,45127,47102,48357,51424,51488,51701,50353
"91000","New England","1","SA25N 1/","80","...","  Nonfarm employment",8314622,8467116,8692362,8718382,8668919,8656357,8776519,8870047,8970525,9141530,9149885,8921939,8854294,8966338,9069154,9218115,9367317,9611185,9745001
"91000","New England","1","SA25N 1/","90","113-814","    Private nonfarm employment",7319714,7454551,7655749,7668362,7608400,7605806,7739039,7830152,7922847,8085115,8083664,7861812,7795208,7921004,8022120,8169516,8312550,8558982,8694801
"91000","New England","1","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",43464,41681,39198,"(D)","(D)",35001,37726,38296,37646,37287,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"91000","New England","1","SA25N 1/","101","113","        Forestry and logging",11657,11886,10749,"(D)",10187,9103,9830,10800,10549,10297,10555,9389,"(D)","(D)","(D)",10696,"(D)","(D)","(D)"
"91000","New England","1","SA25N 1/","102","114","        Fishing, hunting and trapping",20505,18858,18174,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",15954,"(D)",15874,15129,15240,15531,"(D)","(D)","(D)"
"91000","New England","1","SA25N 1/","103","115","        Support activities for agriculture and forestry",11302,10937,10275,9920,11150,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",11240,10368,"(D)","(D)",11149,10339,9993
"91000","New England","1","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",7012,6976,6842,"(D)","(D)",7786,7490,7550,8154,9276,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"91000","New England","1","SA25N 1/","201","211","        Oil and gas extraction",2286,2262,2071,2334,"(D)","(D)",2207,2444,2740,2894,"(D)","(D)",5157,4165,"(D)","(D)","(D)","(D)","(D)"
"91000","New England","1","SA25N 1/","202","212","        Mining (except oil and gas)",4420,4403,4450,5083,"(D)",4888,5001,4874,5211,5945,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"91000","New England","1","SA25N 1/","203","213","        Support activities for mining",306,311,321,"(D)",169,"(D)",282,232,203,437,408,348,"(D)","(D)",526,"(D)",524,546,546
"91000","New England","1","SA25N 1/","300","22","      Utilities",32335,31027,30718,"(D)","(D)",27673,26852,26486,24695,25233,25753,25502,25597,24826,24612,24974,25367,25790,26515
"91000","New England","1","SA25N 1/","400","23","      Construction",435570,452659,471470,493595,"(D)",505656,531540,551770,561511,557256,532793,479886,450603,455230,462768,478548,490138,509030,518399
"91000","New England","1","SA25N 1/","401","236","        Construction of buildings",89952,97412,102839,105425,"(D)",110746,116525,122372,123448,118514,112611,99406,93354,91263,95009,97136,100211,111819,116063
"91000","New England","1","SA25N 1/","402","237","        Heavy and civil engineering construction",36478,39702,40417,42255,"(D)",40288,38394,37715,38063,37808,35484,33175,32478,32891,34585,34733,35406,36237,36686
"91000","New England","1","SA25N 1/","403","238","        Specialty trade contractors",309140,315545,328214,345915,331269,354622,376621,391683,400000,400934,384698,347305,324771,331076,333174,346679,354521,360974,365650
"91000","New England","1","SA25N 1/","500","31-33","      Manufacturing",999888,974359,967318,930192,847277,793342,776843,763464,750691,744810,723793,660247,639922,643514,640978,641951,636901,638386,632906
"91000","New England","1","SA25N 1/","510","321,327-339","        Durable goods manufacturing",681275,661894,661191,641819,576680,535258,"(D)",521151,513670,511833,500302,454626,439305,443757,440373,438737,433462,433738,430838
