"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"96000","Southwest","6","SA25N 1/","10","...","Total employment (number of jobs)",17033876,17355471,17899090,18099177,18115511,18277106,18673565,19339743,20070759,20765103,21107976,20702438,20649548,21167124,21683946,22234218,22816445,23349430,23664118
"96000","Southwest","6","SA25N 1/","20","...","  Wage and salary employment",13826344,14125923,14528072,14651056,14582303,14553922,14790550,15207752,15756998,16166315,16373312,15813938,15711330,16009919,16426293,16817175,17254907,17630690,17825990
"96000","Southwest","6","SA25N 1/","40","...","  Proprietors employment",3207532,3229548,3371018,3448121,3533208,3723184,3883015,4131991,4313761,4598788,4734664,4888500,4938218,5157205,5257653,5417043,5561538,5718740,5838128
"96000","Southwest","6","SA25N 1/","50","...","    Farm proprietors employment",345809,345676,345711,351435,327660,321723,314034,313892,307359,333366,332202,332266,335352,337845,336943,338329,335262,330532,329998
"96000","Southwest","6","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",2861723,2883872,3025307,3096686,3205548,3401461,3568981,3818099,4006402,4265422,4402462,4556234,4602866,4819360,4920710,5078714,5226276,5388208,5508130
"96000","Southwest","6","SA25N 1/","70","111-112","  Farm employment",423102,416510,426201,443633,408057,397980,388561,393352,378349,409269,405711,411081,406128,406700,410670,418882,411293,406406,411650
"96000","Southwest","6","SA25N 1/","80","...","  Nonfarm employment",16610774,16938961,17472889,17655544,17707454,17879126,18285004,18946391,19692410,20355834,20702265,20291357,20243420,20760424,21273276,21815336,22405152,22943024,23252468
"96000","Southwest","6","SA25N 1/","90","113-814","    Private nonfarm employment",14069101,14359840,14831567,14983890,14964880,15106748,15493838,16120055,16820452,17447067,17723731,17259127,17176666,17741665,18280213,18814420,19396206,19905662,20179566
"96000","Southwest","6","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",102615,99651,95142,82677,88589,81456,84368,85379,83725,85941,86823,86295,88231,88715,88322,88491,93464,90478,89120
"96000","Southwest","6","SA25N 1/","101","113","        Forestry and logging",8327,8325,7383,7064,6895,6301,"(D)",7066,6682,6444,6636,5888,5230,5500,6334,6493,6295,6910,7135
"96000","Southwest","6","SA25N 1/","102","114","        Fishing, hunting and trapping",10367,9699,9525,9604,11094,9073,"(D)",10503,10642,10096,10078,10108,10485,9926,9874,10455,10797,10112,9533
"96000","Southwest","6","SA25N 1/","103","115","        Support activities for agriculture and forestry",83921,81627,78234,66009,70600,66082,67610,67810,66401,69401,70109,70299,72516,73289,72114,71543,76372,73456,72452
"96000","Southwest","6","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",324921,314502,303249,324270,300536,328848,319512,348825,394771,431615,534009,488171,546116,544915,690291,741134,751089,728554,661677
"96000","Southwest","6","SA25N 1/","201","211","        Oil and gas extraction",193676,187868,177001,190900,176712,"(D)","(D)",195964,215948,221676,299121,"(D)",351204,315562,406492,452213,438479,457523,445206
"96000","Southwest","6","SA25N 1/","202","212","        Mining (except oil and gas)",32984,30233,28746,29197,26953,26590,26904,26855,29008,33765,35805,30331,31001,32169,40448,38661,38765,38898,37883
"96000","Southwest","6","SA25N 1/","203","213","        Support activities for mining",98261,96401,97502,104173,96871,"(D)","(D)",126006,149815,176174,199083,"(D)",163911,197184,243351,250260,273845,232133,178588
"96000","Southwest","6","SA25N 1/","300","22","      Utilities",72837,74268,76040,79331,79442,75869,74975,75170,75991,80086,84325,83092,82888,81659,82407,82550,83213,85984,87692
"96000","Southwest","6","SA25N 1/","400","23","      Construction",1114672,1157311,1205834,1246488,1228631,1251482,1283826,1384533,1475552,1518872,1498813,1343517,1250465,1257239,1294599,1348587,1402176,1435899,1454643
"96000","Southwest","6","SA25N 1/","401","236","        Construction of buildings",249166,260898,272862,287488,290150,275046,273423,295492,319801,320986,322099,287155,266995,259184,265707,274741,289152,318353,328714
"96000","Southwest","6","SA25N 1/","402","237","        Heavy and civil engineering construction",140531,150022,159913,168838,170119,164790,167849,180931,196890,211569,213761,185962,174910,180876,195579,202094,207260,207397,210314
"96000","Southwest","6","SA25N 1/","403","238","        Specialty trade contractors",724975,746391,773059,790162,768362,811646,842554,908110,958861,986317,962953,870400,808560,817179,833313,871752,905764,910149,915615
"96000","Southwest","6","SA25N 1/","500","31-33","      Manufacturing",1563005,1536972,1547567,1500495,1387963,1320529,1310803,1329218,1371672,1382219,1356941,1238406,1190074,1238159,1277318,1299415,1313777,1306778,1270048
"96000","Southwest","6","SA25N 1/","510","321,327-339","        Durable goods manufacturing",1021549,1004207,1018900,991672,905525,859574,860123,881718,925236,939280,922436,820295,782740,824788,859871,874839,886061,875557,832993
"96000","Southwest","6","SA25N 1/","511","321","          Wood product manufacturing",52568,54415,51991,49021,46242,44129,46461,48137,48522,44733,39356,33072,29920,28990,29880,31525,32511,33375,34471
"96000","Southwest","6","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",63002,65491,66949,65443,65279,63517,64741,66382,68750,68449,63837,55200,51104,51291,51449,53489,55302,56833,58154
"96000","Southwest","6","SA25N 1/","513","331","          Primary metal manufacturing",42559,40177,40990,40256,35706,33845,34377,34429,37077,36945,36977,29900,29511,31079,33158,33542,34101,31818,29284
"96000","Southwest","6","SA25N 1/","514","332","          Fabricated metal product manufacturing",182661,180043,182971,182016,167332,153154,155411,164965,179295,186482,189734,166176,157814,173454,187796,191511,199822,193873,176622
"96000","Southwest","6","SA25N 1/","515","333","          Machinery manufacturing",123875,122050,126367,129231,118679,115641,114755,119424,130461,139566,142292,129057,123927,137544,148729,153494,156341,151176,130128
"96000","Southwest","6","SA25N 1/","516","334","          Computer and electronic product manufacturing",258889,244179,251552,239287,199802,179064,174713,174277,174993,172689,169344,153462,147697,152549,151280,147206,145459,143028,138339
"96000","Southwest","6","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",30205,30315,32462,30421,27247,25494,25036,25441,27176,28424,28153,26387,24999,26012,27500,27945,28575,28894,28118
"96000","Southwest","6","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",56352,57218,56681,"(D)",51123,48497,48796,48631,51360,52007,47991,38615,38230,"(D)",43843,"(D)","(D)",50069,49117
"96000","Southwest","6","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",95889,94882,93449,"(D)",84992,88667,88972,92411,95753,98157,100293,94163,91168,"(D)",93472,"(D)","(D)",88686,89285
"96000","Southwest","6","SA25N 1/","521","337","          Furniture and related product manufacturing",48434,50565,51577,50211,46990,46296,47740,47848,50176,48076,44635,36441,33376,33367,33610,34847,34625,35835,36436
"96000","Southwest","6","SA25N 1/","522","339","          Miscellaneous manufacturing",67115,64872,63911,61004,62133,61270,59121,59773,61673,63752,59824,57822,54994,57560,59154,60768,61129,61970,63039
"96000","Southwest","6","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",541456,532765,528667,508823,482438,460955,450680,447500,446436,442939,434505,418111,407334,413371,417447,424576,427716,431221,437055
"96000","Southwest","6","SA25N 1/","531","311","          Food manufacturing",130011,130951,132066,132221,133929,131004,130579,132479,132249,130826,128445,128538,127265,128816,129743,130718,132133,134169,138719
"96000","Southwest","6","SA25N 1/","532","312","          Beverage and tobacco product manufacturing",17424,17951,18194,18373,17608,17274,16838,17330,18496,19207,19453,19303,18840,19159,19848,20645,21332,22346,24293
"96000","Southwest","6","SA25N 1/","533","313","          Textile mills",4815,4875,4927,4738,4597,4561,4610,3968,3871,4052,4041,3766,3811,4274,4117,4235,4140,3571,2951
"96000","Southwest","6","SA25N 1/","534","314","          Textile product mills",13008,13123,12653,11799,10924,10829,10907,10886,10932,10988,9766,9058,8513,8989,8529,8949,9469,9123,9051
"96000","Southwest","6","SA25N 1/","535","315","          Apparel manufacturing",51580,44966,40457,34454,27662,20425,16384,13997,12858,12346,10461,11186,10482,9531,10506,11531,10834,11127,11288
"96000","Southwest","6","SA25N 1/","536","316","          Leather and allied product manufacturing",8623,8162,7728,7148,6805,6351,5967,6070,6119,5872,5826,5766,5801,6585,6737,6421,6204,6564,6650
"96000","Southwest","6","SA25N 1/","537","322","          Paper manufacturing",37163,36553,36286,33954,32417,30914,29688,28976,27289,26841,25852,23936,23468,23407,23018,22568,22863,23051,23429
"96000","Southwest","6","SA25N 1/","538","323","          Printing and related support activities",71871,70102,69707,65361,60499,56934,55967,54402,53793,53117,51274,48245,46310,44278,44268,44234,44314,43533,42711
"96000","Southwest","6","SA25N 1/","539","324","          Petroleum and coal products manufacturing",28423,28570,27968,28011,27377,26934,26838,26434,27236,28249,29519,29566,28196,29610,29182,29559,27672,27431,27487
"96000","Southwest","6","SA25N 1/","541","325","          Chemical manufacturing",101726,99115,97834,94988,89280,87183,85919,85592,85957,87068,88050,83925,81609,85535,87467,90479,93294,94934,95437
"96000","Southwest","6","SA25N 1/","542","326","          Plastics and rubber products manufacturing",76812,78397,80847,77776,71340,68546,66983,67366,67636,64373,61818,54822,53039,53187,54032,55237,55461,55372,55039
"96000","Southwest","6","SA25N 1/","600","42","      Wholesale trade",679098,687240,706410,707347,692031,687764,704268,729451,763817,787288,794388,753143,743701,771769,796518,822668,872994,889695,896779
