"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"45000","South Carolina","5","SA25 1/","10","...","Total employment (number of jobs)",1170440,1195991,1214524,1261975,1327545,1364918,1326160,1376441,1411204,1466342,1507001,1523489,1536244,1513855,1547496,1624992,1655111,1697186,1738122,1809013,1858308,1912747,1886170,1897465,1931459,1978983,2038053,2080349,2140787,2190736,2239830,2280472,2256539
"45000","South Carolina","5","SA25 1/","20","...","  Wage and salary employment",1030860,1054503,1067686,1107590,1169083,1203694,1161253,1206477,1235493,1287545,1325476,1336777,1346740,1317444,1344919,1416575,1436833,1468809,1524896,1588778,1634607,1676011,1645677,1655065,1685528,1722796,1760197,1788494,1839477,1888382,1933166,1958940,1925620
"45000","South Carolina","5","SA25 1/","40","...","  Proprietors employment",139580,141488,146838,154385,158462,161224,164907,169964,175711,178797,181525,186712,189504,196411,202577,208417,218278,228377,213226,220235,223701,236736,240493,242400,245931,256187,277856,291855,301310,302354,306664,321532,330919
"45000","South Carolina","5","SA25 1/","50","...","    Farm proprietors employment",41830,41251,40665,39910,38526,37823,37651,37381,36389,35192,35264,34324,33313,31370,31233,29769,29151,28231,26872,26682,26368,25803,25211,25276,25605,25318,25265,24923,24987,25845,25759,24684,25014
"45000","South Carolina","5","SA25 1/","60","...","    Nonfarm proprietors employment 2/",97750,100237,106173,114475,119936,123401,127256,132583,139322,143605,146261,152388,156191,165041,171344,178648,189127,200146,186354,193553,197333,210933,215282,217124,220326,230869,252591,266932,276323,276509,280905,296848,305905
"45000","South Carolina","5","SA25 1/","70","[01-02]","  Farm employment",73331,73223,71114,69068,67967,68511,70425,61941,58960,56192,58259,60298,59238,54640,56396,52409,43157,37739,37324,38282,37507,36846,35522,34999,34951,34113,33956,32169,34041,34582,33391,32268,32462
"45000","South Carolina","5","SA25 1/","80","...","  Nonfarm employment",1097109,1122768,1143410,1192907,1259578,1296407,1255735,1314500,1352244,1410150,1448742,1463191,1477006,1459215,1491100,1572583,1611954,1659447,1700798,1770731,1820801,1875901,1850648,1862466,1896508,1944870,2004097,2048180,2106746,2156154,2206439,2248204,2224077
"45000","South Carolina","5","SA25 1/","90","...","    Private nonfarm employment",851422,873214,887296,935516,999598,1018154,965700,1024105,1063052,1113092,1143511,1149947,1163413,1145719,1175246,1251875,1283955,1323988,1360090,1425806,1466643,1514936,1486192,1495301,1533293,1585287,1652087,1697893,1751382,1792285,1833458,1865266,1846277
"45000","South Carolina","5","SA25 1/","100","[07-08]","      Agricultural services, forestry, and fishing",5647,5927,6366,6489,6911,7111,7180,7312,7943,9641,10188,10606,10210,10430,10966,12045,13008,13620,14148,13899,13826,15034,15325,15240,16798,17484,19379,20563,22184,21484,23111,23792,24425
"45000","South Carolina","5","SA25 1/","110","07","        Agricultural services",3938,4212,4520,4476,4905,4984,4947,5384,5842,7389,7810,8094,7837,8084,8802,9763,10683,11296,11882,11579,11385,12724,13145,13044,14254,14964,16789,17878,19282,18295,19499,19828,"(NA)"
"45000","South Carolina","5","SA25 1/","120","...","        Forestry and fishing",1709,1715,1846,2013,2006,2127,2233,1928,2101,2252,2378,2512,2373,2346,2164,2282,2325,2324,2266,2320,2441,2310,2180,2196,2544,2520,2590,2685,2902,3189,3612,3964,"(NA)"
"45000","South Carolina","5","SA25 1/","121","08","          Forestry",1188,1273,1346,1424,1441,1666,1649,1285,1328,1402,1579,1700,1703,1735,1657,1727,1701,1603,1545,1662,1814,1748,1596,1577,1756,1739,1845,1971,2103,2360,2623,2885,"(NA)"
"45000","South Carolina","5","SA25 1/","122","...","          Fishing",521,442,500,589,565,461,584,643,773,850,799,812,670,611,507,555,624,721,721,658,627,562,584,619,788,781,745,714,799,829,989,1079,"(NA)"
"45000","South Carolina","5","SA25 1/","200","B","      Mining",1815,1866,1728,1815,1880,2133,2110,1931,2000,2025,2132,2148,2093,2097,2167,2235,2112,2034,2467,2548,2602,2661,2423,2348,2346,2451,2566,2450,2539,2451,2599,2454,2343
"45000","South Carolina","5","SA25 1/","210","10","        Metal mining",0,"(L)",0,0,0,0,0,0,0,0,0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",310,344,318,339,253,188,227,229,218,"(D)","(D)","(D)","(NA)"
"45000","South Carolina","5","SA25 1/","220","12","        Coal mining","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",27,20,30,16,10,"(L)",11,"(L)","(L)",0,"(L)",0,"(NA)"
"45000","South Carolina","5","SA25 1/","230","13","        Oil and gas extraction",135,162,83,85,87,126,166,123,164,171,188,210,243,308,371,396,343,325,573,545,547,563,501,501,538,652,658,559,663,"(D)","(D)","(D)","(NA)"
"45000","South Carolina","5","SA25 1/","240","14","        Nonmetallic minerals, except fuels",1676,1699,1640,1725,1791,2002,1937,1804,1833,1852,1941,1936,1844,1776,1787,1824,1747,1673,1819,1909,1718,1734,1574,1492,1545,1609,1670,1654,1650,1654,1805,1736,"(NA)"
"45000","South Carolina","5","SA25 1/","300","C","      Construction",62607,64459,68348,75688,85744,91028,76667,77212,82070,87731,91085,91543,88968,84412,91167,104820,108100,113747,111324,117652,120236,131563,118509,111551,114528,117301,123053,129797,137740,146649,153651,154219,153834
"45000","South Carolina","5","SA25 1/","310","15","        General building contractors",21737,21717,24651,27366,32218,35036,27642,29159,30192,31337,32493,32556,30976,28242,32207,37820,37898,40649,36300,39829,40024,45779,38539,33064,33894,32591,32120,33012,33588,36430,37685,36981,"(NA)"
"45000","South Carolina","5","SA25 1/","320","16","        Heavy construction contractors",11164,12302,12015,12935,13940,14800,11732,10971,11753,12623,13012,13191,12060,11352,12072,12636,13123,13232,14452,13741,13325,13495,12127,11163,11239,10787,11698,11991,13218,14223,15319,16350,"(NA)"
"45000","South Carolina","5","SA25 1/","330","17","        Special trade contractors",29706,30440,31682,35387,39586,41192,37293,37082,40125,43771,45580,45796,45932,44818,46888,54364,57079,59866,60572,64082,66887,72289,67843,67324,69395,73923,79235,84794,90934,95996,100647,100888,"(NA)"
"45000","South Carolina","5","SA25 1/","400","D","      Manufacturing",347145,345254,341926,357203,380639,380530,344528,376397,384820,396327,404289,397875,394477,369166,369766,386541,373029,371999,379895,391955,394827,388907,376227,378157,380984,384562,384331,374111,370453,367789,350790,351374,331796
