"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"47000","Tennessee","5","SA25 1/","10","...","Total employment (number of jobs)",1788719,1784919,1816596,1923756,2024714,2054692,1983267,2052396,2135018,2227104,2278894,2259204,2255061,2217235,2239467,2343854,2398866,2477304,2577879,2663338,2734816,2777416,2777569,2837263,2942948,3061304,3144656,3194784,3269258,3340010,3396756,3458698,3421005
"47000","Tennessee","5","SA25 1/","20","...","  Wage and salary employment",1482173,1480517,1503554,1600332,1684566,1713093,1637058,1701441,1777190,1863914,1908718,1880376,1878034,1831400,1846984,1939168,1979957,2046900,2132240,2206646,2275324,2302800,2291842,2348275,2425202,2515393,2589581,2619461,2669841,2724800,2776704,2820380,2781628
"47000","Tennessee","5","SA25 1/","40","...","  Proprietors employment",306546,304402,313042,323424,340148,341599,346209,350955,357828,363190,370176,378828,377027,385835,392483,404686,418909,430404,445639,456692,459492,474616,485727,488988,517746,545911,555075,575323,599417,615210,620052,638318,639377
"47000","Tennessee","5","SA25 1/","50","...","    Farm proprietors employment",114329,113582,112011,110800,110045,109833,110058,107671,106003,100532,99703,99909,98938,99225,105394,103954,103614,98924,96724,95112,95048,92827,90571,91048,98942,97893,96679,94395,94699,96830,96268,95054,92450
"47000","Tennessee","5","SA25 1/","60","...","    Nonfarm proprietors employment 2/",192217,190820,201031,212624,230103,231766,236151,243284,251825,262658,270473,278919,278089,286610,287089,300732,315295,331480,348915,361580,364444,381789,395156,397940,418804,448018,458396,480928,504718,518380,523784,543264,546927
"47000","Tennessee","5","SA25 1/","70","[01-02]","  Farm employment",137429,139734,137323,136386,134034,135406,131566,130184,130625,122532,123697,124884,119640,119317,127149,123512,116254,114978,109770,108271,110444,108525,103780,105688,111831,108304,109252,105660,108822,108252,107710,105933,103363
"47000","Tennessee","5","SA25 1/","80","...","  Nonfarm employment",1651290,1645185,1679273,1787370,1890680,1919286,1851701,1922212,2004393,2104572,2155197,2134320,2135421,2097918,2112318,2220342,2282612,2362326,2468109,2555067,2624372,2668891,2673789,2731575,2831117,2953000,3035404,3089124,3160436,3231758,3289046,3352765,3317642
"47000","Tennessee","5","SA25 1/","90","...","    Private nonfarm employment",1380349,1373580,1404056,1497804,1592267,1608141,1534188,1601842,1672207,1755832,1794373,1766496,1779069,1752193,1769181,1875401,1934272,2006559,2099649,2181516,2247727,2282464,2285428,2342718,2437891,2552834,2636157,2684359,2760340,2827808,2878516,2932094,2894007
"47000","Tennessee","5","SA25 1/","100","[07-08]","      Agricultural services, forestry, and fishing",7014,7012,7161,7172,7878,7914,7517,8148,8681,10280,10822,11864,11841,11630,12486,13802,14390,15027,17619,17494,17554,19347,20449,19815,23060,23906,25874,27371,28837,27092,28870,29219,29645
"47000","Tennessee","5","SA25 1/","110","07","        Agricultural services",6192,6204,6176,6293,7160,7265,6855,7356,7882,9429,9902,10870,10746,10556,11479,12676,13312,13760,16527,16418,16509,18369,19389,18967,21879,22647,24607,26075,27608,25671,27088,27239,"(NA)"
