"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"48000","Texas","6","SA25 1/","10","...","Total employment (number of jobs)",5005193,5045435,5123138,5333823,5608047,5822056,5938330,6206757,6520814,6900142,7214707,7495945,7900274,8074282,8064275,8433673,8673542,8514204,8723023,8880181,9005310,9242899,9403936,9482932,9780517,10098087,10439859,10737590,11165358,11541074,11763951,12138877,12284480
"48000","Texas","6","SA25 1/","20","...","  Wage and salary employment",4207596,4235239,4287509,4435631,4692745,4877736,4966314,5212712,5463739,5800877,6095450,6345484,6675657,6761485,6684957,6996157,7170168,7026942,6978835,7099882,7264633,7469560,7591690,7704177,7923608,8178586,8451793,8670194,9030024,9372859,9573162,9850925,9929531
"48000","Texas","6","SA25 1/","40","...","  Proprietors employment",797597,810196,835629,898192,915302,944320,972016,994045,1057075,1099265,1119257,1150461,1224617,1312797,1379318,1437516,1503374,1487262,1744188,1780299,1740677,1773339,1812246,1778755,1856909,1919501,1988066,2067396,2135334,2168215,2190789,2287952,2354949
"48000","Texas","6","SA25 1/","50","...","    Farm proprietors employment",198162,196951,195636,194335,194692,194349,192610,189904,189521,187946,195121,199233,197925,197094,209950,207529,205126,200560,195998,198675,202445,204003,204384,206050,225871,226077,228291,227929,230236,235685,235501,234912,236602
"48000","Texas","6","SA25 1/","60","...","    Nonfarm proprietors employment 2/",599435,613245,639993,703857,720610,749971,779406,804141,867554,911319,924136,951228,1026692,1115703,1169368,1229987,1298248,1286702,1548190,1581624,1538232,1569336,1607862,1572705,1631038,1693424,1759775,1839467,1905098,1932530,1955288,2053040,2118347
"48000","Texas","6","SA25 1/","70","[01-02]","  Farm employment",293430,290592,281345,285095,278002,280275,276591,274841,274674,269946,273102,276157,274371,267860,286444,276367,267969,255970,261596,255155,251563,255350,255007,259336,280242,276143,277416,279839,280966,281395,277379,284440,295737
"48000","Texas","6","SA25 1/","80","...","  Nonfarm employment",4711763,4754843,4841793,5048728,5330045,5541781,5661739,5931916,6246140,6630196,6941605,7219788,7625903,7806422,7777831,8157306,8405573,8258234,8461427,8625026,8753747,8987549,9148929,9223596,9500275,9821944,10162443,10457751,10884392,11259679,11486572,11854437,11988743
"48000","Texas","6","SA25 1/","90","...","    Private nonfarm employment",3809431,3846733,3901132,4098217,4349211,4535447,4630631,4872483,5163420,5526346,5816123,6062462,6461677,6613798,6565173,6918171,7126408,6941864,7117810,7255658,7348968,7549908,7700133,7732667,7974303,8253601,8557590,8848205,9253753,9601219,9803082,10134621,10254176
"48000","Texas","6","SA25 1/","100","[07-08]","      Agricultural services, forestry, and fishing",31756,34052,35438,38047,39931,42290,45434,49659,52490,57956,61703,61806,61003,61413,64242,68080,72613,71136,97437,94321,89587,95506,101745,97884,107505,111657,119911,123976,131386,127086,136996,139214,140812
"48000","Texas","6","SA25 1/","110","07","        Agricultural services",27262,29694,30597,32827,34732,37241,40158,43298,45646,50612,54529,54928,54796,55887,58489,63142,67072,65295,90748,87321,82864,88984,95401,91932,100341,104115,112737,115953,122836,117372,125806,126942,"(NA)"
"48000","Texas","6","SA25 1/","120","...","        Forestry and fishing",4494,4358,4841,5220,5199,5049,5276,6361,6844,7344,7174,6878,6207,5526,5753,4938,5541,5841,6689,7000,6723,6522,6344,5952,7164,7542,7174,8023,8550,9714,11190,12272,"(NA)"
"48000","Texas","6","SA25 1/","121","08","          Forestry",536,603,632,791,600,751,945,1083,1328,1527,1465,1497,1624,1358,1411,1474,1509,1590,1455,1510,1669,1543,1408,1546,1552,1805,1835,2015,2339,2732,3242,3666,"(NA)"
"48000","Texas","6","SA25 1/","122","...","          Fishing",3958,3755,4209,4429,4599,4298,4331,5278,5516,5817,5709,5381,4583,4168,4342,3464,4032,4251,5234,5490,5054,4979,4936,4406,5612,5737,5339,6008,6211,6982,7948,8606,"(NA)"
"48000","Texas","6","SA25 1/","200","B","      Mining",137730,139728,138573,135018,143620,156692,171269,180658,202964,236999,264012,313852,402663,424855,390589,404360,405047,327014,316304,312769,293827,291949,294530,268475,288446,281812,255092,234883,249676,247019,228690,225256,246974
"48000","Texas","6","SA25 1/","210","10","        Metal mining",552,566,631,589,496,511,509,514,901,1249,1604,1731,2123,1979,1694,1378,1095,930,830,741,816,718,694,735,659,761,721,819,790,542,400,372,"(NA)"
"48000","Texas","6","SA25 1/","220","12","        Coal mining",13,22,21,30,50,63,72,155,252,470,607,721,1102,1136,1132,1471,1500,4222,4045,3961,3939,3897,3962,3818,3314,3111,2945,2946,2640,2610,2508,2490,"(NA)"
"48000","Texas","6","SA25 1/","230","13","        Oil and gas extraction",130269,132358,131558,128063,136515,149251,163850,173387,194743,227851,254085,303423,391175,413481,379470,393781,395521,315235,304920,301645,282899,281411,284565,258460,279201,272831,245951,225587,240405,237573,218793,215324,"(NA)"
"48000","Texas","6","SA25 1/","240","14","        Nonmetallic minerals, except fuels",6896,6782,6363,6336,6559,6867,6838,6602,7068,7429,7716,7977,8263,8259,8293,7730,6931,6627,6509,6422,6173,5923,5309,5462,5272,5109,5475,5531,5841,6294,6989,7070,"(NA)"
"48000","Texas","6","SA25 1/","300","C","      Construction",302856,297059,302002,324107,350083,372434,377291,413565,446539,493787,527062,525150,543556,558895,560586,596168,600307,553646,500662,486857,479929,490081,499134,514767,534155,571247,623699,658742,688500,728750,770390,800148,821633
"48000","Texas","6","SA25 1/","310","15","        General building contractors",92543,87221,84049,88577,97261,101502,88914,97307,98267,107557,113880,108853,113232,120288,123106,136291,132172,116506,99777,97712,87971,86090,85325,85319,89531,94777,101415,103248,110569,121318,130238,137278,"(NA)"
"48000","Texas","6","SA25 1/","320","16","        Heavy construction contractors",63345,64048,63629,67511,74499,86065,107671,116255,128272,142228,159433,158101,157328,145886,129726,130925,132999,124560,115861,110857,115256,111611,112408,106365,109492,106613,118233,119960,120446,129200,132402,140587,"(NA)"
"48000","Texas","6","SA25 1/","330","17","        Special trade contractors",146968,145790,154324,168019,178323,184867,180706,200003,220000,244002,253749,258196,272996,292721,307754,328952,335136,312580,285024,278288,276702,292380,301401,323083,335132,369857,404051,435534,457485,478232,507750,522283,"(NA)"
"48000","Texas","6","SA25 1/","400","D","      Manufacturing",771187,756053,728988,758671,811292,846752,825812,870023,916142,976515,1035456,1067291,1134041,1063904,982858,1019226,1023871,972859,967053,994175,1009668,1023168,1018634,1005335,1025813,1052862,1076609,1098027,1124713,1149852,1127044,1129116,1095766
"48000","Texas","6","SA25 1/","410","...","        Durable goods manufacturing",438265,416295,390071,411681,448204,473660,456833,479254,509055,558008,609218,637471,685935,631963,564000,594313,604031,562878,553751,572182,580759,589142,580656,561759,573099,595030,617280,640486,667218,695955,681698,689267,668360
"48000","Texas","6","SA25 1/","413","24","          Lumber and wood products",24539,23476,24805,27719,29134,28376,30638,33670,36663,39160,39038,38611,39396,39009,42459,45656,43390,39860,38408,37598,35861,35851,34762,35943,40215,43837,46000,48703,50615,51894,53523,52188,"(NA)"
"48000","Texas","6","SA25 1/","417","25","          Furniture and fixtures",18206,17788,18122,19062,20443,20147,16645,17427,18087,19291,19236,17746,17712,16924,17522,19242,18711,18281,17334,17154,16975,17643,17479,17824,19612,20091,20343,20487,21666,21590,22542,23715,"(NA)"
"48000","Texas","6","SA25 1/","420","32","          Stone, clay, and glass products",30909,30674,30885,33019,35237,35926,34393,36623,38625,43272,46267,45457,47102,45618,47555,51074,52135,50087,47259,42002,41129,39343,37118,37289,38542,41225,41082,42068,43179,44698,46908,48302,"(NA)"
"48000","Texas","6","SA25 1/","423","33","          Primary metal industries",33807,34116,32528,33435,37955,40584,36583,37056,41281,43354,46528,47783,51928,43149,34091,36408,33639,28803,26830,29544,29061,29528,30559,28732,28693,30081,30017,30070,31043,31519,30947,32009,"(NA)"
"48000","Texas","6","SA25 1/","426","34","          Fabricated metal products",53729,55675,57358,60622,67520,72945,78272,79722,81950,89975,94085,99156,103677,94340,81756,85107,85135,77663,74595,76758,78752,83318,86051,86100,87136,91377,96932,99298,104643,109116,109215,111403,"(NA)"
"48000","Texas","6","SA25 1/","429","35","          Industrial machinery and equipment",72541,70973,67558,74091,83399,96900,103677,109398,117143,133616,149071,160799,194607,173531,130755,134531,135724,107510,103072,110546,112333,118412,121283,113449,115394,123080,131633,135152,141889,149761,139067,141187,"(NA)"
"48000","Texas","6","SA25 1/","432","36","          Electronic and other electric equipment",60198,55782,50692,54305,62531,69394,59188,68534,76290,84987,101911,109415,104038,100782,98860,106500,115939,117237,116428,106308,107839,107901,105277,99081,101969,106920,115295,121906,127961,134307,130346,138995,"(NA)"
"48000","Texas","6","SA25 1/","435","371","          Motor vehicles and equipment",11679,9631,9464,11012,12189,13591,12056,12344,14752,15576,16144,13726,15215,13314,13999,16523,16010,13894,15174,17472,17381,15420,13656,13595,14600,16968,17683,16918,17318,18690,19862,19655,"(NA)"
"48000","Texas","6","SA25 1/","438","372-379","          Other transportation equipment",96364,85311,66586,62078,60263,58677,55833,53815,51746,56160,63526,67815,70078,63967,57395,58793,62600,69899,75388,79819,83049,81606,73435,68074,65443,58146,55301,58782,61717,65854,63881,59881,"(NA)"
"48000","Texas","6","SA25 1/","441","38","          Instruments and related products",12550,14089,13464,15988,18363,16457,16447,16689,18366,17826,17714,20513,25170,24829,22749,23292,23444,22434,21285,36571,38075,39963,40359,40699,40595,38916,38599,42316,41258,41716,39125,35715,"(NA)"
"48000","Texas","6","SA25 1/","444","39","          Miscellaneous manufacturing industries",9533,10303,11495,12341,13189,13683,13101,13976,14152,14791,15698,16450,17012,16500,16859,17187,17304,17210,17978,18410,20304,20157,20677,20973,20900,24389,24395,24786,25929,26810,26282,26217,"(NA)"
"48000","Texas","6","SA25 1/","447","...","          Ordnance 3/",14210,8477,7114,8009,7981,6980,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"48000","Texas","6","SA25 1/","450","...","        Nondurable goods manufacturing",332922,339758,338917,346990,363088,373092,368979,390769,407087,418507,426238,429820,448106,431941,418858,424913,419840,409981,413302,421993,428909,434026,437978,443576,452714,457832,459329,457541,457495,453897,445346,439849,427406
"48000","Texas","6","SA25 1/","453","20","          Food and kindred products",86429,86895,85804,85702,86867,89219,89688,93660,96471,97116,97715,97980,98409,96603,93831,94242,95579,96906,97319,96718,97909,98969,97861,97303,97778,97625,99562,100738,101132,101368,101737,102145,"(NA)"
"48000","Texas","6","SA25 1/","456","21","          Tobacco products",102,98,103,99,118,135,121,105,101,104,113,127,141,"(D)","(D)",153,183,181,97,98,102,102,93,96,94,87,85,94,96,"(D)","(D)","(D)","(NA)"
"48000","Texas","6","SA25 1/","459","22","          Textile mill products",7717,7294,6982,7525,8245,7925,6768,6959,6881,6431,6082,5948,5999,"(D)","(D)",5014,5005,4564,3967,3721,3996,3744,4228,4451,4401,4039,4124,4013,3959,"(D)","(D)","(D)","(NA)"
"48000","Texas","6","SA25 1/","462","23","          Apparel and other textile products",59085,61803,65207,68309,74648,75080,71052,75297,74120,75705,74696,75275,74295,65937,61527,61859,57796,53844,56770,61364,62165,60877,61361,65467,70320,71606,69546,65829,62496,56685,51506,46252,"(NA)"
"48000","Texas","6","SA25 1/","465","26","          Paper and allied products",17572,17182,16532,16969,17650,17362,17454,19150,21369,21476,22095,22170,22960,22168,22161,24029,23677,23310,23881,24192,24744,25200,25953,26755,27469,28747,29643,29981,30195,30187,29875,29345,"(NA)"
"48000","Texas","6","SA25 1/","468","27","          Printing and publishing",42570,43919,43046,46031,48582,49848,49782,51913,55749,59139,63487,67619,70671,72870,74268,78805,80702,82355,82263,82379,81766,82563,82776,80564,81397,84043,83442,83924,85301,85722,82991,82431,"(NA)"
"48000","Texas","6","SA25 1/","471","28","          Chemicals and allied products",65218,65728,63919,62521,64101,67530,68164,71650,74536,78100,80278,81477,83529,82592,78025,77337,78560,75702,75632,78863,81234,83741,85753,87326,86937,85905,85172,85577,87021,87104,86138,85749,"(NA)"
"48000","Texas","6","SA25 1/","474","29","          Petroleum and coal products",36579,37955,38010,36576,36391,37761,38920,41478,43391,43526,43069,39907,47085,44024,43653,40907,37192,33870,32784,29047,28711,29203,30328,30690,29893,28963,28190,27337,26121,25426,25196,24374,"(NA)"
"48000","Texas","6","SA25 1/","477","30","          Rubber and miscellaneous plastics products",12926,13755,13932,16837,19776,21269,20091,22505,26230,28805,31012,30855,34189,31860,31252,34522,33372,31866,33178,37880,40485,41945,41624,42395,45380,47706,50515,51766,53419,55370,56258,58155,"(NA)"
"48000","Texas","6","SA25 1/","480","31","          Leather and leather products",4724,5129,5382,6421,6710,6963,6939,8052,8239,8105,7691,8462,10828,10246,8900,8045,7774,7383,7411,7731,7797,7682,8001,8529,9045,9111,9050,8282,7755,7790,7121,6573,"(NA)"
"48000","Texas","6","SA25 1/","500","E","      Transportation and public utilities",268695,275733,276363,287732,305300,321475,320286,321066,341177,361944,383271,399404,420873,424757,406967,421738,431434,423760,434993,437336,455942,478542,484758,486659,505337,525964,547630,568723,596535,637814,665354,703115,708322
"48000","Texas","6","SA25 1/","510","40","        Railroad transportation",29318,29008,27714,28127,29470,30676,29814,28955,29197,28999,29739,30070,29662,25515,22466,23017,22369,20244,18947,18482,18065,16510,15888,15598,15141,15018,15831,14784,15265,16299,16460,15502,"(NA)"
"48000","Texas","6","SA25 1/","520","42","        Trucking and warehousing",77546,77652,77606,83939,90424,94132,92002,93460,103712,112656,116832,120849,125966,122137,114690,123596,127384,126190,131918,124922,130294,133977,134106,135348,145758,152535,161042,170653,178152,199716,210737,221733,"(NA)"
"48000","Texas","6","SA25 1/","530","44","        Water transportation",18736,20852,20914,21235,23532,24841,22645,19769,21313,22896,22942,23113,24977,23586,20263,20011,17869,15844,16481,15768,16012,16288,18059,16538,16939,18336,18122,17289,17787,18529,17624,18507,"(NA)"
"48000","Texas","6","SA25 1/","540","41, 45-47","        Other transportation",45779,45746,45499,46469,48559,52176,53480,54915,56412,59041,64511,68714,73171,73768,73775,80838,86897,90154,99324,112374,124168,136513,140934,147396,154156,161654,167352,174010,181495,192712,201110,210786,"(NA)"
"48000","Texas","6","SA25 1/","541","41","          Local and interurban passenger transit",11070,11199,11100,11119,11079,10775,11077,11160,11232,11460,9972,9844,10262,10606,10459,10677,11098,11379,12433,12773,13479,14052,16684,17368,18287,20053,21661,23179,26353,29026,29797,31046,"(NA)"
"48000","Texas","6","SA25 1/","542","45","          Transportation by air",23639,23538,23000,23772,24960,27275,27882,28007,29165,30635,35407,37414,38672,37763,37495,42865,47224,49912,56956,68853,78086,86381,84953,91755,94907,98446,101157,103909,106574,112938,120143,125943,"(NA)"
"48000","Texas","6","SA25 1/","543","46","          Pipelines, except natural gas",5816,5421,5411,5383,4775,4695,4692,4930,4872,5121,5227,5754,5902,5487,5351,4853,4975,4690,4666,4796,4505,4368,4612,4541,4487,3736,3698,3731,3516,3427,3435,3394,"(NA)"
"48000","Texas","6","SA25 1/","544","47","          Transportation services",5254,5588,5988,6195,7745,9431,9829,10818,11143,11825,13905,15702,18335,19912,20470,22443,23600,24173,25269,25952,28098,31712,34685,33732,36475,39419,40836,43191,45052,47321,47735,50403,"(NA)"
"48000","Texas","6","SA25 1/","560","48","        Communications",50799,54385,54867,56223,60073,64505,66324,67827,71341,75771,81513,84913,91516,99246,93975,92082,92993,90234,87919,85168,86791,93153,92946,91687,96090,100850,108746,117730,131042,137781,145488,161484,"(NA)"
"48000","Texas","6","SA25 1/","570","49","        Electric, gas, and sanitary services",46517,48090,49763,51739,53242,55145,56021,56140,59202,62581,67734,71745,75581,80505,81798,82194,83922,81094,80404,80622,80612,82101,82825,80092,77253,77571,76537,74257,72794,72777,73935,75103,"(NA)"
"48000","Texas","6","SA25 1/","610","F","      Wholesale trade",271705,277969,285129,298174,308361,317075,340866,359167,369908,390985,413402,433659,453202,456408,441838,452485,460625,445724,441387,449237,459519,467907,481417,483850,486882,490660,506465,519039,540894,566495,571967,588584,571778
"48000","Texas","6","SA25 1/","620","G","      Retail trade",773627,789554,815004,838014,886354,914092,935095,998586,1043210,1097527,1148387,1187134,1247196,1292497,1304298,1383571,1429780,1411974,1437692,1442532,1474228,1510199,1545487,1582654,1629988,1699572,1759764,1814164,1855153,1875829,1926556,1988540,2017430
"48000","Texas","6","SA25 1/","621","52","        Building materials and garden equipment",39953,39805,42292,43141,44434,43504,39278,42247,46075,48051,49840,49720,50135,53085,57299,60371,59584,54591,49445,48373,46529,45142,46130,48579,51012,54219,58743,62673,65183,67149,70442,71623,"(NA)"
"48000","Texas","6","SA25 1/","622","53","        General merchandise stores",138480,142807,148013,150088,158716,159657,135008,140864,135711,142897,148683,151316,153818,154325,152122,161250,164126,165566,164011,171319,183952,184517,181694,184125,193493,205660,212926,212088,210378,214862,221341,231652,"(NA)"
"48000","Texas","6","SA25 1/","623","54","        Food stores",119235,122962,125966,123486,129130,136884,143702,152416,157182,166382,177556,187605,202802,212952,217181,230505,240745,245520,248021,241596,246372,253305,258958,259107,261577,262317,261832,267447,266921,263914,266245,270078,"(NA)"
