"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"06000","California","8","SA27N 1/","20","...","Wage and salary employment by place of work (number of jobs)",14746957,15179482,15621983,15711109,15643112,15599828,15700214,15890483,16140320,16275235,16094500,15215311,14958113,15109943,15726659,16221907,16707395,17196853,17614572
"06000","California","8","SA27N 1/","70","111-112","  Farm wage and salary employment",246141,272437,238360,208090,240108,240949,210577,178410,158978,167672,155807,161057,167173,163477,158790,165882,180222,179440,176653
"06000","California","8","SA27N 1/","80","...","  Nonfarm wage and salary employment",14500816,14907045,15383623,15503019,15403004,15358879,15489637,15712073,15981342,16107563,15938693,15054254,14790940,14946466,15567869,16056025,16527173,17017413,17437919
"06000","California","8","SA27N 1/","90","113-814","    Private nonfarm wage and salary employment",12091804,12428090,12824416,12888863,12714094,12679855,12837128,13061492,13308743,13390635,13181127,12323620,12112855,12330255,12976597,13454561,13887614,14323060,14686648
"06000","California","8","SA27N 1/","100","113-115","      Forestry, fishing, and related activities",176458,175704,177262,168878,163816,168763,167684,178255,180151,186995,191447,181996,191774,195126,202791,212849,216779,222401,228201
"06000","California","8","SA27N 1/","101","113","        Forestry and logging",3906,3884,3538,3363,3219,3032,3026,2958,2827,2858,3069,2569,2700,2887,2865,2748,2607,2747,2377
"06000","California","8","SA27N 1/","102","114","        Fishing, hunting and trapping",1778,1682,1478,1028,909,837,770,634,623,595,603,614,586,503,471,449,560,537,525
"06000","California","8","SA27N 1/","103","115","        Support activities for agriculture and forestry",170774,170138,172246,164487,159688,164894,163888,174663,176701,183542,187775,178813,188488,191736,199455,209652,213612,219117,225299
"06000","California","8","SA27N 1/","200","21","      Mining, quarrying, and oil and gas extraction",24870,22331,22720,23770,21049,20443,21308,22127,23893,24904,26279,23953,24372,26290,28048,27858,28616,26190,22022
"06000","California","8","SA27N 1/","201","211","        Oil and gas extraction",8611,7460,7450,8096,7309,7169,7762,7620,8092,8127,8869,8613,8800,9107,9801,9924,9802,10559,9214
"06000","California","8","SA27N 1/","202","212","        Mining (except oil and gas)",7191,7403,7223,7105,6454,6309,6396,6507,6610,6380,5990,5478,5158,5253,5275,5315,5517,5425,5125
"06000","California","8","SA27N 1/","203","213","        Support activities for mining",9068,7468,8047,8569,7286,6965,7150,8000,9191,10397,11420,9862,10414,11930,12972,12619,13297,10206,7683
"06000","California","8","SA27N 1/","300","22","      Utilities",57275,56681,55491,54650,55197,55562,56176,56064,56455,58048,58774,60043,57109,58292,59386,58934,57872,57555,58639
"06000","California","8","SA27N 1/","400","23","      Construction",629875,699545,747276,804433,802053,822269,887325,940941,967930,925089,818257,650732,578257,578864,607023,655178,691523,751493,796342
"06000","California","8","SA27N 1/","401","236","        Construction of buildings",145396,160702,171229,183530,184676,190551,205819,222908,232195,222644,195354,153531,136507,136812,142000,150930,160142,171003,181343
"06000","California","8","SA27N 1/","402","237","        Heavy and civil engineering construction",78156,83179,87152,92613,93160,89931,90624,93828,96817,94848,87816,73648,67485,71232,77962,80225,79669,82394,84600
"06000","California","8","SA27N 1/","403","238","        Specialty trade contractors",406323,455664,488895,528290,524217,541787,590882,624205,638918,607597,535087,423553,374265,370820,387061,424023,451712,498096,530399
"06000","California","8","SA27N 1/","500","31-33","      Manufacturing",1853486,1820689,1845097,1791232,1642770,1541274,1526121,1506388,1499036,1460775,1422773,1284593,1240714,1246393,1252300,1252619,1271876,1294140,1305059
"06000","California","8","SA27N 1/","510","321,327-339","        Durable goods manufacturing",1203275,1177852,1203813,1170695,1056333,979910,968772,963639,956904,925115,898955,800206,769935,777645,781131,779730,793984,811332,817899
"06000","California","8","SA27N 1/","511","321","          Wood product manufacturing",42616,43785,44244,42698,40906,39694,39701,38864,36626,33224,28669,22639,20681,19817,19912,20923,22019,22553,23772
"06000","California","8","SA27N 1/","512","327","          Nonmetallic mineral product manufacturing",44462,45985,47680,47984,46307,45048,45836,47334,47386,45137,38773,31398,28808,27925,28266,28808,30339,31284,31846
"06000","California","8","SA27N 1/","513","331","          Primary metal manufacturing",30643,29928,30537,29168,26956,25411,25227,25111,25382,24942,24068,19975,18943,20143,20036,19188,18654,18429,17347
"06000","California","8","SA27N 1/","514","332","          Fabricated metal product manufacturing",170848,166626,172003,164462,146027,138444,140605,140776,141315,141697,140580,118777,115885,119998,124091,126225,130009,132396,130192
"06000","California","8","SA27N 1/","515","333","          Machinery manufacturing",108506,103366,107717,103747,92658,85665,81351,80411,80065,79579,77823,69104,66844,71084,71986,72247,72935,73522,73931
"06000","California","8","SA27N 1/","516","334","          Computer and electronic product manufacturing",427116,411443,426264,421377,363473,326703,321930,321892,319617,303649,300140,280061,273910,274018,270513,262460,262851,266520,273953
"06000","California","8","SA27N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",41453,41626,43722,43391,39776,36248,33095,32330,31998,31816,31767,28599,27994,28684,29147,28993,29504,30532,30988
"06000","California","8","SA27N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",44307,45068,45852,43505,42930,40684,41022,39666,39347,36453,34380,27784,22943,19798,19999,20041,24612,27598,29115
"06000","California","8","SA27N 1/","519","3364-3369","          Other transportation equipment manufacturing",120940,114283,106285,100445,94975,87671,89025,88379,87803,87498,88746,85199,81536,83440,82398,83180,82775,89495,87956
"06000","California","8","SA27N 1/","521","337","          Furniture and related product manufacturing",71396,74878,76478,73513,68064,62553,61945,60293,58094,51672,45474,34755,31566,31497,31489,32498,33959,35066,35700
"06000","California","8","SA27N 1/","522","339","          Miscellaneous manufacturing",100988,100864,103031,100405,94261,91789,89035,88583,89271,89448,88535,81915,80825,81241,83294,85167,86327,83937,83099
"06000","California","8","SA27N 1/","530","311-316,322-326","        Nondurable goods manufacturing",650211,642837,641284,620537,586437,561364,557349,542749,542132,535660,523818,484387,470779,468748,471169,472889,477892,482808,487160
"06000","California","8","SA27N 1/","531","311","          Food manufacturing",157571,155998,155938,159156,156083,155596,154944,152247,150028,152998,152424,148091,146577,149298,149889,150512,152599,155718,159183
"06000","California","8","SA27N 1/","532","312","          Beverage and tobacco product manufacturing",32372,32663,33665,36704,36360,35337,36625,37731,42110,43264,44542,43006,42109,42837,44748,47045,50537,54268,57508
"06000","California","8","SA27N 1/","533","313","          Textile mills",17024,17748,17739,15688,14843,12919,13801,13164,12492,11476,11135,9715,9147,9153,8860,9017,8534,8342,7553
"06000","California","8","SA27N 1/","534","314","          Textile product mills",19957,19314,19597,18408,17607,16771,16056,14799,13508,12883,12354,10300,9509,8548,8351,8665,8671,8837,8810
"06000","California","8","SA27N 1/","535","315","          Apparel manufacturing",128522,124101,121753,105930,95319,88471,86314,79107,77701,74608,70950,60713,58904,56718,56889,57410,55323,51699,47593
"06000","California","8","SA27N 1/","536","316","          Leather and allied product manufacturing",7503,6967,7094,6221,5575,4879,4402,4067,3958,4018,3855,3283,3454,3424,3427,3388,3095,2648,2748
