"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"11000","District of Columbia","2","SA27N 1/","20","...","Wage and salary employment by place of work (number of jobs)",652232,664926,684236,688978,704084,698723,705133,708394,715513,720920,724819,723857,732179,744088,749686,759102,767949,777160,789137
"11000","District of Columbia","2","SA27N 1/","70","111-112","  Farm wage and salary employment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia","2","SA27N 1/","80","...","  Nonfarm wage and salary employment",652232,664926,684236,688978,704084,698723,705133,708394,715513,720920,724819,723857,732179,744088,749686,759102,767949,777160,789137
"11000","District of Columbia","2","SA27N 1/","90","113-814","    Private nonfarm wage and salary employment",403340,419633,443493,443820,449971,448519,456389,461284,468341,477104,479533,472051,469820,482804,493273,506154,516194,528182,538108
"11000","District of Columbia","2","SA27N 1/","100","113-115","      Forestry, fishing, and related activities","(T)","(T)","(T)","(D)","(D)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia","2","SA27N 1/","101","113","        Forestry and logging","(T)","(T)","(T)","(D)","(D)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia","2","SA27N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia","2","SA27N 1/","103","115","        Support activities for agriculture and forestry","(T)","(T)","(T)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia","2","SA27N 1/","200","21","      Mining, quarrying, and oil and gas extraction",65,61,"(T)","(D)","(D)",44,26,"(D)",0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia","2","SA27N 1/","201","211","        Oil and gas extraction",49,47,"(T)",45,46,"(D)","(D)","(D)",0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia","2","SA27N 1/","202","212","        Mining (except oil and gas)","(T)","(T)","(T)","(L)","(D)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia","2","SA27N 1/","203","213","        Support activities for mining",0,"(T)","(T)","(D)","(D)","(D)","(D)","(D)",0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia","2","SA27N 1/","300","22","      Utilities",1829,2250,2730,"(D)","(D)",2594,2522,2601,2461,2398,2346,2459,1832,1830,1850,1891,1920,2005,1998
"11000","District of Columbia","2","SA27N 1/","400","23","      Construction",9369,9976,11702,12081,12978,13689,13084,"(D)",13305,13304,13596,12280,11108,12546,14047,14484,14728,15057,15827
"11000","District of Columbia","2","SA27N 1/","401","236","        Construction of buildings",3128,3551,4147,4069,4719,4984,4802,4915,4910,4374,4103,3687,3706,3914,4106,4134,3967,4164,4124
"11000","District of Columbia","2","SA27N 1/","402","237","        Heavy and civil engineering construction",2151,2178,2432,2313,2449,2253,1984,"(D)",1881,1979,2280,2253,2340,2586,2705,2671,2901,2858,3144
"11000","District of Columbia","2","SA27N 1/","403","238","        Specialty trade contractors",4090,4247,5123,5699,5810,6452,6298,6568,6514,6951,7213,6340,5062,6046,7236,7679,7860,8035,8559
"11000","District of Columbia","2","SA27N 1/","500","31-33","      Manufacturing",3557,3661,3643,3465,"(D)",2624,2486,2139,1781,1708,1623,1431,1275,1043,973,1008,1031,1104,1218
"11000","District of Columbia","2","SA27N 1/","510","321,327-339","        Durable goods manufacturing",1153,1195,1196,1357,"(D)",967,881,710,624,566,579,528,475,424,423,441,418,456,542
"11000","District of Columbia","2","SA27N 1/","511","321","          Wood product manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",0,0
"11000","District of Columbia","2","SA27N 1/","512","327","          Nonmetallic mineral product manufacturing","(T)","(T)","(T)",110,104,107,111,120,"(D)",108,117,99,70,73,83,89,101,110,121
"11000","District of Columbia","2","SA27N 1/","513","331","          Primary metal manufacturing","(T)","(T)","(T)",22,12,12,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(D)"
"11000","District of Columbia","2","SA27N 1/","514","332","          Fabricated metal product manufacturing","(T)","(T)","(T)",28,75,74,81,60,67,"(D)","(D)","(D)",75,60,66,52,38,49,43
"11000","District of Columbia","2","SA27N 1/","515","333","          Machinery manufacturing","(T)","(T)","(T)",73,52,41,34,27,22,17,10,10,"(L)","(L)","(D)","(D)","(D)","(D)","(D)"
"11000","District of Columbia","2","SA27N 1/","516","334","          Computer and electronic product manufacturing",238,253,253,"(D)",445,359,269,224,145,134,142,141,139,82,65,54,42,"(D)","(D)"
"11000","District of Columbia","2","SA27N 1/","517","335","          Electrical equipment, appliance, and component manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11000","District of Columbia","2","SA27N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",92,103,106,"(D)","(D)","(D)","(D)","(D)",0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia","2","SA27N 1/","519","3364-3369","          Other transportation equipment manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",0,0,0,0,0,0,0,0
"11000","District of Columbia","2","SA27N 1/","521","337","          Furniture and related product manufacturing","(T)","(T)","(T)",152,136,135,133,132,131,128,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11000","District of Columbia","2","SA27N 1/","522","339","          Miscellaneous manufacturing",255,236,245,194,173,160,166,83,85,71,"(D)","(D)","(D)","(D)",54,"(D)","(D)","(D)",98
"11000","District of Columbia","2","SA27N 1/","530","311-316,322-326","        Nondurable goods manufacturing",2404,2466,2447,2108,"(D)",1657,1605,1429,1157,1142,1044,903,800,619,550,567,613,648,676
"11000","District of Columbia","2","SA27N 1/","531","311","          Food manufacturing",371,398,428,434,421,401,407,387,239,268,232,194,178,76,88,75,132,154,219
"11000","District of Columbia","2","SA27N 1/","532","312","          Beverage and tobacco product manufacturing","(T)",102,105,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11000","District of Columbia","2","SA27N 1/","533","313","          Textile mills","(T)","(T)","(T)","(L)","(D)","(D)","(D)","(D)","(D)","(L)",11,10,"(L)","(D)","(D)","(L)","(L)","(L)","(L)"
"11000","District of Columbia","2","SA27N 1/","534","314","          Textile product mills","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",26,24,24,"(D)",11,12,12,10,10,12,10
"11000","District of Columbia","2","SA27N 1/","535","315","          Apparel manufacturing","(T)","(T)","(T)",20,17,20,18,26,16,16,18,19,17,20,24,25,26,33,24
"11000","District of Columbia","2","SA27N 1/","536","316","          Leather and allied product manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(D)",0,0
"11000","District of Columbia","2","SA27N 1/","537","322","          Paper manufacturing","(T)","(T)","(T)",16,14,11,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11000","District of Columbia","2","SA27N 1/","538","323","          Printing and related support activities",1563,1577,1509,1323,1120,966,881,746,640,606,580,496,415,"(D)",247,254,257,234,217
"11000","District of Columbia","2","SA27N 1/","539","324","          Petroleum and coal products manufacturing","(T)","(T)","(T)",88,71,61,94,71,75,68,"(D)","(D)","(D)","(D)",0,0,0,0,0
"11000","District of Columbia","2","SA27N 1/","541","325","          Chemical manufacturing",215,221,214,"(D)","(D)","(D)","(D)",156,147,147,147,137,138,156,155,153,127,120,98
