"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"98000","Far West","8","SA27N 1/","20","...","Wage and salary employment by place of work (number of jobs)",21024810,21606960,22203631,22308851,22201019,22233712,22502408,22898573,23368079,23627265,23440704,22180586,21805855,22032978,22804094,23440828,24114819,24792004,25388192
"98000","Far West","8","SA27N 1/","70","111-112","  Farm wage and salary employment",326077,357339,315521,289904,321222,326421,291239,259401,241733,246967,241286,249517,256736,253867,253482,258334,273343,264562,262713
"98000","Far West","8","SA27N 1/","80","...","  Nonfarm wage and salary employment",20698733,21249621,21888110,22018947,21879797,21907291,22211169,22639172,23126346,23380298,23199418,21931069,21549119,21779111,22550612,23182494,23841476,24527442,25125479
"98000","Far West","8","SA27N 1/","90","113-814","    Private nonfarm wage and salary employment",17099912,17564789,18094757,18156085,17911104,17939595,18257129,18672552,19121063,19313516,19058344,17810172,17491278,17796258,18602035,19229880,19847070,20461330,20986095
"98000","Far West","8","SA27N 1/","100","113-115","      Forestry, fishing, and related activities",227358,226008,226623,"(D)",211554,217310,216265,227343,229574,236259,241269,232937,242651,247083,256915,268940,273899,281146,285148
"98000","Far West","8","SA27N 1/","101","113","        Forestry and logging",21672,21908,20949,19632,"(D)","(D)",18361,"(D)","(D)","(D)","(D)","(D)",12940,13502,"(D)","(D)","(D)",14461,"(D)"
"98000","Far West","8","SA27N 1/","102","114","        Fishing, hunting and trapping",6210,6060,5217,4046,3896,"(D)","(D)","(D)",3547,3424,3552,"(D)","(D)","(D)","(D)","(D)","(D)",3624,"(D)"
"98000","Far West","8","SA27N 1/","103","115","        Support activities for agriculture and forestry",199476,198040,200457,"(D)","(D)",195095,"(D)",206051,"(D)","(D)","(D)",215884,"(D)","(D)",239654,251401,256313,263061,268099
"98000","Far West","8","SA27N 1/","200","21","      Mining, quarrying, and oil and gas extraction",54684,49175,49094,"(D)",45498,44076,46385,49042,53455,56193,59051,54845,55707,59901,64130,64110,64643,61783,54310
"98000","Far West","8","SA27N 1/","201","211","        Oil and gas extraction",11709,10354,10223,11074,10111,9735,"(D)","(D)",11022,11411,"(D)","(D)",12392,12764,13733,14052,14060,14708,"(D)"
"98000","Far West","8","SA27N 1/","202","212","        Mining (except oil and gas)",26588,25319,23801,"(D)",21210,"(D)","(D)","(D)","(D)","(D)",24087,22132,21975,23434,24923,25256,24829,24850,24321
"98000","Far West","8","SA27N 1/","203","213","        Support activities for mining",16387,13502,15070,15933,14177,"(D)",14021,15434,"(D)","(D)","(D)","(D)",21340,23703,25474,24802,25754,22225,"(D)"
"98000","Far West","8","SA27N 1/","300","22","      Utilities",76598,75893,74458,73562,74464,74767,75548,74715,75234,76566,77800,79272,76197,77275,78582,78127,77026,76911,77817
