"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"15000","Hawaii","8","SA27N 1/","20","...","Wage and salary employment by place of work (number of jobs)",606429,607879,624169,628021,631241,642743,658782,675167,691638,700035,695147,667763,661830,669911,681247,693899,703475,715730,723454
"15000","Hawaii","8","SA27N 1/","70","111-112","  Farm wage and salary employment",7204,7018,7581,7053,7167,7198,6992,6790,6791,6331,5647,5378,5662,6528,6099,6176,7375,6734,6295
"15000","Hawaii","8","SA27N 1/","80","...","  Nonfarm wage and salary employment",599225,600861,616588,620968,624074,635545,651790,668377,684847,693704,689500,662385,656168,663383,675148,687723,696100,708996,717159
"15000","Hawaii","8","SA27N 1/","90","113-814","    Private nonfarm wage and salary employment",433060,436339,450592,453553,453334,463887,478314,495915,509956,517313,509079,481121,474096,481281,492070,504956,513047,523258,533681
"15000","Hawaii","8","SA27N 1/","100","113-115","      Forestry, fishing, and related activities",1738,1740,1668,1367,1351,1424,1390,1326,1360,1199,1227,1295,1311,1425,1473,1521,1544,1577,1528
"15000","Hawaii","8","SA27N 1/","101","113","        Forestry and logging","(T)","(T)","(T)","(D)",11,"(D)","(D)","(L)","(L)",12,14,25,17,11,10,"(L)",12,"(D)",13
"15000","Hawaii","8","SA27N 1/","102","114","        Fishing, hunting and trapping",340,341,329,"(D)",222,"(D)","(D)",150,139,141,143,164,150,133,118,113,116,"(D)",133
"15000","Hawaii","8","SA27N 1/","103","115","        Support activities for agriculture and forestry",1371,1370,1314,1092,1118,1207,1159,1168,1213,1046,1070,1106,1144,1281,1345,1399,1416,1428,1382
"15000","Hawaii","8","SA27N 1/","200","21","      Mining, quarrying, and oil and gas extraction",263,249,253,246,223,263,280,289,286,305,330,340,338,332,298,255,252,279,232
"15000","Hawaii","8","SA27N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",0,0,0,0,0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"15000","Hawaii","8","SA27N 1/","202","212","        Mining (except oil and gas)",263,249,253,246,223,"(D)","(D)","(D)","(D)","(D)",326,332,336,329,295,252,249,275,229
"15000","Hawaii","8","SA27N 1/","203","213","        Support activities for mining","(T)","(T)","(T)",0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"15000","Hawaii","8","SA27N 1/","300","22","      Utilities",2844,2819,2765,2667,2694,2694,2727,2874,2935,3020,3086,3193,3214,3328,3567,3771,3808,3827,3772
"15000","Hawaii","8","SA27N 1/","400","23","      Construction",23205,23079,25290,25362,26671,28905,30525,35884,38588,40256,39062,32512,29561,29303,30066,31643,32698,35660,38668
