"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"92000","Mideast","2","SA27N 1/","20","...","Wage and salary employment by place of work (number of jobs)",21556532,21990402,22477345,22447903,22312670,22219858,22381041,22563235,22798961,23007514,23046025,22335774,22214853,22415901,22660976,22876615,23182049,23506042,23775677
"92000","Mideast","2","SA27N 1/","70","111-112","  Farm wage and salary employment",53018,57190,63643,62099,62427,57830,53514,52303,52711,50867,48759,47233,50034,51703,61836,61451,61467,62955,69811
"92000","Mideast","2","SA27N 1/","80","...","  Nonfarm wage and salary employment",21503514,21933212,22413702,22385804,22250243,22162028,22327527,22510932,22746250,22956647,22997266,22288541,22164819,22364198,22599140,22815164,23120582,23443087,23705866
"92000","Mideast","2","SA27N 1/","90","113-814","    Private nonfarm wage and salary employment",17892399,18296782,18717309,18665580,18449852,18353562,18519956,18694966,18920687,19119972,19123114,18398495,18261513,18543630,18825927,19054033,19374655,19710625,19984202
"92000","Mideast","2","SA27N 1/","100","113-115","      Forestry, fishing, and related activities",18026,18166,18663,17340,"(D)",16867,17031,17527,17639,17511,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"92000","Mideast","2","SA27N 1/","101","113","        Forestry and logging",2945,3025,3029,2661,"(D)","(D)",2256,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"92000","Mideast","2","SA27N 1/","102","114","        Fishing, hunting and trapping",1469,1492,1435,972,914,"(D)",807,"(D)","(D)","(D)",625,"(D)","(D)","(D)",519,"(D)","(D)","(D)","(D)"
"92000","Mideast","2","SA27N 1/","103","115","        Support activities for agriculture and forestry",13612,13649,14199,13707,13656,13783,13968,14507,14759,14902,15599,16395,16878,16676,16709,16668,17775,18009,18433
"92000","Mideast","2","SA27N 1/","200","21","      Mining, quarrying, and oil and gas extraction",28402,27415,26528,26281,"(D)",24634,25907,27118,28613,29268,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"92000","Mideast","2","SA27N 1/","201","211","        Oil and gas extraction",2267,2156,2037,2103,"(D)","(D)","(D)",2036,"(D)","(D)","(D)","(D)",4294,"(D)","(D)",6531,"(D)","(D)",5804
"92000","Mideast","2","SA27N 1/","202","212","        Mining (except oil and gas)",23336,22477,21537,"(D)",20050,"(D)","(D)",20696,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"92000","Mideast","2","SA27N 1/","203","213","        Support activities for mining",2799,2782,2954,"(D)",3138,3281,3684,4386,"(D)",5709,6641,"(D)","(D)","(D)","(D)","(D)",19329,"(D)",10123
"92000","Mideast","2","SA27N 1/","300","22","      Utilities",107590,104870,108071,"(D)","(D)",98805,94405,90496,88355,87590,87360,87597,88076,87013,86112,85610,86629,90488,89821
"92000","Mideast","2","SA27N 1/","400","23","      Construction",840730,899510,944961,972858,970367,970663,994316,1009915,1041999,1054109,1034702,913723,854679,862188,871314,895737,924935,960837,993048
"92000","Mideast","2","SA27N 1/","401","236","        Construction of buildings",199143,213052,224837,231660,235014,237098,246462,253032,260429,260169,252692,217120,201565,200381,203168,210652,219753,231622,242343
"92000","Mideast","2","SA27N 1/","402","237","        Heavy and civil engineering construction",94156,98746,103419,105756,104852,103396,102940,102638,106288,105923,108005,103349,101233,104279,105400,105130,108689,110521,111760
"92000","Mideast","2","SA27N 1/","403","238","        Specialty trade contractors",547431,587712,616705,635442,630501,630169,644914,654245,675282,688017,674005,593254,551881,557528,562746,579955,596493,618694,638945
"92000","Mideast","2","SA27N 1/","500","31-33","      Manufacturing",2307820,2254964,2244735,2141452,"(D)",1858350,1802413,1765341,1733367,1685791,1637492,1468941,1418652,1417610,1408194,1396519,1393844,1393091,1384067
"92000","Mideast","2","SA27N 1/","510","321,327-339","        Durable goods manufacturing",1259211,1236134,1242596,1194217,"(D)",1018108,996002,983569,977129,956354,934048,821196,789077,798211,797374,790127,784166,785901,772613
"92000","Mideast","2","SA27N 1/","511","321","          Wood product manufacturing",47304,49036,50197,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",29787,29781,"(D)",34056,35256,35695
"92000","Mideast","2","SA27N 1/","512","327","          Nonmetallic mineral product manufacturing",83288,81069,82935,79999,75516,70688,68897,67349,"(D)",62355,60471,52860,50302,49665,49342,49214,49929,50656,51638
"92000","Mideast","2","SA27N 1/","513","331","          Primary metal manufacturing",96578,91997,91628,85226,77912,71134,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",51443
"92000","Mideast","2","SA27N 1/","514","332","          Fabricated metal product manufacturing",224837,223087,225240,216804,199451,187651,185297,187512,187718,"(D)","(D)","(D)",159725,162609,165130,164353,162574,162720,160014
"92000","Mideast","2","SA27N 1/","515","333","          Machinery manufacturing",195717,188448,181695,173088,153109,138351,133954,131918,132521,131983,131482,114523,108761,112780,"(D)","(D)","(D)","(D)","(D)"
"92000","Mideast","2","SA27N 1/","516","334","          Computer and electronic product manufacturing",220147,214523,223935,"(D)",197009,180068,175291,171968,171745,164969,162129,150718,145430,144109,139268,135440,131880,"(D)","(D)"
"92000","Mideast","2","SA27N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",71629,68298,67690,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"92000","Mideast","2","SA27N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",82174,82308,81226,73707,69401,64424,62324,59072,55972,50846,43525,32191,30685,30565,29870,29209,30008,31594,31830
"92000","Mideast","2","SA27N 1/","519","3364-3369","          Other transportation equipment manufacturing",51388,48828,48649,43371,41296,39546,40249,42067,43443,45233,47736,44910,42016,42104,"(D)",42201,39495,38440,35213
