"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"40000","Oklahoma","6","SA27N 1/","20","...","Wage and salary employment by place of work (number of jobs)",1516388,1532662,1563936,1577383,1556554,1525504,1545330,1575795,1618739,1648795,1677706,1625164,1607228,1626838,1658230,1680348,1700704,1707004,1688523
"40000","Oklahoma","6","SA27N 1/","70","111-112","  Farm wage and salary employment",10822,9995,11917,14344,12219,9758,11918,11589,10689,12103,12685,11383,9486,8747,10449,11413,9772,5799,7400
"40000","Oklahoma","6","SA27N 1/","80","...","  Nonfarm wage and salary employment",1505566,1522667,1552019,1563039,1544335,1515746,1533412,1564206,1608050,1636692,1665021,1613781,1597742,1618091,1647781,1668935,1690932,1701205,1681123
"40000","Oklahoma","6","SA27N 1/","90","113-814","    Private nonfarm wage and salary employment",1185182,1199041,1221586,1228275,1204779,1180883,1192079,1215619,1249938,1273941,1296301,1234356,1217262,1246015,1279703,1298410,1321482,1329339,1310232
"40000","Oklahoma","6","SA27N 1/","100","113-115","      Forestry, fishing, and related activities",4086,4042,4090,3755,3819,3878,3976,4088,4157,4131,4189,4212,4251,4130,4162,4337,4461,4567,4656
"40000","Oklahoma","6","SA27N 1/","101","113","        Forestry and logging",344,334,361,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"40000","Oklahoma","6","SA27N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"40000","Oklahoma","6","SA27N 1/","103","115","        Support activities for agriculture and forestry",3679,3669,3681,3458,3447,3532,3678,3784,3881,3887,3948,3960,3992,3879,3908,4107,4216,4304,4376
"40000","Oklahoma","6","SA27N 1/","200","21","      Mining, quarrying, and oil and gas extraction",29544,27868,27395,29954,28590,30423,32122,35650,41628,46268,50705,42592,43111,50919,57807,59588,61379,53534,43888
"40000","Oklahoma","6","SA27N 1/","201","211","        Oil and gas extraction",15260,14014,13574,13438,13215,13469,13612,14547,16192,17962,18515,18438,18695,21061,24016,24388,24166,23872,20902
"40000","Oklahoma","6","SA27N 1/","202","212","        Mining (except oil and gas)",2120,2072,2178,2008,2081,1988,1945,2135,2251,2411,2377,2086,1959,1936,1996,2016,2039,1994,2172
"40000","Oklahoma","6","SA27N 1/","203","213","        Support activities for mining",12164,11782,11643,14508,13294,14966,16565,18968,23185,25895,29813,22068,22457,27922,31795,33184,35174,27668,20814
"40000","Oklahoma","6","SA27N 1/","300","22","      Utilities",9689,9772,10108,10987,10787,9458,9481,9688,10007,10514,10966,11447,11230,11189,11729,11722,12021,12095,11495
"40000","Oklahoma","6","SA27N 1/","400","23","      Construction",60845,64106,66744,68888,67293,66102,65217,68747,73201,74360,78630,72370,69905,70483,72396,77103,77789,79529,79514
"40000","Oklahoma","6","SA27N 1/","401","236","        Construction of buildings",12434,13137,13768,14995,15975,14197,13807,14718,15512,16050,16812,14850,14586,14172,13386,13881,13590,13847,14761
"40000","Oklahoma","6","SA27N 1/","402","237","        Heavy and civil engineering construction",11342,11946,12628,14008,12456,11781,11117,11668,12273,12385,13088,12849,13007,13414,14944,17176,16763,16083,15898
"40000","Oklahoma","6","SA27N 1/","403","238","        Specialty trade contractors",37069,39023,40348,39885,38862,40124,40293,42361,45416,45925,48730,44671,42312,42897,44066,46046,47436,49599,48855
"40000","Oklahoma","6","SA27N 1/","500","31-33","      Manufacturing",170780,169758,172131,170250,152821,143779,143044,145062,149192,150292,150121,131768,125135,132136,137832,139057,142108,139491,131306
"40000","Oklahoma","6","SA27N 1/","510","321,327-339","        Durable goods manufacturing",112580,111636,113608,113595,100177,93569,93757,95852,100419,103051,103769,87555,81854,87932,94796,96168,98888,96561,87879
"40000","Oklahoma","6","SA27N 1/","511","321","          Wood product manufacturing",3598,3814,3786,3910,3860,3845,3813,3943,3808,3570,3144,2283,1930,1839,1752,1819,1949,2061,2192
"40000","Oklahoma","6","SA27N 1/","512","327","          Nonmetallic mineral product manufacturing",8634,8680,9087,8644,8217,8200,8469,8418,8636,8525,8521,7759,7203,6890,6929,7055,7146,7469,7509
"40000","Oklahoma","6","SA27N 1/","513","331","          Primary metal manufacturing",4321,4059,4506,4596,3644,3761,4069,4274,4577,4585,4947,3934,3844,4388,4708,4772,4305,3914,3553
"40000","Oklahoma","6","SA27N 1/","514","332","          Fabricated metal product manufacturing",25908,27151,27291,27992,25413,21691,21320,21750,23220,23768,24131,20893,19713,21711,24100,24279,25444,24660,21555
"40000","Oklahoma","6","SA27N 1/","515","333","          Machinery manufacturing",26282,24999,26269,27090,23313,22563,22974,24513,26793,29522,30837,26314,24264,27236,30304,30827,31803,30217,25751
"40000","Oklahoma","6","SA27N 1/","516","334","          Computer and electronic product manufacturing",12090,11165,11265,10476,6435,5753,5245,5472,5816,6277,6325,5671,4987,5023,5079,4949,4803,4772,4371
"40000","Oklahoma","6","SA27N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",2982,2770,2972,3180,3193,3126,3029,3040,3196,3252,3167,3112,3160,3079,2978,2792,2925,2976,3029
"40000","Oklahoma","6","SA27N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",14079,14724,14624,14955,13984,13008,12802,11829,11013,10079,9175,6527,5974,6156,6539,6627,7179,"(D)","(D)"
"40000","Oklahoma","6","SA27N 1/","519","3364-3369","          Other transportation equipment manufacturing",5849,5520,5381,4914,3945,4113,4717,4982,5527,6121,6484,5396,5468,6056,6718,7396,7685,"(D)","(D)"
"40000","Oklahoma","6","SA27N 1/","521","337","          Furniture and related product manufacturing",3806,3836,3538,3251,3100,2875,2918,2963,2878,2583,2562,1668,1505,1763,1954,1977,2097,2213,2192
"40000","Oklahoma","6","SA27N 1/","522","339","          Miscellaneous manufacturing",5031,4918,4889,4587,5073,4634,4401,4668,4955,4769,4476,3998,3806,3791,3735,3675,3552,3414,3323
"40000","Oklahoma","6","SA27N 1/","530","311-316,322-326","        Nondurable goods manufacturing",58200,58122,58523,56655,52644,50210,49287,49210,48773,47241,46352,44213,43281,44204,43036,42889,43220,42930,43427
"40000","Oklahoma","6","SA27N 1/","531","311","          Food manufacturing",18321,19068,19556,20302,19703,19515,19780,19526,19586,19287,18900,18411,17917,18016,17711,17430,17385,17198,17594
"40000","Oklahoma","6","SA27N 1/","532","312","          Beverage and tobacco product manufacturing",2299,2318,2422,2539,2240,2011,2127,2239,2328,2456,2780,2712,2737,2685,2638,2536,2609,2701,2725
"40000","Oklahoma","6","SA27N 1/","533","313","          Textile mills","(T)","(T)","(T)",108,107,84,117,105,124,133,164,178,185,192,220,184,148,143,137
"40000","Oklahoma","6","SA27N 1/","534","314","          Textile product mills",1207,1096,1021,927,749,646,695,743,773,772,726,648,596,588,606,592,592,607,625
"40000","Oklahoma","6","SA27N 1/","535","315","          Apparel manufacturing",4860,4331,4036,3206,2659,1862,1134,1116,1088,1085,1049,960,1006,1062,849,816,796,805,793
"40000","Oklahoma","6","SA27N 1/","536","316","          Leather and allied product manufacturing",578,548,490,430,310,278,243,257,233,290,287,270,264,312,312,308,316,272,258
"40000","Oklahoma","6","SA27N 1/","537","322","          Paper manufacturing",3968,4001,3993,3727,3501,3397,3347,3194,2875,2932,2943,2715,2666,2756,2805,2888,2936,2951,2901
"40000","Oklahoma","6","SA27N 1/","538","323","          Printing and related support activities",6315,6358,6149,5654,5047,4617,4250,4121,4009,3874,3610,3271,3174,2919,2613,2446,2446,2287,2391
"40000","Oklahoma","6","SA27N 1/","539","324","          Petroleum and coal products manufacturing",2515,2372,2287,2443,2232,2346,2080,2086,2151,2287,2459,2547,2336,2279,2272,2270,2389,2372,2330
"40000","Oklahoma","6","SA27N 1/","541","325","          Chemical manufacturing",4206,3837,3851,3619,3186,2913,2837,2929,2957,2911,2871,2727,2565,3300,3038,3406,3572,3498,3633
"40000","Oklahoma","6","SA27N 1/","542","326","          Plastics and rubber products manufacturing",13665,13998,14503,13700,12910,12541,12677,12894,12649,11214,10563,9774,9835,10095,9972,10013,10031,10096,10040
"40000","Oklahoma","6","SA27N 1/","600","42","      Wholesale trade",55675,55381,56386,56123,56046,54831,55035,57076,59320,60271,60230,56978,55821,58496,60705,62269,63653,60493,58601
"40000","Oklahoma","6","SA27N 1/","700","44-45","      Retail trade",171299,173676,177695,177466,174497,170473,168955,171529,172576,173584,175088,172027,169991,171988,174845,176309,179847,184618,185160
"40000","Oklahoma","6","SA27N 1/","701","441","        Motor vehicle and parts dealers",24058,24695,24917,25032,25007,24610,24122,24322,23496,23925,23887,23268,23002,23379,24482,25395,26310,26749,26700
"40000","Oklahoma","6","SA27N 1/","702","442","        Furniture and home furnishings stores",4929,4710,4908,4785,4741,4751,4632,4786,5006,5296,5234,4962,4748,4838,4846,4945,5077,5162,5021
"40000","Oklahoma","6","SA27N 1/","703","443","        Electronics and appliance stores",7055,7758,7438,6724,6751,5102,4843,4793,4619,4515,4571,4451,5088,5574,5541,5481,5581,6176,5791
"40000","Oklahoma","6","SA27N 1/","704","444","        Building material and garden equipment and supplies dealers",12299,12688,12545,12533,12986,13355,13804,14229,14980,15136,15354,14944,14846,15206,15323,16227,16425,16761,17231
"40000","Oklahoma","6","SA27N 1/","705","445","        Food and beverage stores",26897,26754,27210,26882,25682,24575,23650,23426,22871,21907,21707,21467,20570,20373,20690,22415,23660,24720,24558
"40000","Oklahoma","6","SA27N 1/","706","446","        Health and personal care stores",8612,9029,9477,9985,10106,10570,10331,10585,10962,11037,11292,11168,11274,11417,11771,11378,11467,11553,11337
"40000","Oklahoma","6","SA27N 1/","707","447","        Gasoline stations",16029,15263,15231,15285,14632,13592,13041,13022,13461,13782,14085,14114,14058,14368,15160,16030,16545,17318,17892
"40000","Oklahoma","6","SA27N 1/","708","448","        Clothing and clothing accessories stores",12239,11679,11716,11605,11183,10875,11027,11440,12049,12351,11879,11365,11399,11605,12248,12205,11622,11855,11922
"40000","Oklahoma","6","SA27N 1/","709","451","        Sporting goods, hobby, musical instrument, and book stores",6617,6776,7293,6800,6462,6356,6348,6636,7120,7111,7030,6808,6721,6171,6355,6808,6873,7101,7072
"40000","Oklahoma","6","SA27N 1/","711","452","        General merchandise stores",36921,38110,40383,41852,41934,42249,42928,44226,44201,45098,46389,46196,45555,46068,45902,42522,42928,43792,44485
"40000","Oklahoma","6","SA27N 1/","712","453","        Miscellaneous store retailers",11992,12468,12738,12400,11877,11344,11547,11676,11395,11342,11539,11277,10806,10967,10322,10569,10922,11105,10810
"40000","Oklahoma","6","SA27N 1/","713","454","        Nonstore retailers",3651,3746,3839,3583,3136,3094,2682,2388,2416,2084,2121,2007,1924,2022,2205,2334,2437,2326,2341
"40000","Oklahoma","6","SA27N 1/","800","48-49","      Transportation and warehousing",50739,49946,49794,47314,44931,43879,43637,44106,46014,47754,46547,44480,42000,43231,45200,46618,47738,52175,53000
"40000","Oklahoma","6","SA27N 1/","801","481","        Air transportation",10312,10874,10852,10903,10677,10038,9412,8932,8724,8749,7925,7560,7404,7645,7541,6472,6115,5921,6012
"40000","Oklahoma","6","SA27N 1/","802","482","        Rail transportation",1847,1815,1662,1456,"(D)",1455,1585,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1981,1750
"40000","Oklahoma","6","SA27N 1/","803","483","        Water transportation","(T)","(T)","(T)","(D)",0,0,0,0,"(D)","(D)",0,0,0,0,0,0,0,0,0
"40000","Oklahoma","6","SA27N 1/","804","484","        Truck transportation",21381,20001,19987,19740,18320,17369,17448,17794,19448,20067,19625,18850,16396,17313,18572,19044,19339,19698,18993
"40000","Oklahoma","6","SA27N 1/","805","485","        Transit and ground passenger transportation",1583,1854,1658,737,"(D)",841,868,907,891,942,884,780,856,945,1025,1024,1096,1076,968
"40000","Oklahoma","6","SA27N 1/","806","486","        Pipeline transportation",2177,1815,1736,1342,1295,1308,1400,1391,1388,1769,1879,1900,1913,1912,1947,2318,2808,2647,2512
"40000","Oklahoma","6","SA27N 1/","807","487","        Scenic and sightseeing transportation","(T)","(T)","(T)",134,76,32,31,"(D)","(D)",17,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",52,50
"40000","Oklahoma","6","SA27N 1/","808","488","        Support activities for transportation",5245,5340,5337,4416,4276,5012,5085,5250,5373,5819,6094,6025,6094,6042,6040,6256,6304,6392,6516
"40000","Oklahoma","6","SA27N 1/","809","492","        Couriers and messengers",4338,4349,4447,"(D)",4287,4288,4226,4254,4324,4371,4362,4172,4040,4032,4075,4228,4559,4746,4825
"40000","Oklahoma","6","SA27N 1/","811","493","        Warehousing and storage",3698,3718,3875,4176,3768,3536,3582,3844,4053,4180,3977,3476,3626,3506,4101,5370,5497,9662,11374
"40000","Oklahoma","6","SA27N 1/","900","51","      Information",31466,31948,35128,36766,35072,30730,29898,29448,29063,27984,28035,26503,24994,24136,22697,21846,21733,21142,21142
"40000","Oklahoma","6","SA27N 1/","901","511","        Publishing industries (except Internet)",6854,6407,6842,6596,6658,6605,6526,6381,6508,6603,6523,5974,5501,5454,5409,5358,5200,5047,4983
"40000","Oklahoma","6","SA27N 1/","902","512","        Motion picture and sound recording industries",2194,2239,2142,2181,2020,1825,1797,1653,1609,1642,1967,2087,2078,1893,1975,1894,1874,2138,2134
"40000","Oklahoma","6","SA27N 1/","903","515","        Broadcasting (except Internet)",5877,5750,6001,6783,6007,5108,4803,4779,4417,3641,3660,3416,3328,3229,3099,3036,3025,2990,2945
"40000","Oklahoma","6","SA27N 1/","904","516","        Internet publishing and broadcasting 2/","(T)","(T)","(T)",133,137,168,152,173,175,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"40000","Oklahoma","6","SA27N 1/","905","517","        Telecommunications",13309,13979,16199,16914,16055,13304,13377,13196,13127,14022,13873,12935,11850,11780,10324,9603,9759,9085,9221
"40000","Oklahoma","6","SA27N 1/","906","518","        Data processing, hosting, and related services",2813,3205,3465,3737,3856,3539,3032,3011,2983,1599,1578,1672,1845,1368,1479,1490,1390,1285,1314
"40000","Oklahoma","6","SA27N 1/","907","519","        Other information services 2/",339,279,349,422,339,181,211,255,244,477,434,419,392,412,411,465,485,597,545
"40000","Oklahoma","6","SA27N 1/","1000","52","      Finance and insurance",53856,53781,54050,55066,55590,56379,56980,56110,57188,58196,59110,58385,57750,57873,59163,58807,59785,60265,60151
"40000","Oklahoma","6","SA27N 1/","1001","521","        Monetary Authorities-central bank","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"40000","Oklahoma","6","SA27N 1/","1002","522","        Credit intermediation and related activities",29995,29734,29348,29747,30023,30554,30882,30292,30945,31685,32245,32428,31995,31819,32183,32231,32275,32266,32382
