"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"55000","Wisconsin","3","SA27N 1/","20","...","Wage and salary employment by place of work (number of jobs)",2786851,2849132,2892663,2871558,2849760,2854799,2884851,2904022,2926949,2941025,2933114,2803897,2783755,2812907,2842635,2876051,2914369,2947354,2981103
"55000","Wisconsin","3","SA27N 1/","70","111-112","  Farm wage and salary employment",21253,23062,22263,20694,19208,24091,23777,24504,22695,23591,24344,22424,23031,24276,21305,25245,24495,22635,22732
"55000","Wisconsin","3","SA27N 1/","80","...","  Nonfarm wage and salary employment",2765598,2826070,2870400,2850864,2830552,2830708,2861074,2879518,2904254,2917434,2908770,2781473,2760724,2788631,2821330,2850806,2889874,2924719,2958371
"55000","Wisconsin","3","SA27N 1/","90","113-814","    Private nonfarm wage and salary employment",2361038,2415913,2452627,2428370,2402318,2400694,2432775,2454585,2477717,2489994,2476854,2345448,2323123,2355343,2387430,2416575,2453583,2490440,2521023
"55000","Wisconsin","3","SA27N 1/","100","113-115","      Forestry, fishing, and related activities",5515,5268,5031,4857,4736,4759,4800,4821,4919,4991,5154,5486,5557,5578,5712,5854,5927,6254,6563
"55000","Wisconsin","3","SA27N 1/","101","113","        Forestry and logging",1351,1316,1257,1196,1153,1094,1048,1069,990,828,821,772,770,787,801,726,709,752,806
"55000","Wisconsin","3","SA27N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",122,104,90,89,80,83,79,74,88,116,106,92,79,73,77,68
"55000","Wisconsin","3","SA27N 1/","103","115","        Support activities for agriculture and forestry",3999,3788,3617,3539,3479,3575,3663,3672,3846,4084,4259,4626,4671,4685,4819,5049,5145,5425,5689
"55000","Wisconsin","3","SA27N 1/","200","21","      Mining, quarrying, and oil and gas extraction",2986,2957,2707,2772,2738,2769,2917,2980,3050,2846,2631,2308,2227,2304,2752,3009,3407,3448,3001
"55000","Wisconsin","3","SA27N 1/","201","211","        Oil and gas extraction",16,"(T)",15,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"55000","Wisconsin","3","SA27N 1/","202","212","        Mining (except oil and gas)",2876,2847,2592,2742,2705,2754,2901,2959,3026,2815,2612,2290,2214,2271,2667,2910,3291,3398,2962
"55000","Wisconsin","3","SA27N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"55000","Wisconsin","3","SA27N 1/","300","22","      Utilities",12588,13019,13372,12248,11810,11622,11632,11505,11330,11145,11319,11273,11109,10915,10898,10707,10418,10537,9701
"55000","Wisconsin","3","SA27N 1/","400","23","      Construction",117081,125049,128425,130156,129692,130265,133317,133247,132824,131065,123222,106717,98034,95771,96380,101451,106461,112732,115706
"55000","Wisconsin","3","SA27N 1/","401","236","        Construction of buildings",29171,31407,31824,32402,32461,32652,33352,33266,32515,31636,29502,24788,22885,21988,22446,23482,24787,26522,27600
"55000","Wisconsin","3","SA27N 1/","402","237","        Heavy and civil engineering construction",13537,13725,14303,14636,14282,14364,14357,14251,15435,16759,16182,15125,13098,12634,12770,13484,14341,15103,14002
"55000","Wisconsin","3","SA27N 1/","403","238","        Specialty trade contractors",74373,79917,82298,83118,82949,83249,85608,85730,84874,82670,77538,66804,62051,61149,61164,64485,67333,71107,74104
"55000","Wisconsin","3","SA27N 1/","500","31-33","      Manufacturing",595548,595231,593951,559740,527078,506812,505612,508122,508630,503035,494427,436994,431403,445485,456419,458076,465392,468006,464944
"55000","Wisconsin","3","SA27N 1/","510","321,327-339","        Durable goods manufacturing",377341,374574,373278,348203,324341,311502,313522,319134,321437,317337,310973,264058,258744,270621,279646,279725,283794,284935,280152
"55000","Wisconsin","3","SA27N 1/","511","321","          Wood product manufacturing",27291,28067,27880,27153,26204,25810,26421,26447,26156,24417,21999,17766,16393,16351,16193,16519,17094,17365,17472
