"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"12000","Florida","5","SA30","10","...","Personal income (thousands of dollars)",9080435,10006318,10479655,11106051,11986123,12880384,14111984,15452114,16977969,18785941,21611770,25165121,28474028,31975467,36785616,42791356,48155185,52615177,57334261,64182990,74169866,85170098,100174719,115826766,125266195,139241897,154951730,170340970,184230468,199396960,218709966,244145082,260093568,270301132,286472913,304269718,320445032,344347697,366382132,388030818,419558498,441185618,477315998,503630546,522698930,546581820,593212601,647093731,703750490,730814302,734691254,691355724,728063852,773315948,793103892,798885890,856491910,919957986,947207472
"12000","Florida","5","SA30","45","...","Net earnings by place of residence",6790922,7481964,7733889,8072555,8667808,9270561,10232345,11151574,12250381,13363305,15138134,17413810,19253895,21347630,24664629,28519765,31226198,32703430,35529440,39697228,45875239,52154191,59865860,66674107,71179047,79255591,87936968,96293624,104578796,115261813,126622190,135179897,144014378,150125938,161024686,172147728,181460057,193364551,206356419,218818690,239633773,258164581,281307400,298950427,313525666,329098491,351612413,381813157,406369210,410837737,399961514,376888321,389169026,404074439,419661997,425886726,451301564,482024212,501489811
"12000","Florida","5","SA30","50","...","Personal current transfer receipts",579523,655266,715331,829014,928204,1011232,1054863,1171147,1305877,1627975,1935566,2194620,2645521,3187608,3754637,4560714,5497460,7182922,7978095,8729983,9698383,11236991,13379005,15629475,17688603,19341241,20596923,22223719,23945326,25386489,27805241,31369983,34381853,38635256,44345115,47481787,50618558,54672490,57846599,60005415,61368926,63796719,68009653,74145343,79825686,85267311,91676681,98516769,105139955,111894391,127187514,138598656,151603226,157780542,156282942,161252437,171404556,180953950,187912012
"12000","Florida","5","SA30","60","...","  Income maintenance benefits 1/",72314,73715,72437,85856,104253,108743,100398,96325,102365,107281,112812,129797,153628,205298,289346,354725,434434,563717,689424,708580,704171,825652,1086866,1202641,1194054,1212984,1209009,1237513,1321866,1393180,1616924,1910479,2289877,2934528,4157697,4249227,4505587,5067342,5231504,5324031,5251536,5282976,5464688,5696596,6368448,7302480,8688416,9790903,9620206,9826277,10853686,13125602,15325242,16382249,16619270,17249087,17079506,17399290,17277783
"12000","Florida","5","SA30","70","...","  Unemployment insurance compensation",36813,29775,38502,58992,41440,39434,32188,24669,20489,23474,25247,24059,41586,84977,87325,71306,160105,503912,427149,269387,158338,167238,223360,219015,390036,424953,292945,296093,340613,311445,321687,372502,517932,931549,1563254,1250614,838955,721770,721000,696616,681623,701844,708197,1034341,1691441,1621597,1177059,919005,841481,1161277,2298754,6031135,6581723,4433903,2993936,2078873,958155,638188,517398
"12000","Florida","5","SA30","80","...","  Retirement and other",470396,551776,604392,684166,782511,863055,922277,1050153,1183023,1497220,1797507,2040764,2450307,2897333,3377966,4134683,4902921,6115293,6861522,7752016,8835874,10244101,12068779,14207819,16104513,17703304,19094969,20690113,22282847,23681864,25866630,29087002,31574044,34769179,38624164,41981946,45274016,48883378,51894095,53984768,55435767,57811899,61836768,67414406,71765797,76343234,81811206,87806861,94678268,100906837,114035074,119441919,129696261,136964390,136669736,141924477,153366895,162916472,170116831
"12000","Florida","5","SA30","90","...","Dividends, interest, and rent",1709990,1869088,2030435,2204482,2390111,2598591,2824776,3129393,3421711,3794661,4538070,5556691,6574612,7440229,8366350,9710877,11431527,12728825,13826726,15755779,18596244,21778916,26929854,33523184,36398545,40645065,46417839,51823627,55706346,58748658,64282535,77595202,81697337,81539938,81103112,84640203,88366417,96310656,102179114,109206713,118555799,119224318,127998945,130534776,129347578,132216018,149923507,166763805,192241325,208082174,207542226,175868747,187291600,211460967,217158953,211746727,233785790,256979824,257805649
"12000","Florida","5","SA30","91","...","  Personal dividend income",385028,418429,443828,472906,526179,578318,657948,739764,796302,867487,1150758,1257697,1341692,1460285,1651327,1896305,2148721,2159352,2601991,3005418,3594064,4235098,4955911,5885398,5729361,6664075,7218651,8064484,9014536,9731931,11193671,13711575,14740480,15756292,16308880,17777687,20046709,21832571,25441325,28280923,30731039,30624236,34167778,34680474,37744776,41728103,55181473,61102309,72964391,80020111,73079355,48513452,48260368,63606235,77079184,72514330,86294901,96803119,91029279
"12000","Florida","5","SA30","92","...","  Personal interest income",886167,986981,1078813,1193318,1284790,1412598,1536861,1730684,1934195,2196064,2646347,3512598,4439201,5117086,5810354,6918773,8439544,9724837,10462759,12121461,14342207,16869285,21127212,26481299,29425985,32712418,37927502,42186361,45277899,47659704,51521816,62323096,64976571,63042811,61154705,61733490,62204291,67782736,69058956,73068709,78979025,78911230,83853786,84578954,79312568,76738515,79401205,90116317,105051859,115867857,117944520,106762962,116014177,121231763,111362073,107783763,113395118,121756133,125766298
"12000","Florida","5","SA30","93","...","    Imputed interest receipts 2/",359871,398322,441144,487190,532088,602760,684154,765323,854862,965190,1109054,1533040,2017342,2351552,2701108,3070736,3679109,4634152,4859744,5492385,6494764,6859839,8088718,9232692,10851414,13957427,14970038,18012649,20130833,22378664,23922958,27124046,28743148,29810709,31220069,33346804,33897272,36865278,37474296,40828464,41612226,43080534,45002497,44438137,44871971,44760525,49991422,51466147,56273157,59652554,63247862,62374133,65016665,73268548,66193456,67670447,69762307,75783295,78765933
"12000","Florida","5","SA30","94","...","    Monetary interest receipts",526296,588659,637669,706128,752702,809838,852707,965361,1079333,1230874,1537293,1979558,2421859,2765534,3109246,3848037,4760435,5090685,5603015,6629076,7847443,10009446,13038494,17248607,18574571,18754991,22957464,24173712,25147066,25281040,27598858,35199050,36233423,33232102,29934636,28386686,28307019,30917458,31584660,32240245,37366799,35830696,38851289,40140817,34440597,31977990,29409783,38650170,48778702,56215303,54696658,44388829,50997512,47963215,45168617,40113316,43632811,45972838,47000365
"12000","Florida","5","SA30","95","...","  Rental income of persons",438795,463678,507794,538258,579142,607675,629967,658945,691214,731110,740965,786396,793719,862858,904669,895799,843262,844636,761976,628900,659973,674533,846731,1156487,1243199,1268572,1271686,1572782,1413911,1357023,1567048,1560531,1980286,2740835,3639527,5129026,6115417,6695349,7678833,7857081,8845735,9688852,9977381,11275348,12290234,13749400,15340829,15545179,14225075,12194206,16518351,20592333,23017055,26622969,28717696,31448634,34095771,38420572,41010072
"12000","Florida","5","SA30","96","...","    Imputed rent",310055,348053,383915,411583,442264,462560,471884,488244,511855,534980,525735,571999,566618,607310,596936,566523,579985,545211,466378,275887,301611,252727,240757,279702,128978,116307,20080,-81227,-278075,-285161,19435,65461,272078,620546,1314724,2398815,3211479,3530318,4281308,4446456,5314017,6077118,6446639,7475316,8581521,9820918,11263577,11085158,9331130,6510450,9807483,13563998,15460297,17834735,19431255,21776938,23498202,26398319,28504965
"12000","Florida","5","SA30","97","...","    Monetary rent",128740,115625,123879,126675,136878,145115,158083,170701,179359,196130,215230,214397,227101,255548,307733,329276,263277,299425,295598,353013,358362,421806,605974,876785,1114221,1152265,1251606,1654009,1691986,1642184,1547613,1495070,1708208,2120289,2324803,2730211,2903938,3165031,3397525,3410625,3531718,3611734,3530742,3800032,3708713,3928482,4077252,4460021,4893945,5683756,6710868,7028335,7556758,8788234,9286441,9671696,10597569,12022253,12505107
