"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"21000","Kentucky","5","SA30","10","...","Personal income (thousands of dollars)",4642493,4878696,5033959,5359676,5687602,5979565,6237923,6765611,7396649,8001690,8737484,9702046,10517373,11444607,12654522,14211061,16007267,17446401,19488702,21868067,24357691,27351774,29770590,33114794,35287385,36629766,40882623,42685414,43905007,46333321,50389911,54151355,57482504,60643068,65371767,67907191,71377080,74798939,79385813,84293663,89291011,93068131,100491384,103880570,106192366,109033108,115700799,121353573,128434393,134438098,141421812,139458607,143617957,150669444,155996922,156589351,163278651,170266901,172713808
"21000","Kentucky","5","SA30","45","...","Net earnings by place of residence",3711557,3900950,3971327,4136362,4453936,4699173,4885424,5330646,5861591,6277130,6882150,7589523,8071824,8679775,9611458,10691002,11848524,12504985,14090959,16014879,17923800,19958071,20787378,22510122,23185823,23687322,26880494,27918835,28463451,30549110,33526283,35672415,37573434,39188354,42543620,44311590,46516645,48038969,50883529,54170811,57524217,60971930,65576764,67293218,68808757,71297940,76264751,79945626,82939237,85346115,87904523,84802879,87345759,92093052,94972232,95563016,97995315,101553489,103529357
"21000","Kentucky","5","SA30","50","...","Personal current transfer receipts",379040,393254,429037,554615,503914,504201,529564,578562,626821,746066,843148,944038,1104788,1298263,1441136,1719542,2051383,2583638,2831327,2967641,3177704,3703673,4468451,5038977,5499198,5953152,6228497,6516943,6824194,7057145,7494501,8234712,9010238,10245268,11248255,11702430,12273881,13202199,13981986,14776770,15170992,15736372,16908164,18421031,19717796,20336823,21891662,23186841,24984375,26877317,30311953,33434166,35402776,35908886,35977509,36809045,39992685,42128619,42315864
"21000","Kentucky","5","SA30","60","...","  Income maintenance benefits 1/",52177,55575,59871,64864,66955,67457,68046,72331,82011,95940,103836,112445,150638,175955,189276,215908,310052,381141,431169,433660,417818,474597,608410,680759,678865,766507,793602,799044,817043,806630,871998,955805,1065201,1214497,1396517,1458082,1529177,1658594,1765244,1780332,1785502,1819231,1819718,1926746,2085958,2277060,2442785,2622097,2740291,2932970,3217052,3771257,4082625,4196660,4273364,4299353,4136865,4075938,3977154
"21000","Kentucky","5","SA30","70","...","  Unemployment insurance compensation",65232,42709,39609,55123,34852,31255,32204,25648,18407,24008,25771,27961,41688,62880,63439,55036,77686,208232,178912,149026,128588,166983,340514,295881,407786,418515,223175,202093,207349,161536,164448,167151,212900,311916,380196,347498,264965,240686,252415,250299,248880,260384,293733,453054,643372,645465,498436,429836,435396,474451,716712,1763717,1718068,1369550,1048659,794169,400038,319478,368406
"21000","Kentucky","5","SA30","80","...","  Retirement and other",261631,294970,329557,434628,402107,405489,429314,480583,526403,626118,713541,803632,912462,1059428,1188421,1448598,1663645,1994265,2221246,2384955,2631298,3062093,3519527,4062337,4412547,4768130,5211720,5515806,5799802,6088979,6458055,7111756,7732137,8718855,9471542,9896850,10479739,11302919,11964327,12746139,13136610,13656757,14794713,16041231,16988466,17414298,18950441,20134908,21808688,23469896,26378189,27899192,29602083,30342676,30655486,31715523,35455782,37733203,37970304
"21000","Kentucky","5","SA30","90","...","Dividends, interest, and rent",551896,584492,633595,668699,729752,776191,822935,856403,908237,978494,1012186,1168485,1340761,1466569,1601928,1800517,2107360,2357778,2566416,2885547,3256187,3690030,4514761,5565695,6602364,6989292,7773632,8249636,8617362,8727066,9369127,10244228,10898832,11209446,11579892,11893171,12586554,13557771,14520298,15346082,16595802,16359829,18006456,18166321,17665813,17398345,17544386,18221106,20510781,22214666,23205336,21221562,20869422,22667506,25047181,24217290,25290651,26584793,26868587
"21000","Kentucky","5","SA30","91","...","  Personal dividend income",119283,120501,126246,134837,158127,173933,191201,195627,190969,205690,200794,220674,228051,241181,264480,317828,375040,368766,428330,485056,549703,622247,671585,756232,791200,852248,905109,990855,1093715,1180184,1412748,1692225,1811970,1968879,2105857,2289601,2652525,2948066,3451193,3769986,4023507,3988922,4456018,4239769,4487287,4536759,5617139,5822642,7225220,7940592,8078855,5778316,5678637,6585402,8308246,7684393,8663247,9399011,8915189
"21000","Kentucky","5","SA30","92","...","  Personal interest income",266987,288031,320360,337868,363569,383883,422928,451422,508825,562408,608005,715930,856782,952815,1043212,1208207,1445773,1708265,1874151,2180100,2474349,2840938,3594607,4491856,5499231,5831695,6559091,6944828,7290959,7314320,7660889,8240498,8654703,8724095,8780575,8681496,8753604,9376541,9656655,10057820,10922601,10592082,11676566,11759174,10902907,10433022,9422412,10198567,11472905,12691014,12924403,12514941,11532705,11523035,11914281,11286467,11268907,11386778,11752241
"21000","Kentucky","5","SA30","93","...","    Imputed interest receipts 2/",149091,163145,176233,194349,208577,219197,232705,248916,276220,305453,324716,376028,463558,520240,570548,640824,757204,937716,1004287,1133690,1291791,1382613,1629153,1854978,2252472,2740088,2897219,3280027,3572945,3803648,3951901,4119489,4369170,4616722,4945272,5116276,5218447,5588566,5695354,6076392,6229344,6280915,6706335,6645499,6662787,6611746,6519021,6539307,6939080,7386001,7897740,8272479,8124400,8127805,8175461,8107620,7951473,8164639,8456305
"21000","Kentucky","5","SA30","94","...","    Monetary interest receipts",117896,124886,144127,143519,154992,164686,190223,202506,232605,256955,283289,339902,393224,432575,472664,567383,688569,770549,869864,1046410,1182558,1458325,1965454,2636878,3246759,3091607,3661872,3664801,3718014,3510672,3708988,4121009,4285533,4107373,3835303,3565220,3535157,3787975,3961301,3981428,4693257,4311167,4970231,5113675,4240120,3821276,2903391,3659260,4533825,5305013,5026663,4242462,3408305,3395230,3738820,3178847,3317434,3222139,3295936
"21000","Kentucky","5","SA30","95","...","  Rental income of persons",165626,175960,186989,195994,208056,218375,208806,209354,208443,210396,203387,231881,255928,272573,294236,274482,286547,280747,263935,220391,232135,226845,248569,317607,311933,305349,309432,313953,232688,232562,295490,311505,432159,516472,693460,922074,1180425,1233164,1412450,1518276,1649694,1778825,1873872,2167378,2275619,2428564,2504835,2199897,1812656,1583060,2202078,2928305,3658080,4559069,4824654,5246430,5358497,5799004,6201157
