"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"24000","Maryland","2","SA30","10","...","Personal income (thousands of dollars)",6971540,7361845,7740647,8240291,8904690,9541251,10406343,11347454,12521403,13632167,15059507,17270064,19210265,21174070,23219752,25571575,27927911,30272447,32913004,35682786,39666413,43606569,48538857,53951891,58495108,62780435,69611724,75637475,81682411,88108956,96766594,104489827,110720316,114751265,120564540,125464844,131220905,136887889,143275374,151291853,163085559,173346881,188470846,198998650,205604275,214734120,230472764,242159114,257913392,267773656,280994770,279900870,288737386,304387669,314159795,312369522,322608872,337212412,349266576
"24000","Maryland","2","SA30","45","...","Net earnings by place of residence",5600804,5902175,6185895,6556053,7073573,7559929,8250132,8980779,9969682,10777592,11956466,13858963,15272396,16656714,18232343,19943804,21497590,22954951,25046052,27116862,30037835,32814436,35700099,38762961,40865251,44006251,48802809,53229491,57637925,62897582,69353874,74123931,78277962,80234591,84114457,87204915,91018218,94195228,98148813,103730564,113091289,121362376,132613732,140718765,146044349,152634052,163820498,171413334,180354169,184562742,191672484,192988518,198549049,208651541,213465766,211731061,215816368,225629621,234132118
"24000","Maryland","2","SA30","50","...","Personal current transfer receipts",310809,326631,340497,391491,415972,435524,459889,503744,556611,691169,826163,944439,1126324,1373129,1573804,1816363,2104960,2647088,2855391,3042124,3354202,3805371,4535336,5195311,5782564,6303434,6643549,7022546,7494069,7779663,8304431,9045495,9909590,11161838,12514144,13056004,13642015,14301999,15295620,15609636,16287740,17262254,18245956,19898942,21346943,22926565,24007000,25945159,27074068,29311453,33423795,35997081,39170901,40370385,40841383,42303431,45059126,46863762,49208473
"24000","Maryland","2","SA30","60","...","  Income maintenance benefits 1/",24103,27558,29208,33708,39826,46027,53464,61467,67418,78468,89634,100228,135463,176512,211119,232328,290237,322985,364931,372972,379718,439243,548229,598841,590148,622596,633817,652270,674923,661882,715282,779822,883137,1046453,1197572,1251742,1342063,1467787,1583209,1533124,1564354,1569915,1615099,1615172,1743160,1866359,2000553,2207763,2298928,2814184,3030639,3577105,3860606,3935854,4158097,4351273,4431670,4539885,4476787
"24000","Maryland","2","SA30","70","...","  Unemployment insurance compensation",73654,61730,56267,70412,54992,43631,38918,32547,23692,29286,33322,32210,55117,97622,102856,65483,91960,251348,220833,178523,129079,135158,239576,235361,388760,371564,224160,225886,225959,203463,190510,200685,276616,508155,714516,583452,387008,357865,375086,353322,335144,295851,279239,441280,720715,753706,528943,463763,451500,511087,840648,1858211,1904465,1689898,1547132,1259807,791985,667387,601026
"24000","Maryland","2","SA30","80","...","  Retirement and other",213052,237343,255022,287371,321154,345866,367507,409730,465501,583415,703207,812001,935744,1098995,1259829,1518552,1722763,2072755,2269627,2490629,2845405,3230970,3747531,4361109,4803656,5309274,5785572,6144390,6593187,6914318,7398639,8064988,8749837,9607230,10602056,11220810,11912944,12476347,13337325,13723190,14388242,15396488,16351618,17842490,18883068,20306500,21477504,23273633,24323640,25986182,29552508,30561765,33405830,34744633,35136154,36692351,39835471,41656490,44130660
"24000","Maryland","2","SA30","90","...","Dividends, interest, and rent",1059927,1133039,1214255,1292747,1415145,1545798,1696322,1862931,1995110,2163406,2276878,2466662,2811545,3144227,3413605,3811408,4325361,4670408,5011561,5523800,6274376,6986762,8303422,9993619,11847293,12470750,14165366,15385438,16550417,17431711,19108289,21320401,22532764,23354836,23935939,25203925,26560672,28390662,29830941,31951653,33706530,34722251,37611158,38380943,38212983,39173503,42645266,44800621,50485155,53899461,55898491,50915271,51017436,55365743,59852646,58335030,61733378,64719029,65925985
"24000","Maryland","2","SA30","91","...","  Personal dividend income",212084,230780,247023,257051,280417,316168,361763,407332,407274,424923,430940,447626,453709,471384,509723,574002,644434,634693,753527,867223,982289,1109324,1273439,1500711,1786425,1673799,1817409,1952893,2140676,2256091,2571212,3206001,3414923,3577079,3764391,4057973,4652953,5034950,5880877,6757284,7272136,7397031,8684597,8549238,9311391,9536001,12809508,12423483,15468256,17180591,16855325,11865985,11859871,13267407,16027233,14212280,16203033,17205497,16233240
"24000","Maryland","2","SA30","92","...","  Personal interest income",601285,640070,690524,738607,817275,895918,996108,1111928,1241125,1375353,1494252,1655257,2003664,2297715,2522626,2862030,3298902,3664945,3927571,4420724,5058938,5665224,6773161,8184256,9781096,10473460,12029813,13103302,14209013,15015081,16249699,17862513,18764055,19207578,19079096,19357785,19658432,20854829,21142110,22234877,22959279,23657463,25221269,25809212,24531715,24613445,24218495,27054496,30437240,32983893,33276266,31109979,29432704,30295298,30992063,30434073,31105651,32217347,33303616
"24000","Maryland","2","SA30","93","...","    Imputed interest receipts 2/",328642,359508,391582,432500,476521,522394,586942,655760,736261,807348,895544,1024425,1284644,1511048,1665684,1847822,2076346,2388915,2531760,2799095,3231614,3426091,3895049,4376384,5087152,5983435,6496255,7368036,8186526,8968080,9601057,10280206,10893596,11578281,12099284,12729769,13122801,13968766,14170740,15160852,14964189,15727349,16365421,16660208,16900748,17278111,18081575,18813237,20352454,21378921,22396529,22453012,22351025,22983259,23133817,23540302,23789009,24804880,25721150
