"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"91000","New England","1","SA30","10","...","Personal income (thousands of dollars)",23896113,25472380,26550973,27877650,29568315,30868753,33046872,35438608,38494648,41827537,45296149,50092137,54010929,57526289,62322433,67889746,73620137,79341132,86190627,94396916,104910348,117290889,132576796,148165962,161319032,174311129,195596611,211378686,228359062,248434444,273461964,292878429,301162055,305442858,323283181,335381530,349543203,369066158,389875219,414734730,444886128,472325899,521202209,546199664,550768521,565304556,594374175,620465114,667514335,702558135,735337998,727915987,753281178,785316268,812577266,812475360,843685854,883903327,903272776
"91000","New England","1","SA30","45","...","Net earnings by place of residence",18628285,19942350,20712743,21547009,22770181,23563515,25116651,26869318,29264888,31392938,34040100,37791734,40194456,42155604,45751004,49677732,52818338,55201211,60653784,66926057,75090860,83954650,92957927,100862817,107529590,117340560,131924940,144292179,156850013,173177389,190620033,200115297,203415143,203490347,216789132,224707714,234196594,245945608,260821806,278949824,302161267,327407295,363473684,380709874,383732876,392239563,412387734,426618587,451077131,470144936,488461372,486291823,505401173,522916982,533335881,530333560,547269635,571515056,585070195
"91000","New England","1","SA30","50","...","Personal current transfer receipts",1689844,1685919,1761038,1976645,2007176,2126096,2206750,2329695,2511842,3081789,3681741,4110721,4903177,5875866,6407762,7196510,8530602,11135891,11690058,12131118,12821161,14279466,16439384,18804183,20551828,21943855,22992448,24185950,25395979,26111591,28084596,31362268,35068870,40557981,43979820,45554948,47865994,50920037,52425569,54380461,55095512,56887613,60046441,65212330,70191943,73390439,77330451,82061418,86398793,91525993,104527106,114431294,120565047,121557122,122473666,124181436,128646556,135552530,139677680
"91000","New England","1","SA30","60","...","  Income maintenance benefits 1/",210664,195425,191542,192809,191132,203985,221494,228819,248890,292264,358995,451712,616233,724826,791760,832510,1117708,1446895,1532515,1559025,1616241,1723812,2065896,2195169,2095082,2156353,2174152,2249523,2346829,2379725,2576689,2802801,3247794,3684705,4098746,4350042,4566002,4734362,4504750,4776990,4874868,4873123,4933952,4959941,5157593,6798127,7319584,8125525,8779944,8535251,9354893,10887341,11747560,11982730,12086786,12096358,12057815,12024434,11953761
"91000","New England","1","SA30","70","...","  Unemployment insurance compensation",313746,206937,228647,315314,225822,238582,229239,176352,143170,164839,188214,212391,396207,708283,633198,495538,703265,1683079,1378973,1053638,696722,638198,821485,860807,1159887,1148806,770755,815165,834272,754473,853061,1261899,1910923,2629555,3470209,2688560,1883187,1636393,1606584,1435846,1389096,1511506,1445254,2277364,4051210,3994290,2643401,2372415,2337259,2548977,3686989,8582192,8986759,7012919,5770262,4548934,2857090,2494400,2434174
"91000","New England","1","SA30","80","...","  Retirement and other",1165434,1283557,1340849,1468522,1590222,1683529,1756017,1924524,2119782,2624686,3134532,3446618,3890737,4442757,4982804,5868462,6709629,8005917,8778570,9518455,10508198,11917456,13552003,15748207,17296859,18638696,20047541,21121262,22214878,22977393,24654846,27297568,29910153,34243721,36410865,38516346,41416805,44549282,46314235,48167625,48831548,50502984,53667235,57975025,60983140,62598022,67367466,71563478,75281590,80441765,91485224,94961761,99830728,102561473,104616618,107536144,113731651,121033696,125289745
"91000","New England","1","SA30","90","...","Dividends, interest, and rent",3577984,3844111,4077192,4353996,4790958,5179142,5723471,6239595,6717918,7352810,7574308,8189682,8913296,9494819,10163667,11015504,12271197,13004030,13846785,15339741,16998327,19056773,23179485,28498962,33237614,35026714,40679223,42900557,46113070,49145464,54757335,61400864,62678042,61394530,62514229,65118868,67480615,72200513,76627844,81404445,87629349,88030991,97682084,100277460,96843702,99674554,104655990,111785109,130038411,140887206,142349520,127192870,127314958,140842164,156767719,157960364,167769663,176835741,178524901
"91000","New England","1","SA30","91","...","  Personal dividend income",1199215,1301411,1320101,1361065,1457946,1568315,1758536,1922974,2003506,2192364,2113038,2152309,2162711,2230419,2399124,2556047,2724032,2583663,3018622,3408716,3799957,4252275,4726597,5413117,6162718,6253649,6961236,7059486,7512434,7830478,8738345,10546762,10564562,11111346,11612280,12571986,14027248,15340766,17870112,20346515,20971673,20605578,23233256,22765813,24230590,26341410,33485917,32858480,42012215,46542869,47080125,32502889,32332018,39661976,48027025,45934715,54050195,58169584,54695474
"91000","New England","1","SA30","92","...","  Personal interest income",1678885,1794157,1946292,2118388,2385985,2618223,2918303,3200760,3518666,3878225,4149408,4756488,5527562,6027200,6540901,7251315,8354744,9323962,9837077,11179723,12464065,14116900,17558704,21938270,25867618,27587185,32533834,34569649,37588330,40344176,44576257,49519312,50505054,48116289,46951285,46513616,46023467,48631828,49230273,51406394,56093829,56036405,63060550,64668917,58978061,58190000,55275138,64679251,76327405,84473296,81035279,75476899,71215257,72111587,77296038,78772567,78619097,81037539,83619219
"91000","New England","1","SA30","93","...","    Imputed interest receipts 2/",761042,839445,913013,997496,1084450,1124234,1234141,1311896,1418889,1544282,1722524,2071420,2508240,2783994,3064806,3280823,3708817,4555061,4675322,5190411,5825491,6048021,7152540,8200462,9835142,12257634,13468645,15505803,17498119,19694762,21360082,22680385,23456309,23649784,24576264,25606267,25621351,27145957,27310127,29274959,29958171,30968048,33834512,33948417,33545139,33870744,35050496,36858505,40623256,43299729,44229786,44875117,45276442,45494077,46953301,49724805,48831846,51196269,53098198
"91000","New England","1","SA30","94","...","    Monetary interest receipts",917843,954712,1033279,1120892,1301535,1493989,1684162,1888864,2099777,2333943,2426884,2685068,3019322,3243206,3476095,3970492,4645927,4768901,5161755,5989312,6638574,8068879,10406164,13737808,16032476,15329551,19065189,19063846,20090211,20649414,23216175,26838927,27048745,24466505,22375021,20907349,20402116,21485871,21920146,22131435,26135658,25068357,29226038,30720500,25432922,24319256,20224642,27820746,35704149,41173567,36805493,30601782,25938815,26617510,30342737,29047762,29787251,29841270,30521021
