"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"35000","New Mexico","6","SA30","10","...","Personal income (thousands of dollars)",1726107,1853719,1905007,1992665,2069321,2139534,2260933,2398239,2519694,2602806,2818474,3124513,3477754,3846898,4322426,4841784,5437939,6194704,6905447,7728095,8851800,9991554,11219375,12687802,13849319,14836770,16218576,17534394,18255711,19052079,20112493,21546318,23031799,24675575,26528180,28522697,30470675,32748131,34409992,36127950,37959667,38829685,41839377,45083587,46519758,48555144,51749008,55562615,59578677,63091733,67250834,66243018,68361950,72175501,73822778,72465608,76593172,78996822,80064958
"35000","New Mexico","6","SA30","45","...","Net earnings by place of residence",1425279,1524070,1547551,1600943,1665181,1711839,1800468,1905308,1995152,2037250,2189265,2396682,2606228,2853900,3209091,3564335,3934761,4437870,4959781,5600548,6421779,7206012,7879340,8704046,9236365,9819334,10710531,11510611,11852379,12414699,13138752,13983950,14960974,16015920,17308289,18702125,19833189,21063729,21784642,23016034,24183851,24915002,27142481,29058649,30250303,31759576,33893112,35934227,38367233,39983609,41861126,40511863,41447906,43788808,44174272,43056321,44560001,45211198,45713781
"35000","New Mexico","6","SA30","50","...","Personal current transfer receipts",84064,92516,102328,118370,120369,128839,135090,145447,156066,195454,228293,260742,325429,377894,422125,499780,600725,738125,828143,872291,955977,1103028,1314998,1501778,1651216,1803968,1927188,2064166,2222456,2350213,2520447,2796015,3048122,3417153,3798873,4118225,4429867,4878220,5322474,5437382,5719073,6050663,6422972,7169350,7870398,8431354,8992769,9705461,10591886,11517164,13251004,14662050,15867386,16060509,16027064,16189859,17697159,19086123,19366806
"35000","New Mexico","6","SA30","60","...","  Income maintenance benefits 1/",15705,19042,21186,21409,21130,22669,23480,23249,24212,27435,31290,36580,57609,63930,67359,75595,101253,110994,121480,117915,118392,150128,198148,214179,213742,227291,240356,247432,265100,283097,306159,341646,395688,480497,577887,610608,658152,735899,809260,761870,765608,809410,788889,800676,867092,952792,1038264,1131813,1156472,1319181,1410175,1716894,1985047,2027832,2058395,2091804,2068992,2131553,2110471
"35000","New Mexico","6","SA30","70","...","  Unemployment insurance compensation",10039,8379,12251,17561,12340,11029,11289,9452,7874,8896,9572,9188,16283,22606,22581,21096,28558,54260,52436,37129,31600,32999,48309,50068,85266,110856,71889,72150,95422,77065,66104,60483,60106,79802,112272,103779,79640,77082,82823,79445,90085,96535,85270,106587,174933,180216,146087,126167,112642,137024,206513,549318,765112,636060,446859,324323,207961,182784,191825
"35000","New Mexico","6","SA30","80","...","  Retirement and other",58320,65095,68891,79400,86899,95141,100321,112746,123980,159123,187431,214974,251537,291358,332185,403089,470914,572871,654227,717247,805985,919901,1068541,1237531,1352208,1465821,1614943,1744584,1861934,1990051,2148184,2393886,2592328,2856854,3108714,3403838,3692075,4065239,4430391,4596067,4863380,5144718,5548813,6262087,6828373,7298346,7808418,8447481,9322772,10060959,11634316,12395838,13117227,13396617,13521810,13773732,15420206,16771786,17064510
"35000","New Mexico","6","SA30","90","...","Dividends, interest, and rent",216764,237133,255128,273352,283771,298856,325375,347484,368476,370102,400916,467089,546097,615104,691210,777669,902453,1018709,1117523,1255256,1474044,1682514,2025037,2481978,2961738,3213468,3580857,3959617,4180876,4287167,4453294,4766353,5022703,5242502,5421018,5702347,6207619,6806182,7302876,7674534,8056743,7864020,8273924,8855588,8399057,8364214,8863127,9922927,10619558,11590960,12138704,11069105,11046658,12326184,13621442,13219428,14336012,14699501,14984371
"35000","New Mexico","6","SA30","91","...","  Personal dividend income",17995,20556,22158,23087,23627,27771,34141,37832,40167,42163,60253,62955,66446,71695,80158,90901,103522,115083,141611,169015,200390,233838,267376,315947,368797,360968,385140,418774,462584,493286,557936,667878,714126,770863,817878,939388,1093822,1205359,1478890,1645063,1667988,1513024,1715141,1767889,1876772,1789863,2299165,2530937,3400976,3932175,3937288,2646759,2478976,2954145,3710766,3433369,4089400,4263123,4027007
"35000","New Mexico","6","SA30","92","...","  Personal interest income",121815,137837,149163,163402,169759,180657,202360,220812,237002,235860,251057,297347,375049,430102,487479,566781,671150,779615,858439,991209,1163678,1340945,1628489,1990480,2404322,2653029,2991104,3305636,3543229,3628468,3709897,3912433,4088193,4172597,4167372,4210950,4410105,4864875,4989577,5174359,5442537,5332130,5501880,5767191,5157636,5114816,4972228,5923981,5976871,6529299,6665414,6453730,6095238,6201645,6577976,6308802,6500162,6538639,6785784
"35000","New Mexico","6","SA30","93","...","    Imputed interest receipts 2/",76917,85624,91080,97568,103880,109218,119369,127909,131071,134674,144556,176562,230778,267364,306156,344912,398237,482287,523455,589543,693932,747851,859515,975171,1160381,1411509,1498693,1728148,1897338,2030803,2078457,2166495,2286624,2447087,2587735,2733132,2887698,3176886,3220154,3414971,3427028,3444562,3476659,3582545,3460049,3626678,3751909,4055665,3991565,4174134,4389732,4601566,4568516,4624788,4776967,4779126,4817711,4912954,5123420
"35000","New Mexico","6","SA30","94","...","    Monetary interest receipts",44898,52213,58083,65834,65879,71439,82991,92903,105931,101186,106501,120785,144271,162738,181323,221869,272913,297328,334984,401666,469746,593094,768974,1015309,1243941,1241520,1492411,1577488,1645891,1597665,1631440,1745938,1801569,1725510,1579637,1477818,1522407,1687989,1769423,1759388,2015509,1887568,2025221,2184646,1697587,1488138,1220319,1868316,1985306,2355165,2275682,1852164,1526722,1576857,1801009,1529676,1682451,1625685,1662364
"35000","New Mexico","6","SA30","95","...","  Rental income of persons",76954,78740,83807,86863,90385,90428,88874,88840,91307,92079,89606,106787,104602,113307,123573,119987,127781,124011,117473,95032,109976,107731,129172,175551,188619,199471,204613,235207,175063,165413,185461,186042,220384,299042,435768,552009,703692,735948,834409,855112,946218,1018866,1056903,1320508,1364649,1459535,1591734,1468009,1241711,1129486,1536002,1968616,2472444,3170394,3332700,3477257,3746450,3897739,4171580
"35000","New Mexico","6","SA30","96","...","    Imputed rent",39999,44739,49180,50974,53097,54160,54015,54770,56333,57587,56001,70498,73293,78181,78342,75100,77588,72776,62982,42057,47589,41933,41095,45883,26027,24610,14545,5987,-9491,-6246,26391,37354,64149,115257,190288,296013,377654,404896,481227,500137,584169,660495,728937,908715,1001328,1089012,1115835,1041799,801871,622840,920904,1391719,1772569,2310365,2441949,2544067,2676145,2854465,3085671
"35000","New Mexico","6","SA30","97","...","    Monetary rent",36955,34001,34627,35889,37288,36268,34859,34070,34974,34492,33605,36289,31309,35126,45231,44887,50193,51235,54491,52975,62387,65798,88077,129668,162592,174861,190068,229220,184554,171659,159070,148688,156235,183785,245480,255996,326038,331052,353182,354975,362049,358371,327966,411793,363321,370523,475899,426210,439840,506646,615098,576897,699875,860029,890751,933190,1070305,1043274,1085909
