"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"39000","Ohio","3","SA30","10","...","Personal income (thousands of dollars)",21148182,22598139,23510422,23960007,25242554,26287918,28063942,30356780,33134588,34708531,38274742,41814714,44121386,46947495,50934483,56459449,61841296,66118848,72483674,80273127,88755514,98036565,107027918,116356076,121686637,129000255,142456412,151328013,158445882,166010875,178043191,191552868,202826963,207192639,220961744,230239933,242927557,254378135,266568428,282349312,298353863,308082449,323964530,332936158,337415971,347533465,362702364,372826780,392059624,408126658,422401501,410538372,419569872,448119917,465139834,470745086,489250952,508379906,517918190
"39000","Ohio","3","SA30","45","...","Net earnings by place of residence",17007009,18368609,18912830,18956859,20018412,20813288,22312715,24238004,26571456,27580783,30392101,33366641,34667060,36412462,39542913,43611216,46912013,48714725,53911113,60203336,66767797,73141251,76302830,80266669,80874927,84975471,94979163,101190168,105903896,112102616,120810309,128510952,134922603,137499346,147372543,153601298,162930334,169358011,177093061,188181041,200264545,209519846,220537208,225871374,229143171,236641167,249002232,253859998,264038809,270724086,275243857,264042224,269911920,288949340,300700825,306615616,314774238,325634654,332134526
"39000","Ohio","3","SA30","50","...","Personal current transfer receipts",1445548,1367755,1511796,1760336,1730958,1781807,1788593,1893428,2038491,2378513,2689598,2900308,3395479,4013592,4438190,5165588,6202762,7932555,8501862,8929549,9594430,10953110,13810983,15347450,17810249,19045328,19649092,20944245,22184556,23051742,24232814,25830539,28739578,30988091,34034025,35388804,36744040,38774117,40209435,41423256,42182473,43521062,46267091,50465640,53832216,56419071,58967204,62413318,65817389,70031881,78977281,85998010,90739580,93253425,91452398,93363671,97811070,101775700,104011572
"39000","Ohio","3","SA30","60","...","  Income maintenance benefits 1/",134833,141797,154864,173357,169573,177326,179036,184811,202525,218354,228060,241833,336505,447614,520832,559698,728443,917373,1039423,1012591,1005313,1102087,1439348,1679947,1723115,1950371,2073055,2190751,2288573,2319589,2478537,2684602,2940147,3247528,3568029,3705780,3886906,3959853,3904229,4073555,3884133,4066949,4164499,4328796,4785213,5158817,5399024,5931133,6250338,6701622,7769265,8871489,9636595,10106543,10160912,9914401,9506482,9448852,9320682
"39000","Ohio","3","SA30","70","...","  Unemployment insurance compensation",331374,158513,226464,338026,207865,170134,122140,83695,59668,78254,68256,67323,149357,243699,211369,128038,275169,875639,655340,510201,420814,588085,1614744,1185265,1997520,1783446,862934,829884,792749,714964,632952,714222,753342,1090818,1482759,1196367,816743,715920,755216,708557,651981,663315,724456,1222942,1819148,1789349,1329860,1159543,1142386,1197929,1808701,4856877,4708489,3338709,2318345,1798468,1004356,947546,963553
"39000","Ohio","3","SA30","80","...","  Retirement and other",979341,1067445,1130468,1248953,1353520,1434347,1487417,1624922,1776298,2081905,2393282,2591152,2909617,3322279,3705989,4477852,5199150,6139543,6807099,7406757,8168303,9262938,10756891,12482238,14089614,15311511,16713103,17923610,19103234,20017189,21121325,22431715,25046089,26649745,28983237,30486657,32040391,34098344,35549990,36641144,37646359,38790798,41378136,44913902,47227855,49470905,52238320,55322642,58424665,62132330,69399315,72269644,76394496,79808173,78973141,81650802,87300232,91379302,93727337
"39000","Ohio","3","SA30","90","...","Dividends, interest, and rent",2695625,2861775,3085796,3242812,3493184,3692823,3962634,4225348,4524641,4749235,5193043,5547765,6058847,6521441,6953380,7682645,8726521,9471568,10070699,11140242,12393287,13942204,16914105,20741957,23001461,24979456,27828157,29193600,30357430,30856517,33000068,37211377,39164782,38705202,39555176,41249831,43253183,46246007,49265932,52745015,55906845,55041541,57160231,56599144,54440584,54473227,54732928,56553464,62203426,67370691,68180363,60498138,58918372,65917152,72986611,70765799,76665644,80969552,81772092
"39000","Ohio","3","SA30","91","...","  Personal dividend income",575609,615055,639892,669205,731132,780858,873526,958904,1002874,1027949,1241819,1251026,1237863,1258873,1333501,1475812,1626834,1561834,1838690,2101634,2347457,2625527,2814145,3142337,3123531,3638094,3876564,4187070,4548409,4843390,5590781,6803110,7215572,7705363,8081603,8803381,10101858,11026072,12595610,13566721,13939022,12742662,13057284,12765222,14041973,14772156,18156385,17990523,21879449,24448023,23880916,16615934,16519044,20527012,24955961,23867683,28133148,30055734,28426999
"39000","Ohio","3","SA30","92","...","  Personal interest income",1237820,1326092,1484599,1593990,1749042,1878226,2056026,2211939,2433175,2635571,2878865,3330179,3839658,4200488,4534417,5132125,6047532,6896509,7331554,8368772,9365349,10675369,13375464,16740142,19062701,20431693,23085150,24088139,25177340,25421149,26632741,29654976,30991550,29685220,29560144,29523412,29464854,31006220,32077876,34119093,36257954,36049119,37703774,36735921,33377494,32096374,28992913,31981259,34889007,38323752,37828376,35266546,31586291,31973447,33155643,31485122,32460055,33702929,34929876
"39000","Ohio","3","SA30","93","...","    Imputed interest receipts 2/",564891,611210,669170,717164,763578,799300,882272,949525,1044237,1135339,1235522,1390533,1658444,1855834,2020314,2206915,2576700,3238780,3350969,3726438,4191308,4360727,5189826,5972521,7144429,8924174,9515930,10772514,11766951,12612712,13143677,13998927,14812784,15080487,15928126,16654789,16850752,17825101,18200416,19757802,19751105,20263826,20742656,19992229,19793319,19658393,19376902,19499049,20164733,21312698,22300129,22709704,21734006,21844533,22084486,21961161,22070753,23200298,24182613
