"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"95000","Southeast","5","SA30","10","...","Personal income (thousands of dollars)",60503413,64761282,67089689,70752176,75496719,80549556,86981242,94562527,103717168,112424052,124490739,138941326,152513470,168280550,189052896,214605429,239133335,262142313,290858891,322755735,366893447,411993497,464065619,524660525,562473435,607216888,674332275,726846141,774420542,826632289,898737368,978126156,1039642513,1087708873,1168823918,1235395303,1309931704,1394805064,1479935672,1570491534,1687840437,1772130068,1899680707,1988459313,2040822900,2127668458,2278077142,2437752631,2618199312,2760150189,2856698462,2769842417,2859182022,3017052452,3136007274,3148451483,3320968980,3501150321,3591918052
"95000","Southeast","5","SA30","45","...","Net earnings by place of residence",48765840,52077691,53464015,55740909,59379052,63223378,68459360,74358443,81903190,88053604,97368660,107712292,115575813,126187875,142052619,160196909,174693758,185543283,207614520,231382751,263637029,293440946,320347942,352769118,369872198,396870535,442567300,475439271,506824918,548106903,596261748,634032849,671870560,699911334,756190933,798931776,846275345,893356563,946783748,1007615285,1092443322,1165539326,1248310367,1303064380,1337313211,1398629047,1495948877,1588402372,1685004165,1742421376,1769946163,1705972572,1741984341,1821014092,1900674736,1910575994,1998073194,2093634630,2155773003
"95000","Southeast","5","SA30","50","...","Personal current transfer receipts",4063190,4347353,4602731,5295283,5555652,5900906,6157502,6722566,7340361,8745861,10099927,11389816,13778398,16279163,18420218,21829449,26390908,34253407,37452769,39876108,43651922,50336697,60098110,68730763,76253890,83048815,87508397,93421111,99611012,103717988,111298428,123732094,135825060,153596805,173346683,185687691,197262433,212692418,225352181,233903259,240589647,251112751,268197252,295575986,319134562,335323564,359182652,389115581,413382707,442013017,502150396,546877778,592534192,610104701,612345501,629817951,659882154,696389612,718034522
"95000","Southeast","5","SA30","60","...","  Income maintenance benefits 1/",672396,710899,739120,774263,817263,853935,856035,875391,933003,1030811,1093708,1221659,1729920,2053201,2300321,2486447,3457711,4244088,4793639,4802240,4839099,5792509,7379046,8127524,8057411,8606367,8802404,9021798,9455634,9633695,10761752,12160435,13622202,16013426,19951327,21025093,22318162,24410347,26044760,26198493,26333552,26910552,27157043,28164282,31791698,35478854,39284516,45505520,44379325,46215636,50619001,60163550,67407176,70420320,71383377,72798608,71785954,71978224,71574775
"95000","Southeast","5","SA30","70","...","  Unemployment insurance compensation",511954,385046,378297,529033,363961,329531,297291,239286,193376,256044,256300,268670,437244,656106,612066,492221,839818,2926203,2368399,1833685,1382257,1582853,2683024,2568825,4155689,4399831,2672323,2648972,2850685,2358804,2108819,2173938,2710790,4211148,5896468,4872377,3354085,3131631,3361648,3161186,3171871,3291619,3526729,5678144,8910219,8605748,6034451,5569439,5127395,5635846,9500766,24888770,25427125,19739397,14238630,9585713,4677622,3781834,3459947
"95000","Southeast","5","SA30","80","...","  Retirement and other",2878840,3251408,3485314,3991987,4374428,4717440,5004176,5607889,6213982,7459006,8749919,9899487,11611234,13569856,15507831,18850781,22093379,27083116,30290731,33240183,37430566,42961335,50036040,58034414,64040790,70042617,76033670,81750341,87304693,91725489,98427857,109397721,119492068,133372231,147498888,159790221,171590186,185150440,195945773,204543580,211084224,220910580,237513480,261733560,278432645,291238962,313863685,338040622,363875987,390161535,442030629,461825458,499699891,519944984,526723494,547433630,583418578,620629554,642999800
"95000","Southeast","5","SA30","90","...","Dividends, interest, and rent",7674383,8336238,9022943,9715984,10562015,11425272,12364380,13481518,14473617,15624587,17022152,19839218,23159259,25813512,28580059,32579071,38048669,42345623,45791602,51496876,59604496,68215854,83619567,103160644,116347347,127297538,144256578,157985759,167984612,174807398,191177192,220361213,231946893,234200734,239286302,250775836,266393926,288756083,307799743,328972990,354807468,355477991,383173088,389818947,384375127,393715847,422945613,460234678,519812440,575715796,584601903,516992067,524663489,585933659,622987037,608057538,663013632,711126079,718110527
"95000","Southeast","5","SA30","91","...","  Personal dividend income",1401072,1525428,1645769,1755641,1931334,2099926,2408939,2719450,2819236,2967373,3393594,3642721,3838035,4132966,4617238,5312601,6059372,6177069,7339660,8452650,9869119,11416540,12873099,14941781,15356221,17204843,18630935,20756217,22973724,24890486,29448154,35552292,38550942,41589207,44058560,48608891,56626490,62259961,72876677,80939059,86526925,84267283,92557997,90222479,99068279,108486692,139849529,150612230,184074866,205438279,196606248,134924746,131833319,165398682,202667923,190897644,225869633,246393320,232650268
"95000","Southeast","5","SA30","92","...","  Personal interest income",3916647,4326145,4744363,5162139,5639967,6161264,6786464,7536016,8346077,9225320,10282670,12536092,15515532,17645857,19776782,23104945,27761275,32084487,34725992,40089042,46591229,53695381,67067471,83342104,95991000,104908843,120431174,131409085,140380007,145488931,156250520,179236716,186304871,183121415,181681977,183244558,186826744,201172923,205768477,217912641,234439491,234356654,252281268,255744943,238823252,235043407,229183831,259351295,291854209,325179001,331450383,310885274,307789366,318738554,311232213,299266241,312209776,328059895,339346387
"95000","Southeast","5","SA30","93","...","    Imputed interest receipts 2/",2277131,2541596,2736934,3002240,3254965,3557760,3903210,4260885,4683589,5134296,5601393,6712298,8565567,9819182,11064425,12423300,14608249,17865823,18964365,21408316,25040130,26733004,31413289,35814211,42228965,51706331,55736970,64369401,71161623,77484384,82276475,89817300,94731485,98592994,104278501,109947993,113274658,121755604,123784381,133772014,136107882,140318421,147534951,147469912,148578721,150601336,157619977,163462697,173856752,186186833,197859908,201551723,203000955,214144717,206498169,208161433,212497734,225399852,234361770
