"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"50000","Vermont","1","SA30","10","...","Personal income (thousands of dollars)",669553,719474,759958,792037,831318,861803,923465,1012519,1150659,1245512,1370853,1503562,1649486,1785668,1969923,2160343,2336657,2553979,2839324,3080373,3531717,3976039,4469318,5035413,5446636,5815938,6418440,6937305,7479849,8136635,8896581,9842411,10205317,10386332,11117833,11538472,12122967,12782449,13467271,14192206,15298304,16297359,17620319,18675843,19133676,19894962,21105387,21536171,23011821,24232173,25494389,25130695,25612435,27220129,28120420,28592608,29533385,30599347,31219885
"50000","Vermont","1","SA30","45","...","Net earnings by place of residence",528955,568813,597923,610078,638064,657856,700936,767809,877463,930486,1017400,1118960,1206559,1279697,1405551,1532842,1614957,1713608,1934969,2108159,2467389,2765459,3009678,3283549,3454813,3715243,4093351,4488975,4885786,5435965,5933436,6425121,6607782,6676564,7202110,7511649,7839629,8091898,8573559,9023315,9761959,10564162,11497281,12225739,12646220,13102795,13879412,14281973,14704488,15127559,15676808,15458586,15845217,16740062,17168392,17256642,17509207,17936251,18395926
"50000","Vermont","1","SA30","50","...","Personal current transfer receipts",52396,55322,59409,67059,69571,74458,77432,81091,86934,107204,125986,144168,171554,204864,230253,262239,315183,401211,432265,442278,467445,530356,628553,724890,806765,864293,889858,928583,956662,971231,1025372,1121449,1250727,1378519,1559523,1628503,1724731,1869719,1932044,2033848,2117081,2263965,2437210,2672518,2854486,2989265,3122560,3403330,3784334,4179038,4662857,5059846,5346698,5400226,5531821,5801543,6055135,6343423,6448556
"50000","Vermont","1","SA30","60","...","  Income maintenance benefits 1/",6911,7531,6909,6686,6599,6804,7026,7189,7496,9296,12323,15252,19294,25071,28539,29395,42771,55085,63176,56267,56388,65483,89413,102922,101392,105929,104761,105734,109762,106986,111331,120241,141245,166027,195441,198802,211984,224038,209596,225779,221149,233690,238850,243288,259240,270536,286490,316387,330968,434188,463817,521950,550804,557323,570694,604712,588083,581057,580336
"50000","Vermont","1","SA30","70","...","  Unemployment insurance compensation",6089,4254,5416,8748,6675,7403,6887,4750,3478,4388,4858,4806,8555,16542,19198,15256,22399,48844,43716,33992,22816,23382,35300,35057,51941,53053,36438,34135,30296,25095,23586,30768,52762,80669,90822,83419,59306,52517,53226,49728,46382,46174,44722,64719,112058,120496,83465,80047,84802,90299,123234,267317,223617,163862,127477,97135,78099,70866,67931
"50000","Vermont","1","SA30","80","...","  Retirement and other",39396,43537,47084,51625,56297,60251,63519,69152,75960,93520,108805,124110,143705,163251,182516,217588,250013,297282,325373,352019,388241,441491,503840,586911,653432,705311,748659,788714,816604,839150,890455,970440,1056720,1131823,1273260,1346282,1453441,1593164,1669222,1758341,1849550,1984101,2153638,2364511,2483188,2598233,2752605,3006896,3368564,3654551,4075806,4270579,4572277,4679041,4833650,5099696,5388953,5691500,5800289
"50000","Vermont","1","SA30","90","...","Dividends, interest, and rent",88202,95339,102626,114900,123683,129489,145097,163619,186262,207822,227467,240434,271373,301107,334119,365262,406517,439160,472090,529936,596883,680224,831087,1026974,1185058,1236402,1435231,1519747,1637401,1729439,1937773,2295841,2346808,2331249,2356200,2398320,2558607,2820832,2961668,3135043,3419264,3469232,3685828,3777586,3632970,3802902,4103415,3850868,4522999,4925576,5154724,4612263,4420520,5079841,5420207,5534423,5969043,6319673,6375403
"50000","Vermont","1","SA30","91","...","  Personal dividend income",26663,29270,31659,34045,34315,38165,45071,52309,57523,64180,74708,65881,69933,75701,85074,87426,90046,86383,103699,119493,140166,162659,177730,201072,239232,241359,273080,269292,287644,304207,344615,427546,432778,450158,454328,492082,552351,601848,699414,826344,872228,890391,962414,932737,926713,1053417,1448657,1181101,1508746,1696250,1788491,1235018,1046669,1394407,1626594,1650971,1973300,2178147,2045675
"50000","Vermont","1","SA30","92","...","  Personal interest income",44667,48063,51071,57551,63580,65042,73007,83241,99384,112785,122012,140747,167270,187844,208218,234906,275480,312653,332126,380213,425914,486206,615087,775758,891476,939134,1103610,1191219,1292272,1369918,1522426,1793477,1826459,1770420,1732140,1690153,1743013,1938386,1942430,1981619,2190254,2207610,2346805,2414031,2261607,2286551,2130888,2194050,2633682,2886001,2890863,2714069,2511609,2637732,2677873,2715565,2806732,2828225,2929871
"50000","Vermont","1","SA30","93","...","    Imputed interest receipts 2/",18534,20520,21609,23303,25314,26651,29047,32034,36607,40658,45802,57229,70072,80878,91362,99628,115842,145648,150454,167515,189376,197445,235867,272960,331853,411892,448672,524286,590753,658839,719857,802090,830827,855455,897225,927306,959067,1060428,1058648,1119016,1156588,1205476,1255611,1263720,1282416,1335198,1363270,1298089,1453525,1534595,1620978,1666019,1646802,1703720,1688245,1785905,1805276,1852374,1931101
"50000","Vermont","1","SA30","94","...","    Monetary interest receipts",26133,27543,29462,34248,38266,38391,43960,51207,62777,72127,76210,83518,97198,106966,116856,135278,159638,167005,181672,212698,236538,288761,379220,502798,559623,527242,654938,666933,701519,711079,802569,991387,995632,914965,834915,762847,783946,877958,883782,862603,1033666,1002134,1091194,1150311,979191,951353,767618,895961,1180157,1351406,1269885,1048050,864807,934012,989628,929660,1001456,975851,998770
"50000","Vermont","1","SA30","95","...","  Rental income of persons",16872,18006,19896,23304,25788,26282,27019,28069,29355,30857,30747,33806,34170,37562,40827,42930,40991,40124,36265,30230,30803,31359,38270,50144,54350,55909,58541,59236,57485,55314,70732,74818,87571,110671,169732,216085,263243,280598,319824,327080,356782,371231,376609,430818,444650,462934,523870,475717,380571,343325,475370,663176,862242,1047702,1115740,1167887,1189011,1313301,1399857
"50000","Vermont","1","SA30","96","...","    Imputed rent",13744,14940,16047,17593,19172,20330,21001,21979,23250,24543,24308,28317,27507,29931,30347,28876,28934,26864,23038,14757,15727,13644,12730,13884,7305,6332,1465,-4124,-14649,-15723,-2686,-1612,6712,21441,50435,90974,117301,123929,145045,146750,171669,192835,204276,250601,268884,298325,330619,280711,222447,162717,258913,406125,548816,685800,745260,789558,780586,854266,921996
"50000","Vermont","1","SA30","97","...","    Monetary rent",3128,3066,3849,5711,6616,5952,6018,6090,6105,6314,6439,5489,6663,7631,10480,14054,12057,13260,13227,15473,15076,17715,25540,36260,47045,49577,57076,63360,72134,71037,73418,76430,80859,89230,119297,125111,145942,156669,174779,180330,185113,178396,172333,180217,175766,164609,193251,195006,158124,180608,216457,257051,313426,361902,370480,378329,408425,459035,477861
"50000","Vermont","1","SA30","100","...","Population (persons) 3/",380000,387000,389000,390000,393000,397000,399000,404000,413000,423000,430000,437000,446323,454357,463214,468533,473138,479894,485144,492174,498284,505711,512524,515594,519108,523302,526658,530035,534066,540267,549763,557708,564798,568606,572751,577748,583836,589002,593701,597239,600416,604683,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625842,626210,625606,626044,625665,624455,623354
"50000","Vermont","1","SA30","110","...","Per capita personal income 4/",1762,1859,1954,2031,2115,2171,2314,2506,2786,2944,3188,3441,3696,3930,4253,4611,4939,5322,5853,6259,7088,7862,8720,9766,10492,11114,12187,13088,14005,15060,16183,17648,18069,18266,19411,19971,20764,21702,22684,23763,25480,26952,28904,30505,31089,32200,34045,34668,36944,38866,40847,40221,40925,43468,44949,45672,47203,49002,50084
"50000","Vermont","1","SA30","120","...","Per capita net earnings 4/",1392,1470,1537,1564,1624,1657,1757,1901,2125,2200,2366,2561,2703,2817,3034,3272,3413,3571,3988,4283,4952,5468,5872,6368,6655,7100,7772,8469,9148,10062,10793,11521,11699,11742,12575,13002,13428,13738,14441,15108,16259,17471,18860,19969,20548,21207,22389,22990,23607,24263,25117,24741,25318,26732,27443,27565,27985,28723,29511
"50000","Vermont","1","SA30","130","...","Per capita personal current transfer receipts 4/",138,143,153,172,177,188,194,201,210,253,293,330,384,451,497,560,666,836,891,899,938,1049,1226,1406,1554,1652,1690,1752,1791,1798,1865,2011,2214,2424,2723,2819,2954,3174,3254,3405,3526,3744,3998,4365,4638,4838,5037,5479,6075,6703,7471,8098,8543,8624,8842,9267,9678,10158,10345
"50000","Vermont","1","SA30","140","...","  Per capita income maintenance benefits 4/",18,19,18,17,17,17,18,18,18,22,29,35,43,55,62,63,90,115,130,114,113,129,174,200,195,202,199,199,206,198,203,216,250,292,341,344,363,380,353,378,368,386,392,397,421,438,462,509,531,696,743,835,880,890,912,966,940,931,931
"50000","Vermont","1","SA30","150","...","  Per capita unemployment insurance compensation 4/",16,11,14,22,17,19,17,12,8,10,11,11,19,36,41,33,47,102,90,69,46,46,69,68,100,101,69,64,57,46,43,55,93,142,159,144,102,89,90,83,77,76,73,106,182,195,135,129,136,145,197,428,357,262,204,155,125,113,109
"50000","Vermont","1","SA30","160","...","  Per capita retirement and other 4/",104,112,121,132,143,152,159,171,184,221,253,284,322,359,394,464,528,619,671,715,779,873,983,1138,1259,1348,1422,1488,1529,1553,1620,1740,1871,1991,2223,2330,2489,2705,2812,2944,3080,3281,3533,3862,4035,4205,4440,4840,5408,5862,6530,6835,7306,7472,7726,8146,8613,9114,9305
"50000","Vermont","1","SA30","170","...","Per capita dividends, interest, and rent 4/",232,246,264,295,315,326,364,405,451,491,529,550,608,663,721,780,859,915,973,1077,1198,1345,1622,1992,2283,2363,2725,2867,3066,3201,3525,4117,4155,4100,4114,4151,4382,4789,4988,5249,5695,5737,6046,6170,5903,6155,6619,6199,7261,7900,8259,7382,7063,8112,8664,8840,9540,10120,10228
