"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"06000","California","8","SA35","1000","...","Personal current transfer receipts (thousands of dollars)",71087,74775,143191,106643,99750,106518,133055,206471,148403,188386,220400,262384,253092,234605,227289,294012,488905,837324,931353,868467,1054804,1294045,1079533,1128395,1196134,1318570,1452646,1565316,1825722,2223305,2272944,2584487,2999157,3179142,3516743,3812460,4212541,4652979,5754639,6643304,7616204,9300701,10695547,11521550,12758371,15117591,18994216,21011565,22306606,24105492,26485686,30784183,36210987,39687570,42375699,44216304,47802875,51353036,53579191,57350771,62814344,69172892,76724918,88635461,93604307,95823749,100343420,105264283,105825193,111725348,117385478,122177543,135575639,145704785,153929412,161337196,169601786,182283309,192794171,218212631,241125245,266867975,268746978,271577706,282317496,300479286,323855800,334663544
"06000","California","8","SA35","2000","...","  Current transfer receipts of individuals from governments","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",814018,1006035,1231043,994288,1040922,1116275,1259711,1361752,1446559,1691870,2092683,2128917,2439380,2841987,2998296,3291699,3537763,3921585,4362576,5425896,6244362,7172731,8868049,10258763,11033435,12190500,14429311,18040757,19971948,21418857,22912466,25086163,29263926,34418885,37848168,40352610,41454010,44739279,48083214,50554612,54212564,59262536,65684097,73667473,85648167,90780783,93067141,96912389,101309723,102280278,107321983,111911411,115569340,128159741,139638968,148685195,157181077,164358061,177542666,186978903,211521726,233994583,259180692,260117762,263672663,274555779,292119888,314622425,324884473
"06000","California","8","SA35","2100","...","    Retirement and disability insurance benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",98224,113950,148234,225847,270539,338544,409974,523524,596043,741606,857602,1013074,1129545,1287081,1464126,1613163,1724596,1941554,2121652,2291170,2673579,2889375,3417072,3945739,4403278,5400018,6144683,7022247,7956195,8875051,9765422,10939044,12566915,14712213,16097862,17094429,18103172,19448133,20698551,21723811,23379994,24797786,26917018,29635857,31710872,32597644,33569291,34669288,35915587,37137778,38305972,39532780,42208202,44980851,47758540,50178240,53184617,56109177,58602043,61041183,64123996,69727666,72162375,74278133,79120427,82940197,87172786,90883426,93619572
"06000","California","8","SA35","2110","...","      Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",44345,55091,80536,157308,184233,251495,306837,413494,473429,605772,694501,832564,913201,1043535,1192803,1291808,1377843,1574510,1743519,1888595,2236314,2417483,2892425,3389866,3809413,4712142,5375236,6167826,7049814,7895685,8684896,9730493,11234797,13181795,14484796,15412879,16293456,17301592,18338242,19118801,20486080,21717571,23304651,25302303,26943343,28500820,29806914,31131750,32488002,33770149,34916560,35967812,38170225,40376270,42383651,43906204,45823703,48157090,50826493,53651364,56489331,61985897,64408921,66691127,71520611,75232405,78820446,82561197,85046287
"06000","California","8","SA35","2120","...","      Excluding Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",53879,58859,67698,68539,86306,87049,103137,110030,122614,135834,163101,180510,216344,243546,271323,321355,346753,367044,378133,402575,437265,471892,524647,555873,593865,687876,769447,854421,906381,979366,1080526,1208551,1332118,1530418,1613066,1681550,1809716,2146541,2360309,2605010,2893914,3080215,3612367,4333554,4767529,4096824,3762377,3537538,3427585,3367629,3389412,3564968,4037977,4604581,5374889,6272036,7360914,7952087,7775550,7389819,7634665,7741769,7753454,7587006,7599816,7707792,8352340,8322229,8573285
"06000","California","8","SA35","2121","...","        Railroad retirement and disability benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",16843,19461,20650,21583,30243,31995,36020,38479,42307,46470,49989,56005,63348,65544,69075,71412,72885,76532,81135,87812,99091,104167,119090,136394,148046,177640,194823,227926,249219,267095,281556,303503,337258,369860,397662,411574,406833,413568,423362,424997,440519,447162,456242,467602,474912,474350,478137,477248,473103,475089,476002,469905,468702,472775,484939,485262,487039,490044,498520,504768,510774,538514,536644,544456,563772,574505,586781,595875,596268
"06000","California","8","SA35","2122","...","        Workers' compensation","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",14921,16371,19525,22116,26173,22538,23702,25114,27022,28629,31746,35592,39547,45163,52175,58819,65097,72717,76392,80084,85185,86577,92794,108631,120385,143310,179565,211653,251931,266944,307266,345580,367598,406260,403245,420077,450107,541487,631120,783014,956746,1053484,1273442,1434163,1681413,1633657,1445767,1331220,1288489,1251286,1252539,1303007,1412425,1579302,2000482,2665841,3381688,3645655,3145759,2568926,2422118,2211336,2119876,2048532,2043724,2064780,2072936,2062665,2081981
"06000","California","8","SA35","2123","...","        Other government retirement and disability insurance benefits 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",22115,23027,27523,24840,29890,32516,43415,46437,53285,60735,81366,88913,113449,132839,150073,191124,208771,217795,220606,234679,252989,281148,312763,310848,325434,366926,395059,414842,405231,445327,491704,559468,627262,754298,812159,849899,952776,1191486,1305827,1396999,1496649,1579569,1882683,2431789,2611204,1988817,1838473,1729070,1665993,1641254,1660871,1792056,2156850,2552504,2889468,3120933,3492187,3816388,4131271,4316125,4701773,4991919,5096934,4994018,4992320,5068507,5692623,5663689,5895036
"06000","California","8","SA35","2200","...","    Medical benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6718,9001,10448,12985,15501,17086,25922,35963,49591,71506,103851,135291,172647,196455,462069,1084524,1403768,1757731,2057908,2243450,2440334,2682953,3209213,3875936,4648949,5443580,6157810,7053878,7786127,9893109,10623970,11455801,12315768,13559959,14835214,16030932,17337388,19229824,20943055,23159464,29026261,32259390,34101314,36393650,39172264,40090506,43360418,45662191,46521966,54673937,57798626,62925563,68555852,71511364,81556272,86996984,93297830,100258818,109821964,111783540,119782534,128394833,141430694,158609102,166247453
"06000","California","8","SA35","2210","...","      Medicare benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",125293,584084,707682,801966,858526,952794,1052157,1198752,1467782,1813749,2238166,2646647,3023048,3662877,4313769,5304232,5995287,6755306,7628874,8226729,8894479,9654916,10226464,11656895,11865037,13142044,14721202,16663550,18466412,19963038,21421467,22580169,22667759,23100145,23951225,26031896,28166114,29916313,31973116,34999775,42676525,45213521,50220634,53798400,56129455,58682128,60872585,62961289,65937871,69827647,72273134
"06000","California","8","SA35","2220","...","      Public assistance medical care benefits 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6718,9001,10448,12985,15501,17086,25922,35963,49591,71506,103851,135291,172647,196455,336776,475045,659674,909078,1141354,1223589,1310337,1399068,1655462,1973356,2323358,2701392,3030226,3272115,3343185,4437222,4453937,4502338,4476616,5086972,5616775,5998442,6676054,7173576,8637906,9554166,13799088,15128358,15224972,16065442,17430842,17223653,20407879,22273794,22254211,28289051,29242403,32488523,35981903,35790249,38044261,40919334,42113870,45394347,52567312,51896026,57677991,64321062,74345087,87596726,92849381
