"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"15000","Hawaii*","8","SA35","1000","...","Personal current transfer receipts (thousands of dollars)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",30677,25042,25260,25647,30447,34869,36300,39559,42027,45651,48062,58700,67049,69720,70279,81136,95099,120576,139898,159844,206557,270214,322520,369707,444414,577340,675267,708266,760581,839867,964953,1134149,1229215,1351330,1425165,1510726,1574075,1629448,1746431,1937022,2097788,2304017,2675514,2930443,3172009,3587117,3679587,3693737,3766251,3922182,4130169,4450134,4804901,4962791,5291453,5702154,6012830,6600400,7693206,8259829,9258852,9638999,9511657,9870292,10539751,10916832,11310938
"15000","Hawaii*","8","SA35","2000","...","  Current transfer receipts of individuals from governments","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",27609,20949,21805,23086,28013,31665,32017,34650,37588,41576,43473,54395,61502,63209,62706,72462,85404,109197,126424,143659,190510,254181,304204,348161,418183,540958,635411,673839,714627,785567,906291,1065377,1158908,1274283,1320456,1395910,1452964,1518494,1632760,1809855,1973701,2194760,2568374,2828702,3071988,3462146,3535982,3566012,3609332,3730612,3902204,4188233,4590770,4777979,5144083,5514839,5842066,6390963,7451883,8002442,8980796,9326786,9225253,9588584,10236771,10582822,10958749
"15000","Hawaii*","8","SA35","2100","...","    Retirement and disability insurance benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2545,4341,5097,6547,7913,10511,11777,14587,16927,19951,21643,25075,28850,31362,33847,39403,44641,49193,58824,64969,78739,93986,108963,136588,158122,185735,214873,247189,279842,318316,377532,447482,492801,550426,590125,634975,684008,721689,790503,850865,916444,993207,1062922,1130620,1195697,1266378,1343753,1409498,1478019,1542388,1652016,1776396,1888606,1972483,2075492,2206838,2330627,2474471,2610542,2862538,2989868,3107423,3328265,3495405,3672259,3855182,3960334
"15000","Hawaii*","8","SA35","2110","...","      Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2318,4053,4751,6192,7522,10110,11356,14145,16449,19421,21119,24508,28290,30759,33218,38726,43888,48360,57870,63866,77452,92440,107192,134294,155340,182171,210381,241838,273592,310451,366224,434844,478805,535422,573193,618675,666912,704627,770190,830153,894445,970055,1038691,1104360,1169970,1242621,1317850,1385873,1454784,1518330,1629249,1751661,1857219,1940039,2040458,2164168,2278504,2422522,2557752,2814056,2941242,3057261,3277418,3448686,3614045,3790203,3910391
"15000","Hawaii*","8","SA35","2120","...","      Excluding Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",227,288,346,355,391,401,421,442,478,530,524,567,560,603,629,677,753,833,954,1103,1287,1546,1771,2294,2782,3564,4492,5351,6250,7865,11308,12638,13996,15004,16932,16300,17096,17062,20313,20712,21999,23152,24231,26260,25727,23757,25903,23625,23235,24058,22767,24735,31387,32444,35034,42670,52123,51949,52790,48482,48626,50162,50847,46719,58214,64979,49943
"15000","Hawaii*","8","SA35","2121","...","        Railroad retirement and disability benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",140,164,201,196,229,225,229,236,247,281,267,304,286,324,340,369,404,419,491,550,643,754,853,1043,1107,1242,1341,1467,1588,1772,1971,2143,2290,2376,2305,2345,2473,2517,2634,2611,2610,2607,2636,2559,2487,2434,2276,2203,2134,2144,2200,2263,2375,2419,2556,2616,2710,2714,2730,2866,2771,2893,3090,3170,3361,3433,3420
"15000","Hawaii*","8","SA35","2122","...","        Workers' compensation","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",85,122,143,157,160,174,190,204,229,247,256,261,272,277,288,308,349,414,463,553,644,781,902,1218,1621,2284,3110,3843,4592,5970,9213,10358,11527,12347,14337,13573,14074,13794,16371,17329,18474,19678,20336,21533,21256,19223,20429,18998,18458,18301,18893,20867,24869,25296,27325,30831,31427,31690,30432,27232,27519,28902,29516,29816,31080,30752,31191
"15000","Hawaii*","8","SA35","2123","...","        Other government retirement and disability insurance benefits 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",0,0,0,0,0,0,"(L)","(L)","(L)",54,"(L)","(L)","(L)",70,123,124,137,179,281,290,382,549,751,1308,772,915,867,1259,2168,1984,2100,3198,2424,2643,3613,1674,1605,4143,4729,5153,9223,17986,17545,19628,18384,18336,18367,18241,13733,23773,30794,15332
"15000","Hawaii*","8","SA35","2200","...","    Medical benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",175,212,250,298,344,378,531,712,716,1601,3067,2653,2387,4918,8682,19018,25166,29438,38612,44787,51304,55555,65618,85385,104468,131120,164593,186772,209774,257418,292411,338645,348238,384178,403406,449908,477609,569807,616913,692367,808265,927438,1063632,1310451,1260699,1280042,1224945,1289376,1384627,1515634,1681706,1800692,2046476,2240020,2393251,2713380,2923648,3031152,3380591,3655072,3553698,3767961,4260895,4389770,4652998
"15000","Hawaii*","8","SA35","2210","...","      Medicare benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2267,10569,13425,14626,15878,16698,17034,21367,29317,37633,44257,57147,68476,83823,98333,119884,141472,160947,180051,198475,219222,242981,262645,324303,345854,364639,409701,454707,510077,569279,599990,638373,630845,669584,725979,839149,894998,938044,1009773,1068618,1306093,1445178,1587405,1706474,1785687,1871542,1933811,1991483,2086601,2207242,2283169
"15000","Hawaii*","8","SA35","2220","...","      Public assistance medical care benefits 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",175,212,250,298,344,378,531,712,716,1601,3067,2653,2387,4918,6415,7837,10863,13686,21269,26378,32168,31588,33631,45018,57547,70608,92043,98583,106885,132266,144353,167296,154842,173563,170523,184777,189653,217785,239787,299726,374561,449138,532486,722883,644725,626443,578142,603394,640395,654641,762042,833821,1001204,1138918,1045878,1225214,1288564,1265138,1525248,1703435,1531555,1689003,2085498,2085168,2277382
"15000","Hawaii*","8","SA35","2221","...","        Medicaid 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",21269,26378,32168,31588,33631,45018,57547,63312,75965,83779,91917,112627,123429,142158,131092,149151,145772,161843,164218,189003,215327,268631,331776,402204,502386,722883,644725,626443,578142,603394,640395,654641,746439,809775,976891,1106153,1005991,1184400,1248746,1216009,1491291,1662408,1471513,1640677,2027811,2055411,2247137
