"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"37000","North Carolina","5","SA35","1000","...","Personal current transfer receipts (thousands of dollars)",14024,14806,34394,23051,21624,20580,19741,41519,20328,28651,26755,28538,29044,29028,29408,41557,88460,184354,206864,197524,218605,284829,227297,220225,225883,254049,273907,293763,345957,400340,430373,456659,523937,552246,594782,623422,679237,738136,858830,981021,1107326,1337544,1569180,1756509,2038396,2533194,3522465,3798379,4007333,4314655,4932878,5897759,6798037,7567948,8154644,8614946,9236755,9827047,10220278,11076679,12367174,13673688,15724294,17409160,19134138,19908202,22304566,24215485,25418166,26424754,28061784,30026235,33502555,36248005,38139341,41118327,44562299,48568673,52263442,59409324,66440903,70555480,72376339,74031342,75496756,78485744,82701767,84955332
"37000","North Carolina","5","SA35","2000","...","  Current transfer receipts of individuals from governments","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",180925,200861,262663,200298,193429,201639,237471,249610,264161,313234,369472,395789,419140,486977,511758,546791,565824,616980,673277,784143,891496,992312,1224286,1457614,1631074,1892241,2356325,3278580,3534285,3783155,4016145,4585095,5522749,6360436,7123849,7672243,7959569,8515999,9068101,9526547,10365614,11573276,12900461,15045354,16748294,18502614,19283546,21515471,23296076,24589131,25390244,26772389,28467708,31749793,34810717,36896085,40126496,43296541,47402008,50809162,57716895,64627550,68597331,70176077,72016296,73517039,76348143,80336383,82438889
"37000","North Carolina","5","SA35","2100","...","    Retirement and disability insurance benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",9952,11813,16152,29169,35304,46291,55774,73956,86055,117170,143330,185665,208176,240776,279720,302634,320922,364966,405681,437586,509110,549139,660519,779189,880625,1101959,1273006,1480259,1701257,1914888,2122738,2416059,2822960,3281597,3649217,3981748,4234357,4525849,4829351,5060593,5444635,5887412,6408343,6979286,7533127,8066539,8566158,9114578,9665621,10189678,10692853,11146952,11866031,12681393,13545835,14231000,15083094,16215788,17477583,18698110,19859080,21934984,22995913,23908283,25660884,27009661,28378586,29768964,30627268
"37000","North Carolina","5","SA35","2110","...","      Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7111,8496,12359,25276,29847,40468,49423,67263,78623,108969,134095,175180,195848,228075,266281,288412,305892,349384,389116,419572,488604,527581,635729,750058,848340,1061800,1228490,1427469,1642778,1852163,2055477,2341303,2739123,3186193,3542766,3869160,4118522,4403282,4701486,4928971,5304312,5740071,6253139,6815436,7362468,7890975,8385811,8933566,9473163,9995235,10493602,10941221,11659470,12463258,13300408,13967222,14790066,15872346,17112717,18327835,19487643,21563429,22613893,23514991,25257249,26621313,27943392,29303931,30220541
"37000","North Carolina","5","SA35","2120","...","      Excluding Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2841,3317,3793,3893,5457,5823,6351,6693,7432,8201,9235,10485,12328,12701,13439,14222,15030,15582,16565,18014,20506,21558,24790,29131,32285,40159,44516,52790,58479,62725,67261,74756,83837,95404,106451,112588,115835,122567,127865,131622,140323,147341,155204,163850,170659,175564,180347,181012,192458,194443,199251,205731,206561,218135,245427,263778,293028,343442,364866,370275,371437,371555,382020,393292,403635,388348,435194,465033,406727
"37000","North Carolina","5","SA35","2121","...","        Railroad retirement and disability benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2625,3069,3418,3539,4983,5275,5779,6031,6729,7464,8424,9641,11550,11920,12614,13350,14031,14663,15505,16811,19163,19953,22664,25937,28067,33517,36577,42783,46873,50691,54155,60010,68058,75581,82434,86237,87408,90592,94019,97207,101926,107044,111626,116861,120741,123091,126102,128135,130609,134194,136745,137845,140880,145165,151566,157188,162478,168051,175666,182555,187665,197991,198984,202177,209858,213505,217235,220948,222164
"37000","North Carolina","5","SA35","2122","...","        Workers' compensation","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",189,193,317,322,441,505,539,629,670,707,782,816,749,754,797,842,983,902,1043,1187,1329,1592,1943,2381,2745,3375,4654,6526,7829,8182,8637,6876,7517,11553,15767,17281,19375,23346,24329,24121,25976,29741,32324,35828,37074,37878,40148,38444,45221,46284,47785,48785,52525,59931,69578,70300,77895,93927,97132,103916,107088,102716,107122,112427,114603,115564,120412,119148,120845
"37000","North Carolina","5","SA35","2123","...","        Other government retirement and disability insurance benefits 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(L)",55,58,"(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",183,813,1473,3267,3285,3481,3777,3852,4469,7870,8262,8270,8250,9070,9052,8629,9517,10294,12421,10556,11254,11161,12844,14595,14097,14433,16628,13965,14721,19101,13156,13039,24283,36290,52655,81464,92068,83804,76684,70848,75914,78688,79174,59279,97547,124937,63718
"37000","North Carolina","5","SA35","2200","...","    Medical benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1660,1825,2183,2504,2777,3029,3849,4895,4957,7099,9102,10773,12724,15987,31848,84311,112951,140008,182555,218434,267015,286036,360491,450357,557340,658211,758267,894106,1092762,1333267,1467093,1715127,1884652,2083302,2325425,2579844,2883166,3381244,3879345,4955363,5618785,6695121,6880017,8243303,9097509,9824109,9907309,10477292,11431153,13216875,14105680,15221668,17447728,19104442,21427466,23290159,24622950,26905019,26784698,28003653,30240726,31164128,32110469,33493928,33728276
"37000","North Carolina","5","SA35","2210","...","      Medicare benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",14513,67657,84278,102125,118889,124469,137777,155354,203954,259399,324357,390487,452284,534153,653830,813519,938379,1061124,1192082,1314781,1453071,1611471,1742967,2016178,2193912,2601562,2961069,3276299,3731513,4291252,4681133,5033015,5125998,5314127,5606338,6416541,6950409,7712579,8687498,9555478,11920502,12918025,13804587,14912503,15560361,16305638,16979333,17751215,18599281,19644993,20330507
"37000","North Carolina","5","SA35","2220","...","      Public assistance medical care benefits 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1660,1825,2183,2504,2777,3029,3849,4895,4957,7099,9102,10773,12724,15987,17335,12527,22756,30297,54564,83955,117554,117056,141997,175699,218601,252212,288551,340335,417189,493993,479161,597659,635164,698695,793629,883060,1039732,1260217,1568512,2226570,2520856,3289057,3030328,3839652,4296845,4670391,4651245,5029828,5674435,6635046,6959993,7228079,8409208,9121840,8989741,9799385,10182701,11262060,10461024,10874460,12399465,12625770,12690314,13025175,12615583
"37000","North Carolina","5","SA35","2221","...","        Medicaid 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",53861,83233,116839,116245,140674,173974,216626,250221,286496,338851,414694,491411,476977,593907,629472,693942,789828,883060,1039732,1260217,1568512,2226570,2520856,3289057,3030328,3839652,4296845,4670391,4643850,4976299,5589541,6558508,6840823,7066579,8196232,8823822,8792969,9602362,9959158,10998052,10203191,10597613,12105662,12334417,12522713,12873344,12450464
"37000","North Carolina","5","SA35","2222","...","        Other medical care benefits 4/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",703,722,715,811,1323,1725,1975,1991,2055,1484,2495,2582,2184,3752,5692,4753,3801,0,0,0,0,0,0,0,0,0,0,0,7395,53529,84894,76538,119170,161500,212976,298018,196772,197023,223543,264008,257833,276847,293803,291353,167601,151831,165119
