"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"32000","Nevada","8","SA35","1000","...","Personal current transfer receipts (thousands of dollars)",885,874,2108,1529,1403,1394,1512,3038,1806,2016,2930,3249,3080,2691,2596,3191,5398,10234,11752,10423,11560,15613,13625,15597,16972,20415,23240,26850,30074,37280,38069,40910,49180,51346,57725,65167,71772,77615,94648,113099,124926,147942,184244,218393,253800,315340,437636,490187,535165,604198,712456,865541,1055388,1175011,1285172,1376361,1511606,1685390,1798303,1974709,2279939,2608654,3220599,3644667,3849376,4036638,4379057,4714386,5025146,5351522,5582602,6000930,6788372,7646685,8217756,8874902,9595066,10368100,11328791,13390749,15285102,16837547,17067664,17219353,17606341,19047429,20796878,21652241
"32000","Nevada","8","SA35","2000","...","  Current transfer receipts of individuals from governments","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",9793,11002,14825,12382,14171,15917,19552,21699,24831,27788,35080,35301,37643,45540,46846,51751,58173,64381,70514,86564,103240,114289,137430,173089,205436,238322,295935,410197,459577,508266,566626,666393,813789,992859,1109753,1213298,1277444,1401305,1566923,1686691,1855913,2141499,2466156,3090244,3513978,3721639,3905173,4207650,4508344,4832444,5103907,5266155,5608246,6333578,7265608,7880459,8598519,9235974,10033011,10907541,12901091,14762474,16276030,16439685,16642273,17037931,18430196,20108391,20913873
"32000","Nevada","8","SA35","2100","...","    Retirement and disability insurance benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2431,2718,3278,4861,5753,6891,7992,9765,10903,13008,14685,17411,19056,21330,24722,27273,30264,34319,38250,42366,51747,58537,69849,89494,104412,130284,148802,185132,223890,279364,341684,390606,456132,545061,577066,646488,723698,807888,905106,969530,1078411,1262312,1427275,1804852,1836442,1926202,1998065,2090932,2221007,2388712,2529302,2546493,2683121,2946394,3211379,3443703,3693792,3943631,4191485,4462586,4736213,5210452,5475042,5733623,6205580,6591315,6992349,7409874,7691378
"32000","Nevada","8","SA35","2110","...","      Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",503,623,941,1870,2180,2989,3666,5167,5960,7771,9112,11365,12769,14867,17358,19247,21165,24864,28201,31346,40054,45136,56218,69125,81198,104262,117743,147162,175536,206855,239462,270201,327356,398783,433770,505573,569607,627685,689909,742676,822205,941202,1050526,1203711,1345662,1490184,1641013,1785905,1940260,2107320,2242271,2367099,2611014,2869099,3124734,3351525,3596573,3833851,4070716,4341747,4617183,5093937,5354290,5609341,6077669,6466201,6854026,7263444,7559860
"32000","Nevada","8","SA35","2120","...","      Excluding Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1928,2095,2337,2991,3573,3902,4326,4598,4943,5237,5573,6046,6287,6463,7364,8026,9099,9455,10049,11020,11693,13401,13631,20369,23214,26022,31059,37970,48354,72509,102222,120405,128776,146278,143296,140915,154091,180203,215197,226854,256206,321110,376749,601141,490780,436018,357052,305027,280747,281392,287031,179394,72107,77295,86645,92178,97219,109780,120769,120839,119030,116515,120752,124282,127911,125114,138323,146430,131518
"32000","Nevada","8","SA35","2121","...","        Railroad retirement and disability benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",431,515,564,606,864,869,1054,1192,1298,1408,1361,1571,1805,1906,2161,2216,2393,2529,2733,3081,3567,3818,4465,5378,5987,7311,8145,9624,10849,12145,13188,14757,16763,19015,20976,22107,22918,24397,25942,27520,29277,31451,33941,36319,37805,38833,40883,42403,42854,43750,45735,47089,48535,49962,51735,53610,56055,57065,59015,60676,61565,64908,64792,66163,69802,72052,74044,75548,75565
"32000","Nevada","8","SA35","2122","...","        Workers' compensation","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1495,1576,1769,2383,2707,3029,3270,3404,3641,3826,4210,4473,4480,4555,5200,5807,6704,6924,7314,7936,8122,9579,9107,14806,16957,18161,22335,27772,36878,59744,88346,104503,110826,126028,121102,117532,129874,154551,187729,197587,224840,287995,341056,563091,450968,394584,313671,260201,234959,235287,238748,128897,21444,24816,28859,29362,30692,36630,36598,37207,36226,32680,35899,37492,38227,38614,40212,39793,40357
"32000","Nevada","8","SA35","2123","...","        Other government retirement and disability insurance benefits 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",59,185,270,550,579,574,627,620,688,1145,1187,1235,1218,1276,1299,1255,1526,1747,2089,1664,1752,1731,2007,2601,2498,2423,2934,2355,2548,3408,2128,2517,6051,9206,10472,16085,25156,22956,21239,18927,20061,20627,19882,14448,24067,31089,15596
"32000","Nevada","8","SA35","2200","...","    Medical benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",960,973,1180,1304,1390,1508,1704,2016,2052,2338,3003,3117,3547,3464,4722,13937,21143,22964,25325,28660,32873,40501,48753,64797,81204,93941,104820,142345,186696,245180,278975,312485,337244,368561,420043,465509,500797,574142,675313,802273,1061986,1168920,1307869,1442248,1562045,1683462,1753520,1849077,2013255,2296829,2669135,2969172,3439160,3730437,4193075,4533396,4909806,5273132,5540651,5843560,6302787,6454626,7531251,8492757,8893013
"32000","Nevada","8","SA35","2210","...","      Medicare benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1950,9092,12211,13631,14686,15670,17315,22772,28961,38611,51450,60762,66199,93688,121071,158406,184044,208582,234063,258679,286436,318244,344786,399844,447300,503884,584000,691596,801838,898755,1001662,1116646,1135724,1204441,1296029,1454795,1647242,1818470,2076321,2285824,2702535,2916229,3208590,3486868,3670086,3889255,4107060,4310297,4603521,4944474,5117642
"32000","Nevada","8","SA35","2220","...","      Public assistance medical care benefits 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",960,973,1180,1304,1390,1508,1704,2016,2052,2338,3003,3117,3547,3464,2772,3507,7013,6873,7474,8979,10707,12283,14237,20214,23402,25544,30091,38744,53943,72701,77823,87083,83771,86469,103265,114168,125259,141874,192578,258255,435688,439197,471922,511231,528820,537898,586036,610047,678381,795255,966034,1073160,1269553,1338900,1370034,1487417,1555085,1628351,1705696,1796234,2037935,2004154,2778960,3392492,3627443
