"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"47000","Tennessee","5","SA35","1000","...","Personal current transfer receipts (thousands of dollars)",17422,18334,36616,25347,21020,22487,22898,42002,22719,30446,30452,35297,34479,35912,36161,48156,93292,212941,217133,211729,240089,286240,229632,215776,222355,263505,278722,286701,323633,369778,386188,404335,459168,477214,502370,525139,578258,635726,762612,875013,977840,1197077,1396549,1538849,1816799,2220687,2933844,3207067,3366660,3673379,4275691,5159033,5846299,6414513,6887663,7211375,7664086,8228411,8667353,9316576,10256837,11353972,12913994,14529377,15582168,16347817,17926308,18875873,19623982,20492371,21376816,23195042,25289149,27113779,28791831,30624002,32780423,34633121,38051119,42821662,46063868,50416874,51433704,51978261,53479083,54358997,57196948,58416256
"47000","Tennessee","5","SA35","2000","...","  Current transfer receipts of individuals from governments","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",196573,223962,265763,205749,194837,202938,249920,259091,263470,298762,346851,361053,378844,431342,446139,466261,481549,530652,587096,707034,807280,887804,1110298,1309499,1440876,1703116,2082955,2743726,3000428,3190458,3438549,4000848,4863062,5502538,6067941,6513373,6706992,7114070,7652753,8143068,8781484,9663019,10780480,12412681,14039912,15116262,15888134,17347924,18205028,19022075,19746789,20453111,22084497,24055416,26108165,27924096,29935605,31905928,33833465,37062113,41681502,44849425,49111020,49971568,50640887,52170138,52947957,55639009,56762968
"47000","Tennessee","5","SA35","2100","...","    Retirement and disability insurance benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",11575,13647,17767,29899,36730,47296,56877,74184,86052,113481,134923,167681,186509,215144,250248,267545,281281,319107,352984,381867,446022,482449,582320,693984,787757,989723,1129005,1307341,1488466,1659132,1827638,2079816,2406625,2791686,3089302,3328482,3516879,3724839,3924945,4098885,4333469,4640707,5008613,5425338,5832834,6203974,6544799,6933720,7297617,7640561,7972106,8288524,8806704,9389728,9963630,10417846,11007520,11772813,12541926,13384819,14165775,15613112,16316466,16924343,18127048,18995614,19850988,20728976,21254877
"47000","Tennessee","5","SA35","2110","...","      Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6210,7387,10759,22498,26615,36521,44672,61013,71767,97688,117789,148266,164458,191912,226003,243005,256221,292671,325232,351548,411693,446475,538403,635831,720387,897888,1033718,1198748,1370829,1536869,1696794,1917967,2232911,2600608,2883213,3115691,3303518,3507075,3704240,3874914,4103014,4404023,4765393,5172976,5572620,5943108,6279056,6675421,7033567,7377593,7709564,8023213,8543638,9114553,9664642,10108735,10686686,11419409,12183003,13015042,13787282,15232591,15920622,16519663,17710527,18582927,19407477,20266006,20820565
"47000","Tennessee","5","SA35","2120","...","      Excluding Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",5365,6260,7008,7401,10115,10775,12205,13171,14285,15793,17134,19415,22051,23232,24245,24540,25060,26436,27752,30319,34329,35974,43917,58153,67370,91835,95287,108593,117637,122263,130844,161849,173714,191078,206089,212791,213361,217764,220705,223971,230455,236684,243220,252362,260214,260866,265743,258299,264050,262968,262542,265311,263066,275175,298988,309111,320834,353404,358923,369777,378493,380521,395844,404680,416521,412687,443511,462970,434312
"47000","Tennessee","5","SA35","2121","...","        Railroad retirement and disability benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",4966,5855,6335,6514,9083,9597,10964,11853,12967,14361,15515,17738,20599,21749,22631,22790,23297,24562,25768,28089,31818,32953,37435,42238,45143,53463,57788,66820,72102,76386,80316,86995,96620,106282,115094,119625,119115,121782,125959,128242,133335,137554,141732,146452,150372,151669,154104,154921,157250,159417,161076,161336,164020,168965,177895,184300,190095,197270,207685,217481,225805,238929,248526,253093,263824,269964,276055,282323,285572
"47000","Tennessee","5","SA35","2122","...","        Workers' compensation","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",374,354,619,859,1006,1145,1213,1289,1290,1405,1593,1651,1426,1459,1589,1724,1752,1862,1972,2220,2500,3010,3736,4700,5393,6147,8146,11449,14028,14593,16860,18445,19386,27470,36119,36058,38708,43894,42303,43263,44464,49077,52163,56520,59564,59832,63763,56472,60229,61445,61506,59284,61616,70609,77596,74568,76271,86615,87952,93736,97077,89558,93531,98265,100405,101386,105648,104537,106029
"47000","Tennessee","5","SA35","2123","...","        Other government retirement and disability insurance benefits 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(L)",51,54,"(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",2746,11215,16834,32225,29353,30324,31507,31284,33668,56409,57708,57326,54876,57108,55538,52088,52443,52466,52656,50053,49325,49390,50278,49365,47876,46906,46571,42106,39960,44691,37430,35601,43497,50243,54468,69519,63286,58560,55611,52034,53787,53322,52292,41337,61808,76110,42711
"47000","Tennessee","5","SA35","2200","...","    Medical benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",339,465,538,673,809,893,1373,1916,1348,2590,4213,6813,9718,11665,27689,82690,105810,121017,132398,156189,176386,229656,296116,387691,487246,556290,661059,816917,1008923,1185894,1306193,1529931,1710012,1868331,2174395,2487195,2748229,3168647,3681844,4536897,5316634,5924801,6366455,7262641,7564177,7954468,8273610,8533943,9598039,10579761,11333924,12415992,13717315,14477721,15332825,17104143,18059322,18686071,20600844,20921280,21721925,22581879,22587241,24087810,24378805
"47000","Tennessee","5","SA35","2210","...","      Medicare benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",15088,70333,83817,95536,101429,113605,121342,141485,183406,224111,289645,343498,396199,491869,604212,740901,868512,985418,1102810,1216581,1344834,1491745,1613759,1923971,2086803,2403214,2764733,3120715,3532311,3904344,4205972,4393628,4157889,4145141,4390298,4912982,5338603,5738441,6351637,6980618,8948053,9544553,10228235,10999815,11449309,11942888,12403728,12792114,13355045,14058179,14549010
