"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"51000","Virginia","5","SA35","1000","...","Personal current transfer receipts (thousands of dollars)",16428,17117,35895,23908,21225,20418,20755,44317,23429,27522,28803,32305,31722,32277,32938,45114,86391,161638,166789,135170,145862,224866,163417,169717,180769,202890,226634,239715,278683,330841,360994,372537,427698,452426,484887,511639,560037,610391,734205,854630,978762,1179529,1413308,1621864,1937558,2301499,2947622,3228928,3462452,3823629,4387613,5224314,6028627,6586210,7120331,7531310,8047627,8531237,8859796,9473788,10376265,11262568,12441844,13993460,14799656,15672805,16974549,17939584,18563591,19213360,20249150,21690014,24131403,25577926,27442651,28980470,31463441,34410288,36648142,42234510,45274070,49402098,51295646,51826969,53812898,56087519,59466528,61446326
"51000","Virginia","5","SA35","2000","...","  Current transfer receipts of individuals from governments","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",123179,132693,207071,141513,145827,159325,186676,203504,212533,248870,302963,331094,342765,394511,415643,441916,459881,505782,555699,670210,776385,873382,1077136,1313482,1509573,1806624,2142774,2727991,2989991,3259358,3552569,4072922,4887963,5634800,6187171,6685130,6939878,7398375,7843738,8226799,8821444,9646943,10552690,11821642,13386754,14222954,15106187,16265243,17120113,17830682,18306598,19123042,20331279,22596630,24322092,26356750,28114977,30363848,33409210,35415064,40814546,43757696,47763262,49454247,50139367,52156252,54304772,57501414,59367654
"51000","Virginia","5","SA35","2100","...","    Retirement and disability insurance benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",14668,17171,21997,35672,43611,56599,68067,89364,103330,132235,154464,186113,205971,234058,266358,284821,300766,340673,374709,405572,473811,510921,613594,733185,832857,1054278,1193709,1367861,1552666,1743389,1919932,2196564,2544947,2942137,3239007,3510448,3723141,3951808,4184669,4352819,4624259,4947655,5317818,5791312,6224944,6616304,6976919,7423469,7826905,8213746,8574740,8917687,9503311,10156579,10775214,11258887,11883098,12640967,13527534,14348662,15145701,16624686,17325273,17981991,19276975,20269778,21297911,22375583,23094810
"51000","Virginia","5","SA35","2110","...","      Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7841,9364,13359,26556,31271,43429,53359,73515,85761,113064,133680,162471,179102,205987,237085,254342,268616,307340,339367,366927,429695,464204,555072,652466,736779,918389,1052640,1210410,1380645,1558438,1727197,1956361,2281631,2661130,2945498,3198263,3408574,3620424,3839478,3997402,4256053,4567988,4930470,5386669,5805835,6192076,6552347,6995560,7395791,7784858,8148629,8480524,9067947,9711663,10298238,10771253,11390022,12127972,12988394,13808398,14598711,16065754,16762814,17407868,18690780,19690294,20685650,21744855,22494095
"51000","Virginia","5","SA35","2120","...","      Excluding Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6827,7807,8638,9116,12340,13170,14708,15849,17569,19171,20784,23642,26869,28071,29273,30479,32150,33333,35342,38645,44116,46717,58522,80719,96078,135889,141069,157451,172021,184951,192735,240203,263316,281007,293509,312185,314567,331384,345191,355417,368206,379667,387348,404643,419109,424228,424572,427909,431114,428888,426111,437163,435364,444916,476976,487634,493076,512995,539140,540264,546990,558932,562459,574123,586195,579484,612261,630728,600715
"51000","Virginia","5","SA35","2121","...","        Railroad retirement and disability benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6293,7196,7717,7940,11072,11744,13305,14287,15899,17394,18795,21580,24969,26091,27124,28259,29825,30986,32836,35722,40670,42490,48760,56387,61312,73449,80335,93939,102119,108758,114587,124280,139334,154621,168437,176061,179176,184177,190536,196258,204913,213949,221637,231466,238740,242351,247425,249798,253476,257538,259840,260926,263946,269700,280233,286992,291722,296743,306460,315309,322570,339982,337456,342088,353577,359702,366060,371872,374293
"51000","Virginia","5","SA35","2122","...","        Workers' compensation","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",466,475,777,1102,1200,1335,1329,1485,1598,1716,1923,1999,1838,1919,2087,2157,2294,2315,2471,2886,3407,4185,5079,6301,7313,9160,10942,12581,16432,22546,20185,19092,24894,27896,30506,37186,38739,39136,46789,48793,53167,58611,61155,68798,75076,76694,73749,78681,80350,79874,81964,84777,88933,97904,110467,111752,113923,123974,130047,130449,137176,137348,140761,148200,151463,152820,158891,157272,159470
"51000","Virginia","5","SA35","2123","...","        Other government retirement and disability insurance benefits 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",68,136,144,74,68,91,74,77,72,61,66,63,62,61,62,63,"(L)","(L)","(L)","(L)","(L)","(L)",4683,18031,27453,53280,49792,50931,53470,53647,57963,96831,99088,98490,94566,98938,96652,108071,107866,110366,110126,107107,104556,104379,105293,105183,103398,99430,97288,91476,84307,91460,82485,77312,86276,88890,87431,92278,102633,94506,87244,81602,84242,83835,81155,66962,87310,101584,66952
"51000","Virginia","5","SA35","2200","...","    Medical benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",278,345,405,489,571,627,902,1221,2402,2997,3992,5024,6266,8332,22883,81860,106152,125270,156076,201262,253793,294369,367845,459116,548635,632479,740340,866684,1060782,1268609,1438761,1601168,1753889,1952092,2145061,2395844,2601249,2951892,3302124,3765483,4434369,4783655,5246215,5660865,5986652,6459762,6487036,6822997,7340622,8712502,8907435,9760374,10732149,11848487,13569136,14636469,15982651,17226734,18289632,19393704,19832210,20661961,21404379,22865316,23587780
"51000","Virginia","5","SA35","2210","...","      Medicare benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",14146,65945,80838,90286,99953,109755,122656,138119,187942,242832,303000,358162,424659,504439,625875,763531,879376,994202,1117361,1228991,1354694,1498597,1616989,1869367,1983753,2230912,2530332,2757351,3126865,3407611,3678464,3957913,3931354,4063089,4340685,4845931,5209010,5651511,6181314,6704813,8125503,8835565,9528049,10265587,10707521,11211516,11678586,12076230,12672314,13392156,13860786
"51000","Virginia","5","SA35","2220","...","      Public assistance medical care benefits 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",278,345,405,489,571,627,902,1221,2402,2997,3992,5024,6266,8332,8737,6244,11447,17206,34569,66466,102550,124016,146943,181959,212291,235569,272455,312284,380108,439058,474774,512233,531702,597472,650585,732624,812085,902669,1115946,1312111,1656229,1797964,1933982,2100244,2146310,2337522,2380961,2583578,2809385,3647876,3447050,3739004,4100642,4643668,4810151,5099974,5656472,6072703,6679433,7228031,7145230,7680293,7756032,8482899,8786710
"51000","Virginia","5","SA35","2221","...","        Medicaid 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",34170,66077,102238,123827,146943,181959,211111,233209,268917,307567,374506,431709,466457,503209,522372,587811,640617,722494,801110,891501,1104585,1298104,1641523,1783565,1919936,2086804,2132628,2324241,2366123,2559081,2769944,3595747,3388080,3675873,4028562,4563931,4712969,4996046,5531651,5954926,6556650,7098334,6998877,7517328,7595009,8329693,8627473
