"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"01000","Alabama","5","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",488102,533753,584000,618328,660241,706231,766544,821255,852908,900051,974392,1130589,1330201,1490066,1619423,1821590,2125844,2390416,2585949,2884285,3305814,3752287,4587388,5621394,6340084,6780142,7609353,8302620,8762462,9186581,10090234,11661360,12158358,12381660,12776761,13257641,14309069,15739530,16171345,17410509,18731650,18499591,20002230,20240135,19921324,20640103,22630706,23640038,25392552,27692954,29009128,26044978,27033019,27840880,29399991,29287708,30624370,32119325,32582897
"01000","Alabama","5","SA40","91","...","  Personal dividend income",67772,79030,86395,85864,92673,98685,117498,133232,135770,145401,148908,160555,170057,183652,205070,239948,279036,295910,345933,396840,462191,531228,578265,655318,684476,779063,838095,948934,1047796,1175034,1426502,1720725,1849855,2034131,2193560,2424613,2884783,3161650,3577514,3889322,4137479,3948240,4268860,4033797,4547694,5193864,7542882,7466261,8776070,9901017,9952146,6926322,6687695,7918675,9383661,9209126,10213505,10642460,10103208
"01000","Alabama","5","SA40","92","...","  Personal interest income",263355,287021,320873,347599,373718,405448,445852,479646,503894,533831,608856,735784,903005,1035116,1144895,1316663,1569015,1823819,1994460,2302990,2648435,3027394,3783866,4659614,5342697,5717254,6484500,7043019,7480043,7774256,8355405,9613413,9904300,9798233,9795499,9775769,10138707,11140309,11027579,11869944,12740110,12519331,13597139,13688842,12668251,12638373,12083284,13643859,14445947,15910409,16406366,15631235,16028388,14504103,14282214,14027991,14074784,14595757,15117710
"01000","Alabama","5","SA40","93","...","    Imputed interest receipts 1/",177185,194929,214255,233602,245413,262124,285035,306737,328035,348584,368677,418207,530002,619172,685419,761235,891067,1079662,1161990,1311012,1525690,1642809,1941131,2194857,2579792,3079294,3317299,3771997,4129616,4474917,4749986,5179840,5432198,5675227,5992430,6231172,6509520,7094685,7024528,7635923,7754401,7836489,8224780,8200610,8206878,8412547,8619798,8960001,9165021,9749483,10421494,10728176,11335008,10537987,10293731,10476323,10386577,10851163,11290609
"01000","Alabama","5","SA40","94","...","    Monetary interest receipts",86170,92092,106618,113997,128305,143324,160817,172909,175859,185247,240179,317577,373003,415944,459476,555428,677948,744157,832470,991978,1122745,1384585,1842735,2464757,2762905,2637960,3167201,3271022,3350427,3299339,3605419,4433573,4472102,4123006,3803069,3544597,3629187,4045624,4003051,4234021,4985709,4682842,5372359,5488232,4461373,4225826,3463486,4683858,5280926,6160926,5984872,4903059,4693380,3966116,3988483,3551668,3688207,3744594,3827101
"01000","Alabama","5","SA40","95","...","  Rental income of persons 2/",156975,167702,176732,184865,193850,202098,203194,208377,213244,220819,216628,234250,257139,271298,269458,264979,277793,270687,245556,184455,195188,193665,225257,306462,312911,283825,286758,310667,234623,237291,308327,327222,404203,549296,787702,1057259,1285579,1437571,1566252,1651243,1854061,2032020,2136231,2517496,2705379,2807866,3004540,2529918,2170535,1881528,2650616,3487421,4316936,5418102,5734116,6050591,6336081,6881108,7361979
"01000","Alabama","5","SA40","96","...","    Imputed rent",104175,115509,126281,135740,146422,153217,156401,161850,169740,177422,174578,193402,206041,221022,218601,207860,212085,196043,169346,107155,115752,103505,99834,109954,59753,53867,27973,6446,-32395,-22491,57463,85813,149968,248264,400374,626434,804209,866775,1030226,1064726,1250370,1419026,1540252,1880725,2041161,2112820,2348891,1842334,1465827,1107662,1717441,2573305,3238078,4105445,4389898,4660460,4829941,5226441,5639443
"01000","Alabama","5","SA40","97","...","    Monetary rent",52800,52193,50451,49125,47428,48881,46793,46527,43504,43397,42050,40848,51098,50276,50857,57119,65708,74644,76210,77300,79436,90160,125423,196508,253158,229958,258785,304221,267018,259782,250864,241409,254235,301032,387328,430825,481370,570796,536026,586517,603691,612994,595979,636771,664218,695046,655649,687584,704708,773866,933175,914116,1078858,1312657,1344218,1390131,1506140,1654667,1722536
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
