"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"04000","Arizona","6","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",354933,400500,450618,510417,541366,582269,629944,673719,709060,770171,925209,1176096,1407352,1599470,1795590,2071412,2406125,2661128,2885313,3264617,3907088,4607564,5672521,7033292,7711133,8628355,9847155,10971243,11946206,12729687,13406115,15353082,15619312,15392465,15332657,16373858,18339522,19919671,21428050,23585839,25414441,25762440,27811236,27589592,27754529,29408921,32222484,36869960,41107475,44201440,43631202,37749699,37045381,40510085,44501619,44902312,48622509,52672343,53502140
"04000","Arizona","6","SA40","91","...","  Personal dividend income",53636,61541,72797,77681,86251,99986,117744,137887,138987,143566,199602,214862,228168,247652,278853,322088,367492,367783,451928,534548,640559,757139,864377,1012347,1062322,1184237,1298485,1442229,1597418,1713129,1917409,2288285,2399341,2620388,2717826,2966950,3471091,3928743,4776335,5470024,5726475,5444305,6067533,5872688,6432296,6995697,9608190,10607555,13338362,14880735,13075270,8617297,8851090,10931400,13167177,12564301,14785628,16185751,15334726
"04000","Arizona","6","SA40","92","...","  Personal interest income",182443,215088,243220,269330,303476,326991,353575,370946,398367,446676,546277,744291,942271,1097224,1249335,1478487,1781511,2043796,2200056,2544906,3062455,3652042,4573493,5713743,6344264,7077219,8183999,9117155,9999150,10688972,11111181,12694595,12759051,12140203,11735880,12096192,13126072,14080586,14572710,15771650,16987210,17319384,18579090,18150597,17520236,18273305,18027458,21552370,23454486,25710120,25430859,22614131,20801220,21086551,22251671,22079779,22700142,24291177,25121615
"04000","Arizona","6","SA40","93","...","    Imputed interest receipts 1/",86151,99044,108344,122998,134842,151989,168818,184341,199755,229454,260739,344509,455685,542579,626373,716284,845121,1044200,1104457,1255182,1503389,1637714,1925135,2196468,2593055,3282752,3545927,4212130,4779907,5339735,5550253,6030980,6203452,6338579,6583434,7078042,7673486,8283862,8533678,9421016,9618299,10087676,10613544,10317186,10661941,11317371,12026977,13008473,13504982,14297585,14878146,14534243,14190890,14310864,14647088,15140140,15257981,16430932,17086863
"04000","Arizona","6","SA40","94","...","    Monetary interest receipts",96292,116044,134876,146332,168634,175002,184757,186605,198612,217222,285538,399782,486586,554645,622962,762203,936390,999596,1095599,1289724,1559066,2014328,2648358,3517275,3751209,3794467,4638072,4905025,5219243,5349237,5560928,6663615,6555599,5801624,5152446,5018150,5452586,5796724,6039032,6350634,7368911,7231708,7965546,7833411,6858295,6955934,6000481,8543897,9949504,11412535,10552713,8079888,6610330,6775687,7604583,6939639,7442161,7860245,8034752
"04000","Arizona","6","SA40","95","...","  Rental income of persons 2/",118854,123871,134601,163406,151639,155292,158625,164886,171706,179929,179330,216943,236913,254594,267402,270837,257122,249549,233329,185163,204074,198383,234651,307202,304547,366899,364671,411859,349638,327586,377525,370202,460920,631874,878951,1310716,1742359,1910342,2079005,2344165,2700756,2998751,3164613,3566307,3801997,4139919,4586836,4710035,4314627,3610585,5125073,6518271,7393071,8492134,9082771,10258232,11136739,12195415,13045799
"04000","Arizona","6","SA40","96","...","    Imputed rent",63594,71519,78915,86597,94597,100703,104299,109407,116099,121823,121528,160011,163028,175635,175941,168094,172881,163117,141120,86830,97244,80348,77771,88127,42220,38698,12874,-12998,-61654,-59363,22565,39161,96533,201155,403028,753727,1040972,1170266,1456304,1530898,1842974,2119380,2280651,2597316,2886526,3226809,3621423,3661297,3195750,2284224,3472849,4821688,5409192,6098291,6560913,7640781,8263804,9069695,9794215
"04000","Arizona","6","SA40","97","...","    Monetary rent",55260,52352,55686,76809,57042,54589,54326,55479,55607,58106,57802,56932,73885,78959,91461,102743,84241,86432,92209,98333,106830,118035,156880,219075,262327,328201,351797,424857,411292,386949,354960,331041,364387,430719,475923,556989,701387,740076,622701,813267,857782,879371,883962,968991,915471,913110,965413,1048738,1118877,1326361,1652224,1696583,1983879,2393843,2521858,2617451,2872935,3125720,3251584
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
