"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"06000","California","8","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",6392342,6882051,7454661,7867356,8512385,9156868,10060004,10919434,11683326,12402958,13022429,14930172,16613093,17954198,19502628,21682411,24773407,27158041,29123453,32242751,37387404,43067961,52160556,64206748,70431411,77493890,88896470,94936868,99318320,102679254,110935678,125663011,133030864,132456533,133664524,136775568,143179491,154962205,165367567,176239739,190669879,192614245,210465558,214567129,210462070,221897558,238713460,265782148,301610379,321668021,330544297,293107685,291582767,330202209,370567697,367755446,409832839,450755494,459386914
"06000","California","8","SA40","91","...","  Personal dividend income",1183235,1282191,1364436,1414901,1537507,1655922,1856485,2087302,2143335,2228969,2466039,2574070,2589372,2670141,2871184,3182065,3529689,3578880,4291448,4989142,5681290,6451421,7397351,8702688,8444683,9740049,10862135,11472292,12610617,13273222,15129545,18244306,19618619,20887396,21453744,22647375,25237696,27684689,32796930,37812528,40205249,40521304,45507730,44392177,48155768,52840417,69292390,72777378,92985941,102457389,98786020,67137561,66901464,85416348,105613111,100433624,121580189,135128621,127720509
"06000","California","8","SA40","92","...","  Personal interest income",3368559,3655242,4027101,4338162,4763605,5230874,5852218,6384065,6973770,7492843,7877785,9478161,11208608,12241803,13379156,15053114,17662481,19986945,21490481,24666412,28997837,33871295,41378511,51156759,57500477,62947800,72935290,78158381,82337533,85483864,90997637,102869284,107384907,103306873,99119472,95446807,95429087,102790693,104303280,109343871,117809833,116864585,129360014,132021795,121891155,123547147,118633996,143886255,165199708,180778703,178306855,161358390,146987431,153206594,164624489,158919761,168713422,180859371,188145753
"06000","California","8","SA40","93","...","    Imputed interest receipts 1/",1369807,1548093,1712592,1921918,2084727,2288598,2537749,2689709,2910171,3196155,3497347,4511295,5596761,6173303,6835059,7401160,8536423,10443226,10940555,12237936,14271981,15142081,17555722,19964739,23206611,28931694,31239286,36099822,39719918,43427206,45725413,49453842,52264739,53395440,54723317,55331276,55792014,59851970,60093535,64502219,65476865,67157272,72205736,72131481,72256055,75230352,77919987,84423386,91080276,96069108,99492767,99262294,96765485,99425619,103223504,104736122,108257646,117363542,123213818
"06000","California","8","SA40","94","...","    Monetary interest receipts",1998752,2107149,2314509,2416244,2678878,2942276,3314469,3694356,4063599,4296688,4380438,4966866,5611847,6068500,6544097,7651954,9126058,9543719,10549926,12428476,14725856,18729214,23822789,31192020,34293866,34016106,41696004,42058559,42617615,42056658,45272224,53415442,55120168,49911433,44396155,40115531,39637073,42938723,44209745,44841652,52332968,49707313,57154278,59890314,49635100,48316795,40714009,59462869,74119432,84709595,78814088,62096096,50221946,53780975,61400985,54183639,60455776,63495829,64931935
"06000","California","8","SA40","95","...","  Rental income of persons 2/",1840548,1944618,2063124,2114293,2211273,2270072,2351301,2448067,2566221,2681146,2678605,2877941,2815113,3042254,3252288,3447232,3581237,3592216,3341524,2587197,2708277,2745245,3384694,4347301,4486251,4806041,5099045,5306195,4370170,3922168,4808496,4549421,6027338,8262264,13091308,18681386,22512708,24486823,28267357,29083340,32654797,35228356,35597814,38153157,40415147,45509994,50787074,49118515,43424730,38431929,53451422,64611734,77693872,91579267,100330097,108402061,119539228,134767502,143520652
"06000","California","8","SA40","96","...","    Imputed rent",1153743,1276815,1393434,1493017,1608729,1678539,1707863,1760161,1837965,1914090,1875379,2031701,1929752,2156116,2199769,2173595,2312786,2261023,2010390,1104587,1099324,841667,882741,853493,132901,-70997,-585154,-1253681,-2429771,-2558990,-1325242,-1414033,-913091,55279,2783186,7157432,10223860,11472861,14065035,14504673,17520789,20055317,20811792,21823174,24258983,28990969,33468810,30453671,23633901,16228466,25945930,36737141,44786498,54670700,59231788,69089002,78716063,86980369,93944731
"06000","California","8","SA40","97","...","    Monetary rent",686805,667803,669690,621276,602544,591533,643438,687906,728256,767056,803226,846240,885361,886138,1052519,1273637,1268451,1331193,1331134,1482610,1608953,1903578,2501953,3493808,4353350,4877038,5684199,6559876,6799941,6481158,6133738,5963454,6940429,8206985,10308122,11523954,12288848,13013962,14202322,14578667,15134008,15173039,14786022,16329983,16156164,16519025,17318264,18664844,19790829,22203463,27505492,27874593,32907374,36908567,41098309,39313059,40823165,47787133,49575921
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
