"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"13000","Georgia","5","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",715666,786244,871488,938366,1022423,1118039,1235306,1370016,1493639,1616960,1651390,1842546,2143006,2376268,2621433,2987259,3439559,3733973,3993478,4427996,5073058,5756992,7020017,8596612,9863685,11019989,12532455,13790030,14942787,15844075,17544678,20024354,21178440,21571583,22277511,23589320,25959969,28507205,30990549,33417724,36401344,36256044,39877582,41347915,40882807,42785918,44002680,48083245,53626667,59201724,59449520,53919183,52601502,62079497,62623255,61827896,68463776,73217899,73959329
"13000","Georgia","5","SA40","91","...","  Personal dividend income",125279,138300,149565,160830,174246,188273,221948,262624,280620,290146,295190,312175,328500,353789,394903,448695,507320,512673,599534,685820,802464,927948,1020152,1165477,1204045,1400668,1546472,1766572,1961300,2176651,2728457,3216518,3638184,3947408,4241343,4850981,5966559,6706903,8027820,9007870,9821658,9509348,10627341,10463646,11482624,12701025,15232498,16339691,19740796,22254296,20511808,14195265,13652828,17449915,21013351,20437920,24723050,26930838,25548129
"13000","Georgia","5","SA40","92","...","  Personal interest income",380603,430358,480673,513793,564027,617031,694895,772054,867583,958804,1000152,1151704,1427557,1612666,1795816,2107457,2520442,2849738,3056867,3484060,3997476,4562118,5682061,7021874,8244115,9220752,10572922,11512508,12536370,13223288,14271242,16254523,16863147,16683280,16625693,16680402,17331026,18922180,19558191,20885312,22542170,22346494,24646472,25592382,23793890,24052071,22578850,26150149,29120110,32745413,32913593,31671661,29453904,33580516,29670947,28675617,30277392,31377470,32466689
"13000","Georgia","5","SA40","93","...","    Imputed interest receipts 1/",250236,276385,300137,324603,357475,394887,435054,466512,511780,555494,605881,670781,846852,951151,1052967,1182562,1368698,1643781,1756079,1981279,2300718,2474664,2911481,3311139,3947555,4847116,5289504,6063663,6800922,7480393,7982223,8688751,9158168,9551403,10092855,10569201,11067078,12035461,12343557,13400090,13734222,14030826,15036985,15362011,15446863,15950881,16088378,17042778,18006378,19432844,20514531,21229064,20884176,23008929,20642070,20788832,21403839,22463521,23346327
"13000","Georgia","5","SA40","94","...","    Monetary interest receipts",130367,153973,180536,189190,206552,222144,259841,305542,355803,403310,394271,480923,580705,661515,742849,924895,1151744,1205957,1300788,1502781,1696758,2087454,2770580,3710735,4296560,4373636,5283418,5448845,5735448,5742895,6289019,7565772,7704979,7131877,6532838,6111201,6263948,6886719,7214634,7485222,8807948,8315668,9609487,10230371,8347027,8101190,6490472,9107371,11113732,13312569,12399062,10442597,8569728,10571587,9028877,7886785,8873553,8913949,9120362
"13000","Georgia","5","SA40","95","...","  Rental income of persons 2/",209784,217586,241250,263743,284150,312735,318463,335338,345436,368010,356048,378667,386949,409813,430714,431107,411797,371562,337077,258116,273118,266926,317804,409261,415525,398569,413061,510950,445117,444136,544979,553313,677109,940895,1410475,2057937,2662384,2878122,3404538,3524542,4037516,4400202,4603769,5291887,5606293,6032822,6191332,5593405,4765761,4202015,6024119,8052257,9494770,11049066,11938957,12714359,13463334,14909591,15944511
"13000","Georgia","5","SA40","96","...","    Imputed rent",132467,147156,161119,177441,195420,208037,215493,225848,239473,252597,250798,275944,278696,296758,295533,280278,287249,264613,226288,138346,149325,128415,121403,133346,64202,55676,13961,-31122,-116276,-116152,15800,41531,133443,289097,600523,1129379,1546287,1724539,2111767,2205539,2649756,3043785,3252714,3803408,4099707,4539897,4647591,4012613,3162397,2379617,3840930,5695845,6768033,7944830,8699622,9365437,9951881,10881297,11752376
"13000","Georgia","5","SA40","97","...","    Monetary rent",77317,70430,80131,86302,88730,104698,102970,109490,105963,115413,105250,102723,108253,113055,135181,150829,124548,106949,110789,119770,123793,138511,196401,275915,351323,342893,399100,542072,561393,560288,529179,511782,543666,651798,809952,928558,1116097,1153583,1292771,1319003,1387760,1356417,1351055,1488479,1506586,1492925,1543741,1580792,1603364,1822398,2183189,2356412,2726737,3104236,3239335,3348922,3511453,4028294,4192135
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
