"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"24000","Maryland","2","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",1059927,1133039,1214255,1292747,1415145,1545798,1696322,1862931,1995110,2163406,2276878,2466662,2811545,3144227,3413605,3811408,4325361,4670408,5011561,5523800,6274376,6986762,8303422,9993619,11847293,12470750,14165366,15385438,16550417,17431711,19108289,21320401,22532764,23354836,23935939,25203925,26560672,28390662,29830941,31951653,33706530,34722251,37611158,38380943,38212983,39173503,42645266,44800621,50485155,53899461,55898491,50915271,51017436,55365743,59852646,58335030,61733378,64719029,65925985
"24000","Maryland","2","SA40","91","...","  Personal dividend income",212084,230780,247023,257051,280417,316168,361763,407332,407274,424923,430940,447626,453709,471384,509723,574002,644434,634693,753527,867223,982289,1109324,1273439,1500711,1786425,1673799,1817409,1952893,2140676,2256091,2571212,3206001,3414923,3577079,3764391,4057973,4652953,5034950,5880877,6757284,7272136,7397031,8684597,8549238,9311391,9536001,12809508,12423483,15468256,17180591,16855325,11865985,11859871,13267407,16027233,14212280,16203033,17205497,16233240
"24000","Maryland","2","SA40","92","...","  Personal interest income",601285,640070,690524,738607,817275,895918,996108,1111928,1241125,1375353,1494252,1655257,2003664,2297715,2522626,2862030,3298902,3664945,3927571,4420724,5058938,5665224,6773161,8184256,9781096,10473460,12029813,13103302,14209013,15015081,16249699,17862513,18764055,19207578,19079096,19357785,19658432,20854829,21142110,22234877,22959279,23657463,25221269,25809212,24531715,24613445,24218495,27054496,30437240,32983893,33276266,31109979,29432704,30295298,30992063,30434073,31105651,32217347,33303616
"24000","Maryland","2","SA40","93","...","    Imputed interest receipts 1/",328642,359508,391582,432500,476521,522394,586942,655760,736261,807348,895544,1024425,1284644,1511048,1665684,1847822,2076346,2388915,2531760,2799095,3231614,3426091,3895049,4376384,5087152,5983435,6496255,7368036,8186526,8968080,9601057,10280206,10893596,11578281,12099284,12729769,13122801,13968766,14170740,15160852,14964189,15727349,16365421,16660208,16900748,17278111,18081575,18813237,20352454,21378921,22396529,22453012,22351025,22983259,23133817,23540302,23789009,24804880,25721150
"24000","Maryland","2","SA40","94","...","    Monetary interest receipts",272643,280562,298942,306107,340754,373524,409166,456168,504864,568005,598708,630832,719020,786667,856942,1014208,1222556,1276030,1395811,1621629,1827324,2239133,2878112,3807872,4693944,4490025,5533558,5735266,6022487,6047001,6648642,7582307,7870459,7629297,6979812,6628016,6535631,6886063,6971370,7074025,7995090,7930114,8855848,9149004,7630967,7335334,6136920,8241259,10084786,11604972,10879737,8656967,7081679,7312039,7858246,6893771,7316642,7412467,7582466
"24000","Maryland","2","SA40","95","...","  Rental income of persons 2/",246558,262189,276708,297089,317453,333712,338451,343671,346711,363130,351686,363779,354172,375128,381256,375376,382025,370770,330463,235853,233149,212214,256822,308652,279772,323491,318144,329243,200728,160539,287378,251887,353786,570179,1092452,1788167,2249287,2500883,2807954,2959492,3475115,3667757,3705292,4022493,4369877,5024057,5617263,5322642,4579659,3734977,5766900,7939307,9724861,11803038,12833350,13688677,14424694,15296185,16389129
"24000","Maryland","2","SA40","96","...","    Imputed rent",174934,192567,209264,225911,245103,256993,262581,271549,284373,296689,291600,301999,292470,311382,303972,287248,291161,270934,231516,123397,117974,86223,88798,88063,15757,-8786,-67720,-150398,-299993,-328520,-185690,-207934,-154331,-35490,326403,922154,1341676,1515999,1864722,1922850,2331436,2673852,2762824,3036465,3353544,3943473,4521498,4242123,3429036,2425995,4121400,6269128,7678707,9468832,10273602,11146957,11755409,12221105,13189207
"24000","Maryland","2","SA40","97","...","    Monetary rent",71624,69622,67444,71178,72350,76719,75870,72122,62338,66441,60086,61780,61702,63746,77284,88128,90864,99836,98947,112456,115175,125991,168024,220589,264015,332277,385864,479641,500721,489059,473068,459821,508117,605669,766049,866013,907611,984884,943232,1036642,1143679,993905,942468,986028,1016333,1080584,1095765,1080519,1150623,1308982,1645500,1670179,2046154,2334206,2559748,2541720,2669285,3075080,3199922
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
