"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"26000","Michigan","3","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",2084612,2232048,2416436,2534759,2745306,2930949,3245133,3534035,3831698,4048248,4267843,4365669,4761910,5080960,5467540,5989898,6823186,7443975,8017243,8926876,9949401,11195729,13281480,16086785,18324612,19495598,22380934,23913783,25268818,26104318,27755702,31224893,32841896,32205159,33102621,34379941,39195520,41573530,44126170,46740973,49424493,48726042,52302601,50364333,48815378,50601032,52507765,53592657,56039208,59407766,60888452,52309702,51528455,59075596,63531979,65609065,71052902,75354090,75892783
"26000","Michigan","3","SA40","91","...","  Personal dividend income",425479,455581,508828,547559,619373,685872,794446,878781,902433,928390,971588,979016,961033,974808,1029235,1137247,1248725,1230571,1505053,1779749,1987549,2216590,2288707,2488084,2486662,2809786,3244539,3533836,3848867,4077425,4602535,5675250,6063457,6313424,6557885,6951710,8102894,8869423,10451180,11708834,12134542,11535441,12315730,11054809,11726114,13032102,16948601,16316814,18461013,20181569,19982979,12954133,13438703,17988312,21707292,23289769,27911156,29583776,28019674
"26000","Michigan","3","SA40","92","...","  Personal interest income",1019883,1097433,1182029,1238560,1335664,1434978,1627490,1813562,2056522,2224566,2416377,2624297,3011068,3294152,3587652,4048941,4782594,5446773,5820052,6643763,7439571,8499473,10443141,12924081,15230842,16023706,18518242,19644247,20851672,21480820,22451293,24859493,25925044,24721889,24808896,24719851,24894331,26442147,27375108,28856594,30980341,30867740,33990479,32714258,30401743,30328232,28014137,30948624,32503928,35055882,35179690,32180006,29446499,30781754,30639081,30255579,30059173,31548411,32655624
"26000","Michigan","3","SA40","93","...","    Imputed interest receipts 1/",392321,437627,483644,527995,568309,611648,695763,770490,849191,914940,1025139,1133762,1341022,1498335,1660403,1808148,2120375,2666358,2775539,3091894,3468782,3651269,4306717,4892411,5790369,7139146,7731889,8857184,9821906,10639076,11030792,11737813,12376283,12531059,13291443,13857132,14117777,15006883,15322703,16520136,16608352,17090295,18238329,17313352,17455866,17838784,17945419,17998960,17988083,18703716,19831242,19932906,19448082,19989556,19468703,20020266,19530027,20744130,21606489
"26000","Michigan","3","SA40","94","...","    Monetary interest receipts",627562,659806,698385,710565,767355,823330,931727,1043072,1207331,1309626,1391238,1490535,1670046,1795817,1927249,2240793,2662219,2780415,3044513,3551869,3970789,4848204,6136424,8031670,9440473,8884560,10786353,10787063,11029766,10841744,11420501,13121680,13548761,12190830,11517453,10862719,10776554,11435264,12052405,12336458,14371989,13777445,15752150,15400906,12945877,12489448,10068718,12949664,14515845,16352166,15348448,12247100,9998417,10792198,11170378,10235313,10529146,10804281,11049135
"26000","Michigan","3","SA40","95","...","  Rental income of persons 2/",639250,679034,725579,748640,790269,810099,823197,841692,872743,895292,879878,762356,789809,812000,850653,803710,791867,766631,692138,503364,522281,479666,549632,674620,607108,662106,618153,735700,568279,546073,701874,690150,853395,1169846,1735840,2708380,6198295,6261960,6299882,6175545,6309610,6322861,5996392,6595266,6687521,7240698,7545027,6327219,5074267,4170315,5725783,7175563,8643253,10305530,11185606,12063717,13082573,14221903,15217485
"26000","Michigan","3","SA40","96","...","    Imputed rent",480011,527096,571413,604919,645438,667353,673642,689445,715520,740577,722599,606180,631779,663706,645940,605836,606452,557212,469136,266718,264443,203848,197464,199398,71656,40235,-38103,-127160,-278362,-276615,-82883,-64800,39230,205291,616166,1369432,4848986,4697867,4824788,4463047,4623341,4665892,4378839,4873015,5046383,5627950,5818783,4604758,3375575,2332307,3565118,5093918,6125997,7329820,8049043,8824757,9596330,10387003,11225599
"26000","Michigan","3","SA40","97","...","    Monetary rent",159239,151938,154166,143721,144831,142746,149555,152247,157223,154715,157279,156176,158030,148294,204713,197874,185415,209419,223002,236646,257838,275818,352168,475222,535452,621871,656256,862860,846641,822688,784757,754950,814165,964555,1119674,1338948,1349309,1564093,1475094,1712498,1686269,1656969,1617553,1722251,1641138,1612748,1726244,1722461,1698692,1838008,2160665,2081645,2517256,2975710,3136563,3238960,3486243,3834900,3991886
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
