"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"28000","Mississippi","5","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",257316,294633,314764,355419,384650,416175,424452,446833,470685,508374,534964,656548,756304,830057,919851,1057160,1240958,1383005,1479938,1646171,1898880,2167802,2690029,3355029,3747841,3963189,4370575,4723936,4869404,4955528,5296371,6159858,6177748,6205627,6353106,6642943,7176224,7663928,8162647,8766443,9538106,9449011,10176325,10548410,10283779,10046541,9934305,10790999,12375732,14826759,14583547,13615511,13115520,14097082,14804908,14366957,15281262,15866407,16098286
"28000","Mississippi","5","SA40","91","...","  Personal dividend income",23715,29989,33017,41136,45183,53321,58283,65646,64355,66529,73670,78045,84576,93162,105997,127996,152338,165228,190211,216044,254852,296466,313753,349356,359032,399072,412076,463166,502090,557260,657899,794244,871330,948805,1039226,1138825,1380203,1502747,1769704,2069569,2336690,2300232,2432026,2340799,2575975,2490281,3020893,3482595,4525579,5055468,5013114,3808108,3728229,4209861,4883437,4716864,5438480,5534920,5264540
"28000","Mississippi","5","SA40","92","...","  Personal interest income",124934,148276,173454,197678,215028,226067,235369,254421,278742,310115,335463,430046,512719,570760,641211,756083,906914,1042418,1129510,1303944,1504635,1733286,2203220,2753088,3112363,3326159,3728118,4015908,4194924,4228295,4432053,5148830,5038745,4905676,4863343,4884627,5078554,5382812,5533417,5787704,6225433,6101999,6624439,6899733,6375419,6117494,5477654,5990341,6741100,7366845,7768389,7591775,6859627,7076256,7084846,6668499,6758934,6955978,7228069
"28000","Mississippi","5","SA40","93","...","    Imputed interest receipts 1/",81597,97489,106845,119813,127912,133373,138936,153880,173152,180955,196026,230201,282446,317795,364944,416190,487287,587410,622835,701899,818980,883742,1052474,1207434,1431008,1709294,1816584,2056253,2231760,2363207,2465971,2715456,2745130,2828127,2959963,3108730,3270274,3493631,3547218,3779307,3862910,3900937,4092004,4177335,4197375,4218695,4077539,4172300,4406292,4646914,5053614,5332848,5119931,5220395,5185011,5112240,5072404,5262084,5496885
"28000","Mississippi","5","SA40","94","...","    Monetary interest receipts",43337,50787,66609,77865,87116,92694,96433,100541,105590,129160,139437,199845,230273,252965,276267,339893,419627,455008,506675,602045,685655,849544,1150746,1545654,1681355,1616865,1911534,1959655,1963164,1865088,1966082,2433374,2293615,2077549,1903380,1775897,1808280,1889181,1986199,2008397,2362523,2201062,2532435,2722398,2178044,1898799,1400115,1818041,2334808,2719931,2714775,2258927,1739696,1855861,1899835,1556259,1686530,1693894,1731184
"28000","Mississippi","5","SA40","95","...","  Rental income of persons 2/",108667,116368,108293,116605,124439,136787,130800,126766,127588,131730,125831,148457,159009,166135,172643,173081,181706,175359,160217,126183,139393,138050,173056,252585,276446,237958,230381,244862,172390,169973,206419,216784,267673,351146,450537,619491,717467,778369,859526,909170,975983,1046780,1119860,1307878,1332385,1438766,1435758,1318063,1109053,2404446,1802044,2215628,2527664,2810965,2836625,2981594,3083848,3375509,3605677
"28000","Mississippi","5","SA40","96","...","    Imputed rent",51254,56727,61854,66852,72380,76084,77959,80973,85195,89405,88094,118546,126791,131390,130054,123042,125665,116261,99552,65543,73338,67090,64909,73384,42946,39731,25874,13718,-6315,1428,46243,66216,105792,162469,239361,346744,428975,451269,527006,540646,626277,703283,776093,940536,978948,1071158,1058155,955998,720332,1972902,1241719,1684880,1900216,2072060,2010778,2155223,2206033,2439324,2630498
"28000","Mississippi","5","SA40","97","...","    Monetary rent",57413,59641,46439,49753,52059,60703,52841,45793,42393,42325,37737,29911,32218,34745,42589,50039,56041,59098,60665,60640,66055,70960,108147,179201,233500,198227,204507,231144,178705,168545,160176,150568,161881,188677,211176,272747,288492,327100,332520,368524,349706,343497,343767,367342,353437,367608,377603,362065,388721,431544,560325,530748,627448,738905,825847,826371,877815,936185,975179
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
