"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"37000","North Carolina","5","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",762243,817730,895010,967860,1063174,1135090,1241453,1339420,1442860,1533104,1633252,1864674,2189183,2375649,2630693,2992042,3480461,3855184,4170085,4697017,5351851,6026101,7424813,9178585,10505463,11512262,13369008,14645861,15779577,16498736,18477146,21010349,22267515,22614854,23827691,25335462,27334344,29706576,32583319,35419891,38349967,38742056,40823209,41116731,40113484,41343324,45619833,49588772,52962924,59185354,61709590,55347912,53328857,59578485,63843918,63976295,70246098,75715637,76951124
"37000","North Carolina","5","SA40","91","...","  Personal dividend income",154846,164024,188536,200959,218624,232073,275536,312030,318724,321445,347831,378826,396227,424037,471143,523552,581337,589101,713819,837817,955824,1087045,1217261,1407806,1483792,1651254,1840652,2101212,2349726,2544498,3117919,3716357,4067568,4399722,4787872,5415214,6421556,7143421,8611916,9793640,10693756,9911295,10443757,9590896,10508178,11412813,14859519,15259354,18771588,21484493,21415592,14646999,13838920,16639441,19793543,19355110,22552732,24803433,23518385
"37000","North Carolina","5","SA40","92","...","  Personal interest income",355194,393204,429703,470085,522738,566054,626758,690768,776836,853957,944285,1094741,1358632,1512118,1704423,1989668,2413559,2825452,3057927,3546987,4060566,4616614,5846834,7323119,8602026,9398906,11029917,12001917,12954638,13499338,14755824,16657675,17382028,17127978,17454153,17754803,18228965,19561225,20388584,21933515,23496854,24279152,25613515,26005198,23777774,23941398,24406731,28728365,29446203,33456710,34157095,32475415,29305184,30325012,30561169,30032221,32618526,34444969,35808744
"37000","North Carolina","5","SA40","93","...","    Imputed interest receipts 1/",222901,253442,273531,300118,323792,349609,379108,411733,448946,489692,525077,612646,785614,868457,989292,1116376,1340899,1650356,1742306,1975002,2283805,2425975,2893723,3339326,3955565,4834032,5350567,6144937,6858525,7506777,8058309,8750882,9216019,9556116,10401849,10985218,11404625,12250201,12608472,13776168,14016963,14796046,15299241,15306648,15232069,15758830,16989698,18167354,18080171,19730677,21063180,21797471,21070863,21622224,21496055,21951426,23006299,24508580,25647312
"37000","North Carolina","5","SA40","94","...","    Monetary interest receipts",132293,139762,156172,169967,198946,216445,247650,279035,327890,364265,419208,482095,573018,643661,715131,873292,1072660,1175096,1315621,1571985,1776761,2190639,2953111,3983793,4646461,4564874,5679350,5856980,6096113,5992561,6697515,7906793,8166009,7571862,7052304,6769585,6824340,7311024,7780112,8157347,9479891,9483106,10314274,10698550,8545705,8182568,7417033,10561011,11366032,13726033,13093915,10677944,8234321,8702788,9065114,8080795,9612227,9936389,10161432
"37000","North Carolina","5","SA40","95","...","  Rental income of persons 2/",252203,260502,276771,296816,321812,336963,339159,336622,347300,357702,341136,391107,434324,439494,455127,478822,485565,440631,398339,312213,335461,322442,360718,447660,419645,462102,498439,542732,475213,454900,603403,636317,817919,1087154,1585666,2165445,2683823,3001930,3582819,3692736,4159357,4551609,4765937,5520637,5827532,5989113,6353583,5601053,4745133,4244151,6136903,8225498,10184753,12614032,13489206,14588964,15074840,16467235,17623995
"37000","North Carolina","5","SA40","96","...","    Imputed rent",137453,151642,164993,182067,200625,214009,222069,233193,247716,261713,260205,311669,321838,344266,343610,327626,330254,303231,262702,167560,181628,157194,148082,165950,88924,86580,44120,4067,-70508,-60726,81127,123352,235555,423571,743027,1241702,1633135,1781885,2155917,2241332,2662995,3040622,3289548,3931267,4220092,4437521,4742339,3950773,3072561,2369475,3845609,5894055,7482906,9418898,10128508,11112361,11394692,12235065,13219327
"37000","North Carolina","5","SA40","97","...","    Monetary rent",114750,108860,111778,114749,121187,122954,117090,103429,99584,95989,80931,79438,112486,95228,111517,151196,155311,137400,135637,144653,153833,165248,212636,281710,330721,375522,454319,538665,545721,515626,522276,512965,582364,663583,842639,923743,1050688,1220045,1426902,1451404,1496362,1510987,1476389,1589370,1607440,1551592,1611244,1650280,1672572,1874676,2291294,2331443,2701847,3195134,3360698,3476603,3680148,4232170,4404668
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
