"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"91000","New England","1","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",3577984,3844111,4077192,4353996,4790958,5179142,5723471,6239595,6717918,7352810,7574308,8189682,8913296,9494819,10163667,11015504,12271197,13004030,13846785,15339741,16998327,19056773,23179485,28498962,33237614,35026714,40679223,42900557,46113070,49145464,54757335,61400864,62678042,61394530,62514229,65118868,67480615,72200513,76627844,81404445,87629349,88030991,97682084,100277460,96843702,99674554,104655990,111785109,130038411,140887206,142349520,127192870,127314958,140842164,156767719,157960364,167769663,176835741,178524901
"91000","New England","1","SA40","91","...","  Personal dividend income",1199215,1301411,1320101,1361065,1457946,1568315,1758536,1922974,2003506,2192364,2113038,2152309,2162711,2230419,2399124,2556047,2724032,2583663,3018622,3408716,3799957,4252275,4726597,5413117,6162718,6253649,6961236,7059486,7512434,7830478,8738345,10546762,10564562,11111346,11612280,12571986,14027248,15340766,17870112,20346515,20971673,20605578,23233256,22765813,24230590,26341410,33485917,32858480,42012215,46542869,47080125,32502889,32332018,39661976,48027025,45934715,54050195,58169584,54695474
"91000","New England","1","SA40","92","...","  Personal interest income",1678885,1794157,1946292,2118388,2385985,2618223,2918303,3200760,3518666,3878225,4149408,4756488,5527562,6027200,6540901,7251315,8354744,9323962,9837077,11179723,12464065,14116900,17558704,21938270,25867618,27587185,32533834,34569649,37588330,40344176,44576257,49519312,50505054,48116289,46951285,46513616,46023467,48631828,49230273,51406394,56093829,56036405,63060550,64668917,58978061,58190000,55275138,64679251,76327405,84473296,81035279,75476899,71215257,72111587,77296038,78772567,78619097,81037539,83619219
"91000","New England","1","SA40","93","...","    Imputed interest receipts 1/",761042,839445,913013,997496,1084450,1124234,1234141,1311896,1418889,1544282,1722524,2071420,2508240,2783994,3064806,3280823,3708817,4555061,4675322,5190411,5825491,6048021,7152540,8200462,9835142,12257634,13468645,15505803,17498119,19694762,21360082,22680385,23456309,23649784,24576264,25606267,25621351,27145957,27310127,29274959,29958171,30968048,33834512,33948417,33545139,33870744,35050496,36858505,40623256,43299729,44229786,44875117,45276442,45494077,46953301,49724805,48831846,51196269,53098198
"91000","New England","1","SA40","94","...","    Monetary interest receipts",917843,954712,1033279,1120892,1301535,1493989,1684162,1888864,2099777,2333943,2426884,2685068,3019322,3243206,3476095,3970492,4645927,4768901,5161755,5989312,6638574,8068879,10406164,13737808,16032476,15329551,19065189,19063846,20090211,20649414,23216175,26838927,27048745,24466505,22375021,20907349,20402116,21485871,21920146,22131435,26135658,25068357,29226038,30720500,25432922,24319256,20224642,27820746,35704149,41173567,36805493,30601782,25938815,26617510,30342737,29047762,29787251,29841270,30521021
"91000","New England","1","SA40","95","...","  Rental income of persons 2/",699884,748543,810799,874543,947027,992604,1046632,1115861,1195746,1282221,1311862,1280885,1223023,1237200,1223642,1208142,1192421,1096405,991086,751302,734305,687598,894184,1147575,1207278,1185880,1184153,1271422,1012306,970810,1442733,1334790,1608426,2166895,3950664,6033266,7429900,8227919,9527459,9651536,10563847,11389008,11388278,12842730,13635051,15143144,15894935,14247378,11698791,9871041,14234116,19213082,23767683,29068601,31444656,33253082,35100371,37628618,40210208
"91000","New England","1","SA40","96","...","    Imputed rent",570072,626362,679542,728075,785097,818752,832623,857536,894744,930390,912113,850844,795209,839901,811168,759603,764539,705755,594993,313284,296263,215631,213827,223587,36183,-27836,-206683,-465405,-950632,-1066388,-613511,-702482,-528039,-111687,1070826,2835180,3968564,4366606,5269284,5359752,6414758,7279649,7470447,8510647,9291182,10820239,11588666,9692233,7282930,5050218,8582354,13346476,16958212,21050291,23073711,24666208,25964050,27042791,29187254
"91000","New England","1","SA40","97","...","    Monetary rent",129812,122181,131257,146468,161930,173852,214009,258325,301002,351831,399749,430041,427814,397299,412474,448539,427882,390650,396093,438018,438042,471967,680357,923988,1171095,1213716,1390836,1736827,1962938,2037198,2056244,2037272,2136465,2278582,2879838,3198086,3461336,3861313,4258175,4291784,4149089,4109359,3917831,4332083,4343869,4322905,4306269,4555145,4415861,4820823,5651762,5866606,6809471,8018310,8370945,8586874,9136321,10585827,11022954
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
