"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"48000","Texas","6","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",2542422,2784986,2976288,3114866,3284979,3501847,3729789,3972516,4242110,4504672,4710626,5480017,6370963,7023766,7773946,8864657,10401040,11529643,12372018,13674208,16114001,18695872,22990632,28735688,34181011,37315710,42469304,47100206,47872426,47488010,50423968,54892992,57116685,57564926,58700727,59995109,63553272,69366026,73554943,78023509,83984020,84467574,93059297,93365453,90480673,95959079,99334949,116334460,128231675,142791860,166629072,146499790,145931034,168332111,192723144,187036652,208419852,219100842,221051144
"48000","Texas","6","SA40","91","...","  Personal dividend income",355917,407852,436550,455124,497363,545497,615603,689093,733503,775834,860914,910657,946747,1005650,1109285,1278316,1465961,1512997,1833345,2146703,2528407,2947886,3295193,3824334,4278905,4456145,4616840,5055074,5200346,5109899,6104180,7164459,7787642,8490305,9080898,9869408,11264860,12374939,14388580,16107179,17033076,16843175,19324848,19190582,20998798,23416245,30116082,33235311,43148498,50546987,56319749,41796627,40020211,53003591,64630084,58702301,69757157,75973973,71680472
"48000","Texas","6","SA40","92","...","  Personal interest income",1222452,1339791,1465366,1552048,1673660,1799893,1998191,2174145,2398765,2620710,2777176,3367939,4161327,4706366,5264389,6191600,7442270,8518531,9129861,10376633,12306294,14443621,18073328,22606185,27276146,29791148,34846027,39021354,40863067,40813422,42650354,46115077,47182383,46483892,46001723,45058590,46278115,50507342,51524981,54161005,58234815,58228516,63570281,63856682,58917929,61064634,57000855,71427618,74315906,81615206,94435030,86532476,83896609,87708411,97376113,93626045,97758251,103810222,107565451
"48000","Texas","6","SA40","93","...","    Imputed interest receipts 1/",671426,739970,804165,875169,923053,970211,1046015,1111439,1215104,1319937,1424304,1732843,2223032,2528003,2842736,3218526,3773301,4624886,4894738,5457261,6437181,6943358,8245425,9585898,11664117,14391729,15716934,18535327,20065291,21163491,22000599,23097434,24115348,25126520,26508646,27374436,28358116,30842035,31255985,33651578,34315522,35263699,37436833,37210143,37221874,39150171,39486313,44186457,44413975,47211056,53108457,55561401,57170789,59094652,62933078,63623372,65009726,69735459,72719419
"48000","Texas","6","SA40","94","...","    Monetary interest receipts",551026,599821,661201,676879,750607,829682,952176,1062706,1183661,1300773,1352872,1635096,1938295,2178363,2421653,2973074,3668969,3893645,4235123,4919372,5869113,7500263,9827903,13020287,15612029,15399419,19129093,20486027,20797776,19649931,20649755,23017643,23067035,21357372,19493077,17684154,17919999,19665307,20268996,20509427,23919293,22964817,26133448,26646539,21696055,21914463,17514542,27241161,29901931,34404150,41326573,30971075,26725820,28613759,34443035,30002673,32748525,34074763,34846032
"48000","Texas","6","SA40","95","...","  Rental income of persons 2/",964053,1037343,1074372,1107694,1113956,1156457,1115995,1109278,1109842,1108128,1072536,1201421,1262889,1311750,1400272,1394741,1492809,1498115,1408812,1150872,1279300,1304365,1622111,2305169,2625960,3068417,3006437,3023778,1809013,1564689,1669434,1613456,2146660,2590729,3618106,5067111,6010297,6483745,7641382,7755325,8716129,9395883,10164168,10318189,10563946,11478200,12218012,11671531,10767271,10629667,15874293,18170687,22014214,27620109,30716947,34708306,40904444,39316647,41805221
"48000","Texas","6","SA40","96","...","    Imputed rent",411409,453255,492650,523914,560864,582124,589645,605482,630268,654412,639771,735370,764460,818407,811981,773717,794422,737465,636212,374806,384526,318668,311225,315243,138333,109878,8970,-119717,-345806,-334711,-29508,24052,210896,518314,1152555,2188481,2978523,3294547,4000207,4148611,4952617,5654243,6068602,5683468,6294695,6746795,7075321,5953298,4736114,3659202,5810286,8879209,11548360,14639306,16302912,18200856,19764467,22023031,23817742
"48000","Texas","6","SA40","97","...","    Monetary rent",552644,584088,581722,583780,553092,574333,526350,503796,479574,453716,432765,466051,498429,493343,588291,621024,698387,760650,772600,776066,894774,985697,1310886,1989926,2487627,2958539,2997467,3143495,2154819,1899400,1698942,1589404,1935764,2072415,2465551,2878630,3031774,3189198,3641175,3606714,3763512,3741640,4095566,4634721,4269251,4731405,5142691,5718233,6031157,6970465,10064007,9291478,10465854,12980803,14414035,16507450,21139977,17293616,17987479
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
