"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"00000","United States"," ","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",51821822,55843609,60178000,63691000,68949000,73971000,80452000,87161000,93005000,98912000,106013000,117504000,131347000,142568000,154485000,172380000,197314000,216311000,231701000,257864000,292831000,332744000,403449000,495897000,564887000,609143000,690178000,739369000,774016000,796608000,861053000,972747000,1018532000,1023199000,1043340000,1079356000,1144336000,1240859000,1321093000,1408123000,1509934000,1510155000,1638583000,1646195000,1604837000,1655158000,1755766000,1901610000,2142567000,2352625000,2425839000,2148084000,2138496000,2394775000,2644535000,2618387000,2851897000,3044683000,3079782000
"00000","United States"," ","SA40","91","...","  Personal dividend income",11599808,12607073,13366000,13901000,15027000,16236000,18194000,20205000,20670000,21510000,23535000,24239000,24307000,25027000,26836000,29880000,33187000,32922000,38971000,44723000,50728000,57437000,63973000,73630000,77562000,83288000,90643000,97390000,106030000,112150000,129743000,157797000,168824000,180170000,189050000,204733000,235215000,257985000,302171000,337921000,355436000,346390000,383323000,369148000,398622000,432248000,562060000,578298000,723650000,816482000,805415000,553725000,544598000,682220000,834905000,794414000,941838000,1019760000,962415000
"00000","United States"," ","SA40","92","...","  Personal interest income",25374435,27619415,30349000,32590000,35875000,39008000,43427000,47618000,52425000,57056000,62367000,72891000,86316000,95610000,104823000,119243000,140789000,160860000,172108000,196947000,225192000,258739000,319741000,396852000,461187000,498366000,571649000,612474000,646083000,664250000,706195000,790538000,818351000,801024000,789964000,780984000,791651000,853687000,871971000,918156000,984635000,980660000,1067538000,1069505000,988914000,984888000,938289000,1084871000,1211395000,1346733000,1358319000,1260657000,1191143000,1227260000,1284307000,1256923000,1298328000,1362438000,1410047000
"00000","United States"," ","SA40","93","...","    Imputed interest receipts 1/",12213746,13527723,14767000,16116000,17293000,18366000,20256000,21746000,23688000,25835000,28338000,33943000,41848000,47185000,52324000,57433000,66777000,82565000,86280000,96334000,110527000,116581000,136727000,156174000,185785000,229970000,246999000,284054000,312032000,338271000,356118000,381988000,401371000,415679000,436569000,453327000,463895000,499306000,505891000,545120000,551711000,567470000,601303000,593444000,594237000,607558000,626032000,656219000,693170000,741040000,782017000,794627000,790975000,812719000,825590000,845074000,854569000,907238000,944560000
"00000","United States"," ","SA40","94","...","    Monetary interest receipts",13160689,14091692,15582000,16474000,18582000,20642000,23171000,25872000,28737000,31221000,34029000,38948000,44468000,48425000,52499000,61810000,74012000,78295000,85828000,100613000,114665000,142158000,183014000,240678000,275402000,268396000,324650000,328420000,334051000,325979000,350077000,408550000,416980000,385345000,353395000,327657000,327756000,354381000,366080000,373036000,432924000,413190000,466235000,476061000,394677000,377330000,312257000,428652000,518225000,605693000,576302000,466030000,400168000,414541000,458717000,411849000,443759000,455200000,465487000
"00000","United States"," ","SA40","95","...","  Rental income of persons 2/",14847579,15617121,16463000,17200000,18047000,18727000,18831000,19338000,19910000,20346000,20111000,20374000,20724000,21931000,22826000,23257000,23338000,22529000,20622000,16194000,16911000,16568000,19735000,25415000,26138000,27489000,27886000,29505000,21903000,20208000,25115000,24412000,31357000,42005000,64326000,93639000,117470000,129187000,146951000,152046000,169863000,183105000,187722000,207542000,217301000,238022000,255417000,238441000,207522000,189410000,262105000,333702000,402755000,485295000,525323000,567050000,611731000,662485000,707320000
"00000","United States"," ","SA40","96","...","    Imputed rent",9187708,10113710,10993000,11664000,12462000,12911000,13057000,13389000,13920000,14438000,14101000,14414000,14508000,15482000,15311000,14544000,14850000,13900000,11999000,7048000,7139000,5727000,5632000,5770000,2147000,1261000,-1181000,-4181000,-9460000,-9849000,-3586000,-3338000,-68000,5802000,19815000,42601000,62165000,68533000,82712000,84953000,101290000,115189000,120852000,134778000,146301000,165348000,180194000,158054000,124340000,96398000,147234000,216752000,268070000,326959000,355385000,392384000,419711000,454456000,490912000
"00000","United States"," ","SA40","97","...","    Monetary rent",5659871,5503411,5470000,5536000,5585000,5816000,5774000,5949000,5990000,5908000,6010000,5960000,6216000,6449000,7515000,8713000,8488000,8629000,8623000,9146000,9772000,10841000,14103000,19645000,23991000,26228000,29067000,33686000,31363000,30057000,28701000,27750000,31425000,36203000,44511000,51038000,55305000,60654000,64239000,67093000,68573000,67916000,66870000,72764000,71000000,72674000,75223000,80387000,83182000,93012000,114871000,116950000,134685000,158336000,169938000,174666000,192020000,208029000,216408000
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
