"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"49000","Utah","7","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",219878,241563,276288,291989,312467,321969,357926,384959,410928,419044,429608,473491,545360,630018,700110,756543,872792,968864,1060510,1194242,1396745,1603030,1901902,2290569,2670377,2923136,3284190,3566336,3726161,3865095,4084363,4436404,4712135,4935024,5128842,5502376,6185431,7059528,7845803,8463065,9008469,8998954,9927229,10171350,10422440,10756681,11062160,12892278,14138786,16227729,17617994,15243773,14991649,16924658,18867874,19450745,21303007,23353131,23713931
"49000","Utah","7","SA40","91","...","  Personal dividend income",30614,36088,42507,45386,46310,49201,59311,67102,72147,67111,60526,63145,66865,72116,80655,95459,111878,120569,150531,181591,212290,245508,268950,307238,317018,357516,383880,443450,490012,526287,630498,778986,877299,962035,1083087,1224188,1469785,1688435,2133187,2248248,2266853,2166361,2581026,2669491,3058836,3183827,3830725,4475332,5412037,6563146,6552570,4593205,4487967,5507619,6599662,6473108,7579101,8494274,8079595
"49000","Utah","7","SA40","92","...","  Personal interest income",113538,124798,144659,157374,171850,178863,204720,222307,241299,252150,271594,301964,362211,424593,464801,524600,617355,716723,790776,923599,1092449,1268625,1527911,1857599,2232179,2427212,2760394,2983225,3130042,3243259,3339635,3545113,3699807,3784643,3760644,3778030,4038357,4586553,4763370,5210383,5571375,5531817,5988048,6032363,5875201,6001761,5644771,6961125,7405040,8465311,9192248,8154676,7446984,7700098,8190324,8461485,8726593,9521664,9919521
"49000","Utah","7","SA40","93","...","    Imputed interest receipts 1/",60866,67824,75264,83431,90524,96127,105858,113434,124216,137879,148724,168317,207774,254721,279115,304328,352095,427574,464222,531132,629732,681319,790777,902187,1076549,1297585,1402072,1594713,1735321,1863339,1916683,2005870,2123803,2271376,2383659,2488453,2657430,2976633,3061181,3375240,3446948,3521573,3710309,3709432,3857327,4016226,4069695,4520077,4614435,5051768,5636583,5489980,5343169,5481209,5662874,6013007,6077114,6639998,6975079
"49000","Utah","7","SA40","94","...","    Monetary interest receipts",52672,56974,69395,73943,81326,82736,98862,108873,117083,114271,122870,133647,154437,169872,185686,220272,265260,289149,326554,392467,462717,587306,737134,955412,1155630,1129627,1358322,1388512,1394721,1379920,1422952,1539243,1576004,1513267,1376985,1289577,1380927,1609920,1702189,1835143,2124427,2010244,2277739,2322931,2017874,1985535,1575076,2441048,2790605,3413543,3555665,2664696,2103815,2218889,2527450,2448478,2649479,2881666,2944442
"49000","Utah","7","SA40","95","...","  Rental income of persons 2/",75726,80677,89122,89229,94307,93905,93895,95550,97482,99783,97488,108382,116284,133309,154654,136484,143559,131572,119203,89052,92006,88897,105041,125732,121180,138408,139916,139661,106107,95549,114230,112305,135029,188346,285111,500158,677289,784540,949246,1004434,1170241,1300776,1358155,1469496,1488403,1571093,1586664,1455821,1321709,1199272,1873176,2495892,3056698,3716941,4077888,4516152,4997313,5337193,5714815
"49000","Utah","7","SA40","96","...","    Imputed rent",53453,58975,64143,67011,70612,72278,72292,73397,75605,77732,75365,87065,92432,99527,99432,94892,97330,91404,79535,46491,47072,39744,40950,38827,15144,9349,-4374,-19974,-44639,-42614,-11576,-7428,8526,33423,102673,262987,405229,479476,618086,656294,809791,943535,1006108,1093299,1101937,1202858,1193037,1056985,910767,721386,1237132,1855267,2337083,2843292,3138846,3529204,3871253,4104037,4431459
"49000","Utah","7","SA40","97","...","    Monetary rent",22273,21702,24979,22218,23695,21627,21603,22153,21877,22051,22123,21317,23852,33782,55222,41592,46229,40168,39668,42561,44934,49153,64091,86905,106036,129059,144290,159635,150746,138163,125806,119733,126503,154923,182438,237171,272060,305064,331160,348140,360450,357241,352047,376197,386466,368235,393627,398836,410942,477886,636044,640625,719615,873649,939042,986948,1126060,1233156,1283356
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
