"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"53000","Washington","8","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",934133,1001362,1078355,1132687,1223647,1271916,1355612,1488305,1630646,1783601,1958785,2229055,2517596,2715741,2891226,3267118,3765573,4211228,4576838,5170504,6052704,7023640,8462804,10340238,11613130,12550852,13989525,14947472,15671191,16243784,17384516,19992590,21435930,22125528,22667322,23938561,26052064,28431208,30914602,33059135,35495109,35593467,38875833,37847608,38222511,40568428,47973871,47683328,54149548,61634910,65186871,56041557,53935994,60007170,69036260,69074290,79126985,86816116,88021174
"53000","Washington","8","SA40","91","...","  Personal dividend income",125034,136861,148010,156155,173937,182223,198003,220904,233460,253152,269965,280528,285881,298496,324252,388772,459926,488935,574947,661219,782652,916518,1056762,1248896,1329015,1395463,1529093,1672036,1842628,2009233,2326410,3036736,3314954,3596438,3648308,4114734,4908743,5334768,6335586,7121684,7485406,7236415,8037748,6598274,6954286,8909238,17513996,12833786,16941007,20685316,20774455,13009163,12300698,16195063,20621262,20299397,25651516,29158379,27528775
"53000","Washington","8","SA40","92","...","  Personal interest income",538098,570066,621529,653475,706198,731214,792948,889617,1000672,1116730,1281829,1523665,1787718,1932947,2061337,2359777,2807183,3263891,3573681,4176371,4909378,5741503,6971343,8544964,9719918,10551362,11865725,12644771,13308023,13749497,14467975,16368393,17385992,17484944,17424956,17479142,18172144,19741171,20699833,21888643,23430340,23390764,25642958,25542526,25328624,25361695,23852788,28566872,31801014,35948160,37159382,33639756,30435785,30394045,34331898,33361272,36428434,38689071,40241998
"53000","Washington","8","SA40","93","...","    Imputed interest receipts 1/",241315,262984,284960,317269,346300,357139,389908,419460,458963,516487,586730,742848,917442,1004023,1070655,1193346,1409748,1748810,1864982,2124472,2500452,2691608,3121480,3529404,4120301,5056261,5331072,6081745,6640985,7208509,7561177,8205129,8824749,9383350,9979010,10488081,10949363,11888959,12330788,13344545,13517726,13912738,14796540,14548378,15356389,15800397,16100784,17393279,18357628,19876482,21362805,21286883,20668926,20602465,22263977,22704892,24033702,25780720,27033801
"53000","Washington","8","SA40","94","...","    Monetary interest receipts",296783,307082,336569,336206,359898,374075,403040,470157,541709,600243,695099,780817,870276,928924,990682,1166431,1397435,1515081,1708699,2051899,2408926,3049895,3849863,5015560,5599617,5495101,6534653,6563026,6667038,6540988,6906798,8163264,8561243,8101594,7445946,6991061,7222781,7852212,8369045,8544098,9912614,9478026,10846418,10994148,9972235,9561298,7752004,11173593,13443386,16071678,15796577,12352873,9766859,9791580,12067921,10656380,12394732,12908351,13208197
"53000","Washington","8","SA40","95","...","  Rental income of persons 2/",271001,294435,308816,323057,343512,358479,364661,377784,396514,413719,406991,424862,443997,484298,505637,518569,498464,458402,428210,332914,360674,365619,434699,546378,564197,604027,594707,630665,520540,485054,590131,587461,734984,1044146,1594058,2344685,2971177,3355269,3879183,4048808,4579363,4966288,5195127,5706808,5939601,6297495,6607087,6282670,5407527,5001434,7253034,9392638,11199511,13418062,14083100,15413621,17047035,18968666,20250401
"53000","Washington","8","SA40","96","...","    Imputed rent",180862,197854,213754,229037,246900,257657,262173,270198,282113,293644,287790,309311,319813,334881,327760,309367,310717,289712,249633,147592,152098,123568,117635,125965,52916,39976,-8623,-64601,-163532,-167919,-42757,-31942,43301,194507,528526,1100594,1559922,1768920,2186589,2295020,2769655,3187480,3410758,3806597,3993812,4357354,4638735,4057557,3374736,2667870,4273881,6286783,7578342,9132211,9599626,10660942,11765473,12942539,13979623
"53000","Washington","8","SA40","97","...","    Monetary rent",90139,96581,95062,94020,96612,100822,102488,107586,114401,120075,119201,115551,124184,149417,177877,209202,187747,168690,178577,185322,208576,242051,317064,420413,511281,564051,603330,695266,684072,652973,632888,619403,691683,849639,1065532,1244091,1411255,1586349,1692594,1753788,1809708,1778808,1784369,1900211,1945789,1940141,1968352,2225113,2032791,2333564,2979153,3105855,3621169,4285851,4483474,4752679,5281562,6026127,6270778
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
