"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"93000","Great Lakes","3","SA45","10","...","Cash receipts from marketings (thousands of dollars)",8611860,8851986,8728057,10068077,14507198,16160534,15601083,17526810,17473999,19565406,21888490,24961577,23576903,23132536,23884285,23583232,22526263,22386560,23121125,25510416,25145614,27104458,26197535,25702513,28241980,26124162,29428119,29358969,29880030,27682450,25696363,26268388,27771605,26887467,29154573,33649577,32313898,33871242,43939636,50180373,45807913,50839443,60438118,65949375,61694726,66052101,57226552,53608122
"93000","Great Lakes","3","SA45","20","...","  Cash receipts: Livestock and products",5228761,5272114,5128195,5909787,7467077,7104111,7704658,8384717,8372687,9778870,10878838,11139557,11491898,11813625,11941736,11851484,11384938,11738647,12282085,12157585,12387483,13432369,12427920,12226500,12569793,11785334,11463282,12604900,12024273,11682046,11247427,11376192,12728104,10837458,12078445,14467784,14486257,13905400,17658348,17778734,14205528,17340627,20708620,20993245,22466401,26819375,23984831,20359979
"93000","Great Lakes","3","SA45","30","...","    Meat animals and other livestock",3210781,3164682,2970483,3633302,4696154,4092032,4515745,4661751,4567463,5609378,6074581,5919611,5800488,6087717,6023023,5866556,5585715,5935237,6556087,6512735,6142180,7002651,6636775,6077730,6590228,5745184,5398313,5629780,5635551,4573465,4560131,5397625,5783335,4952797,5657917,6529354,6941565,6869646,7155421,7120035,6410704,7697383,9002629,9213752,9663811,11376773,10317808,9004100
"93000","Great Lakes","3","SA45","31","...","      Cattle and calves",1455797,1491268,1472099,1727302,2042369,1671714,1695612,1968037,2070548,2682894,3059479,3066170,2717109,2639929,2717784,2622507,2578549,2713662,3092126,3345502,3018868,3222201,3045432,2921189,3147674,2826690,2511462,2230637,2269204,2150565,2266283,2579287,2561429,2373398,2720752,2839302,3178971,3335293,3394189,3160634,2700052,3161752,3647587,3930574,4233606,5393129,5545795,4517696
"93000","Great Lakes","3","SA45","32","...","      Hogs and pigs",1664968,1594386,1425141,1833289,2561891,2331039,2729423,2598376,2383085,2799407,2876494,2706201,2953806,3312726,3174051,3098610,2866433,3055790,3281899,2989085,2960959,3633691,3447968,2999892,3276106,2740163,2700420,3174328,3134591,2198461,2015448,2523442,2879099,2222171,2612329,3312616,3329391,3046055,3227240,3552791,3271900,4111004,4830438,4684584,4936591,5395290,4226601,3936916
"93000","Great Lakes","3","SA45","33","...","      Sheep and other livestock",90016,79028,73243,72711,91894,89279,90710,95338,113830,127077,138608,147240,129573,135062,131188,145439,140733,165785,182062,178148,162353,146759,143375,156649,166448,178331,186431,224815,231756,224439,278400,294896,342807,357228,324836,377436,433203,488298,533992,406610,438752,424627,524604,598594,493614,588354,545412,549488
"93000","Great Lakes","3","SA45","40","...","    Dairy products",1631774,1719175,1810695,1925998,2178031,2487684,2636121,3140834,3227733,3549525,4131887,4579735,4964969,4988118,5135571,4976849,4925581,4838102,4864484,4767447,5119851,5226156,4628764,5069943,4806663,4826564,4814328,5363726,4839522,5610902,5203750,4540410,5486452,4523245,4844888,6277257,6106744,5395703,8111062,8065061,5758501,7390997,9238201,9029987,9731612,11776917,8819458,8559568
"93000","Great Lakes","3","SA45","50","...","    Poultry and poultry products",386206,388257,347017,350487,592892,524395,552792,582132,577491,619967,672370,640211,726441,737790,783142,1008079,873642,965308,861514,877403,1125452,1203562,1162381,1078827,1172902,1213586,1250641,1611394,1549200,1497679,1483546,1438157,1458317,1361416,1575640,1661173,1437948,1640051,2391865,2593638,2036323,2252247,2467790,2749506,3070978,3665685,4847565,2796311
"93000","Great Lakes","3","SA45","60","...","  Cash receipts: Crops",3383099,3579872,3599862,4158290,7040121,9056423,7896425,9142093,9101312,9786536,11009652,13822020,12085005,11318911,11942549,11731748,11141325,10647913,10839040,13352831,12758131,13672089,13769615,13476013,15672187,14338828,17964837,16754069,17855757,16000404,14448936,14892196,15043501,16050009,17076128,19181793,17827641,19965842,26281288,32401639,31602385,33498816,39729498,44956130,39228325,39232726,33241721,33248143
"93000","Great Lakes","3","SA45","70","...","    Total grains",2581152,2781298,2745737,3258093,5840209,7687154,6470533,7698629,7465773,8100531,9268792,11959438,10269657,9398233,9957976,9655283,9071242,8576337,8551721,10715342,9725479,10497046,10412023,9985711,12187245,10797179,14492866,13202981,14064126,12323970,10831912,11196085,11080454,12071544,12829307,14323206,13105135,15311781,21591515,26969166,26424278,28464940,34358946,39636472,33277629,33718410,27938147,27757379
