"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"19000","Iowa","4","SA45","10","...","Cash receipts from marketings (thousands of dollars)",4190613,4483388,4161851,5081535,7470809,7903127,6856103,7437196,7032744,8869184,9723526,10756147,10948862,9857282,10193989,9473439,8503229,8589904,9942756,10900738,10094811,11172983,11022688,11108232,11100776,9674444,12500483,12318006,13009431,11088706,10330385,11907905,11491671,12032918,13534687,15076123,15603689,16478372,20467992,25256553,23150682,25287421,30077966,34329414,32238759,32451044,28609585,27129514
"19000","Iowa","4","SA45","20","...","  Cash receipts: Livestock and products",3153206,3132992,2943420,3560827,4540062,4162269,4229044,4355415,4550221,5751837,5979673,5860059,6322503,6694813,5939916,5637622,5296954,5429881,5781364,5572349,5732485,6710370,6145266,6225603,6322925,5611337,5492999,5734195,5930784,5080355,5102298,6413602,6632551,5806271,6855577,8240748,9046797,8921873,10014746,11198047,9434489,11201525,13320424,14028208,15404548,18436191,15670389,13270463
"19000","Iowa","4","SA45","30","...","    Meat animals and other livestock",2839969,2815470,2637825,3244465,4118781,3749728,3799668,3877830,4075224,5220070,5411749,5437927,5642309,6033356,5276921,4994543,4666714,4814672,5178261,4954925,5006226,5941148,5437340,5495458,5567872,4850721,4716479,4808694,5095958,4173140,4289716,5621305,5672719,4948653,5795330,6992467,7969765,7846847,8212977,9054600,8048058,9582522,11412564,12023320,13219842,15525852,12973189,11463718
"19000","Iowa","4","SA45","31","...","      Cattle and calves",1501833,1593967,1573583,1846209,2181732,1959594,1700696,1822640,1932224,2761238,2950187,2959852,2798725,2627261,2282528,2019329,1832485,1837721,2119471,2223705,2266755,2559724,2127032,2391399,2389266,1968666,1949688,1577367,1817001,1502456,1807293,2132928,2065500,2091512,2686374,2475399,2875316,2952033,3022869,3347838,2769337,3369818,3719351,4114606,4225086,5182104,4856092,4220244
"19000","Iowa","4","SA45","32","...","      Hogs and pigs",1306771,1190999,1039430,1370481,1906248,1763548,2073748,2029673,2115929,2431801,2429934,2439716,2809815,3369196,2960627,2940397,2797811,2946062,3022881,2685992,2697988,3341554,3270845,3055297,3123452,2828458,2704379,3164523,3220025,2620092,2430924,3437576,3554593,2803106,3038338,4439014,5007456,4812957,5105776,5542683,5083707,6043193,7473484,7639739,8734973,10079852,7854862,6980251
"19000","Iowa","4","SA45","33","...","      Sheep and other livestock",31365,30504,24812,27775,30801,26586,25224,25517,27071,27031,31628,38359,33769,36899,33766,34817,36418,30889,35909,45228,41483,39870,39463,48762,55154,53597,62412,66804,58932,50592,51499,50801,52626,54035,70618,78054,86993,81857,84332,164079,195014,169511,219729,268975,259783,263896,262235,263223
"19000","Iowa","4","SA45","40","...","    Dairy products",218287,220719,224296,224901,262188,290224,304224,344953,353484,395470,432216,283140,527079,513216,517968,473041,480680,450000,457380,461380,537240,549290,482664,507650,506112,498585,501102,539980,487760,581196,500479,455247,550368,455323,483968,623312,612000,533910,813278,779590,565092,713955,883755,864384,941770,1139718,834379,833154
"19000","Iowa","4","SA45","50","...","    Poultry and poultry products",94950,96803,81299,91461,159093,122317,125152,132632,121513,136297,135708,138992,153115,148241,145027,170038,149560,165209,145723,156044,189019,219932,225262,222495,248941,262031,275418,385521,347066,326019,312103,337050,409464,402295,576279,624969,465032,541116,988491,1363857,821339,905048,1024105,1140504,1242936,1770621,1862821,973591
"19000","Iowa","4","SA45","60","...","  Cash receipts: Crops",1037407,1350396,1218431,1520708,2930747,3740858,2627059,3081781,2482523,3117347,3743853,4896088,4626359,3162469,4254073,3835817,3206275,3160023,4161392,5328389,4362326,4462613,4877422,4882629,4777851,4063107,7007484,6583811,7078647,6008351,5228087,5494303,4859120,6226647,6679110,6835375,6556892,7556499,10453246,14058506,13716193,14085896,16757542,20301206,16834211,14014853,12939196,13859051
"19000","Iowa","4","SA45","70","...","    Total grains",1003795,1311884,1175926,1474272,2876345,3676032,2545712,3003936,2396639,3043198,3649049,4796610,4543343,3059171,4160668,3704397,3091298,3044712,4032800,5165957,4160632,4283369,4720450,4701887,4608793,3871891,6822542,6381179,6854113,5781079,5046253,5284632,4595786,5950504,6385197,6541105,6268539,7294197,10122569,13475571,13193638,13608359,16273760,19731743,16219481,13414181,12363804,13317540
"19000","Iowa","4","SA45","71","...","      Corn",510600,667101,622117,734232,1773672,2051460,1511876,1540210,1041883,1222783,1756612,2559210,2525034,1378640,2000090,1821781,1672797,1546038,2057336,2917644,2451528,2462600,2874298,2700184,2754885,2039259,4167789,3798222,3689060,3009529,2833276,2916292,2673788,3583269,3755730,4122147,3561339,4395822,6180692,9176754,7967229,8355309,11439876,13362508,10270266,8171067,8039160,8131500
"19000","Iowa","4","SA45","72","...","      Oats",8897,14876,18418,18868,26739,36356,39038,39719,29492,25116,33813,39360,40346,35308,19784,30309,35368,19752,26080,34771,37429,22911,11063,15381,6006,11953,12269,13007,9663,5598,5137,6541,8019,10795,9025,7303,12648,12622,11463,10148,7001,6408,4979,6532,9784,7951,5570,4416
"19000","Iowa","4","SA45","73","...","      Sorghum",798,991,2155,2404,1803,1608,1286,1555,1586,1665,1412,2153,1269,771,787,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19000","Iowa","4","SA45","74","...","      Wheat",1098,1969,1506,1760,3105,6594,10005,9258,9148,3521,6944,11099,14651,8993,5935,9764,13380,5654,2747,3845,9373,7876,4814,5002,2402,5771,5515,6279,3805,3349,3062,2209,2531,3041,3771,4488,2753,4353,5969,7141,5855,3035,3333,4280,4243,3993,2150,2735
"19000","Iowa","4","SA45","75","...","      Soybeans",482264,626763,531530,716748,1070899,1579667,983164,1412973,1314379,1789842,1849981,2184463,1954228,1635303,2133925,1841588,1369427,1473090,1946497,2209456,1662080,1789739,1830229,1981271,1845500,1814907,2636969,2563671,3151585,2762603,2204777,2359587,1911448,2353399,2616670,2407167,2691799,2881400,3924445,4281528,5213553,5243607,4825572,6358423,5935188,5231170,4316924,5178888
"19000","Iowa","4","SA45","76","...","      Other grains",138,184,200,260,127,347,343,221,151,271,287,325,7815,156,147,207,326,178,140,241,222,243,"(L)","(L)",0,"(L)",0,0,0,0,"(L)","(L)",0,0,"(L)",0,0,0,0,0,0,0,0,0,0,0,0,"(L)"
"19000","Iowa","4","SA45","80","...","    Hay, silage, etc.",8944,11613,12045,11722,15513,20043,34061,30690,37677,23287,33252,35815,33565,46584,36161,72218,47474,42769,47531,91099,120739,101456,74492,103568,107500,106619,94160,102298,131326,124863,89251,112575,142030,157235,135473,152187,144786,127212,195599,187705,148347,100777,76905,94709,135639,138373,118768,77460
"19000","Iowa","4","SA45","100","...","    Vegetables",4198,4884,5610,6667,7196,8784,8983,7609,8589,7104,7631,8269,8088,7957,7282,7917,8091,9449,10841,9291,12504,11882,11722,11702,5642,14619,16943,24157,20405,21664,19269,14835,19396,19313,28303,24025,24717,22592,21138,5351,5165,5201,5050,4337,4084,4018,4238,4145
"19000","Iowa","4","SA45","110","...","    Fruits and nuts",1221,1294,1112,1616,1576,2141,1294,868,1535,1727,1712,2841,3263,1832,2029,1394,2169,1946,2727,2778,3372,3022,3666,3691,2793,3155,3422,3739,2978,3113,2886,3970,4112,3487,4390,4823,4684,5464,6627,5562,6537,6880,6327,4223,8843,7049,7541,7576
"19000","Iowa","4","SA45","111","...","    Greenhouse, nursery and mushroom products",15847,16544,17901,19387,22179,24042,26062,28259,29954,37791,45602,45169,36193,37277,40883,43194,48962,54907,58989,49913,56638,56350,59606,56595,49713,61622,65186,66922,64813,72583,64633,72914,92006,89159,109281,96931,97131,91097,91577,90939,90301,89663,89025,88388,88389,85538,84112,85538
"19000","Iowa","4","SA45","112","...","    Forest and maple products",1238,1337,1275,1795,2600,2773,2105,3008,3095,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"19000","Iowa","4","SA45","113","...","    Tobacco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19000","Iowa","4","SA45","114","...","    Cotton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19000","Iowa","4","SA45","115","...","    Other crops",2164,2840,4562,5249,5338,7043,8842,7411,5034,4240,6607,7384,1907,9648,7050,6697,8281,6240,8504,9351,8441,6534,7486,5186,3410,5201,5231,5516,5012,5049,5795,5377,5790,6949,16466,16304,17035,15937,15736,293378,272205,275016,306475,377806,377775,365694,360733,366792
"19000","Iowa","4","SA45","120","...","Other income",329341,305570,278292,399399,284719,113533,163281,158734,182515,434824,227869,186979,212893,636154,1298195,1024091,1045683,1452242,2233135,1996992,1359593,1126846,998687,1001799,1592826,1106631,1251277,949248,1208025,1742678,2663701,2869248,2538732,1372628,1643567,1943286,2925889,2025040,1522991,2232581,2311114,2454019,2067299,3715714,3869681,3921122,4118757,2906743
"19000","Iowa","4","SA45","130","...","  Government payments",260351,235815,203510,318511,186189,16596,53121,26767,28901,270987,69189,44563,58170,215869,925900,742763,691136,1161181,1987685,1664991,981206,753733,644955,662278,1229544,732429,786652,508278,712839,1168724,2061881,2303189,1972599,739711,1051939,1265492,2286637,1252340,775819,803506,767039,1024816,811828,855352,782425,450438,1408333,1079694
"19000","Iowa","4","SA45","140","...","  Imputed and miscellaneous income received 1/",68990,69755,74782,80888,98530,96937,110160,131967,153614,163837,158680,142416,154723,420285,372295,281328,354547,291061,245450,332001,378387,373113,353732,339521,363282,374202,464625,440970,495186,573954,601820,566059,566133,632917,591628,677794,639252,772700,747172,1429075,1544075,1429203,1255471,2860362,3087256,3470684,2710424,1827049
"19000","Iowa","4","SA45","150","...","Production expenses",3272116,3514431,3620268,4175675,5158816,5421697,5795609,6465012,6732035,7654106,9147911,9979287,10156443,10327405,9539414,9880849,9013996,8579406,8896838,9172034,9468255,10055793,9942300,10179116,10185666,10378188,10165498,10487790,10867181,11225148,11343418,11851015,11909780,11545098,12389490,13501318,14962146,15137880,18458769,21265410,20917207,21547101,23591251,27047743,28092048,31001810,27989331,27175840
"19000","Iowa","4","SA45","160","...","  Feed purchased",593256,658567,601077,651504,1012596,1119112,1092998,1216712,1206420,1037116,1051473,1161374,1207666,1214715,1237925,1089652,975641,1024767,1051240,1276552,1321848,1344227,1338387,1458327,1450696,1532601,1307067,1222321,1332005,1230310,1374638,1409396,1511194,1424414,1840000,1980000,2070000,1980000,2910000,3680000,3860000,3640000,3940000,4940000,5050000,6210000,5190000,5235814
"19000","Iowa","4","SA45","170","...","  Livestock purchased",888254,924493,979692,1130823,1316047,1015238,992501,1107128,1257238,1523883,1889755,1799890,1425208,1609068,1215838,1098048,964340,1095643,1358161,1396666,1404309,1660671,1444310,1490792,1539887,1331846,1054171,1001669,1260448,1280565,1381404,1752504,1752751,1854228,2093547,2523552,3120032,3185194,3290204,3381013,3055842,3512186,3778390,3435345,3594458,4596556,3897540,3108081
"19000","Iowa","4","SA45","180","...","  Seed purchased",74736,81102,95672,105455,136240,160112,211559,222633,214599,233740,264627,301553,329688,313092,260964,322708,292804,292943,293929,361332,386036,391106,436515,444166,471446,465521,460695,533584,576966,617063,598420,614648,675356,643105,740000,800000,850000,910000,1150000,1350000,1540000,1600000,1820000,2070000,2220000,2190000,2010000,1962977
"19000","Iowa","4","SA45","190","...","  Fertilizer and lime (incl. ag. chemicals 1978-fwd.)",209307,240315,271824,295102,342128,568357,676339,704124,604027,687102,832301,989614,1035087,909890,709139,968416,883440,774394,741199,813778,943508,990186,1105545,1093748,1100055,1191918,1270059,1488628,1402576,1482293,1359765,1402973,1356553,1238185,1310000,1420000,1510000,1500000,2050000,2690000,2510000,2540000,3160000,3590000,3650000,3380000,3030000,2699306
"19000","Iowa","4","SA45","200","...","  Petroleum products purchased",100912,97765,100475,97570,109059,162763,207688,246028,263277,275368,345478,496071,554237,519010,476418,466974,400555,323881,298413,282794,273256,327750,313560,312643,318376,303994,290181,291701,291777,274944,273059,358696,326224,309439,320773,402412,481854,551065,755490,1011568,787386,779979,875199,866280,950064,1011008,726146,629914
"19000","Iowa","4","SA45","210","...","  Hired farm labor expenses 2/",162962,166370,186149,184636,226526,246346,277803,337504,362997,340759,375250,364719,362550,369263,374780,405751,405863,374675,386711,417259,441700,467302,442205,450330,497830,496203,484988,475483,504477,592024,573493,594054,603003,585213,702346,795487,696895,608927,913011,894370,810269,887491,784430,1045849,1007139,1207589,940850,991966
"19000","Iowa","4","SA45","220","...","  All other production expenses 3/",1242689,1345819,1385379,1710585,2016220,2149769,2336721,2630883,2823477,3556138,4389027,4866066,5242007,5392367,5264350,5529300,5091353,4693103,4767185,4623653,4697598,4874551,4861778,4929110,4807376,5056105,5298337,5474404,5498932,5747949,5782639,5718744,5684699,5490514,5382824,5579867,6233365,6402694,7390064,8258459,8353710,8587445,9233232,11100269,11620387,12406657,12194795,12547782
