"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"21000","Kentucky","5","SA45","10","...","Cash receipts from marketings (thousands of dollars)",942257,979453,970851,1126538,1384383,1518984,1490513,1720973,1962262,2347742,2395555,2894051,2941530,3060239,2829394,2852092,2993673,2560239,2637136,2691269,3034508,3184046,3252564,3193141,3440853,3226031,3156369,3585553,3610800,3851659,3665160,3811703,3718244,3369781,3695472,4460595,4382035,4469600,4905096,4146504,4180364,4325870,4668137,5044190,5769460,6185068,5551156,5021977
"21000","Kentucky","5","SA45","20","...","  Cash receipts: Livestock and products",544609,566460,576835,639772,798680,634676,725255,806442,975736,1287460,1294360,1511950,1508621,1467028,1648154,1563563,1524112,1496768,1652697,1644043,1759703,1781345,1762122,1645237,1756819,1694621,1669448,1776949,2050588,2254828,2352946,2536402,2450694,2177127,2467478,3054873,3114082,3101930,3367698,2449902,2245413,2484185,2539955,2619006,2964542,3358612,3108658,2609770
"21000","Kentucky","5","SA45","30","...","    Meat animals and other livestock",402506,419306,427944,483989,619947,425640,513334,563666,731705,1037334,1015790,1213247,1182887,1135311,1309821,1269480,1230561,1191600,1339640,1340873,1437040,1444920,1442146,1277806,1384373,1301530,1262532,1307039,1551963,1580814,1655465,1833567,1587693,1451650,1654409,2001486,2083085,2243609,2247935,1298043,1164086,1318685,1350931,1346943,1525108,1781857,1687164,1367765
"21000","Kentucky","5","SA45","31","...","      Cattle and calves",273667,297933,311103,348687,426955,239321,334158,384691,413527,665557,575773,669474,551278,488628,542634,492758,491956,493060,572444,615762,696463,747497,806268,691124,785722,671058,574240,497227,686388,687553,639583,677249,658865,585895,748014,888098,924962,980410,959053,858493,732074,850385,855178,888925,1032907,1331299,1267025,960338
"21000","Kentucky","5","SA45","32","...","      Hogs and pigs",110067,102435,97606,116096,172734,165780,158165,156395,149734,177438,207529,221252,207027,212841,202477,192012,174055,194627,220879,178799,210804,202551,164701,147913,153050,137672,125634,170877,151896,100266,91608,111051,122376,98181,94903,150963,134230,139242,149252,129436,109702,154119,165856,147558,160759,174401,143358,135734
"21000","Kentucky","5","SA45","33","...","      Sheep and other livestock",18772,18938,19235,19206,20258,20539,21011,22580,168444,194339,232488,322521,424582,433842,564710,584710,564550,503913,546317,546312,529773,494872,471177,438769,445601,492800,562658,638935,713679,792995,924274,1045267,806452,767574,811492,962425,1023893,1123957,1139630,310114,322310,314181,329897,310460,331442,276157,276781,271693
"21000","Kentucky","5","SA45","40","...","    Dairy products",119703,125794,130675,138712,149223,179832,184326,212853,217865,225027,248899,272640,297976,307800,314550,265186,270208,280854,289605,280980,296752,311025,263750,284275,274030,267297,263925,279048,243038,259005,249172,229080,263736,208560,192022,236640,217080,179340,248056,237600,165675,204239,233496,219582,227900,256194,201160,179224
"21000","Kentucky","5","SA45","50","...","    Poultry and poultry products",22400,21360,18216,17071,29510,29204,27595,29923,26166,25099,29671,26063,27758,23917,23783,28897,23343,24314,23452,22190,25911,25400,56226,83156,98416,125794,142991,190862,255587,415009,448309,473755,599265,516917,621047,816747,813917,678981,871707,914259,915652,961261,955528,1052481,1211534,1320561,1220334,1062781
"21000","Kentucky","5","SA45","60","...","  Cash receipts: Crops",397648,412993,394016,486766,585703,884308,765258,914531,986526,1060282,1101195,1382101,1432909,1593211,1181240,1288529,1469561,1063471,984439,1047226,1274805,1402701,1490442,1547904,1684034,1531410,1486921,1808604,1560212,1596831,1312214,1275301,1267550,1192654,1227994,1405722,1267953,1367670,1537398,1696602,1934951,1841685,2128182,2425184,2804918,2826456,2442498,2412207
"21000","Kentucky","5","SA45","70","...","    Total grains",67448,76920,88268,122814,239949,373972,310408,337442,309980,453372,505612,657735,603087,602935,401432,455019,511778,388420,406318,427399,480976,517800,487623,509210,608963,592685,687238,814960,678780,543091,452143,451255,543163,603488,613694,781157,712522,778906,972278,1044977,1282224,1285574,1541445,1739804,2039987,2048258,1688922,1719985
"21000","Kentucky","5","SA45","71","...","      Corn",28860,31645,23371,37413,84631,149339,140774,156026,135053,150785,193274,224815,239928,217353,124575,166672,228088,169257,186474,178613,210803,230884,228719,236220,306070,266057,336342,378988,288342,241732,232890,246118,273857,284451,282749,356860,321563,356019,507055,575695,587671,600035,820465,838463,752402,889888,750124,753257
"21000","Kentucky","5","SA45","72","...","      Oats",74,118,283,101,196,151,100,124,118,77,152,158,192,204,122,146,277,145,281,549,434,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21000","Kentucky","5","SA45","73","...","      Sorghum",163,184,912,838,672,1377,1182,1350,1487,929,1518,2148,1870,2495,2748,8760,11250,8378,3572,1275,1308,3453,3940,2778,2034,1897,4447,4930,2066,1043,915,1318,1511,1777,5361,3584,3046,4259,4055,4080,2435,0,0,0,0,0,0,0
"21000","Kentucky","5","SA45","74","...","      Wheat",3671,6108,6643,8915,14479,36648,27513,17152,19501,11153,36841,44457,87406,71936,41259,58607,33659,21997,33418,64940,82189,56518,29957,58878,56923,77140,94820,129880,80921,65038,57704,57040,63018,55921,67308,73623,64169,86013,71013,125132,124785,84404,144547,194762,239410,226261,150398,139907
"21000","Kentucky","5","SA45","75","...","      Soybeans",33764,37813,55627,74230,138400,185135,139745,161702,152705,289274,272415,384449,265662,309587,231498,219064,237204,187944,181737,179943,184747,223835,222410,209925,242564,246369,250086,297821,306448,234652,159806,145602,203519,260444,256916,345935,322155,331725,389878,338987,566658,601135,576433,706579,1048175,932109,788400,826820
"21000","Kentucky","5","SA45","76","...","      Other grains",916,1052,1432,1317,1571,1322,1094,1088,1116,1154,1412,1708,8029,1360,1230,1770,1300,699,836,2079,1495,2694,2597,1409,1372,1222,1543,3341,1003,626,828,1177,1258,895,1360,1155,1589,890,277,1083,675,0,0,0,0,0,0,"(L)"
"21000","Kentucky","5","SA45","80","...","    Hay, silage, etc.",7077,7736,8590,7153,7786,7863,8944,11157,13085,12900,12202,10857,15100,15730,17237,22397,35216,42475,48978,55819,63755,54510,52043,50679,58389,59786,73370,96994,64122,46504,46907,67524,73332,58884,75926,90707,91705,149633,107958,130391,143450,122572,129477,144367,192072,181825,215634,230086
"21000","Kentucky","5","SA45","100","...","    Vegetables",3465,5985,5945,5360,5131,5680,6544,6179,7150,5333,5658,6000,14060,15554,16230,17094,18120,25644,24663,20255,22013,26090,29466,28141,23374,19079,16054,12000,8700,9220,8760,12000,14000,15000,17000,18000,19500,21020,21200,4360,4208,4238,4115,4196,3952,3888,4100,3936
"21000","Kentucky","5","SA45","110","...","    Fruits and nuts",3394,2985,3271,2425,2414,1269,5447,4546,4765,6423,8083,8160,10880,9565,10779,10731,9220,7161,11234,9439,9444,7387,11010,10603,10595,5752,7051,5253,2599,3502,3644,4446,4934,5111,6257,7094,6792,8070,3604,9829,3708,4513,4016,7686,7717,7419,6676,6743
