"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"29000","Missouri","4","SA45","10","...","Cash receipts from marketings (thousands of dollars)",1689285,1794200,1832245,2099458,2843171,2893323,2874823,3001223,3113695,3821394,4670945,4491393,4352938,3979232,4200856,4033753,3627192,3777305,4160181,4445399,4303610,4346771,4300959,4523687,4631265,4796536,4810662,5179320,5751367,5020975,4615790,5055830,5144320,4596748,5703198,6509219,6381838,6362733,7864090,8847938,8233323,8971447,10277417,10641918,10629721,11904449,10556207,9537885
"29000","Missouri","4","SA45","20","...","  Cash receipts: Livestock and products",1219679,1329108,1251954,1449162,1784183,1656921,1795872,1877721,1952513,2496269,2825639,2534221,2642788,2412498,2610550,2486112,2224249,2270904,2437613,2440803,2480788,2678310,2650098,2534995,2730911,2748560,2618333,2822576,3160223,2788512,2811520,3053915,3076812,2602053,3047911,3697382,3753327,3730865,4137844,4235431,3847296,4240464,4836812,5142523,5086159,6264959,5942097,4968494
"29000","Missouri","4","SA45","30","...","    Meat animals and other livestock",980431,1080731,1006806,1189201,1438057,1307311,1434253,1469247,1545433,2047158,2322068,1985304,2070088,1835163,2000893,1895765,1655641,1658605,1832625,1798403,1735239,1898956,1892717,1732269,1884672,1837155,1675423,1707736,2098702,1662190,1673763,2048394,1954505,1591910,2065523,2443932,2521698,2592645,2730311,2678069,2550336,2777752,3337985,3612410,3393361,4318033,3999186,3322262
"29000","Missouri","4","SA45","31","...","      Cattle and calves",544777,624427,604101,695702,748387,697414,763230,864395,900147,1287733,1502252,1236513,1295544,1067460,1170413,1095069,926660,939538,1093308,1146579,1123043,1164436,1186668,1131022,1163094,1160174,892092,797901,1131855,949468,1073161,1279847,1163637,1040550,1461689,1639452,1726301,1745331,1683190,1547100,1516209,1729356,2003576,2276822,1956846,2604017,2685279,2083576
"29000","Missouri","4","SA45","32","...","      Hogs and pigs",426155,448992,394514,485643,678401,596229,655744,590194,630411,744588,798301,727853,754583,747184,803130,776063,698726,688139,714377,633440,591017,712392,676605,567675,688008,636899,738580,867431,922471,669669,560748,726513,746519,516388,562493,762958,750427,795802,982939,1059195,947243,972160,1239558,1232157,1325642,1601829,1207960,1135729
"29000","Missouri","4","SA45","33","...","      Sheep and other livestock",9499,7312,8191,7856,11269,13668,15279,14658,14875,14837,21515,20938,19961,20519,27350,24633,30255,30928,24940,18384,21179,22128,29444,33572,33570,40082,44751,42404,44376,43053,39854,42034,44349,34972,41341,41522,44970,51512,64182,71774,86884,76236,94851,103431,110873,112187,105947,102957
"29000","Missouri","4","SA45","40","...","    Dairy products",151921,155269,159501,165104,195627,227375,227203,266595,267209,277721,314414,352652,380560,380912,406315,353760,351625,352641,357120,358680,388360,405960,333795,378430,356864,352176,343850,363004,319073,364572,324282,269709,286229,236037,234360,298808,286750,241395,321070,300888,200850,236052,282969,260756,272240,335052,248640,228488
"29000","Missouri","4","SA45","50","...","    Poultry and poultry products",87327,93108,85647,94857,150499,122235,134416,141879,139871,171390,189157,196265,192140,196423,203342,236587,216983,259658,247868,283720,357189,373394,423586,424296,489375,559229,599060,751836,742448,761750,813475,735812,836078,774106,748028,954642,944879,896825,1086463,1256474,1096110,1226660,1215858,1269357,1420558,1611874,1694271,1417744
"29000","Missouri","4","SA45","60","...","  Cash receipts: Crops",469606,465092,580291,650296,1058988,1236402,1078951,1123502,1161182,1325125,1845306,1957172,1710150,1566734,1590306,1547641,1402943,1506401,1722568,2004596,1822822,1668461,1650861,1988692,1900354,2047976,2192329,2356744,2591144,2232463,1804270,2001915,2067508,1994695,2655287,2811837,2628511,2631868,3726246,4612507,4386027,4730983,5440605,5499395,5543562,5639490,4614110,4569391
"29000","Missouri","4","SA45","70","...","    Total grains",384849,382729,457998,525452,946054,1115276,924499,961867,989991,1153586,1684565,1770455,1523493,1390693,1434024,1337811,1202559,1312996,1443593,1752042,1518821,1360402,1344449,1634163,1492358,1552357,1741191,1907091,2127923,1777306,1411852,1573959,1602764,1548356,1945811,2108724,1991263,2058055,3090549,3915988,3808209,4114600,4725587,4676918,4814205,4967869,4051057,4020693
