"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"37000","North Carolina","5","SA45","10","...","Cash receipts from marketings (thousands of dollars)",1460544,1559716,1522221,1685536,2410542,2658982,2699812,2906950,2702706,3248215,3341225,3529090,4033525,3996149,3759966,4293564,3953167,3879194,3920178,4298522,4782063,5410430,5448426,5760753,6289210,6740103,7336804,8450053,8903386,7672996,7334820,8142769,8524733,7394391,7782521,9537020,9489606,9173552,10152906,10924818,10242654,10853201,11482130,12699296,13980217,14294183,12798279,11678624
"37000","North Carolina","5","SA45","20","...","  Cash receipts: Livestock and products",644024,648981,625789,684052,1037738,986977,1062977,1157226,1144564,1373760,1499374,1548912,1702753,1732696,1795677,2034125,2067418,2286396,2247709,2307635,2654164,2816103,2814646,2988861,3437599,3648842,4147272,5027510,5410620,4480077,4359749,5108891,5574162,4740473,5109041,6634922,6961529,6439847,7244156,7627668,6726631,7412313,7890875,8299945,9331451,9893461,8836183,8025934
"37000","North Carolina","5","SA45","30","...","    Meat animals and other livestock",220869,224339,215766,258444,364239,346596,367899,422469,364128,506279,552143,541072,599916,662315,642709,621426,694986,765794,873129,771479,855859,1004008,1093497,1157704,1404237,1528069,1903448,2562645,3006711,2047042,1940400,2763133,2921392,2492483,2748191,3691642,3762801,3486221,3551082,3853559,3260017,3684628,4000563,3971686,4316356,4516215,3677910,3284564
"37000","North Carolina","5","SA45","31","...","      Cattle and calves",68065,70370,72653,79983,110616,88851,71086,90423,90671,138618,168679,145649,152801,167838,131871,117513,181461,192656,219101,179836,189705,205553,224869,209307,218122,217491,195557,196754,248140,211398,281848,332944,333475,320917,329317,396963,387823,353081,340012,316980,309402,329182,389905,410893,409774,550659,534584,342513
"37000","North Carolina","5","SA45","32","...","      Hogs and pigs",150242,151436,139810,173356,249272,252492,291340,326309,266806,363040,374307,385510,429097,455027,469572,462463,470132,529528,602015,541090,611429,745606,815544,894778,1131575,1253174,1646901,2308979,2711039,1789402,1607298,2379341,2535358,2110785,2349441,3219634,3301180,3052131,3126792,3367346,2754756,3178307,3397403,3353012,3720372,3778464,2955679,2753812
"37000","North Carolina","5","SA45","33","...","      Sheep and other livestock",2562,2533,3303,5105,4351,5253,5473,5737,6651,4621,9157,9913,18018,39450,41266,41450,43393,43610,52013,50553,54725,52849,53084,53619,54540,57404,60990,56912,47532,46242,51254,50848,52559,60781,69433,75045,73798,81009,84278,169233,195859,177139,213255,207781,186210,187092,187647,188239
"37000","North Carolina","5","SA45","40","...","    Dairy products",91953,94522,98714,102298,118923,139115,149392,161912,166812,173011,191086,220716,239581,240492,245088,238800,246935,230720,222558,219675,223782,234788,204267,218854,211248,210532,189888,214261,193582,208039,207081,174479,194427,154698,143309,170796,163836,138868,189280,189630,133000,165787,205642,191470,198806,245435,182094,164160
"37000","North Carolina","5","SA45","50","...","    Poultry and poultry products",331202,330120,311309,323310,554576,501266,545686,572845,613624,694470,756145,787124,863256,829889,907880,1173899,1125497,1289882,1152022,1316481,1574523,1577307,1516882,1612303,1822114,1910241,2053936,2250604,2210327,2224996,2212268,2171279,2458343,2093292,2217541,2772484,3034892,2814758,3503794,3584479,3333614,3561898,3684670,4136789,4816289,5131811,4976179,4577210
"37000","North Carolina","5","SA45","60","...","  Cash receipts: Crops",816520,910735,896432,1001484,1372804,1672005,1636835,1749724,1558142,1874455,1841851,1980178,2330772,2263453,1964289,2259439,1885749,1592798,1672469,1990887,2127899,2594327,2633780,2771892,2851611,3091261,3189532,3422543,3492766,3192919,2975071,3033878,2950571,2653918,2673480,2902098,2528077,2733705,2908750,3297150,3516023,3440888,3591255,4399351,4648766,4400722,3962096,3652690
"37000","North Carolina","5","SA45","70","...","    Total grains",154643,192815,185291,246710,432365,601922,476788,505545,400031,517531,690819,598660,582148,611504,520520,683548,475425,397662,375129,517288,524576,473141,382331,465336,423046,449146,452793,663023,579161,331449,467067,382005,418025,355287,515272,553305,505401,597167,762079,984577,995920,1005507,1166900,1641884,1710716,1383579,1128616,1058826
"37000","North Carolina","5","SA45","71","...","      Corn",53777,66134,66523,86585,168184,285556,205706,231129,153787,152923,280867,243941,243457,246620,190685,321116,193637,178263,132434,189856,206460,194804,144239,168991,148556,141695,172448,297981,192759,108376,106641,128450,153754,129320,178413,218075,176039,224584,351108,381402,311541,355288,431105,648496,566925,501386,377139,429589
"37000","North Carolina","5","SA45","72","...","      Oats",1091,1588,1958,1117,1787,2281,2335,2015,1829,3345,2977,2066,3049,2808,1999,2797,2123,1267,2455,5567,3741,2260,963,2892,2164,2286,1585,1404,1275,199,1551,846,1101,1247,1053,1154,1750,2238,1698,4535,4226,1718,2412,2525,2113,2687,1979,1012
"37000","North Carolina","5","SA45","73","...","      Sorghum",2020,2487,3829,3835,4963,7072,5691,5374,2991,3630,5260,4313,4225,3954,3125,4253,4528,2574,1530,3250,4288,3736,2552,1746,1472,2003,2022,1632,1157,939,799,980,1298,1290,1414,1559,1175,1411,612,1268,1144,0,0,0,0,0,0,2757
"37000","North Carolina","5","SA45","74","...","      Wheat",5234,9674,9858,7025,11221,25968,19936,12206,13223,9315,22738,40318,57415,62450,46106,76068,62650,38338,40396,74320,80102,62339,46897,81849,68979,92757,108269,127009,112766,42934,172772,62823,72767,58587,50566,76936,76772,98003,108339,187652,218241,65857,262135,302604,327408,222307,149989,76426
"37000","North Carolina","5","SA45","75","...","      Soybeans",53863,65599,56786,96085,169552,210967,168202,169481,136346,245513,298545,242239,268910,291957,275760,273972,209586,175653,196404,240429,227105,208056,184650,206471,198922,207751,164707,230530,268238,171521,176728,185875,186130,162088,281333,252546,245528,267763,299085,406625,457867,580177,468359,684077,808614,650827,592716,543241
"37000","North Carolina","5","SA45","76","...","      Other grains",38658,47333,46337,52063,76658,70078,74918,85340,91855,102805,80432,65783,5092,3715,2845,5342,2901,1567,1910,3866,2880,1946,3030,3387,2953,2654,3762,4467,2966,7480,8576,3031,2975,2755,2493,3035,4137,3168,1237,3095,2901,2467,2889,4182,5656,6372,6793,5801
