"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"47000","Tennessee","5","SA45","10","...","Cash receipts from marketings (thousands of dollars)",722671,773313,795533,888020,1235939,1083993,1175262,1356633,1456326,1673704,1883356,1922584,1959004,1963444,1882316,2105579,1907034,1811013,1996361,1940357,1999717,2058665,1896779,2106352,2213914,2234923,2255975,2391253,2293838,2283805,2072838,2130450,2330181,2163046,2672221,2780496,2736476,2653267,3041871,2936941,3073846,3195050,3429226,3843307,4197668,4381405,3792917,3396457
"47000","Tennessee","5","SA45","20","...","  Cash receipts: Livestock and products",475387,492800,473284,568708,729599,526321,668440,760452,760419,973133,1057023,977508,902777,961981,958405,1098461,1028105,1051646,1106667,1064496,1085280,1088506,1065540,1063011,1096033,1057004,1000621,1033623,1106802,1117769,1087094,1098857,1258301,1036020,1219377,1454762,1437092,1345245,1570707,1446192,1277549,1479186,1563633,1663826,1687349,1977758,1738815,1452916
"47000","Tennessee","5","SA45","30","...","    Meat animals and other livestock",306538,319200,301441,384333,494287,287012,424241,485589,467151,666998,710204,581303,475671,544372,554075,687852,629120,636492,711393,668686,650581,659807,666617,635963,639710,602439,556585,524187,623063,573001,567722,645786,645447,560674,703655,784054,780543,755736,868686,715174,611254,743789,804918,949845,824573,1057395,940586,748937
"47000","Tennessee","5","SA45","31","...","      Cattle and calves",213236,231534,226987,295010,349495,170493,294902,331262,326892,454932,478595,378891,287284,324435,393111,507722,446563,445084,557032,514840,466267,487623,517604,493704,493863,470180,404570,350228,469634,443382,460452,510926,509104,441493,586294,659258,645686,633676,727201,629158,521834,638818,685618,842219,712433,932167,824887,621333
"47000","Tennessee","5","SA45","32","...","      Hogs and pigs",89340,83969,70498,85348,138973,110515,122792,147543,133054,206556,223516,189232,168415,199898,139523,158879,165858,173297,134005,135191,165711,147304,124557,112737,110872,92220,103627,120671,94382,71108,47905,74550,56544,38310,43492,53096,63900,52111,71086,49361,47058,65138,72989,65848,70272,82930,73322,85287
"47000","Tennessee","5","SA45","33","...","      Sheep and other livestock",3962,3697,3956,3975,5819,6004,6547,6784,7205,5510,8093,13180,19972,20039,21441,21251,16699,18111,20356,18655,18603,24880,24456,29522,34975,40039,48388,53288,59047,58511,59365,60310,79799,80871,73869,71700,70957,69949,70399,36655,42362,39833,46311,41778,41868,42298,42377,42317
"47000","Tennessee","5","SA45","40","...","    Dairy products",109300,113320,115466,123014,141189,162636,168809,193807,203515,216324,244064,287262,308530,304620,295267,275856,281851,274596,273076,261515,267100,281058,239141,260820,255680,256685,239430,255960,225600,236910,222780,193200,215460,172920,159600,193368,175680,148390,201985,190688,127605,151434,174902,156800,163400,190920,138556,118852
"47000","Tennessee","5","SA45","50","...","    Poultry and poultry products",59549,60280,56377,61361,94123,76673,75390,81056,89753,89811,102755,108943,118576,112989,109063,134753,117134,140558,122198,134295,167599,147641,159782,166228,200643,197880,204606,253476,258139,307858,296592,259871,397394,302426,356122,477340,480869,441119,500036,540330,538690,583963,583813,557181,699376,729443,659673,585127
"47000","Tennessee","5","SA45","60","...","  Cash receipts: Crops",247284,280513,322249,319312,506340,557672,506822,596181,695907,700571,826333,945076,1056227,1001463,923911,1007118,878929,759367,889694,875861,914437,970159,831239,1043341,1117881,1177919,1255354,1357630,1187036,1166036,985744,1031593,1071880,1127026,1452844,1325734,1299384,1308022,1471164,1490749,1796297,1715864,1865593,2179481,2510319,2403647,2054102,1943541
"47000","Tennessee","5","SA45","70","...","    Total grains",86997,103913,114912,109612,254762,314644,244240,284887,392378,353799,534443,481157,514857,405994,402041,419781,396389,296089,290507,383141,320092,313580,277305,339212,347958,355902,432610,561770,462940,376696,263603,292791,348677,368248,508995,511344,407029,467293,519349,746366,1064578,826398,984838,1243084,1604644,1526067,1268117,1216916
"47000","Tennessee","5","SA45","71","...","      Corn",14062,16470,16576,17166,35579,47735,42193,49224,55259,35121,52290,38115,48073,42097,38109,80085,89014,72182,63206,83933,72545,68291,67459,106980,112905,105038,144082,190681,150115,111612,95801,114826,142394,142923,177129,193861,140421,145295,248058,276289,283078,271829,417527,531584,573208,487044,397055,403732
"47000","Tennessee","5","SA45","72","...","      Oats",272,416,600,299,606,371,320,521,352,365,397,379,634,300,164,184,"(L)","(L)","(L)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47000","Tennessee","5","SA45","73","...","      Sorghum",294,362,1028,717,943,1007,732,563,384,494,565,1100,1753,2769,5141,21487,35197,25165,11466,5400,4053,6858,7566,7126,7150,5816,4447,3869,2512,1833,1735,2605,3728,4890,6440,4516,3020,3293,4078,5415,4456,0,0,0,0,0,0,0
"47000","Tennessee","5","SA45","74","...","      Wheat",4266,7317,7766,8698,10362,25261,19617,20654,21567,12226,25839,51405,107042,80539,39132,61357,25485,22566,29052,62188,68288,48745,21520,39734,38987,47102,59671,81556,56252,40182,43591,49588,49654,43547,44372,49597,28805,45151,55709,129649,122050,55551,96809,136885,216045,204019,126277,110699
"47000","Tennessee","5","SA45","75","...","      Soybeans",67957,79162,88673,82452,207041,239988,181204,213727,314663,305462,455172,390072,357355,280289,319495,256668,246683,176175,186781,231620,175206,189242,180137,185198,188853,197921,224410,285664,254061,223068,122476,125772,152901,176888,281054,263370,234783,273553,211504,335013,654994,499018,470501,574614,815390,835003,744784,702484
"47000","Tennessee","5","SA45","76","...","      Other grains",146,186,269,280,231,282,174,198,153,131,180,86,0,0,0,0,0,0,0,0,0,444,623,174,63,"(L)",0,0,0,"(L)",0,0,0,0,0,0,0,"(L)",0,0,0,0,"(L)","(L)","(L)","(L)","(L)","(L)"
"47000","Tennessee","5","SA45","80","...","    Hay, silage, etc.",3183,3686,4836,3366,4866,4764,5933,6095,6349,6982,7550,6772,9209,8836,8808,11414,13887,24694,28637,23420,26907,26317,23260,22456,22712,23852,33378,35191,32213,24419,20621,34747,41298,39234,45822,51379,49515,68474,53879,82681,81377,80902,90244,100156,117086,123997,125461,128592
"47000","Tennessee","5","SA45","100","...","    Vegetables",12918,13728,15098,16816,21308,24274,28028,22532,31262,31850,28164,29423,34722,34484,30771,50606,53532,46859,41251,45644,32765,47990,48321,47738,53665,68470,62432,66213,72143,82264,74732,80956,56315,101104,117066,85900,95517,106909,95087,73280,72372,87486,65776,59667,72205,94631,94997,50762
"47000","Tennessee","5","SA45","110","...","    Fruits and nuts",1901,1616,2010,1997,1398,1223,2736,2501,2777,3270,3152,6651,6962,5035,5440,11697,6970,10060,10038,11807,8952,9136,10382,10045,8408,5798,7930,5934,7785,10693,10519,13466,7689,8848,9529,10790,10473,10718,6151,7121,4251,4146,4132,7348,7264,6660,5796,5809
"47000","Tennessee","5","SA45","111","...","    Greenhouse, nursery and mushroom products",12765,13327,14420,15617,17866,19367,20994,27064,28688,38901,34713,145942,158030,158710,162238,153511,124858,142351,146797,148223,151340,135540,133646,144754,156669,153229,172545,190036,189683,186538,196062,204369,271988,272682,272869,276682,277722,283141,291689,281085,270481,259877,249273,238670,238792,239007,240385,238369
"47000","Tennessee","5","SA45","112","...","    Forest and maple products",5479,5917,5643,7945,11506,12278,9314,13698,13698,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"47000","Tennessee","5","SA45","113","...","    Tobacco",78498,82230,76329,91516,89335,123149,122303,152065,164152,176152,156006,184204,252458,280366,236727,253069,221630,150163,129258,136456,147509,186379,209638,246389,266089,247968,205439,218810,215000,235852,217560,199993,172350,134441,150176,133355,109387,94108,80782,110469,104716,94133,97848,119727,120490,123771,126610,105939
