"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"51000","Virginia","5","SA45","10","...","Cash receipts from marketings (thousands of dollars)",621703,656409,651440,725861,970863,1029700,1054645,1109947,1085421,1320088,1457106,1563481,1726380,1772427,1612576,1882149,1724318,1746721,1848450,2033192,2207973,2293639,2269287,2291828,2281375,2325848,2351993,2494235,2525918,2450664,2417971,2483934,2576200,2424658,2481242,2889650,2880733,2797644,3057194,3032135,2745082,2976143,3260187,3611674,3847536,4242054,3813841,3321730
"51000","Virginia","5","SA45","20","...","  Cash receipts: Livestock and products",378623,398362,400319,443015,565764,526567,603162,638408,634615,804755,934524,1102568,1036590,1125137,1075789,1236149,1159204,1246147,1357342,1389348,1486608,1521230,1510935,1506282,1570329,1553208,1513998,1609288,1663768,1692758,1705398,1745065,1894858,1666720,1734363,1976451,2058707,1963089,2161706,1993445,1686570,1999119,2167395,2194871,2492992,2959129,2690543,2261881
"51000","Virginia","5","SA45","30","...","    Meat animals and other livestock",189274,203962,202295,232922,292031,239520,284571,280832,255380,383622,450562,573263,458930,564049,477995,582169,492292,543440,711989,679829,699306,720718,724693,658921,675771,617432,544202,532045,670924,605745,626867,692000,760126,747436,768911,793540,874663,882421,864006,681631,572875,671436,758913,750712,885586,1099143,1037048,713764
"51000","Virginia","5","SA45","31","...","      Cattle and calves",130721,149350,148017,166513,206304,144269,183600,167786,167473,275274,325822,413401,303804,389030,327109,418666,341952,372775,539272,522270,538718,518570,519711,461099,455187,412215,338636,299250,446486,402667,435126,461821,519735,484826,485207,515973,621686,610979,599844,541240,436369,522858,610100,601750,729489,934194,892594,573650
"51000","Virginia","5","SA45","32","...","      Hogs and pigs",48947,45004,44630,55931,73910,82644,88215,100046,74402,93020,107912,134888,130837,149133,133849,101447,86075,103343,97229,80136,78227,120432,113345,101029,106945,97085,84873,111708,94135,70798,57138,71620,71262,67138,77149,101838,78745,99287,86624,84033,71587,87871,78396,73232,71956,78115,63509,60297
"51000","Virginia","5","SA45","33","...","      Sheep and other livestock",9606,9608,9648,10478,11817,12607,12756,13000,13505,15328,16828,24974,24289,25886,17037,62056,64265,67322,75488,77423,82361,81716,91637,96793,113639,108132,120693,121087,130303,132280,134603,158559,169129,195472,206555,175729,174232,172155,177538,56358,64919,60707,70417,75730,84141,86834,80945,79817
"51000","Virginia","5","SA45","40","...","    Dairy products",101118,104734,109063,112877,125671,151884,162262,187266,191370,204403,235560,259616,281013,282865,284950,269660,278050,275600,270135,265069,279740,297300,269325,291888,276500,272272,266340,289980,258020,296136,291706,279276,318240,267386,244666,308417,293040,266213,371685,371088,264384,331934,395241,357552,396857,478170,342022,308340
"51000","Virginia","5","SA45","50","...","    Poultry and poultry products",88231,89666,88961,97216,148062,135163,156329,170310,187865,216730,248402,269689,296647,278223,312844,384320,388862,427107,375218,444450,507562,503212,516917,555473,618058,663504,703456,787263,734824,790877,786825,773789,816492,651898,720786,874494,891004,814455,926015,940726,849311,995749,1013241,1086607,1210549,1381816,1311473,1239777
"51000","Virginia","5","SA45","60","...","  Cash receipts: Crops",243080,258047,251121,282846,405099,503133,451483,471539,450806,515333,522582,460913,689790,647290,536787,646000,565114,500574,491108,643844,721365,772409,758352,785546,711046,772640,837995,884947,862150,757906,712573,738869,681342,757938,746879,913199,822026,834555,895488,1038690,1058512,977024,1092792,1416803,1354544,1282925,1123298,1059849
"51000","Virginia","5","SA45","70","...","    Total grains",72465,88306,76702,102920,154017,223157,189476,187881,164556,196242,220143,175387,204886,213361,171617,214094,194162,141987,115913,163156,200535,192885,168295,197130,175331,177401,232153,278197,231015,143994,122928,171568,185601,160318,178709,265616,223952,216120,315819,388191,392300,354563,414934,621351,613441,553122,395289,384698
