"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"55000","Wisconsin","3","SA45","10","...","Cash receipts from marketings (thousands of dollars)",1620863,1693652,1736420,1944857,2412563,2584111,2784122,3159930,3265351,3830427,4488613,4864566,5403345,5157978,5229730,5230805,5139200,5002050,5348994,5484495,5698801,6018034,5755716,5996619,5735862,5629209,6022738,6314465,5959186,6247563,5837331,5638500,6211903,5734698,6360317,7434598,7360754,7431717,9149096,9408846,7587071,9172750,11490649,12284141,12260344,13187256,11739992,11084815
"55000","Wisconsin","3","SA45","20","...","  Cash receipts: Livestock and products",1414278,1473523,1506216,1658102,2000635,2050380,2248423,2629484,2713689,3161334,3788827,3999660,4393703,4310405,4340920,4289897,4241956,4233242,4468846,4472289,4580560,4860733,4413918,4594196,4418141,4296375,4202925,4569003,4306198,4705361,4421006,4108596,4748524,4001451,4265098,5342991,5365883,5014862,6580446,6221631,4745199,5815208,7392247,7477718,8037848,9744206,8389331,7588453
"55000","Wisconsin","3","SA45","30","...","    Meat animals and other livestock",499621,493632,474083,560518,681275,555686,632943,707584,703613,909914,1153697,1113500,1261864,1188150,1139662,1130026,1120727,1159969,1373738,1387571,1263430,1476486,1423823,1322204,1326400,1237757,1112410,1062699,1115674,977951,1045290,1184098,1247022,1111280,1183234,1377969,1549940,1604158,1555761,1354286,1215941,1392658,1874681,1949508,2177479,2649705,2877453,2301421
"55000","Wisconsin","3","SA45","31","...","      Cattle and calves",281758,288485,287831,347972,411901,300126,331716,418086,405598,531661,788529,747559,889237,798273,766975,767360,768596,785295,952465,1050094,948762,1116790,1081607,1013215,965492,921558,814947,730883,781096,755428,797842,904836,899611,814180,906648,1036559,1150373,1162662,1073411,1030897,916242,1061785,1477478,1526253,1835772,2233946,2532603,1963396
"55000","Wisconsin","3","SA45","32","...","      Hogs and pigs",187368,179722,164424,191421,241739,226466,268960,254293,253493,326480,307017,307764,321182,335562,324245,307095,299190,310751,353620,278588,268759,316155,303369,269622,314133,268898,245300,257468,265074,154777,125784,145165,163979,106560,134285,150150,153078,140334,141672,140421,117109,143208,164984,153304,162364,162555,126314,117614
"55000","Wisconsin","3","SA45","33","...","      Sheep and other livestock",30495,25425,21828,21125,27635,29094,32267,35205,44522,51773,58151,58177,51445,54315,48442,55571,52941,63923,67653,58889,45909,43541,38847,39367,46775,47301,52163,74348,69504,67746,121664,134097,183432,190540,142301,191260,246489,301162,340678,182968,182590,187665,232219,269951,179343,253204,218536,220411
"55000","Wisconsin","3","SA45","40","...","    Dairy products",851741,915772,970059,1035142,1201337,1394412,1500541,1810417,1890352,2127573,2507337,2770120,3007567,3000715,3075808,3007555,2973747,2926196,2968593,2951087,3169156,3212986,2815538,3097803,2906048,2873682,2915917,3261815,2948196,3496490,3146262,2688309,3244752,2662650,2838258,3687242,3527784,3075625,4594365,4571532,3270677,4147199,5233137,5229464,5541494,6745095,5121238,5016984
"55000","Wisconsin","3","SA45","50","...","    Poultry and poultry products",62916,64119,62074,62442,118023,100282,114939,111483,119724,123847,127793,116040,124272,121540,125450,152316,147482,147077,126515,133631,147974,171261,174557,174189,185693,184936,174598,244489,242328,230920,229454,236189,256750,227521,243606,277780,288159,335079,430320,295813,258581,275351,284429,298746,318875,349406,390640,270048
"55000","Wisconsin","3","SA45","60","...","  Cash receipts: Crops",206585,220129,230204,286755,411928,533731,535699,530446,551662,669093,699786,864906,1009642,847573,888810,940908,897244,768808,880148,1012206,1118241,1157301,1341798,1402423,1317721,1332834,1819813,1745462,1652988,1542202,1416325,1529904,1463379,1733247,2095219,2091607,1994871,2416855,2568650,3187215,2841872,3357542,4098402,4806423,4222496,3443050,3350661,3496362
"55000","Wisconsin","3","SA45","70","...","    Total grains",50585,79329,82127,102129,173796,239384,218992,199792,165606,363883,364512,502359,570896,419311,460396,472701,398195,328385,383132,486713,443127,417731,618050,660795,559402,544951,1047881,974967,845580,817023,771374,844572,662196,909888,943218,942924,862783,1287680,1509755,1846615,1641618,2225833,2884727,3500777,2814353,2174649,2154607,2272663
